Serial No. Of Polling Station,All India Anna Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,Naam Indiar Party,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Puthiya Tamilagam,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Independent.5,Independent.6,Independent.7,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Part No,Location and Name of Building in which Polling Station Located,Polling Area,Polling Station Type,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Tamilar Katchi_Rank,Dravida Munnetra Kazhagam_Rank,Tamilaga Vettri Kazhagam_Rank,Naam Indiar Party_Rank,All India Puratchi Thalaivar Makkal Munnettra Kazhagam_Rank,Puthiya Tamilagam_Rank,Independent_Rank,Margin_Percentage,Total_Independent_Votes,AIADMK_share_pct,NTK_share_pct,DMK_share_pct,TVK_share_pct,NIP_share_pct,AIPTMK_share_pct,PT_share_pct,IND_share_pct,Cluster_ID
78,289,21,139,73,0,1,0,2,0,0,0,1,0,0,1,525,0,2,527,0,78,"Hindu Primary School,Thambapillaiyoorani D .
Shunmugapuram","1.D. shunmugapuram(R.V) And (P) D. shunmugapuram block 1 ,
2.D. Shunmugapuram(R.V) And (P) Vekampatti Block 2 99.OVERSEAS ELECTORS",General,All India Anna Dravida Munnetra Kazhagam,289,139,150,Dravida Munnetra Kazhagam,1,4,2,3,7,6,7,5,28.57142857142857,2,55.04761904761904,4.0,26.47619047619047,13.90476190476191,0.0,0.1904761904761905,0.0,0.3809523809523809,2
79,101,40,297,113,0,2,6,4,0,0,0,1,1,1,1,563,0,0,563,0,79,"Panchayat  Union Middle School, Athikinaru","1.D. Shunmugapuram (R.V) And (P) Aathikenar  Block 3 , 2.D.
Shunmugapuram (R.V) And (P) Kumarikulam Block 4 99.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,297,113,184,Tamilaga Vettri Kazhagam,3,4,1,2,8,7,5,6,32.68206039076377,4,17.93960923623446,7.104795737122557,52.75310834813499,20.07104795737123,0.0,0.3552397868561279,1.065719360568384,0.7104795737122558,3
80,161,21,293,160,0,55,0,7,3,0,1,0,2,0,0,697,0,5,702,0,80,"Community  Hall, Therku Bommaiyapuram","1.Podupatti (R.V) And (P) Podupatti Block 1 , 2.Podupatti (R.V) And
(P) North Bommiyapuram Block 2 , 3.Podupatti (R.V) And (P) Southu
Bommaiyapuram Block 3 , 4.Podupatti (R.V) And (P) Muthuramalingapuram Block 4 99.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,293,161,132,All India Anna Dravida Munnetra Kazhagam,2,5,1,3,7,4,7,6,18.93830703012912,7,23.09899569583931,3.012912482065997,42.03730272596843,22.95552367288379,0.0,7.890961262553802,0.0,1.004304160688666,3
81,199,66,242,176,0,17,4,10,0,1,0,1,3,3,1,714,0,9,723,0,81,"Panchayat  Union Middle School West Side, Pungavarnatham","1.Pungavarnatham (R.V) And (P) Pungavarnatham Block 1 ,
2.Pungavarnatham (R.V) And (P) Pungavarnatham Block 2 , 3.Pungavarnatham (R.V) And (P) Pungavarnatham Block 3 , 4.Pungavarnatham (R.V) And (P) Subramaniapuram Block 4 , 5.Pungavarnatham (R.V) And (P) LakammalDevi Block 5 99.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,242,199,43,All India Anna Dravida Munnetra Kazhagam,2,4,1,3,8,5,7,6,6.022408963585434,10,27.87114845938375,9.243697478991598,33.89355742296919,24.64985994397759,0.0,2.380952380952381,0.5602240896358543,1.400560224089636,1
82,162,74,239,252,0,2,1,3,0,1,0,0,0,2,0,733,0,4,737,0,82,"Hindu Nadar  Kamaraj Elementry School Main Building, Cholapuram , Cholapuram","1.Cholapuram (R.V) And (P) Cholapuram Block 1 , 2.Cholapuram (P)
Cholapuram Block 2 , 3.Cholapuram (R.V) And (P) Cholapuram Block 3 , 4.Cholapuram (R.V) And (P) Cholapuram Block 4 99.OVERSEAS ELECTORS",General,Tamilaga Vettri Kazhagam,252,239,13,Dravida Munnetra Kazhagam,3,4,2,1,8,6,7,5,1.773533424283765,3,22.10095497953615,10.09549795361528,32.60572987721692,34.37926330150069,0.0,0.2728512960436562,0.1364256480218281,0.4092769440654843,1
83,262,62,245,149,0,3,9,1,0,0,0,0,0,0,1,731,0,6,737,0,83,"Panchayat  Union Primary  School, Vellakkovil Thalavaipuram","1.Kannkatti (R.V) And (p) Kannkatti Block 1 , 2.Kannkatti (R.V) And
(P) Kannkatti Block 2 , 3.Kannkatti (R.V) And (P) VelaikovilThalavaipuram Block 3 99.OVERSEAS ELECTORS",General,All India Anna Dravida Munnetra Kazhagam,262,245,17,Dravida Munnetra Kazhagam,1,4,2,3,8,6,5,7,2.325581395348837,1,35.84131326949385,8.481532147742818,33.515731874145,20.38303693570452,0.0,0.4103967168262654,1.231190150478796,0.1367989056087551,2
84,149,5,127,65,2,0,0,0,0,0,0,0,0,0,0,348,0,2,350,0,84,"Indra Nehru Primary School Main Building, Kumareddiyapuram","1.Kumareddeyapuram (R.V) And ( P) Kumareddeyapuram Block 1 ,
2.Kumareddeyapuram (R.V) And (P) Kumareddeyapuram Block 2 99.OVERSEAS ELECTORS",General,All India Anna Dravida Munnetra Kazhagam,149,127,22,Dravida Munnetra Kazhagam,1,4,2,3,5,6,6,6,6.321839080459771,0,42.81609195402299,1.436781609195402,36.49425287356322,18.67816091954023,0.5747126436781609,0.0,0.0,0.0,2
85,210,61,333,299,1,17,36,3,0,0,0,1,0,0,0,960,0,2,962,0,85,"Hindu Primary  School, Meenachipuram","1.Meenachipuram (R.V) And (P) Meenachipuram Block 1 ,
2.Meenachipuram (R.V) And (P) Meenachipuram Block 2 , 3.Meenachipuram (R.V) And (P) Vitilapuram Block 3 , 4.Meenachipuram (R.V) And (P) K. Duraisamypuram Block 4
99.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,333,299,34,Tamilaga Vettri Kazhagam,3,4,1,2,8,6,5,7,3.541666666666667,3,21.875,6.354166666666666,34.6875,31.14583333333333,0.1041666666666667,1.770833333333333,3.75,0.3125,1
86,145,45,194,199,1,4,0,2,0,0,0,0,0,2,0,590,0,2,592,0,86,"Panchayat  Union Primary  School South Block, Pasuvanthanai","1.Pasuvanthanai (R.V) And (P) North car  street Block 1 ,
2.Pasuvanthanai (R.V) And (P) Sannathi Street Block 1 , 3.Pasuvanthanai (R.V) And(P) Pillaiar  Kovil Street Block 1 , 99.OVERSEAS ELECTORS",General,Tamilaga Vettri Kazhagam,199,194,5,Dravida Munnetra Kazhagam,3,4,2,1,7,5,8,6,0.847457627118644,2,24.57627118644068,7.627118644067797,32.88135593220339,33.72881355932203,0.1694915254237288,0.6779661016949152,0.0,0.3389830508474576,1
87,82,37,236,101,0,4,17,6,0,1,0,2,0,1,1,483,0,1,484,0,87,"Panchayat  Rural employment  Service center, Pasuvanthanai","4.Pasuvanthanai (R.V) And (P) North Kailasapuram Block 2 , 5.Pasuvanthanai (R.V) And (P) South Kailasapuram Block 2
99.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,236,101,135,Tamilaga Vettri Kazhagam,3,4,1,2,8,7,5,6,27.95031055900621,6,16.97722567287785,7.660455486542443,48.86128364389234,20.91097308488613,0.0,0.8281573498964804,3.519668737060042,1.24223602484472,3
