Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
165,"Govt  Hr. Sec School Westside East Facing Building, Pudur","1.Pudthur  (S.P) Periyar  street , 2.Pudthur  (S.P) Rajakambalam 1
Street , 3.Pudthur  (S.P) Rajakambalam 2th santhu , 4.Pudthur  (S.P) Rajakambalam 2 Street , 5.Pudthur  (S.P) Pasumponu MUthuramalinganar  street , 6.Pudthur  (S.P) Kannappar  1 Street ,
7.Pudthur  (S.P) Kannappar  2 Street , 8.Pudthur  (S.P) Kannappar  3
Street , 9.Pudthur  (S.P) Kannappar  4 Street 99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,18,2.203182374541004
169,"Govt  Hr. Sec School Centre Side East Building, Pudur","1.Pudthur  (S.P) Perumal Koil Street , 2.Pudthur  (S.P) Aruanthathiyar
Street , 3.Pudthur  (S.P) Muthusamy Street , 4.Pudthur  (S.P) S.R. Naidu Street , 5.Pudthur  (S.P) S.R. Naidu 1 Street , 6.Pudthur  (S.P)
S.R. Naidu 2 Street , 7.Pudthur  (S.P) S.R. Naidu 3 Street , 8.Pudthur (S.P) S.R. Naidu 4 Street , 9.Pudthur  (S.P) Rajaihi 1 Street , 10.Pudthur  (S.P) Rajaji Street , 11.Pudthur  (S.P) Mahalakshmi Kalani
Street 99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,31,4.83619344773791
171,"Hindu Nadar  Primary  School North Building, Chinavanayakkanpatti","1.Sankaralingapuram (R.V), Chinavanayakkarpatti (P)
Chinavanayakkarpatti Block 2 , 2.Sankaralingapuram (R.V), Chinavanayakkarpatti (P) Chinavanayakkarpatti Block 3 99.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,4,0.4571428571428572
173,"Panchayat  Union Primary  School New Building, Sankaralingapuram","1.Sankaralingapuram (R.V) And (P) Sankaralingapuram Block 1 ,
2.Sankaralingapuram (R.V) And (P) Sankaralingapuram Block 2 ,
3.Sankaralingapuram (R.V) And (P) Sankaralingapuram Block 3 99.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,9,1.19047619047619
181,"Panchayat  Union Primary  School New
Building, Kadelkudi","1.Kadalkudi (R.V) And (P) Kadalkudi Block 1 , 2.Kadalkudi (R.V) And
(P) Kadalkudi Block 2 99.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,5,0.9380863039399625
184,"Panchayat  Union Midddle School New Building North Portion ,
Kumarettiapuram","1.K. Duraisamypuram (R.V) And (P) K. Kumarareddyarpuram Block 4, 2.K. Duraisamypuram (R.V) And (P) K. Kumarareddyarpuram
Block 5 99.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,13,4.29042904290429
187,"T.D.T.A St.  Albonse Primary  School South Building East  Side,Goundampatti","1.Goundanpatti (R.V) And (P) Goundanpatti block 1 , 2.Goundanpatti (R.V) And (P) Goundanpatti Block 2 99.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,24,2.634467618002195
188,"Panchayat  Union Elementry School, Zameen kodangipatti","1.M.Kodangipatti (R.V), M.Kodangipatti (P) M.Kodangipatti Block 1 ,
2.M.Kodangipatti(R.V), M.Kodangipatti (P) M.Kodangipatti Block 2 , 3.M.Kodangipatti (R.V), M.Kodangipatti (P) M.Kodangipatti Block 3 99.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,32,3.751465416178194
190,Senkunder  Ramalingam Middle School North Portion Ayanbommiahpuram,"1.Ayanbommaiyapuram (R.V) And (P) Ayanbommaiyapuram Block 1 , 2.Ayanbommaiyapuram (R.V) And (P) Ayanbommaiyapuram Block 4
99.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,19,3.578154425612053
191,"Sengunder  Ramalingam Middle School South Side, Ayanpommiahpuram","1.Ayanbommaiyapuram (R.V) And (P) Ayanbommaiyapuram Block 3 ,
2.Ayanbommaiyapuram (R.V) And (P) Panaiadipatti Block 3 99.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,17,2.711323763955343
