Label,Total_Votes,Share_Percentage
DMK,57458,33.42135877152164
TVK,49578,28.83783154955794
AIADMK,48461,28.18811074918567
NTK,11574,6.732201023731968
PT,1995,1.16042345276873
AIPTMK,1359,0.7904839460214053
IND,1331,0.7741973010702652
NIP,164,0.09539320614239181
