Location and Name of Building in which Polling Station located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"Govt. Hr.Sec. School, Eastern Side South Building, Koduvilarpatti",1,Tamilaga Vettri Kazhagam,1
"Govt. Hr.Sec. School, Northern Side Eastern Block (Behind Lab), Koduvilarpatti",1,Tamilaga Vettri Kazhagam,1
"Govt. Hr.Sec. School, South Side Eastern Block Building, Dharmapuri",1,Dravida Munnetra Kazhagam,1
"Govt. Hr.Sec. School, South Side Western Block Building, Dharmapuri",1,Dravida Munnetra Kazhagam,1
"Govt. Hr.Sec. School,West Side,
Boothipuram",1,Tamilaga Vettri Kazhagam,1
"Govt. Hr.sec. School, South East Building, East Side, Boothipuram",1,Tamilaga Vettri Kazhagam,1
"Govt. Kallar Ele. School , Additional Building, North Side, Valaiyathupatti",1,Dravida Munnetra Kazhagam,1
"Govt. Kallar Ele. School , South Side, Valaiyathupatti",1,Dravida Munnetra Kazhagam,1
"Govt. Kallar Ele. School, Additional Building, North Side,  Valaiyathupatti",1,Tamilaga Vettri Kazhagam,1
"Govt. Kallar Ele. School, Additional Building, South Side,  Valaiyathupatti",1,Dravida Munnetra Kazhagam,1
"Govt. Kallar Ele. School, East facing West Building, Northern Side,  Markkaiyankottai",1,Dravida Munnetra Kazhagam,1
"Govt. Kallar Ele. School, East facing West Building, Southern Side,  Markkaiyankottai",1,Dravida Munnetra Kazhagam,1
"Govt. Kallar Ele. School, North Building, Perumal Gowndenpatti",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt. Kallar Ele. School, North facing  East Building, Markkaiyankottai",1,Dravida Munnetra Kazhagam,1
"Govt. Kallar Ele. School, South facing North Building, Western Side, Markkaiyankottai",1,Dravida Munnetra Kazhagam,1
"Govt. Kallar Ele. School, South facing, North Side Building, Eastern Side, Markkaiyankottai",1,Dravida Munnetra Kazhagam,1
"Govt. Kallar Ele. School, West Building, Perumal Gowndenpatti",1,Dravida Munnetra Kazhagam,1
"Govt. Kallar High School,Old Building, Eastern side, X Std.Room, B.Anaikaraipatti",1,Tamilaga Vettri Kazhagam,1
"Govt. Kallar Hr. Sec. School,East Facing South West Building, Muthayan chettipatti",1,Dravida Munnetra Kazhagam,1
"Govt. Kallar Middle School, North Block, B.Meenakchipuram",1,Dravida Munnetra Kazhagam,1
"Govt. Kallar Middle School, South Buliding, Mariamman Kovilpatti.",1,Tamilaga Vettri Kazhagam,1
"Govt. Kallar Middle School,, Western Buliding, South Block, Mariamman Kovilpatti",1,Tamilaga Vettri Kazhagam,1
"Govt. Kallar Middle School,New Building,
West Side, Palarpatti",1,Dravida Munnetra Kazhagam,1
"Govt. Kallar Middle School,New Building, South Side, Palarpatti",1,Dravida Munnetra Kazhagam,1
"Govt. Kallar Middle. School, New Building Center Room, Periyakulam Road, Bodinayakanur",1,Dravida Munnetra Kazhagam,1
"Govt. Kallar Middle. School, New Building, North Room, Periyakulam Road, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Govt. Kallar Middle. School, Southern Side, B.meenakchipuram.",1,Dravida Munnetra Kazhagam,1
"Govt. Middle School, South Building, Thabbukkundu",1,Tamilaga Vettri Kazhagam,1
"Govt. Middle School, West Building, Thabbukkundu",1,Dravida Munnetra Kazhagam,1
"Govt.High School, South Side,West Building, Rasingapuram",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.High School, Southern Side Western Block Middle Room Lakshmipuram",1,Dravida Munnetra Kazhagam,1
"Govt.High, School,  East Building,West Facing, Center Room, Rasingapuram",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Higher Sec. School, Eastern Side Northern Block North Room Dharmapuri",1,Dravida Munnetra Kazhagam,1
"Govt.Higher Sec. School, North East (RMSA) Building East  Portion, Melachokkanathapuram",1,Tamilaga Vettri Kazhagam,1
"Govt.Higher Sec. School, North East (RMSA) Building West Side, Melachokkanathapuram",1,Dravida Munnetra Kazhagam,1
"Govt.Higher Sec. School, Northern Side 2nd Room From West (Near Auditorium) Kottur",1,Dravida Munnetra Kazhagam,1
"Govt.Higher Sec. School, South Building East Room, Melachokkanathapuram",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Higher Sec. School, South Building West Side Room, Melachokkanathapuram",1,Tamilaga Vettri Kazhagam,1
"Govt.Higher Sec. School, Southern Side 2nd Room From West, Kottur",1,Dravida Munnetra Kazhagam,1
"Govt.Higher Sec. School, Southern Side 6th Room From West Kottur",1,Dravida Munnetra Kazhagam,1
"Govt.Higher Sec. School, Western Side Northern Block North Room Dharmapuri",1,Dravida Munnetra Kazhagam,1
"Govt.Higher Sec. School,Main Gate Near, Center South Side, Building, Kottur",1,Dravida Munnetra Kazhagam,1
"Govt.Kallar High School,West Side Building, B.Anaikaraipatti",1,Dravida Munnetra Kazhagam,1
"Govt.Kaller Primary School, East Side, South Facing Room, Koolaiyanur",1,Dravida Munnetra Kazhagam,1
"Hindu Ele. School  , East Building,Nort Side, Sundrarajapuram",1,Dravida Munnetra Kazhagam,1
"Hindu Ele. School  , South Building, Sundrarajapuram",1,Dravida Munnetra Kazhagam,1
"Hindu Ele. School ,  East Building, Bodendrapuram",1,Dravida Munnetra Kazhagam,1
"Hindui Middle School, Eastern Side Near Office Room Seelayaimpatti",1,Tamilaga Vettri Kazhagam,1
"Hindui Middle School, Western Side Near Water Tank Seelayaimpatti",1,Tamilaga Vettri Kazhagam,1
"ICDCS-integrated child development schme Office, Puthur west street bodinayakanur",1,Dravida Munnetra Kazhagam,1
"ICDS Center No.107,  V.O.C Nagar North Street, Bodinayakanur",1,Dravida Munnetra Kazhagam,1
"ICDS Center No.31, Gandhi Nagar, Karuppasamy Kovil Street, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"ICDS Center, Santhai Pettai Street, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"ICDS Center, Sowendravel Nagar Bodinayakanur",1,Dravida Munnetra Kazhagam,1
"ICDS Centre ,Thendral Nagar, Near RCH, North Building, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"ICDS Centre, B.Renganathapuram",1,Dravida Munnetra Kazhagam,1
"ICDS Centre, Karippatti",1,Dravida Munnetra Kazhagam,1
"Jesuva Memorial Ele. School, (Block -2) Central Station",1,Dravida Munnetra Kazhagam,1
"Kadiria Primary School,    ,  North Building, Boyan Thurai Road, Bodinayakanur",1,Dravida Munnetra Kazhagam,1
"Kadiria Primary School, South Building Boyan Thurai Road Bodinayakanur",1,Dravida Munnetra Kazhagam,1
"Kaligadevi Ele. School, North Block, Western Side, Pathirakalipuram",1,Dravida Munnetra Kazhagam,1
"Kaligadevi Ele. School, Western Block,
Western Portion, Pathirakalipuram",1,Dravida Munnetra Kazhagam,1
"Kaligadevi High School , North Block, East Side,Pathrakalipuram",1,Dravida Munnetra Kazhagam,1
"Kaligadevi High School, North Block, West Side, Pathrakalipuram",1,Dravida Munnetra Kazhagam,1
"Kamaraj Vidhyalayam Ele. School , East Side Room, Subburaj Nagar, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Kamaraj Vidhyalayam Ele. School, Western Side, 6th Std Class Room, Subburajnagar, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Kamaraj Vidhyalayam Ele. School,East Side,South Room, Subburaj Nagar, Bodinayakanur",1,Dravida Munnetra Kazhagam,1
"Kamaraj Vidhyalayam Ele. South  West Side, Subburajnagar, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Kambar Middle School   , Main Building Central Side, Seelaiyampatti.",1,Dravida Munnetra Kazhagam,1
"Kambar Middle School   , South Building Central Side, Seelaiyampatti.",1,Dravida Munnetra Kazhagam,1
"Kambar Middle School, Main Building North Side,  Seelaiyampatti",1,Dravida Munnetra Kazhagam,1
"Kambar Middle School, Main Building South Side,  Seelaiyampatti",1,Dravida Munnetra Kazhagam,1
"Kammavar Dharma Ele. School, New Building 1st Room From West, Govindanagaram",1,All India Anna Dravida Munnetra Kazhagam,1
"Kammavar Dharma Ele. School, New Building 3rd Room From West, Govindanagaram",1,All India Anna Dravida Munnetra Kazhagam,1
"Kammavar Dharma Ele. School, Western Buliding South Block,   Govindanagaram",1,All India Anna Dravida Munnetra Kazhagam,1
"Kongu Vellala Gounder Samuthaya Kudam,West Building,TVKK Nagar, Bodinayakanur",1,Dravida Munnetra Kazhagam,1
"M.K Hindu Aided Ele.School, East Side Building, B.meenakchipuram",1,Tamilaga Vettri Kazhagam,1
"Maravar Munnettra Sangam, Sowendravel Nagar, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Moovendhar Middle School, Main Block, Eastern Side, Jakkamanayakkanpatti, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Moovendhar Middle School, Main Block, South Side, Jakkamanayakkanpatti, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Municipal Ele. School   North Building Municipal  Travellers Bunglow Compound, ICDS Centre No.17, Bodinayakanur",1,Dravida Munnetra Kazhagam,1
"Municipal Ele. School   North Building, ICDS Centre No.04, Bodinayakanur",1,Dravida Munnetra Kazhagam,1
"Muthaiah Aided Ele. School, North Side, Dhuraichamipuram",1,Dravida Munnetra Kazhagam,1
"Muthaiah Aided Ele. School, South Side, Dhuraichamipuram",1,Dravida Munnetra Kazhagam,1
"N.R.Thiyagarajan Memorial Ele. School, North Side Eastern Block, Gopalapuram",1,Dravida Munnetra Kazhagam,1
"N.R.Thiyagarajan Memorial Ele. School, West Side Southern Part, Gopalapuram",1,Tamilaga Vettri Kazhagam,1
"Nadar Ele. School ,South Block, Middle Side, Thirumalapuram  Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Nadar Ele. School ,West Block, South Side, Thirumalapuram, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Nadar Ele. School, ,West Block, North Side, Thirumalapuram, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Nadar Hr. Sec. School ,East Block, North
Side,Thirumalapuram, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Nadar Hr. Sec. School ,East Block, South Side,Thirumalapuram, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Nadar Hr. Sec. School ,South Block, East Side, Thirumalapuram, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Nadar Hr. Sec. School ,South Block, West Side, Thirumalapuram, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Nadar Hr. Sec. School ,West Block, West Side, Thirumalapuram, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Nadar Hr. Sec. School, West Block, North Side, Thirumalapuram, Bodinayakanur",1,Dravida Munnetra Kazhagam,1
"Nadar Hr. Sec. School, West Block, South Side, Thirumalapuram Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Nadar Hr.Sec,School, West Block,North Side,Room No:13, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"Narasinga Perumal Vidhyalaya Middle School, North Building, Poomalaikundu",1,Tamilaga Vettri Kazhagam,1
"Narasinga Perumal Vidhyalaya Middle School, South Building, Poomalaikundu",1,Tamilaga Vettri Kazhagam,1
"Pachaiyappa High School,New Building, East Room, Uppukottai",1,Dravida Munnetra Kazhagam,1
"Pachaiyappa High School,New Building, Middle Room Uppukottai",1,Dravida Munnetra Kazhagam,1
"Palaniyappa Memorial Higher Secondary School,East Side, South Building South Portion, B-Block,  Room No.6, Palanichettipatti",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Memorial Higher Secondary School,North Block 2nd Room, Palanichettipatti",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Memorial Higher Secondary School,South West Building, Room No.3, Palanichettipatti",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Memorial Hr. Sec. School, East Face Building, 1st Room From South Palanichettipatti.",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Memorial Hr. Sec. School, East Face Building, 2nd Room From South
Palanichettipatti.",1,Dravida Munnetra Kazhagam,1
"Palaniyappa Memorial Hr. Sec. School, North Block, Room No.14, Palanichettipatti",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Memorial Hr. Sec. School, North Block, Room No.15, Palanichettipatti",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Memorial Hr. Sec. School, South Side B.Block, Palanichettipatti.",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Memorial Hr.Sec. School, North Block Eastern Side  Room 15, Gundappan Chettiar Memorial Room, Palanichettipatti",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Memorial Hr.Sec. School, Room No.10, Palanichettipatti.",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Memorial Hr.Sec. School, Room No.11, Palanichettipatti.",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Memorial Hr.Sec. School, West Face Building, 1st Room from South, Palanichettipatti",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Vidyalayam,  South Block Middle Room, Palanichettipatti.",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Vidyalayam, North Building, Room No. 3 Palanichettipatti.",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Vidyalayam, North Side, Eastern Block Eastern Way, Palanichettipatti.",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Vidyalayam, North Side,West portion  Palanichettipatti",1,Tamilaga Vettri Kazhagam,1
"Palaniyappa Vidyalayam, South Side, South Block South Way, Palanichettipatti.",1,Tamilaga Vettri Kazhagam,1
