Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
41,"Kadiria Primary School,    ,  North Building, Boyan Thurai Road, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-1 Kurangani Road
2.Bodinayakanur (R.V) And (M), Ward-1 Railway Line Road
3.Bodinayakanur (R.V) And (M), Ward-1 Railway Station Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,18,3.879310344827586
44,"ICDS Center, Sowendravel Nagar Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-1 Valasathurai Road Street-2
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,20,3.731343283582089
55,"Shanmuga Arulneri Primary School, Western Building, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-2 Mayanam Road
2.Bodinayakanur (R.V) And (M), Ward-2 Zameen Thoppu Road
3.Bodinayakanur (R.V) And (M), Ward-5 Kovalan Lane
4.Bodinayakanur (R.V) And (M), Ward-5 North Maravar Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,32,3.742690058479532
56,"Pitchandi Middle School,, Theradi Street,
North Side, East Part, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-2 Theradi Street
2.Bodinayakanur (R.V) And (M), Ward-2 Periyakulam Road
3.Bodinayakanur (R.V) And (M), Ward-2 Chellayiamman Kovil Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,17,2.522255192878338
57,"Govt. Kallar Middle. School, New Building, North Room, Periyakulam Road, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-2 Periyakulam Road
2.Bodinayakanur (R.V) And (M), Ward-2 Perumal Kovil Street
3.Bodinayakanur (R.V) And (M), Ward-4 Perumal Kovil Kinatradi Lane
4.Bodinayakanur (R.V) And (M), Ward-6 Chinnasamy Street
5.Bodinayakanur (R.V) And (M), Ward-6 Sooriyamoorthy Lane
6.Bodinayakanur (R.V) And (M), Ward-6 Erumaikkaran Lane
7.Bodinayakanur (R.V) And (M), Ward-6 Atkondan Lane
8.Bodinayakanur (R.V) And (M), Ward-6 Sethupathi Lane
9.Bodinayakanur (R.V) And (M), Ward-6 Periyanan Lane
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,3,0.5263157894736842
59,"Vaaniyar Uravinmurai Mandabam,
Northern Building, North Side, Keela Raja Veethi, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-3 Natanmaikarar Sreet
2.Bodinayakanur (R.V) And (M), Ward-4 Perumal Kovil North Street
3.Bodinayakanur (R.V) And (M), Ward-4 Kanavarisai Lane
4.Bodinayakanur (R.V) And (M), Ward-4 KattiyakaranKinartradi Lane
5.Bodinayakanur (R.V) And (M), Ward-4 Pettai Street
6.Bodinayakanur (R.V) And (M), Ward-4 Kamanan Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,4,0.7352941176470588
68,"Kamaraj Vidhyalayam Ele. School, Western Side, 6th Std Class Room, Subburajnagar, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-33 New Colony
2.Bodinayakanur (R.V) And (M), Ward-33 Subburajnagar Street-1
3.Bodinayakanur (R.V) And (M), Ward-33 Sivanagar
4.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-2
5.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-3
6.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-4
7.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-5
8.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-6
9.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-7
10.Bodinayakanur (R.V) And (M), Ward-32 Subburajnagar Street-8
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,23,3.382352941176471
87,"10th Ward Municipal Elementary School, Eastern side, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-8 Ethiraji Street
2.Bodinayakanur (R.V) And (M), Ward-8 Thogaimalayar Street
3.Bodinayakanur (R.V) And (M), Ward-8 Thaliouvan Street
4.Bodinayakanur (R.V) And (M), Ward-9 Municipal Pettai Street
5.Bodinayakanur (R.V) And (M), Ward-25 Kamaraj Bazar
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,21,4.174950298210735
88,"10th Ward Municipal Elementary School, Western side, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-8 South Raja Street
2.Bodinayakanur (R.V) And (M), Ward-9 Thatcher Lane
3.Bodinayakanur (R.V) And (M), Ward-9 Alagiri Lane
4.Bodinayakanur (R.V) And (M), Ward-9 Agathiyar Lane
5.Bodinayakanur (R.V) And (M), Ward-9 Thauemanavar Lane
6.Bodinayakanur (R.V) And (M), Ward-9 Maduraiveeran East Lane
7.Bodinayakanur (R.V) And (M), Ward-8 Maduraiveeran North Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,18,2.941176470588235
89,"Ayiravysia Sozhia Chettiyar Uravinmurai Building, Church Road, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-8 Church Street Main Road
2.Bodinayakanur (R.V) And (M), Ward-8 Cuspamaniyakarar Lane
3.Bodinayakanur (R.V) And (M), Ward-8 Thogaimalayar Street
4.Bodinayakanur (R.V) And (M), Ward-8 Ponnu Lane
5.Bodinayakanur (R.V) And (M), Ward-8 Alaganan Lane
6.Bodinayakanur (R.V) And (M), Ward-7 Karuppanan lane
7.Bodinayakanur (R.V) And (M), Ward-7 Katholikkar Lane
8.Bodinayakanur (R.V) And (M), Ward-7 Isravel Lane
9.Bodinayakanur (R.V) And (M), Ward-7 Vethamuthu Lane
10.Bodinayakanur (R.V) And (M), Ward-7 Sundharasamuvel Lane
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,7,1.587301587301587
91,"Anna Memorial Municipal Middle School,Additional New Building, South Side Room, Jakkamanayakkanpatti Bodinayakanur","1.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-12 Vengadasalabathi Kovil Street
2.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-10 V.O.C Lane
3.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-14 Muthupandian Street
4.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-14 Vellaiandi Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,25,4.230118443316413
93,"Buthar Memorial Middle School, West Side, Kaliyamman Kovil Street, Thirumalapuram, Bodinayakanur.","1.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-10 V.O.C.Nagar East Street-1
2.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-11 Sabarimalai Street-1
3.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-10 V.O.C.Nagar North Street
4.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-10 V.O.C. Nagar South Street
5.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-10 V.O.C. Nagar West Street
6.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-10 V.O.C. Nagar Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,2,0.3590664272890485
95,"Anna Memorial Municipal Middle School,Additional New Building, North Side Room, Jakkamanayakkanpatti Bodinayakanur","1.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-10 Sanmugasundharapuram Lane
2.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-10 Pugaielai Arumugam Lane
3.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-13 Periyandavar Main Road
4.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-12 Periyandavar East Lane
5.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-10 Buthar School North Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,14,3.063457330415755
96,"Senaithalaivar Nursery and Primary School, Priyandavar High Road, West Portion, Bodinayakanur","1.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-12 Buthar School Street
2.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-11 Olugalpathai
3.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-10 Buthar School East Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,24,3.278688524590164
97,"Anna Memorial   Municipal Middle School, ICDS Centre No.32, North Side West Part, Bodinayakanur","1.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-10 Sanmugasundrapuram Lane-3
2.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-10 Sanmugasundrapuram Lane-2
3.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-11 Sadaiyandi Nagar
4.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-10 Surulilayout
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,4,0.7054673721340388
99,"Anna Memorial Municipal Middle School , ICDS Centre No 30, North Side East Part, Bodinayakanur.","1.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-12 Vengadasalabathi Kovil Street
2.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-12 Subbukothan Lane
3.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-10 Kamarajapandian Street
4.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-10 Sanmugasundhara Puram Road
5.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-12 Chrishthuva Lane
6.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-10 K.M.S.Layout-1
7.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-10 Pookkarar street
8.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-10 K.M.S.Layout-2
9.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-10 K.M.S.Layout-3
10.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-10 K.M.S.Layout-4
11.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-11 Puthar School West Street
12.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-12 Vengadasalabathi Kovil Street
13.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-10 V.O.C.Nagar North Street
14.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-11 Sadayandi Nagar
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,16,2.322206095791001
100,"Nadar Hr. Sec. School, West Block, North Side, Thirumalapuram, Bodinayakanur","1.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-16 Pattalamman Kovil Street
2.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-16 Asaithambi Lane
3.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-16 Nesamani Lane
4.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-16 Samiyar Lane
5.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-14 Periyandavar High Road
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,18,3.680981595092025
108,"Nadar Ele. School ,West Block, South Side, Thirumalapuram, Bodinayakanur","1.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-18 Shavadi Lane
2.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-17 Chokkanchettiar Street
3.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-17 Senthil Vinayagar Street
4.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-17 Madam Street
5.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-17 Nallathanner Kinatradi Lane
6.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-17 Madam Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,20,3.853564547206165
109,"Nadar Ele. School ,South Block, Middle Side, Thirumalapuram  Bodinayakanur","1.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-18 Veeralagamman Kovil Street
2.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-18 Soudamman Kovil Street
3.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-18 Perumal Kovil Lane
4.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-18 Erattai Pulavar Lane
5.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-18 Allagiri Lane
6.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-18 Soundhrapandian Lane
7.Melachokkanathapuram (R.V), Bodinayakanur (M), Ward-18 Mariyamman Kovil Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,21,4.375
122,"Pangajam  Middle School, East Block South Side, Bodinayakanur","1.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-21 Karattupatty Pathai
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,20,3.378378378378379
123,"Pangajam  Middle School   , East Block South Side,(2nd Class Room) Bodinayakanur","1.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-21 Pangaru West Street
2.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-22 Sethubaskaran Street
3.Melechokkanathapuram (R.V), Bodinayakanur (M), Ward-22 Kothan street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,30,4.24929178470255
