serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
80,West Building South Portion Thirunagar-625006,Sabitha Bai Kovai Higher Secondary School,"1.Madurai (C) Thirunagar (TP) Pasumpon 2nd Street Ward 94
2.Madurai (C) Thirunagar (TP) Onakal 3rd Cross Street Ward 94
3.Madurai (C) Thirunagar (TP) Onakanal Cross Street Ward 94
4.Madurai (C) Thirunagar (TP) Seenivasa Nagar 5th Cross Street Ward 94,
5.Madurai (C) Thirunagar (TP) Venkateswara Street Ward 94,.
6.Madurai (C) Thirunagar (TP) Sokkanathar Street Ward 94,
7.Madurai (C) Thirunagar (TP) Veera Ragava Perumal Street Ward 94,
8.Madurai (C) Thirunagar (TP) Thangamani Street 94,
9.Madurai (C) Thirunagar (TP) Baluchamy Street 94, 10..Madurai (C) Thirunagar (TP) Lakkuvanar Street 94,
11.Madurai (C) Thirunagar (TP) Lakkuvanar 1st Cross Street 94,
12.Madurai (C) Thirunagar (TP) Lakkuvanar 2nd Cross Street 94,
13.Madurai (C) Thirunagar (TP) Lakkuvanar 3rd Cross Street 94,",tamilaga vettri kazhagam,7.877813504823152
101,"East Portion Thiyagarajar
colony-625004",Thiyagarajar colony primary school,"1 - Madurai (C) Thirupparankundram (TP), Thiyagarajar Colony Ward 93 (Sl.No 1 to 1149)",tamilaga vettri kazhagam,12.47002398081535
157,Koothiyarkundu-625008,"Panchayat Union Elementary School, East Side North
Building","1.Kuthiyarkundu (P) Prevala Street,",dravida munnetra kazhagam,9.92018244013683
158,Koothiyarkundu-625008,"Panchayat Union Elementary School, South Building, East
Portion","1.Kuthiyarkundu (P) Kanakkar Street,
2.Kuthiyarkundu (P) Kottai Street,",tamilaga vettri kazhagam,11.11111111111111
160,Koothiyarkundu-625008,"Panchayat Union Elementary School, West Building, South
Portion","1.Nilaiyur Bit1 (TP) Kuthiyarkundu (P) Kottai Street,",dravida munnetra kazhagam,0.7326007326007326
163,Soorakulam-625008,"Panchayat Union Middle School, Additional Building,West Portion, Small Savings Scheme","1.Soorakulam (P) Soorakulam Puthukulam 2 Ward 1,",tamilaga vettri kazhagam,13.1578947368421
164,Soorakulam-625008,"Panchayat Union Middle School, Additional Building, East Portion, Small Savings Scheme","1.Soorakulam (P) Puthukulam III Ward 2, 2.Soorakulam (P) Puthukulam Ward 3,",tamilaga vettri kazhagam,2.095238095238095
239,Centre Building Avaniapuram-625012,"Government Higher Secondary School, North Side,East Portion","1.Madurai (C) Avaniyapuram (Tp) Neducnhalai Ward 100 ,
2.Madurai (C) Avaniyapuram (Tp) Mathalaikone Lane Ward 100,
3.Madurai (C) Avaniyapuram (Tp) Pambaiyakone Lane Ward 100,
4.Madurai (C) Avaniyapuram (Tp) Andikudumban Lane Ward 100,
5.Madurai (C) Avaniyapuram (Tp) Ramasamy Kone Kinatradi Lane Ward 100,
6.Madurai (C) Avaniyapuram (Tp) Pallar Kinatru Street Ward 100,
7.Madurai (C) Avaniyapuram (Tp) Kothala Street Ward 100,
8.Madurai (C) Avaniyapuram (Tp) Kandakone Lane Ward 100,",tamilaga vettri kazhagam,9.856262833675563
240,Avaniapuram-625012,"Government Higher Secondary School, North Side,West Portion","1.Madurai (C) Avaniyapuram (Tp) Thiruvanantha Pillai Street Ward 100,
2.Madurai (C) Avaniyapuram (Tp) Rakappakone Lane Ward 100,
3.Madurai (C) Avaniyapuram (Tp) Indra Nagar Ward 100,
4.Madurai (C) Avaniyapuram (Tp) Muniyandi Kovil Street Ward 100,
5.Madurai (C) Avaniyapuram (Tp) Ganesapuram Ward 100,
6.Madurai (C) Avaniyapuram (Tp) Kallar Street Ward 100,
7.Madurai (C) Avaniyapuram (Tp) Muthukaruppan Kone Lane Ward 100,
8.Madurai (C) Avaniyapuram (Tp) Ayyanar Kovil Street Ward 100",tamilaga vettri kazhagam,11.00141043723554
242,East Side Ayanpappakudi -625012,"Pt Union Elementary School, South Building","1.Madurai (C) Avaniyapuram (TP) East Street , Vellaikal Ward 92
2.Madurai (C) Avaniyapuram (TP) Municipal Colony, Vellaikal Ward 92
3.Madurai (C) Avaniyapuram (TP) Middle Street, Vellaikal Ward 92
4.Madurai (C) Avaniyapuram (TP) West Street, Kalkulam Ward 92,
5.Madurai (C) Avaniyapuram (TP) North Street, Kalkulam Ward 92,",tamilaga vettri kazhagam,16.16052060737527
249,Center Portion Ayanpappakudi -625012,"Pt Union Elementary School, North Building","1.Madurai (C) Avaniapuram (Tp) Prasanna Colony 9th 2nd Cross Street Ward 100 2Madurai (C) Avaniapuram (Tp) Prasanna Colony 9th 3rd Cross Street Ward 100 3Madurai (C) Avaniapuram (Tp) Prasanna Colony 9th 4th Cross Street Ward 100
4.Madurai (C) Avaniapuram (Tp) Prasanna Colony 9th 5th Cross Street Ward 100
5.Madurai (C) Avaniapuram (Tp) Prasanna Colony 9th 6th Cross Street Ward 100
6.Madurai (C) Avaniapuram (Tp) Prasanna Colony Bharathiar 1st Street Ward 100
7.Madurai (C) Avaniapuram (Tp) Prasanna Colony Bharathiar 2nd Street Ward 100
8.Madurai (C) Avaniapuram (Tp) Prasanna Colony Bharathiar 3rd Street Ward 100
9.Madurai (C) Avaniapuram (Tp) Prasanna Colony Nesavalar Street Ward 100,
10.Madurai (C) Avaniapuram (Tp) Prasanna Colony 5th 1st South Cross Street Ward 100,
11.Madurai (C) Avaniapuram (Tp) Bharathiar Street Ward 100",tamilaga vettri kazhagam,19.66019417475728
255,Madurai-625012,"A Sankara Narayana Nadar Matric Hr Sec School, North Old Building UKG -A Sec Class Room Thirupparankundram Road,Avaniyapuram","1.Madurai (C) Avanyapuram (TP) Anna Nagar Ward 92
2.Madurai (C) Avanyapuram (TP) Arunagirinathar Kovil Street Ward 100
3.Madurai (C) Avanyapuram (TP) Karuthan Servai Street Ward 100,
4.Madurai (C) Avanyapuram (TP) E.B. Colony Ward 92",tamilaga vettri kazhagam,2.390998593530239
258,Periyasamy Nagar Avaniyapuram,"Jegan Nursery & Primary School, West side Staff room","1.Madurai(C) Avaniapuram (Tp) Periyasamy Nagar 5th Street Ward 92, 2.Madurai(C) Avaniapuram (Tp) Periyasamy Nagar 10th Street Ward 92, 3.Madurai(C) Avaniyapuram (TP) Gurunathan Kovil Street Ward 92, 4.Madurai(C) Avaniapuram (Tp) Gurunathan Kovil South Street Ward 92",tamilaga vettri kazhagam,17.04834605597964
292,Iravthanallur-625009,"R C Ele School,South Building, West Portion","1.Madurai (C) Iravathanallur (R.V) Kallambal Main Road Ward 41,
2.Madurai (C) Iravathanallur (R.V) Palkara Street Ward 41,
3.Madurai (C) Iravathanallur (R.V) Muniandi Koil Street Ward 41,
4.Madurai (C) Iravathanallur (R.V) Kannaku Pillai Lane Ward 41,
5.Madurai (C) Iravathanallur (R.V) Pilliar Kovil Street Ward 41,
6.Madurai (C) Iravathanallur (R.V) Yathavar Street Ward 41,
7.Madurai (C) Iravathanallur (R.V) Chinnakathiyanur Ward 41,
8.Madurai (C) Iravathanallur (R.V) Pillaiyar Kovil Cross Street Ward 41,",tamilaga vettri kazhagam,7.803790412486064
293,Anganvadi Center Southern Side Iravthanallur-625009,Anganvadi Center Southern Side Iravthanallur-625009,"1.Madurai (C) Iravathanallur (R.V) M.G.R. Nagar Ward 41,
2.Madurai (C) Iravathanallur (R.V) Deivakanni Street Ward 41,
3.Madurai (C) Iravathanallur (R.V) Sathyanagar Ward 41,",tamilaga vettri kazhagam,5.925925925925926
298,Viraganoor -625009,Govt Elementary School,"1.Viraganoor (R.V) Viraganoor (P) West Street Ward 4, 2.Viraganoor (R.V) Viraganoor (P) South Street Ward 3
3.iraganoor (R.V) Viraganoor (P) Maharajan Nagar Teachers Street 3rd Cross Street, 4..Viraganoor (R.V) Viraganoor (P) Maharajan Nagar Teachers Street 6th Cross Street, 5.Viraganoor (R.V) Viraganoor (P) Maharajan Nagar Teachers Cross Street 2nd Street, 6.Viraganoor (R.V) Viraganoor (P) Maharajan Nagar Teachers Street 4th Cross Street, 7.Viraganoor (R.V) Viraganoor (P) Vijayarajan Appartment ,
8.Viraganoor (R.V) Viraganoor (P) Mela Theru",tamilaga vettri kazhagam,13.67989056087551
301,Viraganoor-625009,"Community Hall ,Northern Side","1.Viraganoor (R.V) Viraganoor (P) Vaigai Colony,
2.Viraganoor (R.V) Viraganoor (P) Maharajan Teachers Quarters 1st Street, 3.Viraganoor (R.V) Viraganoor (P) Maharajan Nagar Teachers Quarters 5th Street 4.Viraganoor (R.V) Viraganoor (P) Ward 3 Naduthstreet, ward 3 ,
5.Virakanoor (R.V) Virakanoor (P) Pillaiar Koil Street Ward 3 ,",tamilaga vettri kazhagam,15.93533487297922
303,Viraganoor - 625009,Anganwadi Centre South Facing West side,"1.Viraganoor (R.V) Viraganoor (P) Kaliamman Koil Street Viraganoor, 2.Viraganoor (R.V) Viraganoor (P) 1st Cross Street Viraganoor , 3.Viraganoor (R.V) Viraganoor (P) 2nd Cross Street Viraganoor , 4.Viraganoor (R.V) Viraganoor (P) Bank Colony, Viraganoor, 5.Viraganoor (R.V) Viraganoor (P) Prabu Chamber, Viraganoor, 6.Viraganoor (R.V) Viraganoor (P) Thiyagi V.L.R.Colony, Viraganoor, 7.Viraganoor (R.V) Viraganoor (P) Vaigai Nathi Street, Viraganoor, 8.Viraganoor (R.V) Viraganoor (P) Krishnanathi Street",tamilaga vettri kazhagam,5.843071786310518
309,Silaiman-625201,Panchayat Office,"1.Silaiman (R.V) Silaiman (P) Pillaiar Kovil Street Ward 2,
2.Silaiman (R.V) Silaiman (P) Sangaiah Kovil Street Ward 2,
3.Silaiman (R.V) Silaiman (P) Amman Kovil Street Ward 2",tamilaga vettri kazhagam,3.083700440528634
314,Panaiyur -625009,"Pt Union Middle School ,West Addirional Building, South Facing","1.Panaiyur (R.V) Panaiyur (P) Pillaiyar Kovil Street,
2.Panaiyur (R.V) Panaiyur (P) Chokkanathapuram,
3.Panaiyur (R.V) Panaiyur (P) Ceyon Colony,
4.Panaiyur (R.V) Panaiyur (P) Panaiyur Vilakku
5.Panaiyur (R.V) Panaiyur (P) Muniandi Koil Street ,",tamilaga vettri kazhagam,11.5990990990991
315,West Facing Room No 1 Kallambal- 625009,Panchayat Union Elementary School,"1.Panaiyur(R V),Panaiyur (P) Kallambal East Street, 2.Panaiyur(R V), Panaiyur (P) Kallambal Middle Street, 3.Panaiyur(R V),Panaiyur (P) Kallambal 1st Street, 4.Panaiyur( R V),Panaiyur (P) Kallambal South Street, 5.Panaiyur( R V),Panaiyur (P) Kallambal North Street, 6.Panaiyur( R V),Panaiyur (P) Kallambal Pillaiyar Koil Street, 7.Panaiyur( R V),Panaiyur (P) Kallambal Main Road,",all india anna dravida munnetra kazhagam,16.62404092071611
316,Panaiyur-625009,"Pt Union Middle School ,Eastern Portion, New Additional Building, North Facing","1.Panaiyur(R V),Panaiyur (P) Anna Street,
2.Panaiyur(R V),Panaiyur (P) Thiruvalluvar Colony East Street
3.Panaiyur (R.V) Panaiyur (P) East Street,
4.Panaiyur (R.V) Panaiyur (P) Mela Street,",tamilaga vettri kazhagam,5.361596009975062
323,Chinna Udaippu-625022,"Pt Union Middle School ,West Building","1.Madurai (C) Avaniyapuram (TP) Chinna Udaippu Ward 60 ,
2.Madurai (C) Avaniyapuram (TP) North Street, Chinna Udaippu Ward 60 ,
3.Madurai (C) Avaniyapuram (TP) Middle Street, Chinna Udaippu Ward 60 ,
4.Madurai (C) Avaniyapuram (TP) West Street Chinna Udaippu Ward 60 ,
5.Madurai (C) Avaniyapuram (TP) Kaliamman Kovil Street, Chinna Udaippu Ward 60
6.Madurai (C) Avaniyapuram (TP) Chinna Udaippu Ward 60 ,",tamilaga vettri kazhagam,14.20911528150134
338,"Near
Gate Periyaalangulam-625022","Panchayat Union Primary School ,Northern Building","1.Periya Alankulam (R.V) Periya Alankulam (P) Periya Alankulam Ward 1,",tamilaga vettri kazhagam,0.6012024048096193
339,"central
building Periyaalangulam-625022","Panchayat Union Primary School, Northern portion","1.Periya Alankulam (R.V) Periya Alankulam (P) Periya Alankulam Ward 2,",tamilaga vettri kazhagam,6.035665294924554
340,"Panchayat Union Elementary School Near H M Room
Tottiyapatti","Panchayat Union Elementary School Near H M Room
Tottiyapatti","1.Periya Alankulam (R.V) Periya Alankulam (P) Thottiyapatti,",dravida munnetra kazhagam,9.92167101827676
341,Othai Alangulam-625022,"Community Hall, South Portion","1.Periya alankulam (R.V) Periya alankulam (P) Othai alankulam Ward 1,
2.Othai alankulam (R.V) Periya alankulam (P) Othai alankulam Ward 2,",tamilaga vettri kazhagam,0.8982035928143712
344,"Nedumadurai-
625022","Panchayat Union Middle School,South Wing","1.Nedumadurai (R.V) Nedumadurai (P) Nedumadurai ward 3,",tamilaga vettri kazhagam,18.00818553888131
348,Nallur-625022,Pt Union Middle School,"1.Nallur (R.V) Nallur (P) North Street,
2.Nallur (R.V) Nallur (P) Nadu Street,
3.Nallur (R.V) Nallur (P) East Street,",tamilaga vettri kazhagam,5.285118219749652
352,Nedunkulam-625009,Pt Union Middle School,"1.Virathanur (R.V) Virathanur (P) Nedunkulam,",dravida munnetra kazhagam,1.408450704225352
