serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
167,Perungudi-625022,"Panchayat Union Elementary School,Near Gate, West
Building , Western Portion;","1.Perungudi(R.V) Perungudi (P) Vanjinathan Street,",tamilaga vettri kazhagam,17.73648648648648
168,"East Building North Portion
Perungudi -625022",Government High School,"1 - Perungudi (R.V) Perungudi (P), Sowrastra Colony (Sl.No 1 to 1022",tamilaga vettri kazhagam,32.96551724137931
169,"Northern
Portion Perungudi-625022","Panchayat Union Elementary School,SSA Building","1.Perungudi(R.V) Perungudi (P) Pasumpon Nagar,
2 - Perungudi (R.V) Perungudi (P), Perungudi Ward 1 (Sl.No 949 to 1323)",tamilaga vettri kazhagam,24.28940568475452
170,Perungudi-625022,"Panchayat Union Elementary School,Additional Building, West Side","1.Perungudi(R.V) Perungudi (P) Muniyappa Nagar, 2.Perungudi (R.V) Perungudi (P) Meenakshi Nagar
3.Perungudi (R.V) Perungudi (P), Sowrastra Colony (Sl.No 1023 to 1229)",tamilaga vettri kazhagam,19.69486823855756
171,"East Building South Portion.
Perungudi -6250222",Government High School,"1.Perungudi(R.V) Perungudi (P) Ganapathi Nagar,
2.Perungudi (R.V) Perungudi (P) Ambethkar Nagar ,",tamilaga vettri kazhagam,14.8036253776435
173,Ayanpappakudi -625012,"Pt Union Elementary School, East Building, Western Side,
North Facing",1.Madurai (C) Avaniyapuram(Tp) Valananthapuram Main Street Ward 100,tamilaga vettri kazhagam,31.17583603020496
175,Avaniapuram-625012,"B M S Vidyalaya Matriculation School ,East Building 1std, A Sec Room, Thirupparankundram Road","1.Madurai (C) Avaniyapuram (Tp) C.A.S. Nagar 1st Street Ward 92,
2.Madurai (C) Avaniyapuram (Tp) C.A.S.Nagar 2nd Street Ward 92,
3.Madurai (C) Avaniyapuram(Tp) Athirsdam Quarters II Arupukottai Main Road Ward 92,
4.Madurai (C) Avaniyapuram(Tp) Karunanithi Street Meenakshi Nagar Ward 91",tamilaga vettri kazhagam,27.17391304347826
176,625012,"B M S Vidyalaya Matriculation School, East Building , Room No-8, Thirupparankundram road, Avaniyapuram","1.Madurai (C) Avaniyapuram(Tp) C.A.S Nagar 3rd Street Ward 92,
2.Madurai (C) Avaniyapuram(Tp) Malligai Street Ward 91,
3.Madurai (C) Avaniapuram (TP) Poochi 3rd Street Ward 100,
4.Madurai (C) Avaniapuram (TP) Kaliamman Kovil Street Ward 100 ,
5.Madurai (C) Avaniapuram (TP) Periyar Nagar South Street 3rd Street Ward 100",tamilaga vettri kazhagam,17.59259259259259
177,Avaniyapuram -625012,"Pt Union Middle School, South Side, Old Building North Side Room Sankaranayar Street","1.Madurai (C) Avaniyapuram(Tp) Vallalar Street Meenakshi Nagar Ward 91, 2.Madurai(C) Avaniapuram (Tp) Anna Street Aruppukottai Main Road Ward 91, 3.Madurai(C) Avaniapuram (Tp) Muthu Nagar Ward 92,
4.Madurai(C) Avaniapuram (Tp) Sriram Nagar Ward 92,
5.Madurai(C) Avaniapuram (Tp) Housing Board Padma Theatre Outside Ward91, 6.Madurai(C) Avaniapuram (Tp) C.A.S Colony Avaniapuram Ward 92,",tamilaga vettri kazhagam,26.30522088353414
178,Avaniyapuram- 625012,"Pt Union Middle School, South side Center building East Portion, Sankaranayar Street","1.Madurai(C) Avaniapuram (Tp) M.M.C.Colony West Portion Extension Ward 92
2.Madurai (C) Avaniyapuram(Tp) Thiruppathi Nagar 1st Street Ward92
3.Madurai (C) Avaniyapuram(Tp) Thirupatthi Nagar 2nd Street Ward92",tamilaga vettri kazhagam,19.02071563088512
