serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
235,Pettai.,"St.Anthonyar  High School,  South Building,  1st  Room Barathar  North Street","1.Ward 20 Punitha Antoniyar  North Street
2.Ward 20 Sambapuram Street
3.Ward 20 Sambapuram North Street
4.Ward 20 Sambapuram East  Street
5.Ward 20 Mahathum Gnaniyar  Pallivasal  5th North Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,21.43634385201306
236,Pettai.,"St.  Anthoniyar  High School,  East  Portion,  South Building, 1st  Room Barathar  North Street",1.Ward 20 Mahathum Gnaniyar  Pallivasal  2nd North Street 999.OVERSEAS ELECTORS,dravida munnetra kazhagam,59.17721518987342
237,Pettai.,"St.  Anthoniyar  High   School,  West  Portion,  South Building, 7th Room Barathar  North Street","1.Ward 20 Kaeithemillath Street
2.Ward 20 Mahathum Gnaniyar  Pallivasal  1st  North Street
3.Ward 20 Mahathum Gnaniyar  Pallivasal   4th North Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,61.52482269503546
264,Palaiyapettai.,"Corporation Union Primary School,  20,  Tenkasi  Road,  East Portion,  2 Lalugapuram","1.Ward 16 Tiruvalluvar  Street
2.Ward 16 Mela Mount  Raod
3.Ward 23 Kanmiya Pallivasal  Street
4.Ward 16 Sailappar  Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,30.97643097643098
268,Tirunelveli  Town.,"S.T.C.  Branch Matha Kovil  Primary School,  East  Portion 96,  Azad Road",1.Ward 16 Azad Road 999.OVERSEAS ELECTORS,dravida munnetra kazhagam,39.31297709923664
269,Tirunelveli  Town.,"S.T.C.  Branch Matha Kovil  Primary School,  South Portion 96,  Azad Road",1.Ward 24 Jamiya Pallivasal  Street 999.OVERSEAS ELECTORS,dravida munnetra kazhagam,79.3103448275862
273,Tirunelveli  Town.,"Chirishduva Mission Primary School,  East  Portion,  Matha Sannathi  Street","1.Ward 24 EzhuSilai  Vinayagar  Kovil  Street
2.Ward 24 Vallalar  Street
3.Ward 16 Sikkantharpuram West  Street
4.Ward 16 Sikkantharpuram Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,26.57657657657658
281,Anganwadi  (Palwadi)  Centre  No.05 Madha Middle  School Tirunelveli  Town,Anganwadi  (Palwadi)  Centre  No.05 Madha Middle  School Tirunelveli  Town,1.Ward 23 Mohamedali  Street 999.OVERSEAS ELECTORS,dravida munnetra kazhagam,32.28995057660626
289,Tirunelveli  Town.,"Corporation Primary School,  East  Portion,  Pattapathu East Part","1.Ward 27 Kallanai  Street
2.Ward 23 Devipuram 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,23.22738386308068
294,Tirunelveli  Town.,"Manthiramoorthi  Hr.Sec.School,  Middle  Portion,  Railway Feeder  Road",1.Ward 26 Makilvanna Puram 999.OVERSEAS ELECTORS,dravida munnetra kazhagam,27.6243093922652
340,South Portion Ramayanpatti,Presentation Convent  Matriculation Higher  Secondary School,"1.Ward 15 Vaikal  Street
2.Ward 15 Kottaiyadi  Street
3.Ward 15 Parusulla Thaikka Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,26.85624012638231
