serial no. of polling station,location and name of building in which polling station located,polling area,Winner_Party,Margin_Percentage
263,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82","1 - Jawahar Nagar [ Ward No.69 ] 24th ""A"" Street Amman Koil Street
2 - Agaram [ Ward No.69 ] Aachin Lake Street 24th Street",tamilaga vettri kazhagam,1.020408163265306
265,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82",1 - Agaram [ Ward No.69 ] Sarojini Street 999 - Overseas Elector,tamilaga vettri kazhagam,0.5076142131979695
269,"Sri JRET Raghan Middle School, Kanakar Street South, Agaram, Ch-82",1 - Agaram [ Ward No.69 ] Chengalvarayan Street,tamilaga vettri kazhagam,14.66854724964739
270,"Sri JRET Raghan Middle School, Kanakar Street South, Agaram, Ch-82",1 - Agaram [ Ward No.69 ] Moorthy Street,tamilaga vettri kazhagam,11.86094069529652
271,"Sri JRET Raghan Middle School, Kanakar Street South, Agaram, Ch-82","1 - Agaram [ Ward No.69 ] Chinnasamy Street
2 - Agaram [ Ward No.69 ] Sundaraja Perumal Koil Street",dravida munnetra kazhagam,0.3231017770597738
273,"Chennai Girls Hr Sec School, No.53, Market Street , Perambur, Chennai-11","1 - Agaram [ Ward No.69 ] Market Street
2 - Agaram [ Ward No.69 ] Market Street Jaya Flats",tamilaga vettri kazhagam,7.173601147776183
274,"Chennai Girls Hr Sec School, No.53, Market Street , Perambur, Chennai-11","1 - Agaram [ Ward No.69 ] Vanchinathan 4th Street
2 - Agaram [ Ward No.69 ] Vanchinathan 1st Street
3 - Agaram [ Ward No.69 ] Vanchinathan 2nd Street
4 - Agaram [ Ward No.69 ] Vanchinathan 3rd Street",tamilaga vettri kazhagam,3.561253561253561
283,"Chennai Middle School, Rangasayee Street, Perambur, Chennai-11","1 - Agaram [ Ward No.69 ] Anandhabala Apartments
2 - Agaram [ Ward No.69 ] Yasmin Villas Apartments
3 - Agaram [ Ward No.69 ] Somaramasamy Street Main
4 - Agaram [ Ward No.69 ] Somaramasamy 1st Street
5 - Agaram [ Ward No.69 ] Somaramasamy 2nd Street
6 - Agaram [ Ward No.69 ] Somaramasamy 3rd Street",dravida munnetra kazhagam,3.304347826086956
284,"Chennai Middle School, Rangasayee Street, Perambur, Chennai-11","1 - Perambur [ Ward No.69 ] Besset Road
2 - Perambur [ Ward No.69 ] Govardhana Dass Street
3 - Perambur [ Ward No.69 ] Beershop Lane
4 - Perambur [ Ward No.69] Chidambaram Street
5 - Perambur [ Ward No.69 ] Govindarajulu Street 999 - Overseas Elector",tamilaga vettri kazhagam,10.33478893740902
285,"Chennai Middle School, Rangasayee Street, Perambur, Chennai-11","1 - Perambur [ Ward No.69 ] Rangamannar Street
2 - Agaram [ Ward No.69] Thulukanathamman Koil Street
3 - Agaram [ Ward No.69 ] SriSai Flats
4 - Agaram [ Ward No.69] Rangasayee 1st Lane
5 - Agaram [ Ward No.69] Rangasayee Street",tamilaga vettri kazhagam,8.045977011494253
286,"Chennai Girls Hr Sec School, No.53, Market Street , Perambur, Chennai-11",1 - Agaram ([ Ward No.69]) Rangasayee Street,tamilaga vettri kazhagam,3.625954198473282
