serial no. of polling station,location and name of building in which polling station located,polling area,Winner_Party,Margin_Percentage
14,"Chennai Primary School 3rd main road, Srinivasa Nagar, Kolathur ,Chennai-99","1 - Kolathur [ Ward No.65 ] Annai Sathya Nagar Neelakandan Street
2 - (Kolathur [ Ward No.65] Annai Sathya Nagar Sagayamadha Street
3 - Kolathur [ Ward No.65 ] Annai Sathya Nagar Anna Street
4 - Kolathur [ Ward No.65 ] Rajan Nagar 1st Main Street
5 - Kolathur [ Ward No.65 ] Rajan Nagar 2nd Street
6 - Kolathur[ Ward No.65 ]Rajan Nagar 3rd Street
7 - Kolathur [ Ward No.65 ]Rajan Nagar 4th Street
8 - Koathur [ Ward No.65 Rajan Nagar 1st Street 999 - Overseas Elector",tamilaga vettri kazhagam,12.01657458563536
15,"Chennai Primary School 3rd main road, Srinivasa Nagar, Kolathur ,Chennai-99","1 - Kolathur Ward No.65Thenpazhani Nagar Vinaygar Koil Street
2 - Kolathur [Ward No.65]Thenpazhani Nagar Thiruvalluvar Street
3 - Kolathur [Ward No.65]Thenpazhani Nagar Nehru Street
4 - Kolathur [Ward No.65]Thenpazhani Nagar Kamarajar Street
5 - Kolathur [Ward No.65]Thenpazhani Nagar Vinayagam Colony
6 - Kolathur [Ward No.65]Thenpazhani Nagar Periyar Street
7 - Kolathur [Ward No.65]Thenpazhani Nagar RedhillsRoad
8 - Kolathur [ Ward No.65 ] Thenpazhani Nagar Thiru Vi Ka Street
9 - Kolathur [Ward No.65]Thenpazhani Nagar Azhagiri Street
10 - Kolathur [Ward No.65]Thenpazhani Nagar Rajaji Street",tamilaga vettri kazhagam,4.579025110782865
16,"Chennai Primary School, West Facing/Room No.10, 3rd Main Road, Srinivasa Nagar, Kolathur, Chennai-99","1 - Kolathur [ Ward No.65 ] Thenpazhani Nagar Jeeva Street
2 - Kolathur [Ward No.65]Thenpazhani Nagar Ragavendra Street
3 - Kolathur [Ward No.65]Thenpazhani Nagar Quaid E Milleth Street
4 - Kolathur [ Ward No.65 ] Thenpazhani Nagar Gandhi Street
5 - Kolathur [Ward No.65]Ambedkar Nagar 1st Cross Street
6 - Kolathur [Ward No.65]Ambedkar Nagar 1st Street
7 - Kolathur [Ward No.65]Ambedkar Nagar 2nd Street",tamilaga vettri kazhagam,11.37026239067055
18,"Chennai Primary School 3rd main road, Srinivasa Nagar, Kolathur ,Chennai-99","1 - Kolathur [Ward No.65]Lakshmi Nagar 1st Street
2 - Kolathur [Ward No.65]Lakshmi Nagar 2nd Street
3 - Kolathur [Ward No.65]Lakshmi Nagar 4th Street
4 - Kolathur [Ward No.65]Lakshmi Nagar 5th Street
5 - Kolathur [Ward No.65]Lakshmi Nagar 6th Steet
6 - Kolathur [Ward No.65]Lakshmi Nagar Junction
7 - Kolathur [Ward No.65]N.V.M Nagar Aerikarai
8 - Kolathur [Ward No.65]Lakshmi Nagar 7th Street",tamilaga vettri kazhagam,1.451612903225806
19,"Chennai Primary School 3rd main road, Srinivasa Nagar, Kolathur ,Chennai-99","1 - Kolathur [ Ward No.64 ] Dhayalu Nagar Main Road
2 - Kolathur [ Ward No.64] Dhayalu Nagar 1st Street
3 - Kolathur [ Ward No.64 ] Dhayalu Nagar 2nd Street
4 - Kolathur [ Ward No.64 ] Dhayalu Nagar 3rd Street
5 - Kolathur [ Ward No.64 ] Dhayalu Nagar 6th Street
6 - Kolathur [ Ward No.64 ] Dhayalu Nagar 7th Street
7 - Kolathur [ Ward No.64 ] Dhayalu Nagar 8th Street
8 - Kolathur [ Ward No.64 ] Dhayalu Nagar Extn
9 - Kolathur [ Ward No.64 ] Dhayalu Nagar 4th Street
10 - Kolathur [ Ward No.64 ] Sowbhagya Flats 4th Street
11 - Kolathur [ Ward No.64 ] Indira Nagar 1st Street
12 - Kolathur [ Ward No.64 ] Indira Nagar 2nd Street
13 - Kolathur [ Ward No.64 ] R.K.Syndicate Nagar 999 - Overseas Elector",tamilaga vettri kazhagam,4.796511627906977
20,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur, Chennai-99","1 - Kolathur [Ward No.65]Venkateswara Nagar Kamaraj Street
2 - Kolathur [Ward No.65]Venkateswara Nagar Anna Street
3 - Kolathur [Ward No.65]Venkateswara Nagar Vinayagar Street
4 - Kolathur [Ward No.65]Venkateswara Nagar Gandhi Street
5 - Kolathur [Ward No.65] Venkateswara Nagar Sasthri Street
6 - Kolathur [Ward No.65]Venkateswara Nagar Ambedhkar Street
7 - Kolathur [Ward No.65]Venkateswara Nagar Rajaji Street
8 - Kolathur [Ward No.65]Venkateswara Nagar Nehru Street
9 - Kolathur [Ward No.65]Venkateswara Nagar Kalpana Flat
10 - Kolathur [Ward No.65]Venkateswara Nagar Indira Street
11 - Kolathur [Ward No.65 ]Thenpazhani Nagar V.O.C. Street
12 - Kolathur [Ward No.65]Thenpazhani Nagar Nakkeeran Street
13 - Kolathur [Ward No.65] Thenpazhani Nagar Arignar Anna Street
14 - Kolathu [ Ward No.65 ] Thenpazhani Nagar Bharathiar Street",dravida munnetra kazhagam,7.199999999999999
21,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur, Chennai-99","1 - Kolathur [ Ward No.64 ] Janakiram Reddy Colony
2 - Kolathur [ Ward No.64 ] Janakiram Reddy Colony 1st Street
3 - Kolathur [ Ward No.64 ] Janakiram Reddy Colony 1st Cross Street
4 - Kolathur [ Ward No.64 ] Janakiram Reddy Colony 2nd Street
5 - Kolathur [ Ward No.64 ] Janakiram Reddy Colony 2nd Cross Street
6 - Kolathur [ Ward No.64 ] Janakiram Reddy Colony 3rd Street
7 - Kolathur [ Ward No.64 ] Janakiram Reddy Colony 4th Street
8 - Kolathur [ Ward No.64 ] Janakiram Reddy Colony 5th Street",dravida munnetra kazhagam,7.849293563579278
23,"Don Bosco Matriculation Hr Sec School, No.5, Srinivasa Nagar, Kolathur, Chennai-99, South West Block, East Facing, Room 4","1 - Kolathur [ Ward No.64 ] Teachers Guild Colony 1st Street
2 - Kolathur [ Ward No.64 ] Teachers Guild Colony 2rd Street
3 - Kolathur [ Ward No.64 ] Teachers Guild Colony 3th Street
4 - Kolathur [ Ward No.64 ] Teachers Guild Colony 4th Street
5 - Kolathur [ Ward No.64 ] Teachers Guild Colony Main Road
6 - Kolathur [ Ward No.64 ] Bharathi Nagar Ext
7 - Kolathur [ Ward No.64 ] Abirami Nagar",tamilaga vettri kazhagam,1.901140684410646
24,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur, Chennai-99","1 - Kolathur [ Ward No.64 ] Nethaji Nagar
2 - Kolathur [ Ward No.64 ] Silandhikuttai Ambedhkar Main Road
3 - Kolathur [ Ward No.64 ] Silandhikuttai 2nd Street
4 - Kolathur [ Ward No.64 ] Ambedkar Moganam Street
5 - Kolathur [ Ward No.64 ] Silandhikuttai 6th Street",tamilaga vettri kazhagam,1.076923076923077
25,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur, Chennai-99","1 - Kolathur [ Ward No.64 ] Annai Theresa Nagar
2 - Kolathur [ Ward No.64 ] Sashtri Nagar 1st Street
3 - Kolathur [ Ward No.64 ] Sashtri Nagar 2nd Street
4 - Kolathur [ Ward No.64 ] Sashtri Nagar 3rd Street
5 - Kolathur [ Ward No. 64 ] Rajiv Gandhi Nagar 1st Street
6 - Kolathur [ Ward No.64 ] Adhiammal Thottam
7 - Kolathur [ Ward No.64 ] Rajiv Gandhi Nagar 2nd Street
8 - Kolathur [ Ward No.64 ] Rajiv Gandhi Nagar 3rd Street
9 - Kolathur [ Ward No.64 ] Rajiv Gandhi 4th Street
10 - Kolathur [ Ward No.64 ] Rajiv Gandhi Nagar
11 - Kolathur [ ward No.64 ] Silandhikuttai 999 - Overseas Elector",dravida munnetra kazhagam,1.310043668122271
