serial no. of polling station,location and name of building in which polling station located,polling area,Winner_Party,Margin_Percentage
57,"Dhanish Matric Hr Sec School, Kambar Nagar , Chennai-82","1 - Kolathur [ Ward No.65 ] Poombugar Nagar 14th Street
2 - Kolathur [ Ward No.65 ] Poombugar Nagar 15th Street
3 - Kolathur [ Ward No.65 ] Poombugar Nagar 16th Street
4 - Kolathur [ Ward No.65 ] Poombugar Nagar 18th Street
5 - Kolathur [ Ward No.65 ] Poombugar Nagar 19th Street
6 - Kolathur [ Ward No.65] Poombugar Nagar Ganapathi Nagar
7 - Kolathur [ Ward No.65 ] Poombugar Nagar 10th Street
8 - Kolathur [ Ward No.65 ] Poombugar Nagar Extn",dravida munnetra kazhagam,0.0
59,"Dhanish Matric Hr Sec School, Kambar Nagar , Chennai-82","1 - Kolathur [ Ward No.65 ] Ashok Avenue 1st Main Road Periyar Nagar
2 - Kolathur [ Ward No.65 ] Ashok Avenue 2nd Main Road Periyar Nagar
3 - Kolathur [ Ward No.65 ] Ashok Avenue 1st Cross Street Periyar Nagar
4 - Kolathur [ Ward No.65 ] Ashok Avenue 2nd Cross Street Periyar Nagar
5 - Kolathur [ Ward No.65 ] Ashok Avenue 3rd Cross Street Periyar Nagar
6 - Kolathur [ Ward No.65] Ashok Avenue 4th Cross Street Periyar Nagar
7 - Kolathur [ Ward No.65] Ashok Avenue 5th Cross Street Periyar Nagar
8 - Kolathur [ Ward No.65 ] Gandhi Nagar 1st Street
9 - Kolathur [ Ward No.65 ] Gandhi Nagar 2nd Street
10 - Kolathur [ Ward No.65 ] Gandhi Nagar 3rd Street
11 - Kolathur [ Ward No.65 ] Gandhi Nagar Annexe
12 - Kolathur [ Ward No.65 ] GandhiNagar Kamaraj Street 999 - Overseas Elector",tamilaga vettri kazhagam,5.871559633027523
65,"Chennai Primary School ,Thiruveedhiamman Koil Street, Kolathur ,Chennai-99","1 - Kolathur [ Ward No.65 ] Sarojini Nagar 1st Street
2 - Kolathur [ Ward No.65 ] Sarojini Nagar 2nd Street
3 - Kolathur [ Ward No.65 ] Sarojini Nagar Extension
4 - Kolathur [ Ward No.65] Sarojini Nagar 3rd Street
5 - Kolathur [ Ward No.65 ] Bhajanai Koil Street 999 - Overseas Elector",tamilaga vettri kazhagam,3.215926493108729
67,"Chennai Primary School ,Thiruveedhiamman Koil Street, Kolathur ,Chennai-99","1 - Kolathur [ Ward No.65] Anjugam Nagar Cross Road
2 - Kolathur [ Ward No.65 ] Anjagam Nagar 1st Street
3 - Kolathur [ Ward No.65 ] Anjugam Nagar 2nd Street
4 - Kolathur [ Ward No.65 ] Anjugam Nagar 3rd Street
5 - Kolathur [ Ward No.65 ] Anjugam Nagar 3rd Cross Street
6 - Kolathur [ Ward No.65 ] Anjugam Nagar 4th Street
7 - Kolathur [ Ward No.65 ] Anjugam Nagar 5th Cross Street
8 - Kolathur [ Ward No.65 ] Anjugam Nagar Cross Street Vetrivel Nagar
9 - Kolathur [ Ward No.65] Anjugam Nagar Vetrivel Nagar Main Road
999 - Overseas Elector",dravida munnetra kazhagam,4.596100278551532
68,"Chennai Primary School ,Thiruveedhiamman Koil Street, Kolathur ,Chennai-99","1 - Kolathur [ Ward No.65 ] Vetrivel Nagar Extn 1st Street
2 - Kolathur [ Ward No.65] Vetrivel Nagar Extn 2nd Street
3 - Kolathur [ Ward No.65 ] Vetrivel Nagar Extn 3rd Street
4 - Kolathur [ Ward No.65 ] TNHB MIG Flats
5 - Kolathur [ Ward No.65 ] TNHB HIG Flats
6 - Kolathur [ Ward No.65] Anjugam Nagar 6th Street
7 - Kolathur [ Ward No.65 ] Anjugam Nagar 7th Street
8 - Kolathur [ Ward No.65 ] Anjugam Nagar 8th Street 999 - Overseas Elector",dravida munnetra kazhagam,4.225352112676056
69,"Chennai Primary School ,Thiruveedhiamman Koil Street, Kolathur ,Chennai-99","1 - Kolathur [ Ward No.65 ] Anjugam Nagar 11th Street
2 - Kolathur [ Ward No.65 ] Anjugam Nagar 12th Street
3 - Kolathur [ Ward No.65 ] Anjugam Nagar 13th Street
4 - Kolathur [ Ward No.65 ] Anjugam Nagar 14th Street
5 - Kolathur [ Ward No.65 ] Anjugam Nagar 15th Street
6 - Kolathur [ Ward No.65 ] Anjugam Nagar 16th Street
7 - Kolathur [ Ward No.65 ] Anjugam Nagar 17th Street",tamilaga vettri kazhagam,4.333333333333334
70,"Chennai Primary School ,Thiruveedhiamman Koil Street, Kolathur ,Chennai-99","1 - Kolathur [ Ward No.65 ] Thulasi Nagar
2 - Kolathur [ Ward No.65 Pasumpon Nagar
3 - Kolathur [ Ward No.65 ] Poombugar Nagar 20th Street
4 - Kolathur [ Ward No.65] Poombugar Nagar 21st Street
5 - Kolathur [ Ward No.65 ] Poombugar Nagar 22nd Street
6 - Kolathur [ Ward No.65] Poombugar Nagar 23rd Street
7 - Kolathur [ Ward No.65] Poombugar Nagar 24th Street
8 - Kolathur [ Ward No.65] Anjugam Nagar 18th Street
9 - Kolathur [ Ward No.65 ] Anjugam Nagar 19th Street",dravida munnetra kazhagam,2.235469448584203
72,"Conservancy Inspector Office , Anjugam Nagar 18th Street, Kolathur, Ch-99","1 - Kolathur [ Ward No.65 ] Poombugar Nagar 17th Street
2 - Kolathur [ Ward No.65 ] Poombugar Nagar 4th Cross Street
3 - Kolathur [ Ward No.65 ] Poombugar Nagar 5th Cross Street
4 - Kolathur [ Ward No.65] Poombugar Nagar 6th Cross Street
5 - .Kolathur [ Ward No.65 ] South Poombugar Nagar 1st Street
6 - Kolathur [ Ward No.65 ] South Poombugar Nagar 2nd Street
7 - Kolathur [ Ward No.65] West Poombugar Nagar 2nd Street
8 - Kolathur [ Ward No.65] Poombugar Nagar 7th Cross Street
9 - Kolathur [ Ward No.65] Poombugar Nagar 30th Street",dravida munnetra kazhagam,4.815409309791333
73,"Mario Nursery & Primary School, 3.Samdharia Colony 4th Street, Kolathur, Chennai-99","1 - Kolathur [ Ward No.65] Kaveri Nagar
2 - (Kolathur [ Ward No.65] Kaveri Nagar 2nd Street
3 - Kolathur [ Ward No.65] Kaveri Nagar 4th Street
4 - Kolathur [ Ward No.65] Poombugar Nagar 11th Cross Street
5 - Kolathur [ Ward No.65] Redhills Main Road 999 - Overseas Elector",tamilaga vettri kazhagam,9.481216457960643
74,"Mario Nursery Primary School, No.1, 3rd Samdharia Colony, 4th Street, Kolathur, Chennai 99, West Side, East Facing, Room 3","1 - Kolathur [ Ward No.65 ] Poombugar Nagar 8th Cross Street
2 - Kolathur [ Ward No.65 ] Poombugar Nagar 27th Street
3 - Kolathur [ Ward No.65] Poombugar Nagar 28th Street
4 - Kolathur [ Ward No.65 ] Poombugar Nagar 29th Street Bashyam Street
5 - Kolathur [ Ward No.65] Poombugar Nagar 25th Street
6 - Kolathur [ Ward No.65 ] Poombugar Nagar 26th Street",dravida munnetra kazhagam,0.5633802816901409
77,"Chennai Hr Sec School , School Road , Kolathur , Ch-99","1 - Kolathur [ Ward No.65] Redhills Road
2 - Kolathur [ Ward No.65 ] Bhavani Nagar
3 - Kolathur [ Ward No.65] K.S.Nagar
4 - Kolathur [ Ward No.65 ] K.S.Nagar Pushpa Enclave Apartments
5 - Kolathur [ Ward No.65 ] Lakshmi Avenue
6 - Kolathur [ Ward No.65 ] Venkat Nagar
7 - Kolathur [ Ward No.65] Venkat Nagar Extn
8 - Kolathur [ Ward No.65 ] Padma Nagar 999 - Overseas Elector",tamilaga vettri kazhagam,14.57680250783699
81,"Chennai Hr Sec School , School Road , Kolathur , Ch-99","1 - Kolathur [ Ward No.65] Jayaram Nagar 3rd Main Road
2 - Kolathur [ Ward No.65] Thiruvalluar Street Thanigai Nagar
3 - Kolathur [ Ward No.65 ] Veeramamuni Street Thanigai Nagar
4 - Kolathur [ Ward No.65 ] Kalamegam Street Thanigai Nagar
5 - Kolathur [ Ward No.65 ] Valmiki Street
6 - Kolathur [ Ward No.65 ] Jayaram Nagar 1st Main Road
7 - Kolathur [ Ward No.65 ] Jayaram Nagar 4th Main Road
8 - Kolathur [ Ward No.65 ] Jayaram Nagar 2nd Main Road 999 - Overseas Elector",dravida munnetra kazhagam,3.209459459459459
88,"Everwin Matric Hr Sec School , Redhills Road, Kolathur, Chennai - 99","1 - Kolathur [ Ward No.66 ] Balaji Nagar 1st Cross Street
2 - Kolathur [ Ward No.66 ] Balaji Nagar 2nd Cross Street
3 - Kolathur [ Ward No.66 ] Vivekanandhar Street Ramakrishna Nagar
4 - Kolathur [ Ward No.66 ] Saradhambal Street Ramakrishna
Nagar",dravida munnetra kazhagam,2.73972602739726
90,"Everwin Matric Hr Sec School , Redhills Road, Kolathur, Chennai - 99","1 - Kolathur [ Ward No.66 ] Balaji Nagar 3rd Cross Street
2 - Kolathur [ Ward No.66] Balaji Nagar 4th Cross Street
3 - Kolathur [ Ward No.66 ] Balaji Nagar 5th Cross Street
4 - Kolathur [ Ward No.66 ] Balaji Nagar 6th Cross Street
5 - Kolathur [ Ward No.66 ] Balaji Nagar 7th Cross Street
6 - Kolathur [ Ward No.66 ] Balaji Nagar 8th Cross Street
7 - Kolathur [ Ward No.66 ] Balaji Nagar 9th Cross Street",tamilaga vettri kazhagam,7.48663101604278
91,"Everwin Matric Hr Sec School , Redhills Road, Kolathur, Chennai - 99","1 - Kolathur [ Ward No.66] Thirupathi Nagar 1st Main Road Extn
2 - Kolathur [ Ward No.66] Thirupathi Nagar 2nd Main Road
3 - Kolathur [ Ward No.66 ] Thirupathi Nagar 3rd Main Road",tamilaga vettri kazhagam,12.32091690544413
92,"Everwin Matric Hr Sec School, No.2, Redhills Road, Kolathur, Chennai-99, South Block, South Facing, Room 5","1 - Kolathur [ Ward No.66] Annai Sathya Nagar M.G.R. Street
2 - Kolathur [ Ward No.66 ] Thirupathi Nagar 4th Cross Street
3 - Kolathur [ Ward No.66] Thirupathi Nagar 4th Main Road",tamilaga vettri kazhagam,12.1875
93,"Everwin Matric Hr Sec School , Redhills Road, Kolathur, Chennai - 99","1 - Kolathur [ Ward No.66 ] Thirupathi Nagar 2nd Cross Street
2 - Kolathur [ Ward No.66 ] Thirupathi Nagar 3rd Cross Street
3 - Kolathur [ Ward No.66 ] Thirupathi Nagar 1st Cross Street
4 - Kolathur [ Ward No.66 ] Thirupathi Nagar 5th Cross Street
5 - Kolathur [ Ward No.66 ] Thirupathi Nagar 6th Cross Street
6 - Kolathur [ Ward No.66 ] Thirupathi Nagar 4th Main Road Gandhi Street
7 - Kolathur [ Ward No.66] Krishnan Nagar Thirupathi Nagar Extn
999 - Overseas Elector",tamilaga vettri kazhagam,15.4639175257732
94,"Everwin Matric Hr Sec School , Redhills Road, Kolathur, Chennai - 99","1 - Kolathur [ Ward No.66 ] Sri Vel Murugan Nagar 1st Main Road
2 - Kolathur [ Ward No.66 ] Sri Vel Murugan Nagar 2nd Main Road
3 - Kolathur [ Ward No.66 ] Sri Vel Murugan Nagar 1st Avenue
4 - Kolathur [ Ward No.66 ] Sri Vel Murugan Nagar 2nd Avenue
5 - Kolathur [ Ward No.66 ] Sri Vel Murugan Nagar 3rd Avenue
6 - .Kolathur [ Ward No.66 ] Sri Vel Murugan 4th Avenue
7 - Kolathur [ Ward No.66 ] Ambedhkar Nagar",tamilaga vettri kazhagam,9.615384615384617
96,"Everwin Matric Hr Sec School , Redhills Road, Kolathur, Chennai - 99","1 - Kolathur [ Ward No.66 ] Vallalar Street
2 - Kolahtur [ Ward No.66 ] Jawahar Street
3 - Kolathur [ Ward No.66] Buddhar Street Thirupathi Nagar Extn
4 - Kolathur [ Ward No.66 ] Valarmathi Nagar 1st Street
5 - Kolathur [ Ward No.66 ] Valarmathi Nagar 2nd Street",tamilaga vettri kazhagam,12.17228464419476
97,"Everwin Matric Hr Sec School , Redhills Road, Kolathur, Chennai - 99","1 - Kolathur [ Ward No.66 ] Annai Sathya Nagar Vinayagar Koil Street Odai Parts
2 - Kolathur [ Ward No.66 ] Valarmathi Nagar 3rd Street
3 - Kolathur [ Ward No.66 ] Valarmathi Nagar 4th Street
4 - Kolathur [ Ward No.66] Valarmathi Nagar 5th Street
5 - Kolathur [ Ward No.66 ] Perumal Nagar 999 - Overseas Elector",tamilaga vettri kazhagam,11.05263157894737
102,"Everwin Matric Hr Sec School , Redhills Road, Kolathur, Chennai - 99","1 - Kolathur [ Ward No.66 ] Balakumaran Nagar Part A
2 - Kolathur [ Ward No.66 ] Balakumaran Nagar Part B",tamilaga vettri kazhagam,13.87434554973822
104,"Everwin Matric Hr Sec School, No.2, Redhills Road, Kolathur, Chennai-99, North Block, South Facing, Room 17","1 - Kolathur [ Ward No.65 ] Swarnamalya Apartments
2 - Kolathur [ Ward No.65 ] Agatheeswarar Nagar
3 - Kolathur [ Ward No.65 ] Maankaali Needhimaan Nagar
4 - Kolathur [ Ward No.65 ] Maankaali Needhimaan Nagar 1st Street
5 - Kolathur [ Ward No.65 ] Maankaali Needhimaan Nagar 2nd Street
6 - Kolathur [ Ward No.65] Maankaali Needhimaan Nagar 3rd Street
7 - Kolathur [ Ward No.65] Maankaali Needhimaan Nagar 4th Street
8 - Kolathur [ Ward No.65 ] Maankaali Needhimaan Nagar 5th Street
9 - Kolathur [ Ward No.65 ] Maankaali Needhimaan Nagar 6th Street
10 - Kolathur [ Ward No.65] Maankaali Needhimaan Nagar 7th Street
11 - Kolathur [ Ward No.65] Naagamani Koil Street",tamilaga vettri kazhagam,14.93506493506493
107,"Everwin Matric Hr Sec School , Redhills Road, Kolathur, Chennai - 99","1 - Kolathur [ Ward No.66 ] United Colony Main Road
2 - Kolathur [ Ward No.66 ] United Colony 1st Street
3 - Kolathur [ Ward No.66] United Colony 1st Cross Street
4 - Kolathur [ Ward No.66 ] United Colony 2nd Street
5 - Kolathur [ Ward No.66 ] United Colony 2nd Cross Street 999 - Overseas Elector",tamilaga vettri kazhagam,3.544776119402985
108,"Everwin Matric Hr Sec School, No.2, Redhills Road, Kolathur, Chennai-99, North Block, South Facing, Room 21","1 - Kolathur [ Ward No.66] United Colony 3rd Street
2 - Kolathur [ Ward No.66] United Colony 4th Street
3 - Kolathur [ Ward No.66 ] Lingus Road
4 - Kolathur [ Ward No.66 ] Sathya Sai Nagar
5 - Kolathur [ Ward No.66 ] Greenland Avenue",tamilaga vettri kazhagam,8.604651162790699
114,"Don Bosco Matriculation Hr Sec School,Papermills Road, Peravallur, Ch-82","1 - Peravallur [ Ward No.68 ] Lakshmanan Nagar East Main Road
2 - Peravallur [ Ward No.68 ] Lakshman Nagar 1st Cross Street
3 - Peravallur [ Ward No.68 ] Lakshman Nagar 2nd Cross Street
4 - Peravallur [ Ward No.68 ] Lakshman Nagar Main Road
5 - Peravallur [ Ward No.68 ] Lakshman Nagar West",tamilaga vettri kazhagam,0.6884681583476765
115,"Chennai Middle School, SRP Koil Street North, Gopalapuram, TVK Nagar, Ch-82","1 - Peravallur [ Ward No.68 ] Ramamoorthy Colony Main Road
2 - Peravallur [ Ward No.68 ] Ramamoorthy Colony Main Road Sl.No. 1 to 237
3 - Peravallur [ Ward No.68 ] Ramamoorthy Colony 1st Street
4 - Peravallur [ Ward No.68 ] Ramamoorthy Colony 2nd Street
5 - Peravallur [ Ward No.68 ] Ramamoorthy Colony 3rd Street
6 - Peravallur [ Ward No.68 ] Ramamoorthy Colony 4th Street
7 - Jawahar Nagar [ Ward No.66 ] Kamaraj Nagar 1st Street",tamilaga vettri kazhagam,6.940509915014164
116,"Srimathi Durga Devi Chowdary Vivekananda Vidyalaya, Sakthivel Nagar, Kolathur, Chennai-99","1 - Peravallur [ Ward No.66 ] Sakthivel Nagar 1st Cross Street
2 - Peravallur [ Ward No.66 ] Sakthivel Nagar Main Road
3 - Peravallur [ Ward No.66 ] Sakthivel Nagar 2nd Cross Street
4 - Peravallur [ Ward No.66 ] Sakthivel Nagar 3rd Cross Street
5 - Peravallur [ Ward No.66 ] Sakthivel Nagar 4th Cross Street
6 - Peravallur [ Ward No.66 ] Sakthivel Nagar 5th Cross Street
7 - Peravallur [ Ward No.66 ] Sakthivel Nagar 6th Cross Street
8 - Peravallur [ Ward No.66 ] Sakthivel Nagar 7th Cross Street
9 - Peravallur [ Ward No.66 ] Sakthivel Nagar 8th Cross Street",dravida munnetra kazhagam,1.710730948678072
117,"Srimathi Durga Devi Chowdary Vivekananda Vidyalaya, Sakthivel Nagar, Kolathur, Chennai-99","1 - Peravallur [ Ward No.66 ] Sakthivel Nagar School Road
2 - Peravallur [ Ward No.66 ] Kumaran Nagar 1st Main Road
3 - Peravallur [ Ward No.66 ] Kumaran Nagar 2nd Main Road
4 - Peravallur [ Ward No.66 ] Kumaran Nagar 3rd Main Road
5 - Peravallur [ Ward No.66 ] Kumaran Nagar 4th Main Road",tamilaga vettri kazhagam,4.928131416837783
118,"Srimathi Durga Devi Chowdary Vivekananda Vidyalaya, Sakthivel Nagar, Kolathur, Chennai-99","1 - Peravallur [ Ward No.66 ] Kumaran Nagar 1st Cross Street
2 - Peravallur [ Ward No.66 ] Kumaran Nagar 2nd Cross Street
3 - Peravallur [ Ward No.66 ] Kumaran Nagar 3rd Cross Street
4 - Peravallur [ Ward No.66 ] Kumaran Nagar 4th Cross Street
5 - Peravallur [ Ward No.66 ] Kumaran Nagar 5th Cross Street
6 - Peravallur [ Ward No.66 ] Kumaran Nagar 6th Cross Street
7 - Peravallur [ Ward No.66 ] Kumaran Nagar 7th Cross Street
8 - Peravallur [ Ward No.66 ] Kumaran Nagar 80 Feet Road
9 - Peravallur [ Ward No.66 ] Ramanibai Colony
10 - Peravallur [ Ward No.66 ] Maryhelan Street
11 - Peravallur [ Ward No.66 ] Vishwanathan Street",tamilaga vettri kazhagam,5.3125
120,"Don Bosco Matriculation Hr Sec School,Papermills Road, Peravallur, Ch-82","1 - Peravallur [ Ward No.68 ] Chelliamman Colony 1st Street
2 - Peravallur [ Ward No.68 ] Chelliamman Colony 2nd Street
3 - Peravallur [ Ward No.68 ] Ram Nagar 1st Main Road
4 - Peravallur [ Ward No.68 ] Ram Nagar 1st Main Road Extension
5 - Peravallur [ Ward No.68 ] Ram Nagar 1st Cross Street",tamilaga vettri kazhagam,2.479338842975207
121,"Don Bosco Matriculation Hr Sec School,Papermills Road, Peravallur, Ch-82","1 - Peravallur [ Ward No.68 ] Ram Nagar 2nd Main Road
2 - Peravallur [ Ward No.68 ] Ram Nagar 2nd Main Road Extension
3 - Peravallur [ Ward No.68 ] Ram Nagar 3rd Main Road",tamilaga vettri kazhagam,5.769230769230769
123,"St.Moses Matriculation School, Jaganathan Street, Vetri Nagar, Chennai-82","1 - Vetri Nagar [ Ward No.66 ] Vetri Nagar Sivalingam Street
2 - Vetri Nagar [ Ward No.66 ] Sivabooshanam Street
3 - Vetri Nagar [ Ward No.66 ] Vetri Nagar Boopathy Street
4 - Vetri Nagar [ Ward No.66 ] Vetri Nagar Jagadeesan Street",tamilaga vettri kazhagam,9.84974958263773
124,"St.Moses Matriculation School, Jaganathan Street, Vetri Nagar, Chennai-82","1 - Vetri Nagar [ Ward No.66 ] Vetri Nagar Thangavelu Street
2 - Vetri Nagar [ Ward No.66 ] Vetri Nagar Rangasamy Street",tamilaga vettri kazhagam,8.09968847352025
127,"St.Moses Matriculation School, Jaganathan Street, Vetri Nagar, Chennai-82","1 - Jawahar Nagar [ Ward No.66 ] Vetri Nagar Thiyagarajan Street
2 - Jawahar Nagar [ Ward No.66 ] Vetri Nagar Raghavan Street
3 - Jawahar Nagar [ Ward No.66 ] Vetri Nagar Paul Vargheese Street
4 - Jawahar Nagar [ Ward No.66 ] Vetri Nagar Kanniyappan Street",tamilaga vettri kazhagam,5.862646566164154
129,"Ponnusamy Matric School, Kumaran Nagar 4th Main Road, Peravallur, Ch-82","1 - Vetri Nagar [ Ward No.66 ] Vetri Nagar Sivaprakasam Street
2 - Vetri Nagar [ Ward No.66 ] Vetri Nagar Devakiammal Street
3 - Vetri Nagar [ Ward No.66 ] Vetri Nagar Devakiammal Cross Street
4 - Vetri Nagar [ Ward No.66 ] Vetri Nagar Jagannathan Street
5 - Vetri Nagar [ Ward No.66 ] Moorthy Street 999 - Overseas Elector",tamilaga vettri kazhagam,7.348703170028818
131,"Ponnusamy Matric School, Kumaran Nagar 4th Main Road, Perallur, Ch-82","1 - Jawahar Nagar [ Ward No.66 ] Vetri Nagar Ayyalu Street
2 - Jawahar Nagar [ Ward No.66 ] Vetri Nagar Jayaraman Street (South)
3 - Jawahar Nagar [ Ward No.66 ] Vetri Nagar North Jayaraman Street
4 - Jawahar Nagar [ Ward No.66 ] Vetri Nagar Veeraragavan Street",tamilaga vettri kazhagam,9.601181683899556
141,"Jaya Gopal Garodia Matric Hr Sec School, SRP Colony 7th Street, Agaram , Chennai-82","1 - Agaram [ Ward No.68 ] S R P Colony 3rd Street
2 - Agaram [ Ward No.68 ] S R P Colony 4th Street
3 - Agaram [ Ward No.68 ] S R P Colony 5th Street
4 - Agaram [ Ward No.68] S R P Colony 6th Street
5 - Agaram [ Ward No.68 ] S R P Colony 7th Street",tamilaga vettri kazhagam,1.612903225806452
142,"Jaya Gopal Garodia Matric Hr Sec School, SRP Colony 7th Street, Agaram , Chennai-82","1 - Agaram [ Ward No.68 ] Jawahar Nagar 4th Circular Road
2 - Agaram [ Ward No.68 ] V C Grand Canyon
3 - Agaram [ Ward No.68 ] Jawahar Nagar 3rd Circular Street
4 - Agaram [ Ward No.68 ] Jawahar Nagar 3rd Circular 1st Cross Street
5 - Agaram [ Ward No.68 ] Jawahar Nagar 3rd Circular 2nd Cross Street
6 - Agaram [ Ward No.68 ] Jawahar Nagar 2nd Circular 1st Cross
Street",dravida munnetra kazhagam,7.879924953095685
143,"Jaya Gopal Garodia Matric Hr Sec School, No.3, SRP Colony, 7th Street, Agaram, Chennai-82, South Block, North Facing, Room 5","1 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar 1st Cross Street
2 - Jawahar Nagar [ Ward No.68 ] Anugraha (Jawahar Nagar 1st Cross Street)
3 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar Koil 1st Cross Street
4 - Jawahar Nagar [ Ward No.68 ] S.R.P Colony Main Road
5 - Agaram [ Ward No.68 ] S R P Colony 9th Street",dravida munnetra kazhagam,6.649616368286446
145,"Jaya Gopal Garodia Matric Hr Sec School, SRP Colony 7th Street, Agaram , Chennai-82","1 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar (Jawahar Campus)
2 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar 4th Main Road
3 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar 70 Feet Road",tamilaga vettri kazhagam,4.545454545454546
146,"Jaya Gopal Garodia Matric Hr Sec School, SRP Colony 7th Street, Agaram , Chennai-82","1 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar 1st Main Road
2 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar 2nd Main Road
3 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar 3rd Main Road",dravida munnetra kazhagam,13.63636363636363
147,"Jaya Gopal Garodia Matric Hr Sec School, SRP Colony 7th Street, Agaram , Chennai-82","1 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar 5th Main Road
2 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar 6th Main Road
3 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar 6th Main Road Kamaraj Campus",dravida munnetra kazhagam,1.558441558441559
148,"Periyar Matric Higher Sec School, 5th Street, Periyar Nagar, Chennai-82","1 - Periyar Nagar [ Ward No.68 ] Chandrasekaran Salai
2 - Periyar Nagar [ Ward No.68 ] Periyar Nagar Venkatraman Salai",dravida munnetra kazhagam,5.243445692883896
149,"Periyar Matric Higher Sec School, No.6, 5th Street, Periyar Nagar, Chennai-82, East Block, West Facing, Room 2","1 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 1st Street
2 - Periyar Nagar [ Ward No.68 ] Periyar Nagar Karthikeyan Salai",dravida munnetra kazhagam,3.191489361702128
150,"Periyar Matric Higher Sec School, 5th Street, Periyar Nagar, Chennai-82","1 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 1st Cross Street
2 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 2nd Street
3 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 3rd Street
4 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 4th Street
5 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 5th Street
6 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 5th Cross Street
7 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 6th Cross Street",dravida munnetra kazhagam,8.062015503875969
151,"Periyar Matric Higher Sec School, 5th Street, Periyar Nagar, Chennai-82","1 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 7th Street
2 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 8th Street
3 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 9th Street
4 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 10th Street
5 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 11th Street
6 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 12th Street
7 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 6th Street",dravida munnetra kazhagam,8.579881656804734
153,"Periyar Matric Higher Sec School, 5th Street, Periyar Nagar, Chennai-82","1 - Periyar Nagar [ Ward No.68] Periyar Nagar Balasubramaniam Salai
2 - Periyar Nagar [ Ward No.68 ] Periyar Nagar Jagannathan Salai
3 - Periyar Nagar [ Ward No.68 ] Periyar Nagar Venkatesan Salai",dravida munnetra kazhagam,3.852327447833066
155,"Periyar Matric Higher Sec School, 5th Street, Periyar Nagar, Chennai-82","1 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 16th Street
2 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 17th Street
3 - Periyar Nagar [ Ward No.68] Periyar Nagar 18th Street
4 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 18th 1st Cross Street
5 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 18th 2nd Cross Street
6 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 18th 3rd Cross
Street",dravida munnetra kazhagam,5.709876543209877
156,"Periyar Matric Higher Sec School, 5th Street, Periyar Nagar, Chennai-82","1 - Periyar Nagar [ Ward No.68] Periyar Nagar 19th Street
2 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 20th Street
3 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 21st Street
4 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 21st 1st Cross Street
5 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 22nd Street
6 - Periyar Nagar [ Ward No.68 ] Periyar Nagar Kandaswamy Salai 999 - Overseas Elector",dravida munnetra kazhagam,8.582089552238806
161,ICDS Building T.V.K Nagar 4th Street Chennai- 82 (Centre No.212),"1 - Perambur [ Ward No.67 ] S R P Koil Street North
2 - Perambur [ Ward No.67 ] Jassa Apartment S R P Koil Street
3 - Perambur [ Ward No.67] Anbazhagan Nagar Elango Street",tamilaga vettri kazhagam,1.943198804185351
166,"Chennai Primary School, No.2, Thiru Vi Ka Nagar, Sembium, Ch-11, West Facing, Room 1","1 - Sembium Ward No.67TVK Nagar T.N.H.B Door No 231 to 249
2 - Sembium [ Ward No.67 ] Otha Vadai 1st Street
3 - Sembium [ Ward No.67 ] Otha Vadai 2nd Street
4 - Sembium [ Ward No.67 ] T V K Nagar T.N.H.B Door no. 1 to 249",tamilaga vettri kazhagam,13.75
167,"Chennai Primary School, Thiru Vi Ka Nagar,Sembium, Chennai-11",1 - Sembium [ Ward No.67 ] T V K Nagar 999 - Overseas Elector,tamilaga vettri kazhagam,3.81791483113069
