Serial No. Of Polling Station,Locality,Building  in  Which  it  will  be  Located,Polling  Area,Winner_Party,Margin_Percentage
21,Parivillikottai,"Govt  High  School,  South  East  Building, Parivillikottai","1.Parivallikottai  (R.V)  And  (P)  Parivallikottai  Block  1, 2.Parivallikottai  (R.V)  And  (P)  Parivallikottai  Block  2, 3.Parivallikottai  (R.V)  And  (P)  Parivallikottai  Block  3, 4.Parivallikottai  (R.V)  And  (P)  Parivallikottai  Block  4, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,17.74744027303754
22,Kallathikinaru,"R.C  Primary  School,  Main  Building  East Portion,  Kallathikinaru.","1.Parivallikottai  (R.V)  And  (P)  Kallathikinaru  Block  5, 2.Parivallikottai  (R.V)  And  (P)  Kallathikinaru  Block  6, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,6.442577030812324
23,Malaippatti,"Panchayat  Union  Primary  School,  Main Building,  Malaippatti","1.Malaipatti  (R.V)  And  (P)  Block  No  1, 2.Malaipatti  (R.V)  And  (P)  Block  No  2, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,15.84158415841584
24,Ottanatham,"Ramanujam  Hindu  Middle  school  ,West Portion  Ottanatham","1.Ottanatham  (R.V)  And  (P)  Block  1, 2.Ottanatham  (R.V)  And  (P)  Block  2, 3.Ottanatham  (R.V)  And  (P)  Block  3, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,2.816901408450704
27,Chokkanathapuram,"Panchayat  Union  Primary  School, North  Facing,  East  Building, Chokkanathapuram","1.Maniachei  (R.V)  And  (P)  Chokkanathapuram  Block  4, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,0.7220216606498195
29,Melapandiyapuram,T.N.D.T.A.  Primary  School   North  Portion Melapandiyapuram,"1.Melapandiapuram  (R.V)  And  (P)  Melapandiapuram  Block  1, 2.Melapandiapuram  (R.V)  And  (P)  Shunmugapuram  Block  2, 3.Melapandiapuram  (R.V)  And  (P)  Kandasamypuram  Block  3, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,15.89041095890411
30,Sangampatti,Panchayat  Union  Primary  School Sangampatti,"1.Sangampatti  &  Muramban  (R.V),  Sangampatti  (p)  Mela  street  Block  1,
2.Sangampatti  &  Muramban  (R.V),  Sangampatti  (P)  Middle  Street  Block  2, 3.Sangampatti  &  Muramban  (R.V),  Muramban  (P)  Keela  Street  Block  2,
4.Sangampatti  &  Muramban  (R.V),  Muramban  (P)  Muramban  Block  1, 5.Sangampatti  &  Muramban  (R.V),  Muramban  (P)  Murampan  Block  2, 6.Sangampatti  &  Muramban  (R.V),  Muramban  (P)  Muramban  Block  4,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,10.97724230254351
33,Kulesekaranallur,"E-Sevai  center,  south  Building, kulesekaranallur.","1.Kulasekaranallur  (R.V)  And  (P)  Kulasekaranallur  Block  2, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,7.91476407914764
34,Osanoothu,"Panchayat  Union  Primary  School,  Middle Building,  Osanoothu.","1.Kulasekaranallur  (R.V)  And  (P)  Osanoothu  Block  3, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,11.45996860282575
35,Sevelkulam,"Anganwadi  Center,  Sevelkulam","1.Kulasekaranallur  (R.V)  And  (B)  Chelakkaranpachisery  Block  4, 2.Kulasekaranallur  (R.V)  And  (P)  Pachiperumalpuram  Block  5, 3.Kulasekaranallur  (R.V)  And  (P)  Sankaranpachisery  Block  6,
999.OVERSEAS  ELECTORS",Puthiya Tamilagam,24.61240310077519
37,Kombadi Thalavaipuram,"T.N.D.T.A.  Middle  School,  Kombadi Thalavaipuram","1.Sarvarimangalam  (R.V)  And  (P)  Kombadi  Block  7, 2.Savarimangalam  (R.V)  And  (P)  Kombady  Block  8, 3.Savarmiangalam  (R.V)  And  (P)  Thalavaipuram  Block  9, 4.Savarimangalam  (R.V)  And  (P)  Thalavaipuram  Block  10, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,3.856382978723404
