Location and name of building in which Polling Station located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"Govt Middle School,    South West Building,    South Portion, Katcheri Compound,    Sengottai",1,Dravida Munnetra Kazhagam,1
"Govt Middle School,    West New Building,    Southern Portion, 6th Standard    Therkumedu, Puliyarai.",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt Middle School,    West New Building, East Facing,
Katcheri Compound, Sengottai.",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt Middle School,   Main Hall, North Side,   Elathur",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt Middle School, Middle Building, South Portion, West facing Katcheri Compound, Sengottai",1,Tamilaga Vettri Kazhagam,1
"Govt Middle School, South East Building   North Portion, West facing Katcheri Compound, Sengottai",1,All India Anna Dravida Munnetra Kazhagam,1
Govt Primary School    Eastern Wing    Seevanallur.,1,All India Anna Dravida Munnetra Kazhagam,1
"Govt Primary School    Western Building,    Thavanai",1,All India Anna Dravida Munnetra Kazhagam,1
Govt Primary School    Western Wing    Seevanallur.,1,All India Anna Dravida Munnetra Kazhagam,1
"Govt Primary School,    New Building,    Southern Portion, East Facing,    Kilangadu",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt Primary School,    New Building,   West Facing, Kilangadu",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt Primary School,    North Building Western Potion , Achanputhur",1,Dravida Munnetra Kazhagam,1
"Govt Primary School, Eastern portion, Achanputhur",1,Dravida Munnetra Kazhagam,1
"Govt Primary School, New building East Facing, BalamarthandaPuram",1,Tamilaga Vettri Kazhagam,1
"Govt Primary School, North Side West Building West portion, Balamarthandapuram",1,Dravida Munnetra Kazhagam,1
"Govt Primary School, North Wing South Facing, Balamarthanda Puram",1,Dravida Munnetra Kazhagam,1
Govt Village library West facing Periyapillaivalasai,1,Dravida Munnetra Kazhagam,1
"Govt. High School, Middle Building North facing, Velayuthapuram",1,Dravida Munnetra Kazhagam,1
Govt. Hr.Sec School    East Building West Facing Sambavar vadakarai,1,All India Anna Dravida Munnetra Kazhagam,1
"Govt. Middle School,    Old Building, Mekkarai.",1,Dravida Munnetra Kazhagam,1
"Govt. Middle School,    Southern Building,   Mekkarai.",1,Dravida Munnetra Kazhagam,1
"Govt. Middle School,    West Building    Poolan Kudiyiruppu",1,Dravida Munnetra Kazhagam,1
Govt. Middle School.    South Buliding   Poolan Kudiyiruppu,1,Dravida Munnetra Kazhagam,1
"Govt. Primary School,   New Building    Parvathipuram, Achanpudur.",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt. Primary School, Central Wing,   Ayikudi",1,Tamilaga Vettri Kazhagam,1
"Govt. Primary School, East Building, west Facing, Ayikudi.",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt. Primary School,Western Wing, East Facing, Ayikudi",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Boys Hr.Sec. School   New Building Eastern Wing, Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Govt.Boys Hr.Sec. School   New Building Southern Wing, Kadayanallur",1,Dravida Munnetra Kazhagam,1
Govt.Boys Hr.Sec. School North Building East Portion   Main Block   Kadayanallur.,1,Dravida Munnetra Kazhagam,1
"Govt.Boys Hr.Sec. School South Side, Middle building Western Portion,   Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Govt.Boys Hr.Sec. School,   East building South Middle Portion Kadayanallur",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Boys Hr.Sec. School, 8 std Building Western Portion Kadayanallur",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Boys Hr.Sec. School, Laboratory Building, New Building, Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Govt.Boys Hr.Sec. School, Main Block, south Building West Facing, Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Govt.Boys Hr.Sec. School, North Building Main Block Western Portion,   Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Govt.Boys Hr.Sec. School,Integrated School Education Regional Resource Center Building Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Govt.Boys Hr.Sec. School,Main Block, North Building East Portion, East side, Kadayanallur",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Boys Hr.Sec.School,   New Building Northern Wing, Kadayanallur",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Boys Hr.Sec.School, Agri Section Building   Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Govt.Boys Hr.Sec.School, Mechanical section building Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Govt.Boys Hr.Sec.School, South Side middle Building Eastern Portion   Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Govt.Girls Hr.Sec.School, Southern Building, Block 3 East Side, Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Govt.High School,   Eastern Building,    Melur Sengottai",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.High School, South Primary Building North facing Melur Sengottai",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec School   East Building, West Facing,   North Portion,   Sambavarvadakarai Keelur",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec School   East Building, West Facing,   South Portion,   Sambavarvadakarai Keelur",1,Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec School   South Building, North Facing   Near Auditiorium East Portion, Sambavarvadakarai Keelur",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec. School,    Eastern Building South Portion   Ayikudi.",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec. School,    Main Building, Eastern Portion Ayikudi.",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt.Hr.Sec. School,    Main Building, Western Portion Ayikudi.",1,All India Anna Dravida Munnetra Kazhagam,1
