Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
47,"Tamilnadu Government Public Library Department, Branch Library Thimmarajapuram,","1.Tirunelveli (C) Palayamkottur Ward No. 8 Nadar Street, ,
2.Tirunelveli (C) Palayamkottur Ward No. 8 Kottur Asari Street, 3.Tirunelveli (C) Palayakottur. Ward No. 8 Pallivasal Street, 4.Tirunelveli (C) Palayamkottur Ward No. 8 Panchayat Street , 5.Tirunelveli (C) Palayamkottai Ward No.6 Santhi Nagar 4Th Main Road, 6.Tirunelveli (C) Palayamkottai Ward No.6 Santhi Nagar 6Th Main Road, , 7.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthi Nagar 5Th Street, 8.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar 6Th  Street , 9.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar  7Th  Street , 10.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar 8Th Street Street,11.Tirunelveli (C) Palayamkottai Ward No. 6 Veda Koil Street
,999.Overseas Electors",Dravida Munnetra Kazhagam,12.17948717948718
48,"T.D.T.A. Primary School,North Building Eastern Wing,H.M.Room, Shanthi nagar,","1.Tirunelveli (C)  Palayamkottai. Ward No.6 Santhi Nagar 1St Street(Seevalaperi Road), , 2.Tirunelveli (C) Palayamkottai Ward No. 6 Santhi Nagar 1St  Street, , 3.Tirunelveli (C) Palayamkottai Ward No. 6 Santhi Nagar 2Nd  Street, , 4.Tirunelveli (C) Palayamkottai Ward No. 6 Santhi Nagar 3Rd  Street, , 5.Tirunelveli (C) Palayamkottai Ward No. 6 Santhi Nagar 4Th  Street, , 6.Tirunelveli (C) Palayamkottai Ward No.6 Santhi Nagar 2Nd Main Road, , 999.Overseas Electors",Dravida Munnetra Kazhagam,0.2183406113537118
49,"T.D.T.A. Primary School ,Northern Building, Eastern Portion, Shanthi Nagar","1.Tirunelveli (C) Palayamkottai Ward No.6 Rajkamal Nagar, , 2.Tirunelveli (C) Palayamkottai Ward No.6 Rajkamal Nagar Street, , 3.Tirunelveli (C)Palayamkottai Ward No.6 Pallivasal 1St Street, , 4.Tirunelveli (C) Palayamkottai Ward No.6 Pallivasal  2Nd Street, , 5.Palayamkottai Ward No. 6 Shanthi Nagar 28Th Cross Street, , 6.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar 30Th  Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,30.55555555555556
50,"T.D.T.A. Primary School, ,Northern Building, Western Portion Shanthinagar","1.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar 13Th Street , 2.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar 14Th St , 3.Tirunelveli
(C) Palayamkottai Ward No. 6 Shanthi Nagar 15Th  Street, , 4.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthi Nagar 16Th Street , 5.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar 17Th  Street. , 6.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar 18Th Street , 7.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthi Nagar 19Th Street , 8.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar 20Th Street , 9.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthi Nagar 21St Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,3.927986906710311
53,"T.D.T.A. Primary School,   North Building East Portion, South Facing, Santhinagar.","1.Tirunelveli (C)Palayamkottai Ward No. 6 Shanthi Nagar 31St Street , 2.Tirunelveli (C) Palayamkottai Ward No. 6 Bell Amorses Colony, , 3.Tirunelveli
(C) Palayamkottai Ward No. 6 Bell Amorses Colony Ii , 999.Overseas Electors4.Tirunelveli (C)Palayamkottai Ward No. 6 Shanthi Nagar 25Th Street , 5.Tirunelveli Palayamkottai Ward No. 6 Shanthi Nagar 26Th Street , 6.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthinagar 27Th Street , 7.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthi Nagar 24Th Cross St. , 999.Overseas Electors
Page 11 of 78",Dravida Munnetra Kazhagam,12.89752650176678
54,"Magdalene Matric Hr.Sec.School, Main Building North facing G1 Room,Rahmath Nagar,","1.Tirunelveli (C) Palayamkottai Ward No.7 Kamaraj Nagar, , 2.Tirunelveli (C) Palayamkottai Ward No.7Janaki Street, , 3.Tirunelveli (C) Palayamkottai Ward No.5 Rahmath Nagar 17Th Street, , 4.Tirunelveli (C) Palayamkottai Ward No.5 Rahmath Nagar 14Th Street, , 999.Overseas Electors",Dravida Munnetra Kazhagam,13.09012875536481
55,"Magdalene Matric Hr.Sec.School, Main Building North facing G3 Room,Rahmath Nagar,","1.Tirunelveli (C) Palayamkottai Ward No. 5 Rahumath Nagar 2Nd St , 2.Tirunelveli (C) Palayamkottai Ward No. 5 Rahumath Nagar 3Rd Street , 3.Tirunelveli (C)  Palayamkottai. Ward No. 5 Rahumath Nagar 4Th Street , 4.Tirunelveli (C) Palayamkottai. Ward No. 5 Rahumath Nagar 5Th St. , 5.Tirunelveli Palayamkottai Ward No.5 Rahumath Nagar 6Th St. , 6.Tirunelveli
(C) Palayamkottai Ward No. 5 Sathaq College Road, , 7.Tirunelveli  (C) Palayamkottai Ward No. 5 Rahmath Nagar 7Th Street, , 8.Tirunelveli (C) Palayamkottai Ward No. 5 Rahmath Nagar 40 Feet Street, , 9.Tirunelveli (C) Palayamkottai Ward No. 5 Rahumath Nagar 18Th Street , 10.Tirunelveli (C) Palayamkottai Ward No. 5 Rahumath Nagar 19Th Street , 11.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar Extension Porition , 12.Tirunelveli
(C) Palayamkottai 36 Thrahumath Nagar  Ward No.5 ,  999.Overseas Electors",Dravida Munnetra Kazhagam,27.65273311897106
56,"Magdalene Matric Hr.Sec.School, Main Building North facing G5 Room,Rahmath Nagar,","1.Tirunelveli Palayamkottai Ward No. 5 Rahumath Nagar 20Th Street , 2.Tirunelveli (C) Palayamkottai Ward No. 5 Rahumath Nagar 26Th Street , 3.Tirunelveli (C) Palayamkottai Ward No. 5 Rahumathnagar 27Th Street , 4.Tirunelveli (C) Palayamkottai Ward No. 5 Rahumath Nagar 28Th Street , 5.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 29Th Street , 6.Tirunelveli (C) Palayamkottai Ward No. 5 Rahumath Nagar 30Th Street , 7.Tirunelveli (C) Palayamkottai Ward No. 5 Rahumath Nagar 31St Street , 8.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 32Nd Street , 9.Tirunelveli (C) Palayamkottai Ward No. 5 Rahumath Nagar 33Rd Street , 10.Tirunelveli (C) Palayamkottai Ward No.5 Shanthi Nagar Main Road Rahumath Nagar, , 11.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 8Th St. , 12.Tirunelveli (C) Palayamkottam Ward No.5 Rahumath Nagar 9Th St , 13.Tirunelveli (C) Palayamkottai Ward No.5 Rahumathnagar 10Th St. , 999.Overseas Electors",Dravida Munnetra Kazhagam,30.53016453382084
57,"Magdalene Matric Hr.Sec.School, Main Building North facing G6 Room,Rahmath Nagar","1.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 11Th St. , 2.Tirunelveli (C) Palayamkottai Rahumathnagar 12Th St. Ward No. 5 , 3.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 13Th St. , 4.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 15Th St. , 5.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 16Th St. , 6.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 60 Feet Road, , 999.Overseas Electors",Dravida Munnetra Kazhagam,18.97321428571428
58,"Magdalene Matric Hr.Sec.School, Main Building North facing G8 Room,Rahmath Nagar","1.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 80 Feet Road, , 2.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 80Feet Road Right Side, , 3.Tirunelveli (C) Palayamkottai Ward No. 5 Rahumath Nagar 80 Feet Road 2Nd Lane, , 4.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 80 Feet Road Eastern Side, , 5.Tirunelveli (C) Palayamkottai Ward No.5 Vinayagar Avenue, , 6.Tirunelveli (C) Palayamkottai Ward No.5 Tiruchendur Road, , 7.Tirunelveli (C) Palayamkottai Ward No.5 Shantha Philip Colony 1St Street , 8.Tirunelveli (C) Palayamkottai Ward No.5 Shantha Philip Colony 2Nd St
, 9.Tirunelveli (C) Palayamkottai Ward No.5 Shantha Philip Colony 3Rd St , 10.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 60 Feet Right Side, , 11.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 60 Feet Road Left Side, , 12.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 21St Street , 13.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 37Th Steet , 14.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 38Th St. , 15.Tirunelveli (C) Palayamkottai Ward No.5 Rahumath Nagar 39Th St. , 999.Overseas Electors",Dravida Munnetra Kazhagam,19.9288256227758
