Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
280,"Azmath Primary and Nursery School,North Building West Facing, 112,NabiNagar , Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 48 Asan Tharagan Street, 2.Tirunelveli
(C) Melapalayam Ward No 48 Kattu Puthu Street -II(Door no.131-220), 999.Overseas Electors",Dravida Munnetra Kazhagam,73.86196769456681
281,"Adi Dravidar Primary School, South New Building, North Portion South Street, Ambikapuram Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 50 Gnaniyarappa Nagar 1St Street, , 2.Tirunelveli (C) Melapalyam Ward No 50 Gnaniyarappa Nagar 2Nd Street, , 3.Tirunelveli (C) Melapalayam Ward No 50 Gnaniyarappa Nagar 3Rd Street, , 4.Tirunelveli (C) Melapalayam Ward No 49 Selva Vinayagar South Street,5.Tirunelveli (C) Melapalayam Ward No 51 Teachers Colony(Nethaji Nagar), ,999.Overseas Electors",Dravida Munnetra Kazhagam,58.06451612903226
282,"Adi Dravidar Primary School, Old Building South west Part( Headmistress) Room, Ambikapuram Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 50 Gnaniyarappa Nagar 5Th Street, , 2.Tirunelveli (C) Melapalayam Ward No 50 Gnaniyarappa Nagar 7Th Street, , 3.Tirunelveli (C) Melapalayam Ward No 50 Gnaniyarappa Nagar 8Th Street , 4.Tirunelveli (C) Melapalayam Ward No 48 Ambikapuram North Street, 999.Overseas Electors",Dravida Munnetra Kazhagam,47.82608695652174
283,"Adi Dravidar Primary School, South New Building, South Portion Ambikapuram South Street Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 52 Nethaji Road, , 2.Tirunelveli (C) Melapalayam Ward No 48 Ragumaniyapuram South Street, , 3.Tirunelveli (C) Melapalayam Ward No 52 Amutha Nagar, , 4.Tirunelveli (C) Melapalayam Ward No 52 Sathiya Vel Nagar , 999.Overseas Electors",Dravida Munnetra Kazhagam,40.05412719891746
284,"Corporation Primary School ,New Building Southern Block west side room Westpart, Hameempuram Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 50 Hameem Puram 1 St Street-I(Door no.1-130)(South), , 999.Overseas Electors",Dravida Munnetra Kazhagam,49.89106753812636
285,"Corporation Primary School , North Building, Middle portion, Hameempuram Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 50 Hameem Puram 1 St Street-II(Door no.131-220)(South),",Dravida Munnetra Kazhagam,64.65324384787472
286,"Corporation Primary School New Building
,South Portion, Western Part Room (west Part)Hameempuram Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 50 Hameem Puram 2Nd Street(South), , 999.Overseas Electors",Dravida Munnetra Kazhagam,54.96296296296295
287,"Corporation Primary School, ,New Building Southern Block East Side. Hameempuram Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 50 Hameem Puram South 1St Street, , 2.Tirunelveli (C) Melapalayam Ward No 50 Hameem Puram South 2Nd Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,68.30143540669856
288,"Integrated Children Development Centre No. 105,Corporation Primary School campus, Hameempuram, Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 50 Hameem Puram South 3Rd St. , 999.Overseas Electors",Dravida Munnetra Kazhagam,58.27250608272506
289,"Integrated Children Development Centre No. 105, 2nd Entrance, Corporation Primary School campus, Hameempuram, Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 50 Hameem Puram North Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,66.0919540229885
290,Rahumania Higher Secondary School Middle Block 9th A Section Melapalayam,"1.Tirunelveli (C) Melapalayam Ward No 50 Hameem Puram South 4Th Street, , 2.Tirunelveli (C) Melapalayam Ward No 50 Siddiq Street, , 999.Overseas Electors",Dravida Munnetra Kazhagam,52.0253164556962
291,Rahumania Higher Secondary School Middle Block 9th B Section Melapalayam,"1.Tirunelveli (C) Melapalayam Ward No 50 Hameem Puram 5Th Street, , 999.Overseas Electors",Dravida Munnetra Kazhagam,46.73439767779391
292,"Rahumania Higher Secondary School Eastern side middle block middle portion, Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 50 Hameem Puram6Th Street, , 2.Tirunelveli (C) Melapalayam Ward No 50 Hameem Puram South 10Th Street , 3.Tirunelveli (C) Melapalayam Ward No 50 Hameem Puram South 11Th Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,32.22222222222222
