Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
15,"Corporation Kartalil Inimai Primary School
,West Building, North Side, Pulianthoppu North Street, Melaveeraragavapuram.","1.Melaveeraragavapuram Tirunelveli (C) Ward 29 Pulianthopu North Street , 2.Melaveeraragavapuram Tirunelveli (C) Ward 29, Anna Nagar , 3.Melaveeraragavapuram Tirunelveli (C) Ward 29. Babuji Jegajeevanram Colony
, 4.Melaveeraragavapuram Tirunelveli (C) Ward 29, Veeraragavapuram Colony , 999.Overseas Electors",Tamilaga Vettri Kazhagam,23.35243553008596
16,"Corporation Kartalil Inimai Primary School,
,East Building, East Side, Pulianthoppu North Street, Melaveeraragavapuram","1.Melaveeraragavapuram Tirunelveli (C) Ward 29 Puliyanthoppu South Street , 2.Melaveeraragavapuram Tirunelveli (C) Ward 29 Puliyamthoppu Middle Street
, 3.Melaveeraragavapuram Tirunelveli (C) Ward 29 Puliyanthoppu West Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,17.95580110497238
17,"Perarignar Anna Corporation Primary School, ,Western Block Ist Room, C.N.Village.","1.Melaveeraragavapuram Tirunelveli (C) Ward 29 Cikka Narasinga Village West Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,16.87979539641944
18,"Perarignar Anna Corporation Primary School
, ,Eastern Block 1st Room, C.N.Village.","1.Melaveeraragavapuram Tirunelveli (C) Ward 29 Rajaji Street , 2.Melaveeraragavapuram Tirunelveli (C) Ward 29 East Street , 3.Melaveeragavapuram Tirunelveli (C) Ward 29 Mission Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,15.11627906976744
19,"Perarignar Anna Corporation Primary School, Eastern Block, IIIrd Room, C.N. Village.","1.Tirunelveli (C) Melaveeraragavapuram Ward 29 Kurukkudurai Road , 2.Tirunelveli (C) Melaveeragavapuram Ward 29 Kurukkudurai East Car Road , 3.Tirunelveli (C) Melaveeraragavapuram Ward 29 Kurukkudurai East Car Street
, 4.Tirunelveli (C) Melaveeraragavapuram Ward 29 Kurukkudurai South Car Street , 5.Tirunelveli (C) Melaveeraragavapuram Ward 29 Kurukkudurai West Car Street , 6.Tirunelveli (C) Melaveeraragavapuram Ward 29 Muthuramalinganar Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,33.07692307692307
20,"Perarignar Anna Corporation Primary School, Western Block, 2nd Room, C.N. Village.","1.Tirunelveli (C) Melaveeraragavapuram Ward 29 Sorkkavasal Street , 2.Tirunelveli (C) Melaveeraragavapuram Ward 29 Lakshmipuram , 3.Tirunelveli
(C) Melaveeraragavapuram Ward 29 Lakshmipuram Puthumanai Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,15.7514450867052
25,"Panchayath Union Primary School, West Portion, Venkateswarapuram, Thimmarajapuram.","1.Tirunelveli (C) Thimmarajapuram. Ward 5 Rajamannar Street , 2.Tirunelveli
(C) Thimmarajapuram. Ward 5 Sri Venkateswara Street , 3.Tirunelveli (C) Thimmarajapuram. Ward 5 Andal South Street , 4.Tirunelveli (C) Thimmarajapuram Ward 5 V.O.C. Street , 5.Tirunelveli (C) Thimmarajapuram. Ward 5 V.O.C. 1St Street , 6.Tirunelveli (C) Thimmarajapuram Ward 5 V.O.C. 2Nd Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,33.65231259968103
29,"Old Panchayat Office, New building, Unit Office","1.Tirunelveli (C) Thimmarajapuram Ward 8 Thimmarajapuram Seevalaperi Main Road , 2.Tirunelveli (C) Thimmarajapuram. Ward 8 Thimmarajapuram 1St Street , 3.Tirunelveli (C) Thimmarajapuram. Ward 8 Thimmarajapuram 2Nd Street , 4.Tirunelveli (C) Thimmarajapuram Ward 8 Thimmarajapuram 3Th Street ,
5.Tirunelveli (C) Thimmarajapuram Ward 8 Thimmarajapuram 4Th Street , 6.Tirunelveli (C) Thimmarajapuram. Ward 8 Thimmarajapuram 5Th Street , 7.Tirunelveli (C) Thimmarajapuram Ward 8 Thimmarajapuram 6Th Street , 8.Tirunelveli (C)Thimmarajapuram. Ward 8 Thimmarajapuram 7Th Street , 9.Tirunelveli (C)Thimmarajapuram. Ward 8 Thimmarajapuram 8Th Street , 10.Tirunelveli (C) Thimmarajapuram. Ward 8 Thimmarajapuram 9Th Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,28.14710042432815
32,"Integrated Child Care Centre No 10 Near Ward Office, Thimmarajapuram, Keezhur","1.Tirunelveli (C) Thimmarajapuram. Ward 5 Perumal Sannathi Street, 2.Tirunelveli (C) Thimmarajapuram Ward 5 Perumal Sannathi  Back Side, 3.Tirunelveli (C) Thimmarajapuram Ward 5 Thimmai South Side Ist Street, 4.Tirunelveli (C) Thimmarajapuram. Ward 5 Thimmai South Side Iiird Street, 5.Tirunelveli (C) Thimmarajapuram Ward 5 Thimmai South Side Ivth Street, 999.Overseas Electors",Tamilaga Vettri Kazhagam,18.9419795221843
34,"Corporation Old Primary School, Main Northern Hall, Salai Street, Vannarpettai","1.Tirunelveli (C) Vannarpettai. Appar Swamigal Street, Ward No 11, 2.Tirunelveli (C) Vannarpettai. Thirukuripu Thondar Street, Ward No 11 999.Overseas Electors",Tamilaga Vettri Kazhagam,17.80028943560058
