Polling Station No.,Location and Name of the Building in which Polling station is located,Polling Area,Winner_Party,Margin_Percentage
21,"Panchayat Union Middle School, Mamandur Thenpathi North Facing","1.Mamandur (P) And Mamandur (R.V), Ward 3 Library St
2.Mamandur (P) And Mamandur (R.V), Ward 3 Mudhaliyar St
3.Mamandur (P) And Mamandur (R.V), Ward 3 Eswaran Koil St
4.Mamandur (P) And Mamandur (R.V), Ward 3 Irular St
5.Mamandur (P) And Mamandur (R.V), Ward 3 Kammala St
6.Mamandur (P) And Mamandur (R.V), Ward 4 mamandoor old colony
7.Mamandur (P) And (R.V), Ward 3 GST Road
8.Mamandur (P) And Mamandur(R.V), Ward 3 GST Road 999.Overseas Electors",Tamilaga Vettri Kazhagam,5.433646812957157
23,"Panchayat Union Primary School, Meyyur East Facing","1.Maiyur(P) And Maiyur(R.V), Ward 3,4 Tharmaraja koil st
2.Maiyur (P) And Maiyur(R.V), Ward 3,4 Kozhikal st
3.Maiyur(P) And Maiyur(R.V), Ward 4 Pallikooda st
4.Maiyur(P)And Maiyur(R.V), Ward 4 Erular Colony
5.Maiyur(P)And Maiyur(R.V), Ward 4 Indira nagar main st
6.Maiyur(P)And Maiyur(R.V), Ward 4 Indira nagar cross st 999.Overseas Electors",Tamilaga Vettri Kazhagam,8.605341246290802
25,"Govt. High School, Sithandi South Facing","1.Chethandi(P)And Chethandi(R.V), Ward 1 bharathiyar st
2.Chethandi(P) And Chethandi(R.V), Ward 1Annai Indiragandhi st
3.Chethandi (P) And Chethandi(R.V), Ward 1 Thiruvalluvar st
4.Chethandi(P) And Chethandi(R.V), Ward 1 Rajiv Gandhi st
5.Chethandi(P) And Chethandi(R.V), Ward 1 Doctor Ambedkar st
6.Chethandi(P)And Chethandi(R.V), Ward 1 V.O.Chidabaranar st
7.Chithandi(P)And Chithandi(R.V), Ward 1 Nehru st
8.Chithandi(P) And Chithandi(R.V), Ward 2 Kattabomman st
9.Chithandi (p) And Chithandi(R V), Ward 1 Nethaji st 999.Overseas Electors",Tamilaga Vettri Kazhagam,1.453104359313078
28,Panchayat Union Middle School Pazhamathur West Facing North Side,"1.Pazhamathur (P) And (R.V), Ward 1 kamarajar st
2.Pazhamathur (P) And (R.V), Ward 2 Perarinjar Anna St
3.Pazhamathur (P) And (R.V), Ward 2 Dr Ambedhkar St
4.Pazhamathur (P) And (R.V), Ward 2 Kakkan St
5.Pazhamathur (P) And (R.V), Ward 2 sridevi thulukanathamman koil st
6.Pazhamathur (P) And (R.V), Ward 2 Bharathidasan St
7.Pazhamathur (P) And (R.V), Ward 2 evr periar st
8.Pazhamathur (P) And (R.V), Ward 2 thiru kannadasan st
9.Pazhamathur (P) And (R.V), Ward 2 Thiruvalluvar St
10.Pazhamathur (P) And (R.V), Ward 2 Thilagar
11.Pazhamathur (P) And (R.V), Ward 2 ovvaiar st
12.Pazhamathur (P) And (R.V), Ward 2 sri durgaiamman koil st 999.Overseas Electors",Dravida Munnetra Kazhagam,7.080504364694471
38,Panchayat Union Middle School Vedavakkam West facing North side,"1.Andavakkam (P) And (R.V), Ward 3 Colony Mariyamman St
2.Andavakkam (P) And (R.V), Ward 3 Colony Mariyamman 2nd St
3.Andavakkam (P) And (R.V), Ward 3 Colony Kizhandai St
4.Andavakkam (P) And (R.V), Ward 3 Colony 1st Cross St
5.Andavakkam (P) And (R.V), Ward 3 Colony 2nd Cross St
6.Andavakkam (P) And (R.V), Ward 1 AntavakkamVillage 1st St
7.Andavakkam (P) And (R.V), Ward 1 Pillaiyar Koil St
8.Andavakkam (P) And (R.V), Ward 1 Pillaiyar Koil 2nd St
9.Andavakkam (P) And (R.V), Ward 1 Erikkarai St
10.Andavakkam (P) And (R.V), Ward 1 Mettu St
11.Andavakkam (P) And (R.V), Ward 1 Thiruvalluvar Nagar
12.Andavakkam (P) And (R.V), Ward 1 Mettu St
13.Andavakkam (P) And (R.V), Ward 2 Colony 1st
14.Andavakkam (P) And (R.V), Ward 2 Udukkattu Ellaiyamman Koil St
15.Andavakkam (P) And (R.V), Ward 2 Colony Mettu St
16.Andavakkam (P) And (R.V), Ward 2 Colony Kilantai St 999.Overseas Electors",Dravida Munnetra Kazhagam,3.348729792147806
39,"GOVT.HIGHER SEC. SCHOOL
VEDANTHANGAL South facing building","1.Vedanthangal (P) And (R.V), Ward 1 Vadathangal park Main Road
2.Vedanthangal (P) And (R.V), Ward1 Thiruvalluvar nagar 1st street
3.Vedanthangal (P) And (R.V), Ward1 Thiruvalluvar nagar 2nd street
4.Vedanthangal (P) And (R.V), Ward 1 Thiruvalluvar nagar 1st street
5.Vedanthangal (P) And (R.V), Ward1 Thiruvalluvar nagar 2nd street
6.Vedanthangal (P) And (R.V), Ward1 Meddu street main road
7.Vedanthangal (P) And (R.V), Ward1 Muthammal koil street
8.Vedanthangal (P) And (R.V), Ward 1 Erikarai salai
9.Vedanthangal (P) And (R.V), WARD 1 RATINAKINARU ST, PILLAIYARKOIL ST
10.Vedanthangal (P) And (R.V), Ward1 Bajanai Koil St
11.Vedanthangal (P) And (R.V), Ward 1 Ellaiyamman Koil St
12.Vedanthangal (P) And (R.V), Ward1 Tamil nadu Hotel St
13.Vedanthangal (P) And (R.V), Ward 1 Padavattamman Koil Street
14.Vedanthangal (P) And (R.V), Ward 1 Padavattamman Kulakkarai St
15.Vedanthangal (P) And (R.V), Ward 1 Nagathamman Koil Street
16.Vedanthangal (P) And (R.V), Ward 1 Paramasivam Veedu St
17.Vedanthangal (P) And (R.V), Ward 1 Gengaiyamman Koil Street
18.Vedanthangal (P) And (R.V), Ward1 Kadaisi Kulakkarai St
19.Vedanthangal (P) And (R.V), Ward 1 Govinda sami St
20.Vedanthangal (P) And (R.V), Ward1 Rattina kinaru St 999.Overseas Electors",Tamilaga Vettri Kazhagam,7.970244420828905
40,GOVT.HIGHER SEC. SCHOOL VEDANTHANGAL ROOM OFFICE WEST FACING SOUTH SIDE,"1.Vedanthangal (P) And (R.V), Ward1 Vedanthangal Chithiraikoodam
2.Vedanthangal (P) And (R.V), Ward 1 Mariyamman Koil St
3.Vedanthangal (P) And (R.V), Ward1 Mari St
4.Vedanthangal (P) And (R.V), Ward 1 Tholaikkatchi St
5.Vedanthangal (P) And (R.V), Ward 1 Kulakkarai St
6.Vedanthangal (P) And (R.V), Ward 1 Muthallamman Koil St
7.Vedanthangal (P) And (R.V), Ward 1 Main Road Renukapuram
8.Vedanthangal (P) And (R.V), Ward 1 SHT Thotti St
9.Vedanthangal (P) And (R.V), Ward 1 Renukapuram 1 st cross St
10.Vedanthangal (P) And (R.V), Ward 1 Valayaputhur koot road
11.Vedanthangal (P) And (R.V), Ward 1 Pillaiyar Koil St
12.Vedanthangal (P) And (R.V), Ward 1 Valaiyaputhur Main road
13.Vedanthangal (P) And (R.V), Ward 1 Annammal Nagar 1st St
14.Vedanthangal (P) And (R.V), Ward 1 Annammal Nagar 2nd Cross St
15.Vedanthangal (P) And (R.V), Ward 1 Annammal Nagar 3rd Cross St
16.Vedanthangal (P) And (R.V), Ward 1 Annammal Nagar 4th Cross St
17.Vedanthangal (P) And (R.V), Ward 1 Annammal Nagar 5th Cross St
18.Vedanthangal (P) And (R.V), Ward1 Ambedkar St
19.Vedanthangal (P) And (R.V), Ward 1 Thanthoniamman Koil St
20.Vedanthangal (P) And (R.V), Ward 1 Vettaikkara St
21.Vedanthangal (P) And (R.V), Ward 1 Iyyar St
22.Vedanthangal (P) And (R.V), Ward 1 Pillaiyar Koil St
23.Vedanthangal (P) And (R.V), Ward 1 Muthumariyamman Koil St
24.Vedanthangal (P) And (R.V), Ward 1 Valaiyathur 1st cross St
25.Vedanthangal (P) And (R.V), Ward 1 Valaiyathur 2nd cross St
26.Vedanthangal (P) And (R.V), Ward 1 village main road
27.Vedanthangal (P) And (R.V), Ward 1 Pillaiyar Koil St 2 st
28.Vedanthangal (P) And (R.V), Ward 1 Pillaiyar Koil 1st Cross St
29.Vedanthangal (P) And (R.V), Ward 1 Rattina Kinaru 1st St
30.Vedanthangal (P) And (R.V), Ward 1 Pillaiyar Koil 2nd st 999.Overseas Electors",Dravida Munnetra Kazhagam,10.300925925925926
41,GOVT.HIGHER SEC. SCHOOL VEDANTHANGAL ROOM OFFICE WEST FACING NORTH SIDE,"1.Vedanthangal (P) And (R.V), Ward 1 Manickam St
2.Vedanthangal (P) And (R.V), Ward 1 Bajanai Koil St
3.Vedanthangal (P) And (R.V), Ward 1 Loganathan St
4.Vedanthangal (P) And (R.V), Ward 1 Chithathur main road
5.Vedanthangal (P) And (R.V), Ward 1 Pillaiyar Koil St
6.Vedanthangal (P) And (R.V), Ward 1 Pasuvan Naidu St
7.Vedanthangal (P) And (R.V), Ward 1 Gengaiamman Koil St
8.Vedanthangal (P) And (R.V), Ward 1 Chithathur Colony 1st Cross St
9.Vedanthangal (P) And (R.V), Ward 1 Chithathur Colony 2nd Cross St
10.Vedanthangal (P) And (R.V), Ward 2 Chithathur main 1st st
11.Vedanthangal (P) And (R.V), Ward 2 Thulukkanathamman Koil St
12.Vedanthangal (P) And (R.V), Ward 2 Chithathur 2nd main road
13.Vedanthangal (P) And (R.V), Ward 2 Chithathur main road
14.Vedanthangal (P) And (R.V), Ward 2 Thuraiyur Main road
15.Vedanthangal (P) And (R.V), Ward 2 Thuraiyur main road
16.Vedanthangal (P) And (R.V), Ward 2 Thuraiyur Colony Main road
17.Vedanthangal (P) And (R.V), Ward 3 Thuraiyur 1st Cross St
18.Vedanthangal (P) And (R.V), Ward 3 Thuraiyur Colony 2nd cross st 999.Overseas Electors",Tamilaga Vettri Kazhagam,2.888086642599278
42,GOVT.HIGHER SEC. SCHOOL ROOM OFFICE EAST FACING SOUTH SIDE,"1.Vedanthangal (P) And (R.V), Ward 3 Vinayaga nallur Kulakkarai St
2.Vedanthangal (P) And (R.V), Ward 3 Vinayaganallur Bajanai Koil St
3.Vedanthangal (P) And (R.V), Ward 3 Kakkan Kollai St
4.Vedanthangal (P) And (R.V), Ward 3 Vinayaganallur Road
5.Vedanthangal (P) And (R.V), Ward3 Irular St
6.Vedanthangal (P) And (R.V), Ward 3 Vinayaga nallur Kadaisi St
7.Vedanthangal (P) And (R.V), Ward 3 Vinayaganallur Anna St
8.Vedanthangal (P) And (R.V), Ward 3 Vinayaganallur Ambedkar St
9.Vedanthangal (P) And (R.V), Ward 3 Vinayaganallur Indra gandhiSt
10.Vedanthangal (P) And (R.V), Ward 3 Vinayaganallur Nehru St
11.Vedanthangal (P) And (R.V), Ward 3 Vinayaganallur Gandhi St
12.Vedanthangal (P) And (R.V), Ward 3 Erikkarai St 999.Overseas Electors",Dravida Munnetra Kazhagam,1.2658227848101267
49,"PANCHAYAT UNION PRIMARY SCHOOL
ALAPAKKAM West Facing South Side","1.AYYAPAKKAM (P) And (R.V), Ward 1 Ambedkar North St
2.AYYAPAKKAM (P) And (R.V), Ward 1 Ambedkar Nadu St
3.AYYAPAKKAM (P) And (R.V), Ward 1 Ambedkar South St
4.AYYAPAKKAM (P) And (R.V), Ward 1 Pillaiyar Koil St
5.AYYAPAKKAM (P) And (R.V), Ward 1 Arunthathi Palayam
6.AYYAPAKKAM (P) And (R.V), Ward 1 Road St
7.AYYAPAKKAM (P) And (R.V), Ward 2 Ellaiyamman Koil St
8.AYYAPAKKAM (P) And (R.V), Ward 2 Bajanai Koil St
9.AYYAPAKKAM (P) And (R.V), Ward 2 Gandhi St
10.AYYAPAKKAM (P) And (R.V), Ward 3 Bada Salai St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,6.111111111111111
