Polling Station No.,Location and Name of the Building in which Polling station is located,Polling Area,Winner_Party,Margin_Percentage
88,"Panchayat Union Primary School, Veeranakunnam South Facing West Side","1.Veeranakunnam (P) And (R.V), Ward 2 Iyyar St
2.Veeranakunnam (P) And (R.V), Ward 1 Meattu St
3.Veeranakunnam (P) And (R.V), Ward 2 Udaiyar St
4.Veeranakunnam (P) And (R.V), Ward 1 1st Cross St Meatu St
5.Veeranakunnam (P) And (R.V), Ward 1 2nd Cross St Metu St
6.Veeranakunnam (P) And (R.V), Ward 1 Mariyamman Koil St
7.Veeranakunnam (P) And (R.V), Ward 2 Vailliyamman Koil St
8.Veeranakunnam (P) And (R.V), Ward 2 Irular St
9.Veeranakunnam (P) And (R.V), Ward 2 1st St Colany
10.Veeranakunnam (P) And (R.V), Ward 2 Muthumariyamman Koil St
11.Veeranakunnam (P) And (R.V), Ward 2 Nagakanni Amman Koil St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,8.525033829499323
89,Panchayat Union Primary school Kizhapattu North Facing East Side,"1.Veeranakunnam (P) And (R.V), Ward 1 c s i charch st (colany)
2.Veeranakunnam (P) And (R.V), Ward 3 Meatu Colany
3.Veeranakunnam (P) And (R.V), Ward 3 1st St (Colany)
4.Veeranakunnam (P) And (R.V), Ward 3 2nd St (Colany)
5.Veeranakunnam (P) And (R.V), Ward 3 3rd St (Colany)
6.Veeranakunnam (P) And (R.V), Ward 3 Barathiyar (Yur)
7.Veeranakunnam (P) And (R.V), Ward 3 Mettu St
8.Veeranakunnam (P) And (R.V), Ward 3 Poonniyamman Koil St
9.Veeranakunnam (P) And (R.V), Ward 3 Pillaiyar Koil St
10.Veeranakunnam (P) And (R.V), Ward 3 Ambathkar Nagar
11.Veeranakunnam (P) And (R.V), Ward 3 Irular Colany 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,1.7152658662092626
115,"C.S.I Primary School Acharapakkam Main Roed Maduranthagam West
Facing North Side","1.Mathuranthagam, Ward19 Pazaveri Kuttai
2.Mathuranthagam, Ward19 Acharapakkam Road
3.Mathuranthagam, Ward19 Malattukkuttai Street 1st
4.Mathuranthagam, Ward19 Bangala Colony
5.Mathuranthagam, Ward Malattukuttai Street 2nd 999.Overseas Electors",Dravida Munnetra Kazhagam,4.77326968973747
123,"R.C Middle School, Mangalore tiled West facing Room 6","1.Mathuranthagam, Ward22 kalakkapur
2.Mathuranthagam, Ward22 Sathannur Colony
3.Mathuranthagam, Ward22 Sathanur Mariyamman Koil Street
4.Mathuranthagam, Ward22 Sathanur New Street
5.Mathuranthagam, Ward21 Lurthupuram
6.Mathuranthagam, Ward21 Gangaiyamman Koil Street 999.Overseas Electors",Dravida Munnetra Kazhagam,1.257861635220126
137,"Panchayat Union Middle School, Gudalore West Facing South Side","1.Kodalur (P) And (R.V), Ward 3 Jothi nagar st
2.Kodalur (P) And (R.V), Ward 3 Nehru st
3.Kodalur (P) And (R.V), Ward 3 Kamarajar St
4.Kodalur (P) And (R.V), Ward 3 Uthukkattuamman 1 st cross st
5.Kodalur (P) And (R.V), Ward 3 Uthukkattuamman st
6.Kodalur (P) And (R.V), Ward 3 Uthukkattuamman 2nd cross st
7.Kodalur (P) And (R.V), Ward 3 Gangaiamman koil st
8.Kodalur (P) And (R.V), Ward 3 Uthukkattamman 3rd cross st
9.Kodalur (P) And (R.V), Ward 1 Kazhanipakkam village
10.Kodalur (P) And (R.V), Ward 1 Tank St 1
11.Kodalur (P) And (R.V), Ward 1 Kazhanipakkam 1 Cross st
12.Kodalur (P) And (R.V), Ward 1 Kazhanipakkam Mariamman koil st
13.Kodalur (P) And (R.V), Ward 1 Kazhanipakkam 2 cross st 999.Overseas Electors",Dravida Munnetra Kazhagam,6.535947712418301
150,Panchayat Union Middle School Kizhamur North Facing,"1.Keizhamur (P) And (R.V), Keizhamur village main road
2.Keizhamur (P) And (R.V), Ward 4 Pillaiyar Koil st
3.Keizhamur (P) And (R.V), Ward 4 Mettu st
4.Keizhamur (P) And (R.V), Ward 2 Naidu st
5.Keizhamur (P) And (R.V), Ward 2 Tank St
6.Keizhamur (P) And (R.V), Ward 3 Keizhamur colony main road
7.Keizhamur (P) And (R.V), Ward 3 Keizhamur colony Muthumariamman koil st
8.Keizhamur (P) And (R.V), Ward 2 Munamalai pattu village
9.Keizhamur (P) And (R.V), Ward 1 Pasuvankaranai village main road
10.Keizhamur (P) And (R.V), Ward 1 Pasuvankaranai village 1st street
11.Keizhamur (P) And (R.V), Ward 1 Pasuvankaranai village nadu st 999.Overseas Electors",Dravida Munnetra Kazhagam,1.3268998793727382
154,Panchayat Union Primary School Kattukarani East Facing South Side,"1.Kattukaranai (P) And (R.V), Ward 1 vadavandai st
2.Kattukaranai (P) And (R.V), Ward 1 Mettu st
3.Kattukaranai (P) And (R.V), Ward 2 Santhu st
4.Kattukaranai (P) And (R.V), Ward 2 Mariamman koil st
5.Kattukaranai (P) And (R.V), Ward 1 Bajanai koil st
6.Kattukaranai (P) And (R.V), Ward 1 Gangaiamman koil st
7.Kattukaranai (P) And (R.V), Ward Vettaikara st 999.Overseas Electors",Dravida Munnetra Kazhagam,0.5376344086021506
158,Government Higher Secondary school Ellapakkam South side,"1.Elapakkam (P) And (R.V), Warad 2 hospital road
2.Elapakkam (P) And (R.V), Ward 2 Sri Balamurugan koil st
3.Elapakkam (P) And (R.V), Ward 2 Cross st
4.Elapakkam (P) And (R.V), Ward 2 Higher secondary school st
5.Elapakkam (P) And (R.V), Ward 2 Sri Subramaniar koil st
6.Elapakkam (P) And (R.V), Ward 3 Kulakarai veethy
7.Elapakkam (P) And (R.V), Ward 3 Post Office st
8.Elapakkam (P) And (R.V), Ward 3 Mettu st
9.Elapakkam (P) And (R.V), Ward 2 Electricity Office st
10.Elapakkam (P) And (R.V), Ward 2 pannaithoppu st 999.Overseas Electors",Dravida Munnetra Kazhagam,2.3746701846965697
164,Panchayat Union Primary School Porakal North Facing,"1.Poorakal (P) And (R.V), Ward 1 Annankal poorakal salai
2.Poorakal (P) And (R.V), Ward 1 Poorakal village st
3.Poorakal (P) And (R.V), Ward 1 Annankal poorakal salai
4.Poorakal (P) And (R.V), Ward 2 Old colony 1st street
5.Poorakal (P) And (R.V), Ward 2 Old colony 2nd st
6.Poorakal (P) And (R.V), Ward 2 Old colony 3rd st
7.Poorakal (P) And (R.V), Ward 2 Mariamman koil st
8.Poorakal (P) And (R.V), Ward 2 Elapakkam salai
9.Poorakal (P) And (R.V), Ward 2 New colony 1st st
10.Poorakal (P) And (R.V), Ward 2 New colony 2nd st 999.Overseas Electors",Tamilaga Vettri Kazhagam,3.6163522012578615
169,Govt.Higher Secondary School Orathi South facing Room 4,"1.Orathi (P) And (R.V), Ward 4 Main Road
2.Orathi (P) And (R.V), Ward 4 Veppankaranai salai
3.Orathi (P) And (R.V), Ward 4 Keizhchembedu salai
4.Orathi (P) And (R.V), Ward 4 Kulakarai st
5.Orathi (P) And (R.V), Ward 4 Tindivanam salai
6.Orathi (P) And (R.V), Ward 4 Malaiyadivaram
7.Orathi (P) And (R.V), Ward 4 Ettipatti salai
8.Orathi (P) And (R.V), Ward 4 North puthur salai 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,8.16326530612245
