Location and Name of Building in which Polling Station Located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"St.Joseph Hr.Sec.School West Building
Middle Room, North Side Punnakayal.",1,Tamilaga Vettri Kazhagam,1
"St.Joseph R.C. Primary School East Portion Class Room I and II, Kanthasamypuram, Nazareth",1,Tamilaga Vettri Kazhagam,1
"St.Joseph R.C. Primary School East Portion Class Room IV and V, Kanthasamypuram",1,Dravida Munnetra Kazhagam,1
"St.Michael R.C. Middle School ,North
building ,Eastern Portion, Sernthamangalam.",1,Tamilaga Vettri Kazhagam,1
"St.Michael R.C. Middle School ,North building ,Western Portion, Sernthamangalam.",1,Tamilaga Vettri Kazhagam,1
"St.Thomas Hr.Sec School, South
Building, East Side, Veerapandiyanpattanam",1,Tamilaga Vettri Kazhagam,1
"St.Thomas Hr.Sec School, South Building West Side, Veerpandiyanpattanam.",1,Dravida Munnetra Kazhagam,1
"St.Xavier Middle School, Anto Hall, Sethukuvaithan.",1,Tamilaga Vettri Kazhagam,1
"St.Xavier Middle School, West side
Building, Sethukuvaithan",1,Dravida Munnetra Kazhagam,1
"StThomas Hr.Sec School, North
Building, East Side, Veerapandiyanpattanam",1,Tamilaga Vettri Kazhagam,1
"Stars Model Matriculation Higher Secondary School Main Building, Southern wing, (Class III Std B) (Ground Floor), Kumarapuram, Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"Subaitha Girls Higher Secondary School
North Building (Class IVB), kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"Subaitha Girls Higher Secondary School,
East Building, Middle Portion, Kayalpattanam",1,Dravida Munnetra Kazhagam,1
"Subaitha Girls Hr.Sec School ,West Block Ground Floor, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"Subaitha Girls Hr.Sec. School, East
Building South Portion, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A . Middle School, South Building South Portion, Vallivillai",1,Tamilaga Vettri Kazhagam,1
"T.N.D.T.A . Primary School, Arumugapuram, Kayamozhi",1,Tamilaga Vettri Kazhagam,1
"T.N.D.T.A . Primary School, Poovarasur, Arumuganeri.",1,Bharatiya Janata Party,1
"T.N.D.T.A Bishop Azaria Memorial
Hr.Sec School, West Building North Room, Class Xth A, Vellalanvillai",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A Bishop Azaria Memorial Primary School EastPortion, Vellalanvillai",1,Tamilaga Vettri Kazhagam,1
"T.N.D.T.A Bisoph Azaria Memorial Primary School West Portion, Vellalanvillai",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A Boys Hr. Sec School East Portion, East Building, Christianagaram",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A Boys Hr.Sec School, Western New Building, X std D,Muslim Wellwishers Block, Christianagaram",1,Bharatiya Janata Party,1
"T.N.D.T.A Boys Hr.Sec School,East Portion New Building,Class Xth A, Christianagaram",1,Bharatiya Janata Party,1
"T.N.D.T.A Kaspa Primary School South
Building, West portion, Thasan street, Nazareth.",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A Kaspa Primary School, East Building, Thasan street, Nazareth.",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A Middle
School,Muthukrishnapuram, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
"T.N.D.T.A Middle Scholl, Sonanganvillai",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A Middle School, South Building, Veermanickam",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A Middle School, South Portion, Muthukrishnapuram, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
"T.N.D.T.A Middle School, West Building, Seerkachi",1,Bharatiya Janata Party,1
"T.N.D.T.A Middle school, Kalvilai",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A Primary School New Building, Pavanasapuram, Soolaikudieruppu, Kuthiraimozhi",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A Primary School South Portion, Theriuoor",1,Tamilaga Vettri Kazhagam,1
"T.N.D.T.A Primary School,
Kulasekaranpattanam",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A Primary School, New Building, Anaithalai, Seemarikulam",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A Primary School, New Building, Potharanganvilai, Paramankuruchi",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A Primary School, North
Shunmugapuram, east portion, Kurumbur.",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A Primary School, North
Shunmugapuram,west portion, Kurumbur.",1,Tamilaga Vettri Kazhagam,1
"T.N.D.T.A Primary School, Rajapathi",1,Dravida Munnetra Kazhagam,1
"T.N.D.T.A, Middle School, Meyoor",1,Bharatiya Janata Party,1
"T.N.D.T.A. Bishop Azaria Memorial
Hr.Sec School,West Building Middle Room,Class XIIth A std, Vellalanvillai",1,Tamilaga Vettri Kazhagam,1
"T.N.D.T.A. Issac DuraisaamyNadar
HighSchool North Portion, Miss.Grace Pappa Building, North Maranthalai.",1,Tamilaga Vettri Kazhagam,1
"T.N.D.T.A. Primary School Marudhoorkarai, Y.M.C.A Building, Lakshmipuram",1,Bharatiya Janata Party,1
"T.N.D.T.A. Primary School, East Portion, Chithabarapuram, Thandupathu",1,Tamilaga Vettri Kazhagam,1
"T.N.D.T.A. Primary School, Immanualpuram, Seemarikulam",1,Tamilaga Vettri Kazhagam,1
"T.N.D.T.A.Primary School, Madathuvilai, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
"TN.D.T.A . Primary School East Portion, Keelavannaduraivilai, Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"TN.D.T.A . Primary School west Portion,
Keelavannaduraivilai, Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"TN.D.T.A Middle School , Middle Room VIII Std, Nalumavadi.",1,Dravida Munnetra Kazhagam,1
"TN.D.T.A Middle School , South Room IV Std, Nalumavadi.",1,Tamilaga Vettri Kazhagam,1
"TN.D.T.A Primary School East Portion, Kulaikkangudi Kurukattur",1,Dravida Munnetra Kazhagam,1
"TN.D.T.A Primary School West Portion, Kulaikkangudi Kurukattur",1,Dravida Munnetra Kazhagam,1
"TN.D.T.A Primary School, Aroickyapuram, Lakshmipuram",1,Dravida Munnetra Kazhagam,1
TNDTA PRIMARY SCHOOL SOUTH PORTION AGAPPAIKULAM NAZARETH,1,Dravida Munnetra Kazhagam,1
"Thiraviam Primery School,West Portion, Arumuganeri.",1,Bharatiya Janata Party,1
"Thiru Arul Higher Sec. School, South Building, Kulasekaranpattanam",1,Dravida Munnetra Kazhagam,1
"Thiru Arul Hr. Sec School North Building East Portion, Kulasekaranpattanam",1,Tamilaga Vettri Kazhagam,1
"Thiru Kudumbam High School West Portion, IIIrd Std , Alanthalai",1,Tamilaga Vettri Kazhagam,1
"Thiru Kudumbam, High School , East Portion, IIIrd Std , Alanthalai",1,Tamilaga Vettri Kazhagam,1
"Thulir School for Special Children,
Thulir Arangam West Portion North Side Rathinapuri, kayalpattinam.",1,Tamilaga Vettri Kazhagam,1
"Thulir School for Special Children,
Thulir Arangam, South side Building East side, Rathinapuri kayalpattinam.",1,Tamilaga Vettri Kazhagam,1
