Location and Name of Building in which Polling Station Located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"Hindu High School, East Side, Poochikadu, Pallipathu",1,Tamilaga Vettri Kazhagam,1
"Hindu Hr Sec School Dr.Sivanthi Aditanar Hall, South Side, Class X A, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
"Hindu Hr.Sec.School, Gandhi Hall, Poovarasur, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
"Hindu Hr.Sec.School, Sivanthi Aditanar
Hall, North Protion Room, Poovarasur, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
"Hindu Middle School, Main Building, East Room, Varandiyavel, Suganthalai",1,Tamilaga Vettri Kazhagam,1
"Hindu Primary School , Molakkarai",1,Tamilaga Vettri Kazhagam,1
"Hindu Primary School East Portion, Nazareth",1,Dravida Munnetra Kazhagam,1
"Hindu Primary School South Facing North Building V.O.C Street, Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"Hindu Primary School V.O.C Street,
South Buidling North Facing, Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"Hindu Primary School West Building, Madhavankuruchi",1,Dravida Munnetra Kazhagam,1
"Hindu Primary School, East Portion, Thandavankadu, Madhavankuruchi",1,Bharatiya Janata Party,1
"Hindu Primary School, Keeranoor.",1,Bharatiya Janata Party,1
"Hindu Primary School, Kurangani",1,Bharatiya Janata Party,1
"Hindu Primary School, SouthSide NewBuilding, V.O.C Street, Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"Hindu Saraswathi Middle School , West Building North portion, Arumuganeri.",1,Bharatiya Janata Party,1
"Illainjer Aramba vidhya saalai New
Building West Portion Ranimaharajapurtam, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
"Illainjer Aramba vidhya saalai New
Building, East Portion, Ranimaharajapurtam, Arumuganeri",1,Tamilaga Vettri Kazhagam,1
"JAMES MEMORIAL MATRICULATION HR.SEC.OF S.D.A. SCHOOL Elementry
section building III Room prakasapuram",1,Dravida Munnetra Kazhagam,1
"James Memorial Metriculation. Hr.Sec. of S.D.A. School, Elementry Section Building, IV th Room, Prakasapuram",1,Tamilaga Vettri Kazhagam,1
"K.A.Higher Secondary School , North Building East Portion West Side Class XB, Peiyanvillai, Arumuganeri.",1,Bharatiya Janata Party,1
"K.A.Higher Secondary School ,North
Building East Portion East Side Class XA, Peiyanvillai, Arumuganeri.",1,Tamilaga Vettri Kazhagam,1
