Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
84,"Panchayat Union Primary School,North Building West Side , Nallur","1.Nallur (R.V) And (P) Pillaimar Street Block 3, 2.Nallur (R.V) and
(P) Asarimar street block 3, 3.Nallur (R.V) And (P) Nagkanniyapuram block 4, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,16,2.52764612954186
86,"T.N.D.T.A Middle School, South Building, Veermanickam","1.veeramanickam (R.V) And (P) veeramanickam Block 1,
2.veeramanickam (R.V) And (P) Ambalaprappu Block 2, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,19,3.94190871369295
94,"Panchayat Union Primary School, Valavilai, Arumuganeri.","1.Arumuganeri (S.G.T.P) Keela Navvaladivilai sandu ward 2,
2.Arumuganeri (S.G.T.P) Keelanavaladivillai north street ward 2,
3.Arumuganeri (S.G.T.P) Keelanowladivillai north street 1 sandu,
4.Arumuganeri (S.G.T.P) Keelanowladivilai North Street 2nd Sandu,
5.Arumuganeri (S.G.T.P) Keelanowladivilai North Street 3rd sandu,
6.Arumuganeri (S.G.T.P) Keelanowladivilai northstreet 4rh sandu,
7.Arumuganeri (S.G.T.P) Keelanowladi villai Center Street Ward 2,
8.Arumuganaeri (S.G.T.P) Saltline north street ganeshpuram, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Bharatiya Janata Party,29,3.64321608040201
101,"T.N.D.T.A . Primary School, Poovarasur, Arumuganeri.","1.Arumuganeri (S.G.T.P) Mariamman koil street ward 14,
2.Arumuganeri (S.G.T.P) Lakshmi managaramsouth street ward 14,
3.Arumuganeri (S.G.T.P) Thesaykaval north street ward 14,
4.Arumuganeri (S.G.T.P) Thesaykaval Middle street ward 14, ,
5.Arumuganeri (S.G.T.P) Thesaykaval south street ward 14,
6.Arumuganeri (S.G.T.P) Gandhi Street Ward 14, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,Tamilaga Vettri Kazhagam,23,2.95629820051414
106,"T.N.D.T.A.Primary School, Madathuvilai, Arumuganeri.","1.Arumuganeri (S.G.T.P) Selvavinayagar Street Ward 13,
2.Arumuganeri (S.G.T.P) Misson KOvil Street Ward 13,
3.Arumuganeri (S.G.T.P) Poovarasoor south street ward 13,
4.Arumuganeri (S.G.T.P) Poovarasoor south street ward 13,
5.Arumuganeri (S.G.T.P) Poovarasoor MelaStreet Ward 13,
6.Arumuganeri (S.G.T.P) Madathuvilai Antoniyaar kovilStreet Ward 13, 7.Arumuganeri (S.G.T.P) TheyaheSomaSundraeswar street Ward 13, 8.Arumuganeri (S.G.T.P) Madathuvilai MelasTreet Ward 13, 9.Arumuganeri (S.G.T.P) Madathuvilai KeelaStreet Ward 13, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,5,0.631313131313131
111,"T.N.D.T.A Middle
School,Muthukrishnapuram, Arumuganeri.","1.Arumuganeri(S.G.T.P) Rajamanniapuram kurukku street ward 6,
2.Arumuganeri(S.G.T.P) Rajamanniapuram Misson kovil Street Ward 6, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,9,2.87539936102236
115,"Illainjer Aramba vidhya saalai New
Building West Portion Ranimaharajapurtam, Arumuganeri.","1.Arumuganeri(S.G.T.P) RaniMaharajapuram North street Ward 9,
2.Arumuganeri(S.G.T.P) Ranimaharajapuram South Street Ward 8, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Bharatiya Janata Party,1,0.196463654223969
118,"Hindu Arulneri High School, Thirumalaiyappa puram, Sonaganvillai.","1.Arumuganeri(S.G.T.P) Kaniyalam pudur KeelaStreet Ward 10,
2.Arumuganeri(S.G.T.P) Nalayuramudaiyarkulam Ward 10,
3.Arumuganeri(S.G.T.P) Thirumalayappapuram Ward 10,
4.Arumuganeri(S.G.T.P) Kanniyalanpudur North Street Ward 10,
5.Arumuganeri(S.G.T.P) Mutharammankovil Street Ward 10, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,1,0.12453300124533
123,"Municipality Middle School,West
building, East facing, South side,Thaikka street,Kayalpattinam","1.Kayalpattinam(Municipality) Koman pudur ward 18,
2.Kayalpattinam(Municipality) Gurusadi (DCW Quarters) Ward 18, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,Tamilaga Vettri Kazhagam,18,4.47761194029851
129,"National Primary School Eastern
Building, Arunachalapuram, kayalpattinam.","1.Kayalpattinam(Municipality) Arunachalapuram ward 1, , 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,11,1.69230769230769
