Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
45,"Kadiria Primary School, South Building Boyan Thurai Road Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-1 Puthur West Street
2.Bodinayakanur (R.V) And (M), Ward-1 Puthur North Street
3.Bodinayakanur (R.V) And (M), Ward-1 Puthur Middle Street (Sheikbeeranan Street)
4.Bodinayakanur (R.V) And (M), Ward-1 Puthur Middle Street (Rahamathulah Street)
5.Bodinayakanur (R.V) And (M), Ward-1 Puthur Middle Street (Kulasekarapandiyan Street)
6.Bodinayakanur (R.V) And (M), Ward-1 Puthur South Street
7.Bodinayakanur (R.V) And (M), Ward-1 Puthur Road
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,452,372,8.66738894907909
46,"Anganwadi Centre No.22,North Side Building, West Room, TVKK Nagar, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-31 T.V.K.K. Road-4
2.Bodinayakanur (R.V) And (M), Ward-31 T.V.K.K. Road-5
3.Bodinayakanur (R.V) And (M), Ward-31 T.V.K.K. Road-6
4.Bodinayakanur (R.V) And (M), Ward-31 T.V.K.K. Road-7
5.Bodinayakanur (R.V) And (M), Ward-31 T.V.K.K. Road-8
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,350,283,8.6340206185567
47,"Anganwadi Centre No.18,North Side
Building, East Room,TVKK Nagar,
Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-31 T.V.K.K. Road-9
2.Bodinayakanur (R.V) And (M), Ward-31 T.V.K.K. Road-10
3.Bodinayakanur (R.V) And (M), Ward-29 Aranmanai Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,251,204,8.24561403508772
55,"Shanmuga Arulneri Primary School, Western Building, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-2 Mayanam Road
2.Bodinayakanur (R.V) And (M), Ward-2 Zameen Thoppu Road
3.Bodinayakanur (R.V) And (M), Ward-5 Kovalan Lane
4.Bodinayakanur (R.V) And (M), Ward-5 North Maravar Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,364,332,3.7339556592765457
56,"Pitchandi Middle School,, Theradi Street,
North Side, East Part, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-2 Theradi Street
2.Bodinayakanur (R.V) And (M), Ward-2 Periyakulam Road
3.Bodinayakanur (R.V) And (M), Ward-2 Chellayiamman Kovil Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,286,269,2.522255192878338
57,"Govt. Kallar Middle. School, New Building, North Room, Periyakulam Road, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-2 Periyakulam Road
2.Bodinayakanur (R.V) And (M), Ward-2 Perumal Kovil Street
3.Bodinayakanur (R.V) And (M), Ward-4 Perumal Kovil Kinatradi Lane
4.Bodinayakanur (R.V) And (M), Ward-6 Chinnasamy Street
5.Bodinayakanur (R.V) And (M), Ward-6 Sooriyamoorthy Lane
6.Bodinayakanur (R.V) And (M), Ward-6 Erumaikkaran Lane
7.Bodinayakanur (R.V) And (M), Ward-6 Atkondan Lane
8.Bodinayakanur (R.V) And (M), Ward-6 Sethupathi Lane
9.Bodinayakanur (R.V) And (M), Ward-6 Periyanan Lane
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,241,238,0.5263157894736842
59,"Vaaniyar Uravinmurai Mandabam,
Northern Building, North Side, Keela Raja Veethi, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-3 Natanmaikarar Sreet
2.Bodinayakanur (R.V) And (M), Ward-4 Perumal Kovil North Street
3.Bodinayakanur (R.V) And (M), Ward-4 Kanavarisai Lane
4.Bodinayakanur (R.V) And (M), Ward-4 KattiyakaranKinartradi Lane
5.Bodinayakanur (R.V) And (M), Ward-4 Pettai Street
6.Bodinayakanur (R.V) And (M), Ward-4 Kamanan Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,212,208,0.7352941176470588
60,"Vaaniyar Uravinmurai Mandabam, Northern Building,South Side, Keela Raja Veethi, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-4 Perumal Kovil South Street
2.Bodinayakanur (R.V) And (M), Ward-4 Thiyaki Nithiyanatham Lane
3.Bodinayakanur (R.V) And (M), Ward-4 Kamachiyamman Kovil Street
4.Bodinayakanur (R.V) And (M), Ward-4 Perumal Kovil East Street
5.Bodinayakanur (R.V) And (M), Ward-4 Nambi Lane
6.Bodinayakanur (R.V) And (M), Ward-4 Pethanan Lane
7.Bodinayakanur (R.V) And (M), Ward-4 Dandeeswaran Lane
8.Bodinayakanur (R.V) And (M), Ward-4 Perumal Kovil Street
9.Bodinayakanur (R.V) And (M), Ward-4 East Raja Lane
10.Bodinayakanur (R.V) And (M), Ward-4 West Raja Lane
11.Bodinayakanur (R.V) And (M), Ward-4 Perumalkovil Kattiyakkaran Kinatradi  Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,179,153,6.25
61,"Municipal Ele. School   North Building Municipal  Travellers Bunglow Compound, ICDS Centre No.17, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-29 Sagathevan Street
2.Bodinayakanur (R.V) And (M), Ward-29 Thiruvalluvar Lane
3.Bodinayakanur (R.V) And (M), Ward-28 Thangamuthamman Kovil Street
4.Bodinayakanur (R.V) And (M), Ward-28 Paramasivankovil Street
8.Bodinayakanur (R.V) And (M), Ward-29 Kottathu Aranmanai East Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,200,175,5.681818181818182
65,"SCISM Play School, North Block Center Building , Subburaj Nagar, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-33 New Colony Street-3
2.Bodinayakanur (R.V) And (M), Ward-33 New Colony Street-4
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,358,281,9.61298377028714
