Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
50,"Shanmugar Arulneri Primary School, North Veli Street Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-30 Ammakulam Street2
2.Bodinayakanur (R.V) And (M), Ward-3 Kamaraja Pandiyan Road
3.Bodinayakanur (R.V) And (M), Ward-30 Ammakulam Street-3
4.Bodinayakanur (R.V) And (M), Ward-30 Ammakulam Street-4
5.Bodinayakanur (R.V) And (M), Ward-30 Ammakulam Street-5
6.Bodinayakanur (R.V) And (M), Ward-30 Ammakulam Street-6
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,395,244,19.76439790575916
53,"Shanmuga Arulneri Primary School, Gurukalaiyar Street, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-3 North Raja Street
2.Bodinayakanur (R.V) And (M), Ward-3 Nattanmaikkarar Street
3.Bodinayakanur (R.V) And (M), Ward-3 Beernmeeralevai Lane
4.Bodinayakanur (R.V) And (M), Ward-3 Sankarappan Lane
5.Bodinayakanur (R.V) And (M), Ward-3 Sundharam Street
6.Bodinayakanur (R.V) And (M), Ward-3 Kurugukalayya Lane
7.Bodinayakanur (R.V) And (M), Ward-4 Kumarasamy Lane
8.Bodinayakanur (R.V) And (M), Ward-4 Chekkadi Lane
9.Bodinayakanur (R.V) And (M), Ward-5 East Raja Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,377,218,22.5531914893617
54,"Government Kallar middle school , south building, Periyakulam road bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-5 Subbu Street
2.Bodinayakanur (R.V) And (M), Ward-5 Chellamuthu Lane
3.Bodinayakanur (R.V) And (M), Ward-5 Anganan Lane
4.Bodinayakanur (R.V) And (M), Ward-5 Kuttaikamanan Lane
5.Bodinayakanur (R.V) And (M), Ward-5 Alagu Lane
6.Bodinayakanur (R.V) And (M), Ward-5 Chokkan Lane
7.Bodinayakanur (R.V) And (M), Ward-5 Sowndhravel Lane
8.Bodinayakanur (R.V) And (M), Ward-5 East Kaliyamman Kovil Lane
9.Bodinayakanur (R.V) And (M), Ward-5 Arasabban Street
10.Bodinayakanur (R.V) And (M), Ward-5 East Maravar Lane
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,401,177,32.18390804597701
58,"Govt. Kallar Middle. School, New Building Center Room, Periyakulam Road, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-6 Thiyagi Karubbaiah Lane
2.Bodinayakanur (R.V) And (M), Ward-6 Murugan Lane
3.Bodinayakanur (R.V) And (M), Ward-6 Chokkan Lane
4.Bodinayakanur (R.V) And (M), Ward-6 Bharathithasan Lane
5.Bodinayakanur (R.V) And (M), Ward-6 West Veli Street
6.Bodinayakanur (R.V) And (M), Ward-6 Petchiyamman Kovil Street
7.Bodinayakanur (R.V) And (M), Ward-6 Sivankalai Lane
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,286,197,15.55944055944056
62,"Municipal Ele. School   North Building, ICDS Centre No.04, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-29 Sundharapandian Street
2.Bodinayakanur (R.V) And (M), Ward-29 Solai Lane
3.Bodinayakanur (R.V) And (M), Ward-29 Varakunan Lane
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,200,135,15.22248243559719
63,"1st Ward Municipal Elementary School,
North Side New Building , Municipal Travellers Bunglow Compound, Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-29 Chinnaian Street
2.Bodinayakanur (R.V) And (M), Ward-29 Senthattikalai Lane
3.Bodinayakanur (R.V) And (M), Ward-29 Ayyanakaruppan Lane
4.Bodinayakanur (R.V) And (M), Ward-29 Kulammaitheen Lane
5.Bodinayakanur (R.V) And (M), Ward-29 Perumal Kovil West Lane
6.Bodinayakanur (R.V) And (M), Ward-29 Ashienhussain Street
7.Bodinayakanur (R.V) And (M), Ward-29 Lakshmanan Lane
8.Bodinayakanur (R.V) And (M), Ward-29 Perumal Kovil South Lane
9.Bodinayakanur (R.V) And (M), Ward-29 Keelamachu Aranmanai Vasal Lane
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,362,136,39.51048951048951
64,"SCISM Play School, North Block Western Side, Subburaj Nagar ,Bodinayakanur.","1.Bodinayakanur (R.V) And (M), Ward-30 Mangaiarkarasi Street
2.Bodinayakanur (R.V) And (M), Ward-30 Vennimalai Street
3.Bodinayakanur (R.V) And (M), Ward-30 Sub Register Abdul Kadhar Street
4.Bodinayakanur (R.V) And (M), Ward-30 Pulavar Khan Mohamed Street
5.Bodinayakanur (R.V) And (M), Ward-30 Karuppanan Street
6.Bodinayakanur (R.V) And (M), Ward-29 Kottai Karuppasamy Kovil Street
7.Bodinayakanur (R.V) And (M), Ward-28 Veeranan Street
8.Bodinayakanur (R.V) And (M), Ward-28 Bangaru Lane
9.Bodinayakanur (R.V) And (M), Ward-28 Ponnayamesthiri
10.Bodinayakanur (R.V) And (M), Ward-28 Sekkilar Lane
11.Bodinayakanur (R.V) And (M), Ward-28 Palani Lane
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,443,243,24.63054187192118
90,"ICDS Center No.107,  V.O.C Nagar North Street, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-7 Thiyaki Visvanathan Street
2.Bodinayakanur (R.V) And (M), Ward-7 Sebasthiyar kovil Street
3.Bodinayakanur (R.V) And (M), Ward-7 Kaliyamman kovil South Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,316,153,30.929791271347252
141,"C.S.I School, CSI School Street, Kodangipatti","1.Kodangipatti (R.V) And (P), Ward-1 C.S.I.School Street
2.Kodangipatti (R.V) And (P), Ward-1 Kaliamman Kovil Street
3.Kodangipatti (R.V) And (P), Indira Colony
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,469,224,28.789659224441834
148,"Panchayat Union Ele. School,Main Building, East Side, Uppukottai","1.Uppukottai (R.V) And (P), Ward-2 Magalingam Street
2.Uppukottai (R.V) And (P), Ward-2 Ramasamy  Street
3.Uppukottai (R.V) And (P), Ward-2 Malayandiyan  Street
4.Uppukottai (R.V) And (P), Ward-2 Kalimuthu Street 1
5.Uppukottai (R.V) And (P), Ward-2 Allan Street
6.Uppukottai (R.V) And (P), Ward-2 Muniyandi Street
7.Uppukottai (R.V) And (P), Ward-2 Kalimuthu Street -2
8.Uppukottai (R.V) And (P), Ward-2 Kovil  Street
9.Uppukottai (R.V) And (P), Ward-2 East  Colony
10.Uppukottai (R.V) And (P), Ward-2 Chinnathambi Street
11.Uppukottai (R.V) And (P), Ward-2 Vethamuthu Teacher  Street
12.Uppukottai (R.V) And (P), Ward-2 Parvathi Street
13.Uppukottai (R.V) And (P), Ward-2 Kalimuthu Street 3
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,288,164,22.103386809269164
