Serial No. Of Polling Station,Building in which it will be located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
117,"Deva Nursery and Elementary School
,East Building east facing,Thirumullaivasal","1. Thirumullaivasal (R.V) And (P), Mettu Street ward:1, 2. Thirumullaivasal (R.V) And (P), East Street ward:1, 3. Thirumullaivasal (R.V) And (P), Chetti Street ward:1, 4. Thirumullaivasal (R.V) And (P), Sunnambukkara Street ward:1, 5. Thirumullaivasal (R.V) And (P), Vaduka Street ward:1, 6. Thirumullaivasal (R.V) And (P), I.O.B. Street Ward:2, 7. Thirumullaivasal (R.V) And (P), Pallivasal Street Ward:2, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,320,74,53.36225596529284
118,"Deva Nursery and Elementary School
,West Building South facing,Thirumullaivasal","1. Thirumullaivasal (R.V) And (P), Kammala Street Ward:2, 2. Thirumullaivasal (R.V) And (P), Perumal Kovil Street Ward:2, 3. Thirumullaivasal (R.V) And (P), West Nedu Street Ward:3, 4. Thirumullaivasal (R.V) And (P), Atrangarai Street Ward:2, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,413,68,64.60674157303372
134,"Rahmaniya High School, West Facing North Building, Vadagal","1. Varisaipathuvadagal (R.V) And (P), Middle Street Ward:1, 2. Varisaipathuvadagal (R.V) And (P), Kaliyammnan Koil Street Ward:1, 3. Varisaipathuvadagal (R.V) And (P), Asari Street Ward:1, 4. Varisaipathuvadagal (R.V) And (P), Pallivasal Street Ward:2, 5. Varisaipathuvadagal (R.V) and (P), Atrangarai Street ward:2, 6. Varisaipathuvadagal (R.V)  and (P), Atrangarai Street Ward:2, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,299,157,24.567474048442904
139,"Ramakiruba Aided Middle School,East building west facing North portion Room-8,Kadavasal","1. Kadavasal (R.V) And (P), Azad Street Ward:2, 2. Kadavasal (R.V) And (P), Quaid-E-Millath Street Ward:2, 3. Kadavasal (R.V) And (P), Bilal Street Ward:2, 5. Kadavasal (R.V) And (P), Gandhi Nagar Ward:2, 5. Kadavasal (R.V) And (P), Puthu Street Ward:2, 999. OVERSEAS
ELECTORS",Dravida Munnetra Kazhagam,252,158,18.467583497053045
152,"Anganwadi Centre, New west Building East facing, Senthangudi","1. Vilanthidasamuthiram (R.V) And (P), Thillainatham Ward:1, 2. Vilanthidasamuthiram (R.V) And (P), Andikottam Ward:1, 3. Vilanthidasamuthiram (R.V) And (P), Senthangudi New Street Ward:2, 4. Vilanthidasamuthiram (R.V) And (P), Senthangudi Pallivasal Street Ward:2, 999.
OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,316,159,27.935943060498218
154,"Target Lion Club Matriculation Higher Secondary School,East facing west Building South
portion,Vilanthidasamuthiram","1. Vilanthidasamuthiram (R.V) And (P), Rethinammal Nagar Ward:4, 2. Vilanthidasamuthiram (R.V) And (P), Kamban Nagar Ward:4, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,234,116,26.45739910313901
161,"Vivekananda College of Arts and Science for Women, Facing East Building Room-1, Keezha Thenpathy","1. Sirkali (M), Manathidal Street Ward:3, 2. Sirkali (M), Thirumullaivasal Road Ward:3, 3. Sirkali (M), Kovilan Street Ward:3, 4. Sirkali (M), Ambedkar Street Ward:3, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,296,138,28.468468468468465
167,"Sri Vanivilas Aided Elementary School, Ground Floor South Portion, Pidari North Street Sirkazhi","1. Sirkali (M), Kaliyamman Koil Street Ward:10, 2. Sirkali (M), Kamarajar Street Ward:11, 3. Sirkali (M), E.V.R Street Ward:11, 4. Sirkali (M), Anna Street ward:10, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,150,96,18.367346938775512
170,"Municipal Elementary School, North facing South building, Pallivasal Street Thadalankoil","1. Sirkali (M), Pallivasal Street Ward:6, 2. Sirkali (M), Sabanayakar Street Ward:6, 3. Sirkali (M), Thadalan North Street Ward:6, 4. Sirkali (M), Thadalan East Street Ward:7, 5. Sirkali (M), Thadalan Sannathi Street Ward:7, 6. Sirkali (M), Thadalan East Madavilagam Ward:7, 999.
OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,374,128,41.55405405405405
171,"Shakthi Nursery and Primary School, South Portion, Eraniya Nagar Sirkazhi","1. Sirkali (M), Pulikkudi ward:6, 2. Sirkali (M), Ariyanpillai Kulathu Mettu Street Ward:6,   3. Sirkali (M), Chithambaram Road Ward:6, 4. Sirkali (M), Jawahar Street Ward:6, 5. Sirkali (M),
Quaid-E-Millath Street Ward:6, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,253,121,31.27962085308057
