Polling_Station_No,location_clean,polling area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
24,Chennai-99,"1 - Kolathur [ Ward No.64 ] Nethaji Nagar
2 - Kolathur [ Ward No.64 ] Silandhikuttai Ambedhkar Main Road
3 - Kolathur [ Ward No.64 ] Silandhikuttai 2nd Street
4 - Kolathur [ Ward No.64 ] Ambedkar Moganam Street
5 - Kolathur [ Ward No.64 ] Silandhikuttai 6th Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,7,1.076923076923077
25,Chennai-99,"1 - Kolathur [ Ward No.64 ] Annai Theresa Nagar
2 - Kolathur [ Ward No.64 ] Sashtri Nagar 1st Street
3 - Kolathur [ Ward No.64 ] Sashtri Nagar 2nd Street
4 - Kolathur [ Ward No.64 ] Sashtri Nagar 3rd Street
5 - Kolathur [ Ward No. 64 ] Rajiv Gandhi Nagar 1st Street
6 - Kolathur [ Ward No.64 ] Adhiammal Thottam
7 - Kolathur [ Ward No.64 ] Rajiv Gandhi Nagar 2nd Street
8 - Kolathur [ Ward No.64 ] Rajiv Gandhi Nagar 3rd Street
9 - Kolathur [ Ward No.64 ] Rajiv Gandhi 4th Street
10 - Kolathur [ Ward No.64 ] Rajiv Gandhi Nagar
11 - Kolathur [ ward No.64 ] Silandhikuttai 999 - Overseas Elector",dravida munnetra kazhagam,tamilaga vettri kazhagam,9,1.310043668122271
26,Chennai-99,"1 - Kolathur [ Ward No.64 ] Thanigai Street Rajaji Nagar
2 - Kolathur [ Ward No.64] Thenaruvi Street Rajaji Nagar
3 - Kolathur [ Ward No.64 ] Venkateswara Street
4 - Kolathur [ Ward No.64 ] Jothi Avenue 5th Cross Street
5 - Kolathur [ Ward No.64 ] Vinayagar 5th Cross Street
6 - Kolathur [ Ward No. 64 ] Avvai Nagar
7 - Kolathur [ Ward No.64 ] Avvai Nagar 2nd Street 999 - Overseas Elector",dravida munnetra kazhagam,tamilaga vettri kazhagam,6,0.9389671361502347
31,Chennai-99,"1 - Kolathur [ Ward No.64 ] Rajaji Nagar Balaji Street
2 - Kolathur [ Ward No.64 ] Rajaji Nagar Murali Street
3 - Kolathur [ Ward No.64 ] Rajaji Nagar Parthiban Street
4 - Kolathur [ Ward No.64 ] Rajaji Nagar Ponni Street
5 - Kolathur [ Ward No.64 ] Pazhani Street Rajaji Nagar
6 - Kolathur [ Ward No.65] Arjun Nagar
7 - Kolathur [ Ward No.64 ] Muthamil Nagar",tamilaga vettri kazhagam,dravida munnetra kazhagam,25,3.561253561253561
34,Chennai-99,"1 - Kolathur [ Ward No.64 ] Rajai Nagar Ganga Street
2 - Kolathur [ Ward No.64 ] Rajaji Nagar Venkataragava Street
3 - Kolathur [ Ward No.64 ] Rajaji Nagar Kamarajar Street
4 - Kolathur [ Ward No.64 ] Rajaji Nagar Rohini Street
5 - Kolathur [ Ward No.64 ] Rajaji Nagar Kalamegam Street
6 - Kolathur [ Ward No.64 ] Rajaji Nagar Subash Street
7 - Kolathur [ Ward No.64] Rajaji Nagar Peter Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,12,1.799100449775112
44,Ch-99,"1 - Kolathur [ Ward No.64 ] G K M Colony 35th Street Azad Street
2 - Kolathur Ward No.64 G K M Colony 34th Street Vinobaaji Street Door No 47 To END",tamilaga vettri kazhagam,dravida munnetra kazhagam,6,0.7672634271099744
45,Ch-99,"1 - Kolathur [ Ward No.64 ] G K M Colony 34th Street Vinobaaji Street
2 - Kolathur [ Ward No.64 ] G K M Colony 36th Street Jayaprakash Street
999 - Overseas Elector",tamilaga vettri kazhagam,dravida munnetra kazhagam,1,0.1290322580645161
49,Chennai-82,"1 - Kolathur [ Ward No.68 ] Adhiyamaan Nagar Rajiv Gandhi Street
2 - Kolathur [ Ward No.68 ] Adhiyamaan Nagar Rajiv Gandhi 1st Street
3 - Kolathur [ Ward No.68 ] Adhiyamaan Nagar Rajiv Gandhi Street Ext
4 - Kolathur [ Ward No.68 ] Kambar Nagar 6th Street
5 - Kolathur [ Ward No.68 ] Kambar Nagar 1st Cross Street
6 - Kolathur [ Ward No.68] Kambar Nagar Avvai Street
7 - Kolathur [ Ward No.68 ] Kambar Nagar 7th Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,17,2.56797583081571
51,Room 3,"1 - Kolathur [ Ward No.68 ] Kambar Nagar 1st Street
2 - Kolathur [ Ward No.68 ] Kambar Nagar 2nd Street
3 - Kolathur [ Ward No.68 ] Kambar Nagar 3rd Street
4 - Kolathur [ Ward No.68] Kambar Nagar 4th Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,6,1.169590643274854
52,Chennai-82,"1 - Kolathur [ Ward No.65 ] Vasantham Nagar 1st Street
2 - Kolathur [ Ward No.65 ] Vasantham Nagar 2nd Street
3 - Kolathur [ Ward No.65] Vasantham Nagar 3rd Street
4 - Kolathur [ Ward No.65 ] Vasantham Nagar Vasan Street
5 - Kolathur [ Ward No.65 ] Yamuna Nagar",tamilaga vettri kazhagam,dravida munnetra kazhagam,13,2.264808362369338
