Polling_Station_No,location_clean,polling area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
147,Chennai-82,"1 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar 5th Main Road
2 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar 6th Main Road
3 - Jawahar Nagar [ Ward No.68 ] Jawahar Nagar 6th Main Road Kamaraj Campus",dravida munnetra kazhagam,tamilaga vettri kazhagam,6,1.558441558441559
149,Room 2,"1 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 1st Street
2 - Periyar Nagar [ Ward No.68 ] Periyar Nagar Karthikeyan Salai",dravida munnetra kazhagam,tamilaga vettri kazhagam,15,3.191489361702128
152,Chennai-82,"1 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 12th 1st Cross Street
2 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 12th 2nd Cross Street
3 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 12th 3rd Cross Street
4 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 12th 4th Cross Street
999 - Overseas Elector",tamilaga vettri kazhagam,dravida munnetra kazhagam,13,2.631578947368421
153,Chennai-82,"1 - Periyar Nagar [ Ward No.68] Periyar Nagar Balasubramaniam Salai
2 - Periyar Nagar [ Ward No.68 ] Periyar Nagar Jagannathan Salai
3 - Periyar Nagar [ Ward No.68 ] Periyar Nagar Venkatesan Salai",dravida munnetra kazhagam,tamilaga vettri kazhagam,24,3.852327447833066
154,Chennai-82,"1 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 13th Street
2 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 14th Street
3 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 15th Street
4 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 15th 1st Cross Street
5 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 15th 2nd Cross Street
6 - Periyar Nagar [ Ward No.68 ] Periyar Nagar 15th 3rd Cross Street
7 - Periyar Nagar [ Ward No.68] Periyar Nagar 15th 4th Cross
Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,28,4.129793510324483
160,Room 7,"1 - Sembium [ Ward No.67 ] Gopalapuram 3rd Street
2 - Sembium [ Ward No.67 ] Gurumoorthy Nagar
3 - Perambur [ Ward No.67] Gopalapuram 1st Cross Street
4 - Perambur [ Ward No.67] Apparao Garden 1st Street
5 - Perambur [ Ward No.67 ] Anbazhagan Nagar 2nd Street
6 - Perambur [ Ward No.67] Apparao Garden 2nd Street
7 - Perambur [ Ward No.67 ] Apparao Garden 7th Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,2,0.2666666666666667
161,ICDS Building T.V.K Nagar 4th Street Chennai- 82 (Centre No.212),"1 - Perambur [ Ward No.67 ] S R P Koil Street North
2 - Perambur [ Ward No.67 ] Jassa Apartment S R P Koil Street
3 - Perambur [ Ward No.67] Anbazhagan Nagar Elango Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,13,1.943198804185351
162,Ch-82,1 - Perambur [ Ward No.68 ] Gopalapuram 1st Street,dravida munnetra kazhagam,tamilaga vettri kazhagam,31,4.499274310595065
163,Ch-82,"1 - Sembium [ Ward No.67 ] Anbazhagan 3rd Street
2 - Sembium [ Ward No.67 ] Anbazhagan 4th Street
3 - Sembium [ Ward No.67 ] Pallavan Street
4 - Perambur [ Ward No.67 ] Anbazhagan Nagar Cheran Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,23,3.484848484848485
167,Chennai-11,1 - Sembium [ Ward No.67 ] T V K Nagar 999 - Overseas Elector,tamilaga vettri kazhagam,dravida munnetra kazhagam,26,3.81791483113069
168,Chennai-11,"1 - Sembium [ Ward No.67 ] Thiruvalluvar Street Anbazhagan Nagar
2 - Sembium Ward No.67 Seethapathy Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,22,3.716216216216216
171,Chennai-11,"1 - Sembium [ Ward No.67 ] Samundeeswari Nagar 1st Street
2 - Sembium [ Ward No.67 ] Samundeeswari Nagar 2nd Street
3 - Sembium [ Ward No.67 ] Kennedy Square Main Road
4 - Sembium [ Ward No.67] Kennedy Square 3rd Street
5 - Sembium [ Ward No.67 ] Gandhi Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,31,4.682779456193353
172,Room 2,"1 - Sembium [ Ward No.67 ] Thillaiyadi Valliyamman Street
2 - Sembium [ Ward No.67 ] Ponnusamy Nagar 3rd Street
3 - Sembium [ Ward No.67 ] K.K.R Avenue (Don Bosco Street)",tamilaga vettri kazhagam,dravida munnetra kazhagam,22,3.78657487091222
174,Chennai-11,"1 - Sembium [ Ward No.67 ] George Colony Thirunavukarasu Street
2 - Sembium [ Ward No.67 ] George Colony Raghavan Street
3 - Sembium [ Ward No.67 ] George Colony Patham Street
4 - Sembium [ Ward No.67 ] Elumalai Street
5 - Sembium [ Ward No.67 ] E S I Colony Gurusamy Salai 999 - Overseas Elector",tamilaga vettri kazhagam,dravida munnetra kazhagam,11,2.291666666666667
178,Ch-11,"1 - Sembium [ Ward No.67 ] Madurai Samy Madam Street Dr No: 101 to End
2 - Sembium [Ward No:67] Madurai Samy Madam Street ( Door
No- 61 to End )",tamilaga vettri kazhagam,dravida munnetra kazhagam,16,3.478260869565217
181,Chennai-11,"1 - Sembium [ Ward No.67 ] Madurai Samy Madam Lane (East Street)
2 - Sembium [ Ward No.67 ] Madurai Samy Madam Lane
3 - Sembium [ Ward No.67 ] Balamurugan Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,17,2.537313432835821
182,Chennai-11,"1 - Sembium [ Ward No.67 ] Jamaliya T.N.S.C.B
2 - Sembium [ Ward No.67 ] Kalayanasundaram Street
3 - Sembium [ Ward No.67] Jamaliya Lane S.C.B",tamilaga vettri kazhagam,dravida munnetra kazhagam,19,2.173913043478261
189,Chennai-600011.,"1 - Sembium [ Ward No.67 ] Malligaipoo Nagar 1st Street
2 - Sembium [ Ward No.67] Teeds Garden Lakshmi Nagar
3 - Sembium [ Ward No.67 ] Teeds Garden Lakshmi Nagar 1st Street
4 - Sembium [ Ward No.67 ] Teeds Garden Lakshmi Nagar 2nd Street
5 - Sembium [ Ward No.67 ] Lakshmi 3rd Street
6 - Sembium [ Ward No.67 ] Teeds Garden 4th Street Lakshmi Nagar",tamilaga vettri kazhagam,dravida munnetra kazhagam,34,4.192355117139334
194,Ch-11,"1 - Sembium [ Ward No.67 ] Vasudevan Street
2 - Perambur [ Ward No.67 ] Vasudevan 1st Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,15,2.286585365853659
195,ICDS Building Teeds Garden 1st Street Perambur Chennai -11,1 - Sembium [ Ward No.67 ] Teeds Garden 1st Street,dravida munnetra kazhagam,tamilaga vettri kazhagam,14,2.077151335311572
196,Chennai-11,"1 - Sembium [ Ward No.67 ] Teeds Garden 2nd Street
2 - Sembium [ Ward No.67 ] Teeds Garden 2nd Cross Street
3 - Sembium [ Ward No.67 ] Teeds Garden 3rd Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,29,3.70843989769821
197,Chennai-11,"1 - Sembium [ Ward No.67 ] Teeds Garden 5th Street
2 - Sembium [ Ward No.67 ] Paper Mills Road 5th lane
3 - Sembium [ Ward No.67 ] Maniyammai Nagar",tamilaga vettri kazhagam,dravida munnetra kazhagam,27,3.857142857142857
203,Chennai-11,"1 - Sembium [ Ward No.67 ] Kennedy Square 1st Cross Street
2 - Sembium [ Ward No.67] Kennedy Square 1st North Street
3 - Sembium [ Ward No.67 ] Kennedy Square 2nd North Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,29,4.328358208955224
204,Chennai-11,"1 - Sembium [ Ward No.67] Kennedy Square Kamarajar Street
2 - Sembium [ Ward No.67 ] Kennedy Square Kamarajar 1st Street
3 - Sembium [ Ward No.67 ] Kennedy Square Kamarajar 2nd Street
4 - Sembium [ Ward No.67 ] Kennedy Square Kamarajar 3rd Street
5 - Sembium [ Ward No.67 ] Sathiyanarayana Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,7,1.528384279475983
206,Chennai-11,1 - Perambur [ Ward No.70 ] Madhavaram High Road North,dravida munnetra kazhagam,tamilaga vettri kazhagam,25,4.96031746031746
211,Chennai-11,"1 - Perambur [ Ward No.70 ] Somasundaram Vinayagar Koil 3rd Street
2 - Perambur [ Ward No.70 ] Santhi Nagar 2nd Street
999 - Overseas Elector",dravida munnetra kazhagam,tamilaga vettri kazhagam,28,3.768506056527591
214,Ch-11,"1 - Sembium [ Ward No.70 ] vengadesa Nagar 1st Street
2 - Sembium [ Ward No.70 ] Venkatesa Nagar 2nd Street
3 - Sembium [ Ward No.70 ] Venkatesa Nagar 3rd Street
4 - Perambur [ Ward No.70 ] Chinnakulanthai Ist Street 999 - Overseas Elector",tamilaga vettri kazhagam,dravida munnetra kazhagam,7,0.9523809523809524
216,Room 4,"1 - Sembium [ Ward No.70 ] Kabilar Street
2 - Perambur [ Ward No.70 ] Chokkalingam Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,15,2.097902097902098
218,Ch-11,1 - Perambur [ Ward No.70 ] Gowthamapuram T.N.H.B 999 - Overseas Elector,tamilaga vettri kazhagam,dravida munnetra kazhagam,19,2.253855278766311
235,Chennai-11,"1 - Perambur [ Ward No.70 ] Venugopalsamy Koil Street
2 - Perambur [ Ward No.70 ] Sadaiyappadoss Street
3 - Perambur [ Ward No.70 ] Police Quarters A Block
4 - Perambur [ Ward No.70] B Block Police Quarters
5 - Perambur [ Ward No.70] C Block Police Quarters
6 - Perambur [ Ward No.70 ] Sulekha Apartments
7 - Perambur [ Ward No.70 ] Shayam Satram Tower Paper Mills Road",dravida munnetra kazhagam,tamilaga vettri kazhagam,4,0.7207207207207207
236,Chennai-11,1 - Perambur [ Ward No.70 ] Paper Mills Road,tamilaga vettri kazhagam,dravida munnetra kazhagam,8,1.818181818181818
237,Chennai-23,"1 - Ayanavaram [ Ward No.70] Brock Road
2 - Ayanavaram [ Ward No.70 ] Biesher Road
3 - Nagammaiyar Nagar [ Ward No.70 ] Vasantha Garden 1st Street Chennai
999 - Overseas Elector",dravida munnetra kazhagam,tamilaga vettri kazhagam,14,3.703703703703703
238,Chennai-23,1 - Ayanavaram [ Ward No.70 ] Maduraipillai Street Chennai,dravida munnetra kazhagam,tamilaga vettri kazhagam,15,2.046384720327422
253,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82","1 - Agaram G K M Colony [ Ward No.69 ] Annai Theresa Street Venkatesan Nagar
2 - Agaram G K M Colony [ Ward No.69] Kattabomman Street Venkatesan Nagar
3 - Agaram [ Ward No.69 ] Vivekanandhar Street Annai Anjugam Nagar
4 - Agaram [ Ward No.69 ] Pillayar Koil Street Venkatesan Nagar",tamilaga vettri kazhagam,dravida munnetra kazhagam,15,3.0
254,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82","1 - Jawahar Nagar [ Ward No.69 ] Kumaran Nagar 1st Street
2 - Jawahar Nagar [ Ward No.69 ] Kumaran Nagar 2nd Street
3 - Jawahar Nagar [ Ward No.69 ] Kumaran Nagar west extension
4 - Jawahar Nagar [ Ward No.69 ] Kumaran Nagar 3rd Street
5 - Kumaran Nagar [ Ward No.69 ] Radhakrishnan Nagar",dravida munnetra kazhagam,tamilaga vettri kazhagam,25,3.665689149560118
256,GKM Colony Ch-82.,"1 - Agaram [ Ward No.69 ] Thalamuthu Street Annai Anjugam Street
2 - G K M Colony [ Ward No.69 ] E V R Street
3 - G K M Colony [ Ward No.69] Bharathiyar Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,3,0.4354136429608128
259,GKM Colony Ch-82.,"1 - G K M Colony [ Ward No.69 ] Lalbahadur Shasthri Street 11th Street
2 - G K M Colony [ Ward No.69 ] Pappammal Street 12th Street
3 - G K M Colony [ Ward No.69 ] Rajaji Street 6th Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,26,3.909774436090226
263,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82","1 - Jawahar Nagar [ Ward No.69 ] 24th ""A"" Street Amman Koil Street
2 - Agaram [ Ward No.69 ] Aachin Lake Street 24th Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,6,1.020408163265306
264,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82","1 - Jawahar Nagar [ Ward No.69] 23rd Street Arulappan Street
2 - Agaram [ Ward No.69 ] Swarna Singh 17th Street 999 - Overseas Elector",tamilaga vettri kazhagam,dravida munnetra kazhagam,23,3.59375
265,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82",1 - Agaram [ Ward No.69 ] Sarojini Street 999 - Overseas Elector,tamilaga vettri kazhagam,dravida munnetra kazhagam,2,0.5076142131979695
271,Ch-82,"1 - Agaram [ Ward No.69 ] Chinnasamy Street
2 - Agaram [ Ward No.69 ] Sundaraja Perumal Koil Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,2,0.3231017770597738
274,Chennai-11,"1 - Agaram [ Ward No.69 ] Vanchinathan 4th Street
2 - Agaram [ Ward No.69 ] Vanchinathan 1st Street
3 - Agaram [ Ward No.69 ] Vanchinathan 2nd Street
4 - Agaram [ Ward No.69 ] Vanchinathan 3rd Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,25,3.561253561253561
277,Chennai-82,"1 - Agaram [ Ward No.69 ] Sundaraj Perumal Koil Street ( North )
2 - Agaram [ Ward No.69 ] Viswam Appartments
3 - Agaram [ Ward No.69 ] R.C. Windsor Castle
4 - Agaram [ Ward No.69 ] Kanagalakshimi Apartments
5 - Agaram [ Ward No.69 ] Sundaraja Perumal Koil Street RCV Vincer
6 - Agaram [ Ward No.69 ] Sundarraja Perumal Koil Street
Kanagalakshmi",tamilaga vettri kazhagam,dravida munnetra kazhagam,9,1.624548736462094
281,Ch-82,"1 - Agaram [ Ward No.69 ] Loco Scheme 2nd Street
2 - Agaram [ Ward No.69 ] Somasundaram 1st Street
3 - Agaram [ Ward No.69 ] Somasundaram 2nd Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,11,2.1484375
283,Chennai-11,"1 - Agaram [ Ward No.69 ] Anandhabala Apartments
2 - Agaram [ Ward No.69 ] Yasmin Villas Apartments
3 - Agaram [ Ward No.69 ] Somaramasamy Street Main
4 - Agaram [ Ward No.69 ] Somaramasamy 1st Street
5 - Agaram [ Ward No.69 ] Somaramasamy 2nd Street
6 - Agaram [ Ward No.69 ] Somaramasamy 3rd Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,19,3.304347826086956
286,Chennai-11,1 - Agaram ([ Ward No.69]) Rangasayee Street,tamilaga vettri kazhagam,dravida munnetra kazhagam,19,3.625954198473282
