Serial No. Of Polling Station,Location and name of Building in which Polling Station located,Polling Area,Winner_Party,Margin_Percentage
176,"Sri Yadugula Sangam Middle School, Aattukara Street, (Eda Street), New building   North block south facing   RCC building","1.Tiruchirappalli Corporation, Ward 33    North Kallukara Street,                2.Tiruchirappalli corporation, Ward 33 south kallukara   street,            , 3.Tiruchirappalli    corporation , Ward 33 kajapettai   pensanar street,",Tamilaga Vettri Kazhagam,23.190546528803544
190,"T.E.L.C Middle  School,Kemps Town Palakarai,Middle Block,East Tiled Roof","1.Tiruchirappalli Corporation, Ward 50 Kemps Town
2.Tiruchirappalli Corporation, Ward 50 Saveriyar Kovil Street (Kemps Town)",Tamilaga Vettri Kazhagam,17.550274223034734
191,"T.E.L.C Middle  School,Kemps Town Palakarai,West Side Block West Facing Room No 2","1.Tiruchirappalli Corporation, Ward 50 Sebasthiyar Palayam (Kemps Town)                      2.Tiruchirappalli Corporation, Ward 50 RC Compound                                    3.Tiruchirappalli Corporation, Ward 50 Sebasthiyar Kovil Street",Tamilaga Vettri Kazhagam,11.776859504132231
208,"John Britto Middle  School, TVS Tolgate, North Block RCC Building West Portion Room No 1","1.Tiruchirappalli Corporation, Ward 59 Mulsi Ramji Colony,
2.Tiruchirappalli Corporation, Ward 59    Ma.Po.C. Colony,
3.Tiruchirappalli Corporation, Ward 59 Bharathiyar Street,
4.Tiruchirappalli corporation, Ward 59 nehru    nagar,
5.Tiruchirappalli corporation, Ward 47 vilva nagar,",Tamilaga Vettri Kazhagam,27.24867724867725
216,"Corporation Middle  School, Airport Road, SubramaniyaPuram,   North Side RCC Building Class Room 1","1.Tiruchirappalli Corporation, Ward 48 Pulavar Sreet,
2.Tiruchirappalli Corporation, Ward 48 kambar street 1,
3.Tiruchirappalli Corporation, Ward 48 kambar street 2,
4.Tiruchirappalli Corporation, Ward   48 kambar street 3,
5.Tiruchirappalli Corporation, Ward 48 kambar street 4, 6Tiruchirappalli Corporation, Ward 48 Rethinapillai Street,   ,
7.Tiruchirappalli Corporation, Ward 48 Arul Street,
8.Tiruchirappalli Corporation, Ward 48 Subramaniyar Kovil 1st Street, 9.Tiruchirappalli Corporation, Ward 48 Subramaniyar Kovil   2nd Street, 10.Tiruchirappalli Corporation, Ward   48 Subramaniyar Kovil   3rd Street,",Dravida Munnetra Kazhagam,7.969639468690702
225,"John Britto Matriculation School, Subramaniapuram,   North West RCC Building West Side South Facing","1 - Tiruchirappalli Corporation, Ward 47 Highways Colony Subramaniyapuram.",Tamilaga Vettri Kazhagam,4.611650485436893
241,"St. Marys Middle  School, Tiruchirappalli, Mannarpuram, South Wing Middle  Portion North Facing RCC Building","1.Tiruchirappalli    corporation, Ward 59 mannarpuram nadu street, 2.Tiruchirappalli    corporation, Ward    59 mannarpuram nadus treet 1st cross street,   3.Tiruchirappalli corporation, Ward 59 Mannarpuram Nadu Street 2nd Cross Street,
4.Tiruchirappalli corporation, Ward 59 Mannarpuram Nadu 3rd Cross Street, 5.Tiruchirappalli corporation, Ward 59 mannarpuram    new colony 1st street,",Tamilaga Vettri Kazhagam,14.417177914110429
242,"St. Marys Middle  School, Tiruchirappalli, Mannarpuram, South Block   West Side  North Facing RCC Building","1.Tiruchirappalli    corporation, Ward 59 mannarpuram    new colony 2nd street, 2.Tiruchirappalli    corporation, Ward   59 mannarpuram   north street, 3.Tiruchirappalli corporation, Ward 59 Mannarpuram South 1st Street, 4.Tiruchirappalli corporation, Ward 59 mannarpuram south   2nd street,
5.Tiruchirappalli corporation, Ward 59 Mannarpuram Byepass Road, 6.Tiruchirappalli corporation, Ward 59 Mannarpuram Byepass Road Electric Board Apartment , 7.Tiruchirappalli corporation, Ward 59 Silon Labour Colony,",Tamilaga Vettri Kazhagam,8.88468809073724
246,"Annai High Sec.School, Airport, East side  RCC Building Middle portion","1.Tiruchirappalli corporation, Ward 61    sanga street,,
2.Tiruchirappalli Corporation, Ward 61 Anthoniyar Kovil Street,",Tamilaga Vettri Kazhagam,18.523878437047756
250,"M.M Elementary School, Airport, Golden Jubilee  East Side  RCC Building West facing","1.Tiruchirappalli Corporation, Ward 47 Raja Nursery Garden, Pudukottai Road , 2.Tiruchirappalli Corporation, Ward 61 Thilagar Street,",Tamilaga Vettri Kazhagam,30.974842767295595
253,"Corporation High School, Kamaraj Nagar Sembattu, West Side RCC Building North portion (Near HM Room)","1.Tiruchirappalli Corporation, Ward 61 Periyar Street Gandhi Nagar,, 2.Tiruchirappalli corporation, Ward 61 seshathiri street gandhi nagar,   3.Tiruchirappalli Corporation, Ward 61 Sriram Complex, Bharathi Nagar,   4.Tiruchirappalli Corporation, Ward 47 Ambethikar Nagar, Pudukottai Main Road,   5.Tiruchirappalli Corporation, Ward 61 Sabari Mill Colony,, 6.Tiruchirappalli Corporation, Ward 65 T.R.Rethinampillai Street",Tamilaga Vettri Kazhagam,9.422492401215806
259,"Annai   High Sec.School, Airport, North side  RCC Building East portion","1.Tiruchirappalli Corporation, Ward   61 Sesathiri Nagar,Airport,,   2.Tiruchirappalli corporation, Ward 61  Pandiyan street,, 3.Tiruchirappalli corporation, Ward 65 Muslim street airport , 4.Tiruchirappalli Corporation, Ward 65 Kalaivanar Street Airport,, 5.Tiruchirappalli Corporation, Ward 65 Valan Nagar Airport,",Tamilaga Vettri Kazhagam,21.21982210927573
284,"Orchard Matriculation School, pandiyan salai, Iyyar thottam, North Building South Facing RCC Building","1.Tiruchirappalli   Corporation, Ward 63 K-Sathanur V.O.C.Street,   2.Tiruchirappalli    Corporation, Ward   63 K-Sathanur Akilanteswari Street, 3.Tiruchirappalli Corporation, Ward 63 k-sathanur Thirunavukkarasar street,
4.Tiruchirappalli Corporation, Ward 63 k.sathanur Gandhi street,   5.Tiruchirappalli Corporation,Ward 63 K.Sathanur Nehru Street,   6.Tiruchirappalli Corporation, Ward 63 K-Sathanur Pattel Street,   7.Tiruchirappalli Corporation, Ward 63 K.Sathanur Thirumagal Street, 8.Tiruchirappalli Corporation, Ward 63 K-Sathanur Subbramaniya Nagar 1st Street,
9.Tiruchirappalli   Corporation, Ward 63 K-Sathanur Subramania Nagar 2nd Street,   10.Tiruchirappalli Corporation, Ward 63 K-Sathanur Subramaniya Nagar 3rd Street,",Tamilaga Vettri Kazhagam,4.316546762589928
289,"Corporation Middle  School, K.K..Nagar, K.Sathanur (North), West Side  RCC Building Middle Portion","1.Tiruchirappalli Corporation, Ward-64    K-Sathanur Palani Nagar 1st Street, 2.Tiruchirappalli   Corporation, Ward-64 K-Sathanur    Palani Nagar 2nd Street, 3.Tiruchirappalli Corporation, Ward-64      K-Sathanur Palani Nagar 3rd Street,
4.Tiruchirappalli    Corporation, Ward-64      K-Sathanur Palani Nagar 4th Street, 5.Tiruchirappalli   Corporation, Ward- 64    K-Sathanur Palani Nagar 5th Street, 6.Tiruchirappalli Corporation, Ward-64    K-Sathanur Palani Nagar 6th street,
7.Tiruchirappalli    Corporation, Ward-64    K-Sathanur Palani Nagar Extension,, 8.Tiruchirappalli       Corporation, Ward-64    K-Sathanur Police Colony, 9.Tiruchirappalli   Corporation, Ward-64 K-Sathanur    Police  Colony, 10.Tiruchirappalli   Corporation, Ward-64 K-Sathanur Police   Colony, 11.Tiruchirappalli Corporation, Ward-64    K-Sathanur Police  Colony,
12.Tiruchirappalli    Corporation, Ward-64 K-Sathanur Police Colony D Block, 13.Tiruchirappalli    Corporation, Ward-64    K-Sathanur Meyarmuthu Street 14.Tiruchirappalli Corporation, Ward 64 K.Sathanur Police   Quarters E Block,
15.Tiruchirappalli    Corporation, Ward 64 K.Sathanur Police Quarters F Block,   16.Tiruchirappalli      Corporation, Ward 64 k.sathanur police   quarters g block,   17.Tiruchirappalli Corporation, Ward 64    K.Sathanur Police Quarters J Block,
18.Tiruchirappalli   Corporation, Ward 64 K.Sathanur Police Quarters K Block,   19.Tiruchirappalli Corporation, Ward 64 K.Sathanur Police   Quarters L    Block,   20.Tiruchirappalli Corporation, Ward 64    K.Sathanur Police Quarters M Block,
21.Tiruchirappalli   Corporation, Ward 64 K.Sathanur Police
Quarters N Block,   22.Tiruchirappalli Corporation, Ward 64 K.Sathanur Police   Quarters O Block,   23.Tiruchirappalli",Tamilaga Vettri Kazhagam,29.116945107398568
