Location and Name of Building in Which Polling Station Located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"CHITRA PRIMARY SCHOOL, EASTERN BUILDING MADAVILAGAM STREET KALLIDAIKURICHI",1,All India Anna Dravida Munnetra Kazhagam,1
"CHITRA PRIMARY SCHOOL, WESTERN BUILDING, MADAVILAGAM STREET, KALLIDAIKURICHI",1,Indian National Congress,1
"COMMITTEE HARIJAN PRIMARY SCHOOL ,VADAKKU KARUKURICHI",1,Indian National Congress,1
"COMMITTEE HARIJAN PRIMARY SCHOOL, WESTERN BUILDING, NORTHERN PORTION, VADAKKU KARUKURICHI.",1,Tamilaga Vettri Kazhagam,1
"COMMITTEE HARIJANA PRIMARY SCHOOL, SOUTH
SIDE, CHUNNAMMBUKKAL STREET, CHERANMAHADEVI",1,Tamilaga Vettri Kazhagam,1
"COMMITTEE HARIJANA PRIMARY SCHOOL, SOUTHERN PORTION, CHUNNAMMBUKKAL STREET, CHERANMAHADEVI",1,All India Anna Dravida Munnetra Kazhagam,1
"COMMITTEE HINDU PRIMARY SCHOOL, KODARANKULAM",1,All India Anna Dravida Munnetra Kazhagam,1
"COMMITTEE HINDU PRIMARY SCHOOL, SOUTH EAST BUILDING, KODARANKULAM",1,All India Anna Dravida Munnetra Kazhagam,1
"COMMITTEE MIDDLE SCHOOL, EASTERN PORTION, CHERANMAHADEVI",1,Indian National Congress,1
"COMMITTEE MIDDLE SCHOOL, NORTHERN PORTION WEST BUILDING CHERANMAHADEVI",1,All India Anna Dravida Munnetra Kazhagam,1
"COMMITTEE MIDDLE SCHOOL, SOUTHERN BUILDING, WESTERN PORTION, CHERANMAHADEVI",1,All India Anna Dravida Munnetra Kazhagam,1
"COMMITTEE MIDLE SCHOOL, WESTERN PORTION, CHERANMAHADEVI",1,All India Anna Dravida Munnetra Kazhagam,1
"COMMITTEE PRIMARY SCHOOL ,EASTERN BUILDING NORTH SIDE GIRIAMMALPURAM",1,Indian National Congress,1
"COMMITTEE PRIMARY SCHOOL, EASTERN BUILDING SOUTHERN PORTION, GIRIAMMALPURAM",1,All India Anna Dravida Munnetra Kazhagam,1
"COMMUNITY HALL , ADAIYAKARUNGKULAM",1,All India Anna Dravida Munnetra Kazhagam,1
"COMMUNITY HALL , SOUTHERN PORTION, KAKKANALLUR, AYAN THIRUVALEESWARAM",1,All India Anna Dravida Munnetra Kazhagam,1
