Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
46,"ST. SACRED HEART HIGH SCHOOL, EASTERN BUILDING SOUTHERN PORTION VICKRAMASINGAPURAM - 1","3 - Vickramasingapuram (M), Georgepuram South Street",Indian National Congress,Tamilaga Vettri Kazhagam,23,4.75206611570248
47,"ST. SACRED HEART HIGH SCHOOL, EASTERN BUILDING NORTHRN PORTION ROOM NO.2 VICKRAMASINGAPURAM - 1","1 - Vickramasingapuram (M), Ambalavanapuram Main Road",Tamilaga Vettri Kazhagam,Indian National Congress,2,0.6622516556291391
49,"NADAR UNION MIDDLE SCHOOL, NEW WESTERN BUILDING, WESTERN PORTION, FACING SOUTH, MUDALIARPATTI VICKRAMASINGAPURAM - 2","2 - Vickramasingapuram (M), Agasthiyerpuram",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,2,0.2994011976047904
50,"NADAR UNION MIDDLE SCHOOL, NEW WESTERN BUILDING, , MUDALIARPATTI VICKRAMASINGAPURAM - 2","1 - Vickramasingapuram (M), Vadamalaisamuthiram",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,11,2.018348623853211
57,"PANCHAYAT UNION PRIMARY SCHOOL, SCHOOL INTEGRARATED CONFERENCE CENTRE, MANNARKOVIL.","1 - Mannarkovil (R.V), Mannarkovil (P), Sivanthipatti Sannathi Street",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,6,1.298701298701299
62,"PERUMAL THEVAR MEMORIAL PRIMARY SCHOOL, AYAN THIRU VALEESWARAM","1 - Ayan Thiruvaliswaram (R.V), Ayan Thiruvaliswaram (P), Ayan Thiruvaliswaram South Street.",All India Anna Dravida Munnetra Kazhagam,Indian National Congress,9,1.5
68,"PANCHAYAT COMMUNITY HALL, EASTERN PORTION BRAMADESAM","1 - Brahmadesam (R.V), Brahmadesam (P), Brahmdesam",Indian National Congress,All India Anna Dravida Munnetra Kazhagam,2,0.2954209748892171
71,"HINDU MIDDLE SCHOOL, EASTERN CENTRAL PORTION, V","1 - Vagaikulam (R.V), Vagaikulam (P), Block No 3",All India Anna Dravida Munnetra Kazhagam,Indian National Congress,39,4.357541899441341
75,"COMMUNITY HALL , ADAIYAKARUNGKULAM","1 - Adaiyakarunkulam (R.V), Adaiyakarunkulam (P), Block No 3, Middle Thirattu Colony Adaiyakarunkulam",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,12,1.585204755614267
76,"VILLAGE PANCHAYAT SERVICE CENTRE, EASTERN BUILDING, ADAIYAKARUNGKULAM.","1 - AdaIyakarunkulam (R.V), AdaIyakarunkulam (P), Block No 2",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,26,3.963414634146341
78,"CAMBRIDGE MATRICULATION HIGHER SECONDRY SCHOOL, SOUTHERN PORTION, AGASTHIYARPATTI","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 3 Agasthiyarpatti Door No 1- 400",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,21,4.861111111111112
79,CAMBRIDGE MATRICULATION HIGHER SECONDRY SCHO,"1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 3 Agasthiyarpatti Door No 401-",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,20,4.149377593360995
80,"CAMBRIDGE MATRICULATION HIGHER SECONDRY SCHOOL, WESTERN BLOCK, AGASTHIYARPATTI","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 3 Agasthiyarpatti door no 816 above",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,18,3.35195530726257
81,"T.D.T.A.MIDDLE SCHOOL, GOLDEN JUBLEE BUILDING WEST PORTION KEELA SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (P), Sivanthipuram",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,4,0.5772005772005772
82,"T.D.T.A.MIDDLE SCHOOL, GOLDEN JUBLEE BUILDING EAST PORTION KEELA SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 5 Uthiramuthanpatti",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,11,1.824212271973466
83,"T.D.T.A.MIDDLE SCHOOL ,GOLDEN JUBLEE BUILDING WEST PORTION , KEELA SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 5 Uthiramuthanpatti",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,20,3.344481605351171
84,"ANGANWADI BUILDING, ROOOM NO 35 UTHIRAMUTHAPATTI, SIVANTHIPURAM ( NEAR VAO OFFICE)","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 4 Uthiramuthanpatti",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,23,4.204753199268739
