Serial No. Of Polling Station,Locality,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
83,Polpettai,"1.Thoothukudi  Corporation  Polpettai  east  1  st  street  -  Ward  4  , 2.Thoothukudi  Corporation  Polpettai  East  2nd  Street  -  Ward  4  , 3.Thoothukudi  Corporation  Polpettai  East  3rd  Street  -  Ward  4  ,
4.Thoothukudi  Corporation  Polpettai  West  -  Ward  4  ,  5.Thoothukudi Corporation  Kurinjinagar  1  st  Street  -  Ward  4  ,  6.Thoothukudi Corporation  Kurinjinagar  2nd  Street  -  Ward  4  ,  7.Thoothukudi Corporation  Kurinji  Nagar  3rd  Street  -  Ward  4  ,  999.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,12,1.866251944012442
166,North  Gopalsamy Street,"1.Thoothukudi  Corporation  Chinnakadai  street  -  Ward  24  ,
2.Thoothukudi  Corporation  Chinnakadai  Sandhu  -  Ward  24  , 3.Thoothukudi  Corporation  Parthasarathi  Street  -  Ward  24  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,21,4.772727272727273
175,North Pathirakaliammank oil  street,"1.Thoothukudi  Corporation  Mohammed  Sadhalipuram  -  Ward  14  ,
2.Thoothukudi  Corporation  Yadhavar  Street  -  Ward  16  ,  3.Thoothukudi Corporation  Valaiyananthaswami  Koil  Street  -  Ward  16  ,  4.Thoothukudi Corporation  Nambikkai  roach  Vilai  -  Ward  16  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,29,4.24597364568082
199,Melarathaveethi,"1.Thoothukudi  Corporation  Renganathapuram  East  -  Ward  25  ,
2.Thoothukudi  Corporation  Mela  Rathaveethi  -  Ward  25  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,18,4.522613065326634
201,T.R.  Naidu  Street,"1.Thoothukudi  Corporation  Railway  Colony  -  Ward  26  ,  2.Thoothukudi Corporation  Selvizer  1st  Street  -  Ward  26  ,  3.Thoothukudi  Corporation Selvizer  2nd  Street  -  Ward  26  ,  4.Thoothukudi  Corporation  Selvizer  3rd Street  -  Ward  26  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,17,4.009433962264151
216,George  Road,"1.Thoothukudi  Corporation  Santhapper  Lane  -  Ward  24  ,  2.Thoothukudi Corporation  Meiyappar  Lane  -  Ward  24  ,  3.Thoothukudi  Corporation
Thandal  Lane  -  Ward  24  ,  4.Thoothukudi  Corporation  Saveria  Pitchai Lane  -  Ward  32  ,  5.Thoothukudi  Corporation  South  Raja  Street  -  Ward  32
,  6.Thoothukudi  Corporation  Gurusadi  Lane  -  Ward  24  ,  7.Thoothukudi Corporation  Grahop  Street  -  Ward  32  ,  8.Thoothukudi  Corporation Anthoniyar  Sandhu  -  Ward  24  ,  9.Thoothukudi  Corporation  Pachek
Sandhu  -  Ward  24  ,  10.Thoothukudi  Corporation  Japjak  Sandhu  -  Ward 24  ,  11.Thoothukudi  Corporation  Theerappar  Sandhu  -  Ward  32  ,
12.Thoothukudi  Corporation  Rosario  Sandhu  -  Ward  32  ,  13.Thoothukudi Corporation  Keyithan  Sorees  Sandhu  -  Ward  24,  14.Thoothukudi Corporation  St.Pavul  Sandhu  -  Ward  32  ,  15.Thoothukudi  Corporation Beach  Road  -  Ward  24  ,  16.Thoothukudi  Corporation  Malaiappar  Sandhu
-  Ward  24  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,6,1.229508196721312
226,SPG  Kovil  1st  street,"1.Thoothukudi  Corporation  S.P.G.Kovil  Street  1  -  Ward  28  , 2.Thoothukudi  Corporation  S.P.G  Kovil  Street  2  -  Ward  28  , 3.Thoothukudi  Corporation  S.P.G.  Kovil  Street  3  -  Ward  28  , 4.Thoothukudi  Corporation  S.P.G.Kovil  Street  4  -  Ward  28  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,3,0.8174386920980926
252,Tiruchendur  Road,"1.Thoothukudi  Corporation  New  Salt  Colony  Block  4  -  ward  49  ,
2.Thoothukudi  Corporation  Central  Government  Employees  Colony  Block 4  -  ward  49  ,  3.Thoothukudi  Corporation  Post  Officers  Quarters  -  ward  49
,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,4,0.8385744234800839
261,Caldwell  Colony  4th Street,"1.Thoothukudi  Corporation  Caldwell  Colony  -  ward  49  (Door  No.  1  to 5A-466)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,25,2.844141069397042
270,Tiruchendur  Road,"1.Thoothukudi  Corporation  Bangalow  Street  (Sivanthakulam)  -  ward  46  , 2.Thoothukudi  Corporation  Pakkilpuram  -  ward  46  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,12,2.4
