Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
347,Coporation Primary School  Centre  Portion Thachanallur,555,9,tamilaga vettri kazhagam,108,1.621621621621622,No
10,Vagaikulam,866,14,tamilaga vettri kazhagam,108,1.616628175519631,No
20,Kattarankulam.,620,10,dravida munnetra kazhagam,78,1.612903225806452,No
108,Government  High School  South to   North 4th 10th Class Room Pallamadai.,687,11,all india anna dravida munnetra kazhagam,56,1.601164483260553,No
339,Child   Centre  Rajajipuram Centre  Number  -33628090416 Tirunelveli  Town.,500,8,dravida munnetra kazhagam,85,1.6,No
70,Chatramkudieruppu.,563,9,tamilaga vettri kazhagam,36,1.598579040852576,No
52,Palamadai.,817,13,dravida munnetra kazhagam,53,1.591187270501836,No
370,Centre  No 33628120223 Karaieruppu.,763,12,tamilaga vettri kazhagam,109,1.572739187418086,No
134,South   Portion Vallavankottai.,640,10,tamilaga vettri kazhagam,48,1.5625,No
301,Tirunelveli  Town.,384,6,tamilaga vettri kazhagam,58,1.5625,No
53,Palamadai.,641,10,dravida munnetra kazhagam,103,1.5600624024961,No
17,(Temp.High.  School  Building)  Panchayat  Union Middle School  Chettikurichi  Azhahiyapandipuram,516,8,tamilaga vettri kazhagam,35,1.550387596899225,No
57,Rajavallipuram.,711,11,tamilaga vettri kazhagam,22,1.547116736990155,No
138,Rastha.,712,11,tamilaga vettri kazhagam,42,1.544943820224719,No
71,Centre  No 33628120231 Chatramkudieruppu.,454,7,tamilaga vettri kazhagam,52,1.541850220264317,No
56,Palamadai.,530,8,tamilaga vettri kazhagam,97,1.509433962264151,No
322,Tirunelveli  Town.,333,5,tamilaga vettri kazhagam,11,1.501501501501501,No
38,Gangaikondan.,469,7,all india anna dravida munnetra kazhagam,98,1.492537313432836,No
35,Rajapathy,603,9,all india anna dravida munnetra kazhagam,65,1.492537313432836,No
141,Nanjankulam,671,10,dravida munnetra kazhagam,54,1.490312965722802,No
290,Corporation Primary School  Campus Integrated Child Development  Center  Center  No;  33628190415 Tirunelveli Town.,538,8,tamilaga vettri kazhagam,82,1.486988847583643,No
178,West  Side  Kondanagaram.,673,10,all india anna dravida munnetra kazhagam,123,1.485884101040119,No
356,Chatrampudukulam.,607,9,tamilaga vettri kazhagam,138,1.482701812191104,No
373,Karaieruppu.,743,11,tamilaga vettri kazhagam,24,1.480484522207268,No
197,Narasinganallur.,473,7,tamilaga vettri kazhagam,53,1.479915433403805,No
241,Pettai.,474,7,tamilaga vettri kazhagam,74,1.476793248945148,No
101,Keelathenkalam.,477,7,dravida munnetra kazhagam,91,1.467505241090147,No
192,Suthamalli.West  Portion,549,8,tamilaga vettri kazhagam,70,1.457194899817851,No
40,Vadagarai,687,10,all india anna dravida munnetra kazhagam,136,1.455604075691412,No
18,Azhahiyapandipuram.,696,10,dravida munnetra kazhagam,65,1.436781609195402,No
278,Tirunelveli  Town.,629,9,tamilaga vettri kazhagam,55,1.430842607313196,No
261,Nivedhita Matric Hr  Sec School   West  Building South Side Near  Office  Room Palaiyapettai.,490,7,tamilaga vettri kazhagam,66,1.428571428571429,No
296,Tirunelveli  Town.,420,6,dravida munnetra kazhagam,48,1.428571428571429,No
357,Oorudaiyar Kudieruppu.,561,8,tamilaga vettri kazhagam,26,1.42602495543672,No
284,Tirunelveli  Town.,562,8,tamilaga vettri kazhagam,93,1.423487544483986,No
7,Ukkirankottai.,564,8,dravida munnetra kazhagam,57,1.418439716312057,No
287,Tirunelveli  Town.,353,5,tamilaga vettri kazhagam,47,1.41643059490085,No
326,Tirunelvelli  Town.,495,7,tamilaga vettri kazhagam,148,1.414141414141414,No
189,Suthamalli.,639,9,tamilaga vettri kazhagam,67,1.408450704225352,No
144,west  Side Ramayanpatti.,570,8,tamilaga vettri kazhagam,47,1.403508771929824,No
46,Duraiyoor,789,11,dravida munnetra kazhagam,62,1.394169835234474,No
202,Community Hall  Pettai  Rural,574,8,dravida munnetra kazhagam,53,1.393728222996516,No
26,East  Portion Nadupillaiyarkulam,646,9,dravida munnetra kazhagam,28,1.393188854489164,No
29,South Portion Vadakku Sezhiyanalloor.,720,10,tamilaga vettri kazhagam,116,1.388888888888889,No
36,Rajapathy,649,9,naam tamilar katchi,15,1.386748844375963,No
240,Pettai.,433,6,tamilaga vettri kazhagam,99,1.38568129330254,No
45,T.D.T.A Primary School  Aladipatti,730,10,dravida munnetra kazhagam,134,1.36986301369863,No
111,North Face Ayupkanpuram,512,7,dravida munnetra kazhagam,160,1.3671875,No
114,Manur.,659,9,dravida munnetra kazhagam,83,1.365705614567527,No
223,Pettai.,367,5,tamilaga vettri kazhagam,59,1.362397820163488,No
270,Tirunelveli  Town.,294,4,tamilaga vettri kazhagam,58,1.360544217687075,No
41,Vadagarai,517,7,all india anna dravida munnetra kazhagam,110,1.353965183752418,No
190,Suthamalli.,522,7,tamilaga vettri kazhagam,131,1.340996168582375,No
220,Pettai.,526,7,tamilaga vettri kazhagam,78,1.330798479087452,No
39,(East  building) Gangaikondan,528,7,all india anna dravida munnetra kazhagam,20,1.325757575757576,No
63,Staff  Room Near  East  Side  1 Room Naranammalpuram.,530,7,tamilaga vettri kazhagam,99,1.320754716981132,No
345,Thachanallur.,682,9,tamilaga vettri kazhagam,82,1.319648093841642,No
166,Seethaparpanallur.,682,9,tamilaga vettri kazhagam,213,1.319648093841642,No
281,Anganwadi  (Palwadi)  Centre  No.05 Madha Middle  School Tirunelveli  Town,607,8,dravida munnetra kazhagam,196,1.317957166392092,No
198,Narasinganallur.,381,5,tamilaga vettri kazhagam,42,1.312335958005249,No
184,Panchayat  Office  Suthamalli,535,7,dravida munnetra kazhagam,4,1.308411214953271,Yes
149,East Side  Ramayanpatti.,770,10,tamilaga vettri kazhagam,136,1.298701298701299,No
239,Pettai.,618,8,dravida munnetra kazhagam,27,1.294498381877023,No
279,Usainiya Primary School West Building East Face South Room Tirunelveli Town,697,9,tamilaga vettri kazhagam,45,1.291248206599713,No
262,Nivedhita Matric Hr  Sec School  West  Portion South Side,852,11,tamilaga vettri kazhagam,113,1.291079812206573,No
4,Golden Jubilee  Block Back Side East  Portion Ukkirankottai.,389,5,dravida munnetra kazhagam,75,1.2853470437018,No
257,Palaiyapettai.,795,10,tamilaga vettri kazhagam,92,1.257861635220126,No
246,Punitha Anthoniyar  Primary School   West  Building   Middle Portion    Pettai,321,4,tamilaga vettri kazhagam,68,1.246105919003115,No
175,Gramamangalam Pazhavoor.,643,8,tamilaga vettri kazhagam,111,1.244167962674961,No
186,Community Hall  East  Portion V O C Nagar  Suthamalli,809,10,dravida munnetra kazhagam,71,1.236093943139679,No
308,Pillaiyankattalai  Office  East  Portion Sudalai  Madan Kovil Street  Tirunelveli  Town.,487,6,tamilaga vettri kazhagam,52,1.232032854209446,No
102,Government  ADW Primary School  Nallammalpuram,731,9,dravida munnetra kazhagam,19,1.231190150478796,No
289,Tirunelveli  Town.,409,5,dravida munnetra kazhagam,95,1.222493887530562,No
160,Thulukkarkulam.,656,8,dravida munnetra kazhagam,48,1.219512195121951,No
172,Nadukkallur.,667,8,tamilaga vettri kazhagam,91,1.199400299850075,No
244,Punitha Anthoniyar  Primary School   West  Building   South Portion   Pettai,334,4,tamilaga vettri kazhagam,53,1.197604790419162,No
82,Near  HM Room Sankar  Nagar.,585,7,tamilaga vettri kazhagam,27,1.196581196581197,No
327,Tirunelveli  Town.,587,7,tamilaga vettri kazhagam,72,1.192504258943782,No
158,Thiruppanikarisalkulam,337,4,tamilaga vettri kazhagam,3,1.186943620178042,Yes
243,Pettai.,512,6,tamilaga vettri kazhagam,87,1.171875,No
212,Pettai,514,6,tamilaga vettri kazhagam,233,1.167315175097276,No
313,Tirunelveli  Town.,515,6,tamilaga vettri kazhagam,102,1.16504854368932,No
265,Palaiyapettai.,516,6,dravida munnetra kazhagam,23,1.162790697674419,No
12,Vagaikulam,519,6,dravida munnetra kazhagam,49,1.15606936416185,No
277,Tirunelveli  Town.,606,7,tamilaga vettri kazhagam,82,1.155115511551155,No
218,Anganwadi  Building Corporation Middle  School  (Campus) Pettai,609,7,dravida munnetra kazhagam,357,1.149425287356322,No
126,Therkkupatti.,784,9,dravida munnetra kazhagam,328,1.147959183673469,No
254,Nivedhita Matric Hr  Sec School  South Side  Middle  Portion,699,8,tamilaga vettri kazhagam,74,1.144492131616595,No
352,Main building    3rd Room Madurai  Road Thachanallur,439,5,all india anna dravida munnetra kazhagam,21,1.138952164009112,No
143,Anganwadi  Centre  Arasu New Colony Ramayanpatti Panchayat,791,9,tamilaga vettri kazhagam,229,1.137800252844501,No
253,Kandiaperi.,618,7,tamilaga vettri kazhagam,105,1.132686084142395,No
226,Pettai.,534,6,tamilaga vettri kazhagam,66,1.123595505617978,No
266,Palaiyapettai.,624,7,dravida munnetra kazhagam,97,1.121794871794872,No
1,Mottaiyanoor,357,4,dravida munnetra kazhagam,75,1.120448179271709,No
67,New Community Hall  Kurichikulam,716,8,all india anna dravida munnetra kazhagam,174,1.11731843575419,No
171,Nadukkallur.,627,7,all india anna dravida munnetra kazhagam,79,1.116427432216906,No
234,Pettai.,810,9,dravida munnetra kazhagam,397,1.111111111111111,No
340,South Portion Ramayanpatti,633,7,dravida munnetra kazhagam,170,1.105845181674566,No
306,Integrated Child Development  Center  Center  No; 33628090429,727,8,tamilaga vettri kazhagam,47,1.10041265474553,No
305,Tirunelveli  Town.,365,4,tamilaga vettri kazhagam,23,1.095890410958904,No
336,Tirunelveli  Town.,457,5,tamilaga vettri kazhagam,62,1.094091903719912,No
50,Western   Portion Kuppakurichi.,640,7,tamilaga vettri kazhagam,70,1.09375,No
231,Pettai.,366,4,dravida munnetra kazhagam,186,1.092896174863388,No
380,Udaiyarpatti.,183,2,dravida munnetra kazhagam,6,1.092896174863388,No
297,Tirunelveli  Town.,734,8,tamilaga vettri kazhagam,89,1.08991825613079,No
245,Pettai.,551,6,tamilaga vettri kazhagam,28,1.088929219600726,No
68,Western Part  Chathramkudieruppu.,649,7,tamilaga vettri kazhagam,42,1.078582434514638,No
371,Angawadi  Centre  Melakarai  Thachanallur,837,9,tamilaga vettri kazhagam,77,1.075268817204301,No
311,Tirunelveli  Town.,372,4,tamilaga vettri kazhagam,1,1.075268817204301,Yes
131,Anganwadi  Centre  -  Centre  Number  -0226   Pudur,373,4,tamilaga vettri kazhagam,68,1.072386058981233,No
32,Mettupirancheri.,847,9,tamilaga vettri kazhagam,41,1.062573789846517,No
137,Rastha.,665,7,tamilaga vettri kazhagam,48,1.052631578947368,No
48,Papaiyapuram,574,6,dravida munnetra kazhagam,26,1.045296167247387,No
15,Azhahiyapandipuram,480,5,all india anna dravida munnetra kazhagam,2,1.041666666666667,Yes
369,Thachanallur.,677,7,all india anna dravida munnetra kazhagam,47,1.03397341211226,No
