Serial No. Of Polling Station,Locality,Building  in  Which  it  will  be  Located,Polling  Area,Whether  for  all Voters  or  men  olny or  women  only,Indian National Congress,Naam Tamilar Katchi,All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,Puthiya Makkal Tamil Desam Katchi,Naam Indiar Party,Vishwa Tamil Kazhagam,All India Forward Bloc,Puthiya Tamilagam,Tamizhaga Vaazhvurimai Katchi,Independent,Independent.1,Independent.2,Independent.3,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Indian National Congress_Share_%,Naam Tamilar Katchi_Share_%,All India Anna Dravida Munnetra Kazhagam_Share_%,Tamilaga Vettri Kazhagam_Share_%,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Share_%,Puthiya Makkal Tamil Desam Katchi_Share_%,Naam Indiar Party_Share_%,Vishwa Tamil Kazhagam_Share_%,All India Forward Bloc_Share_%,Puthiya Tamilagam_Share_%,Tamizhaga Vaazhvurimai Katchi_Share_%,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Naam Tamilar Katchi_Rank,Indian National Congress_Rank,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Indiar Party_Rank,Tamizhaga Vaazhvurimai Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Vishwa Tamil Kazhagam_Rank,Puthiya Tamilagam_Rank,All India Forward Bloc_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Margin_Percentage,Total_Independent_Votes
247,Subburayapuram,"Nehru  Hindu  Primary  School,  New  Building Subbarayapuram","1.Sattankulam  (R.V),  Subburayapuram(p)  Subburayapuram  block  2  , 2.Sattankulam  (R.V),  Subburayapuram  (P)  Subburayapuram  Block  3  , 999.OVERSEAS  ELECTORS",All  Voters,95,37,137,98,0,0,0,0,0,0,0,0,0,0,0,367,0,3,370,0,25.88555858310627,10.08174386920981,37.32970027247956,26.70299727520436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All India Anna Dravida Munnetra Kazhagam,137,98,39,Tamilaga Vettri Kazhagam,4,3,5,5,1,5,5,2,5,5,5,5,5,5,5,10.6267029972752,0
248,Muthu krishnapuram,T.  N.  D.  T.  A.  Primary  School  North  Side Muthukrishnapuram,"1.Sattankulam  (R.V),  Subburayapuram  (P)  Thalavaipuram  Block  4  , 2.Sattankulam  (R.V),  Subburayapuram  (P)  Arumuganeri  Block  5  , 3.Sattankulam  (R.V),  Subburayapuram  (P)  Kalankudierruppu  Block  5  , 4.Sattankulam  (R.V),  Subburayapuram  (P)  Muthukrishnapuram  Block  3  , 5.Sattankulam  (R.V),  Subburayapuram  (P)  Srirenganathapuram  Block  3  , 6.Sattankulam  (R.V),  Subburayapuram  (P)  Thoppuvalam  Block  1  , 7.Sattankulam  (R.V),  Subburayapuram  (P)  Kanthasamypuram  Block  1  , 999.OVERSEAS  ELECTORS",All  Voters,132,51,205,236,0,2,0,1,0,0,0,0,0,1,0,628,0,3,631,0,21.01910828025478,8.121019108280255,32.64331210191082,37.57961783439491,0.0,0.3184713375796179,0.0,0.1592356687898089,0.0,0.0,0.0,Tamilaga Vettri Kazhagam,236,205,31,All India Anna Dravida Munnetra Kazhagam,4,3,8,5,2,8,8,1,6,8,8,8,8,6,8,4.936305732484077,1
249,Mudalur,T.  N.  D.  T.  A.  Punitha  Miickel  Hr  Sec  School East  Building  South  Side  Mudalur,"1.Mudalur  (R.V)  And  (P)  Rajamanarpuram  Block  1  ,  2.Mudalur  (R.V)  And
(P)  BungalaStreet  Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,260,36,96,189,0,0,0,0,0,0,0,0,0,2,0,583,0,2,585,0,44.59691252144082,6.174957118353345,16.46655231560892,32.41852487135506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indian National Congress,260,189,71,Tamilaga Vettri Kazhagam,4,1,6,6,3,6,6,2,6,6,6,6,6,5,6,12.17838765008576,2
250,Mudalur,"T.  N.  D.  T.  A.  Punitha  Miickel  Hr  Sec  School, South  Building  Facing  North  Mudalur.","1.Mudalur  (R.V)  And  (P)  Middle  Street  Block  3  ,  2.Mudalur  (R.V)  And  (P) Taukarpuram  Block  7  ,  999.OVERSEAS  ELECTORS",All  Voters,179,31,37,83,1,0,1,0,0,0,0,1,0,0,0,333,0,2,335,0,53.75375375375376,9.30930930930931,11.11111111111111,24.92492492492492,0.3003003003003003,0.0,0.3003003003003003,0.0,0.0,0.0,0.0,Indian National Congress,179,83,96,Tamilaga Vettri Kazhagam,4,1,5,8,3,5,8,2,8,8,8,5,8,8,8,28.82882882882883,1
251,Mudalur,"T.  N.  D.  T.  A.  Punitha  Mickel  Hr,  Sec  School East  Building  North  Side  Mudalur","1.Mudalur  (R.V)  And  (P)  South  Street  Block  4  ,  2.Mudalur  (R.V)  And  (P) Adaial  Block  5  ,  3.Mudalur  (R.V)  And  (P)  Navamuthaluor,  Dharamapuri, Block  6  ,  4.Mudalur  (R.V)  And  (P)  Pudur,  Thillaivanam  Block  7  , 999.OVERSEAS  ELECTORS",All  Voters,325,69,153,225,1,0,0,0,1,0,0,0,2,0,2,778,0,2,780,0,41.77377892030849,8.868894601542417,19.66580976863753,28.92030848329049,0.1285347043701799,0.0,0.0,0.0,0.1285347043701799,0.0,0.0,Indian National Congress,325,225,100,Tamilaga Vettri Kazhagam,4,1,7,9,3,9,9,2,9,9,7,9,5,9,5,12.85347043701799,4
252,Katachapuram,"TNDTA  Middle  School,  West  Building,  Facing East  side  Kadatchapuram.","1.Muthaluor  (P)  Valliammalpuram  Block  10  ,  2.Muthaluor  (P) Muthukrishanapuram  Block  11  ,  3.Muthaluor  (P)  Aladithattu  Block  12  , 4.Muthaluor  (P)  Shunmugapuram  Block  13  ,  5.Muthaluor  (P) Kadachipuram  North  Street  KeelaStreet  KoilStreet  Block  16  ,  6.Muthaluor
(P)  Kadakachipuram,2nd  South  Street  ,  Pudustreet  Block  17  ,
999.OVERSEAS  ELECTORS",All  Voters,275,76,318,231,0,0,0,0,9,0,0,0,0,0,0,909,0,4,913,0,30.25302530253025,8.360836083608362,34.98349834983499,25.41254125412541,0.0,0.0,0.0,0.0,0.9900990099009901,0.0,0.0,All India Anna Dravida Munnetra Kazhagam,318,275,43,Indian National Congress,4,2,6,6,1,6,6,3,6,6,5,6,6,6,6,4.730473047304731,0
253,Katachapuram,"TNDTA  Middle  School,  South  Building, Facing  North  side  Kadatchapuram.","1.Mudalur  (R.V)  And  (P)  Aathikkadu  Block  14  ,  2.Mudalur  (R.V)  And  (P) Chokkalingapuram  Block  15  ,  3.Mudalur  (R.V)  And  (P)  Katthapuram, Jeyapalpuram  Block  18  ,  4.Mudalur  (R.V)  And  (P)  Anbinnagaram  Block 19  ,  999.OVERSEAS  ELECTORS",All  Voters,213,37,187,153,1,0,0,0,0,0,0,0,1,0,1,593,0,0,593,0,35.91905564924115,6.239460370994941,31.5345699831366,25.80101180438449,0.1686340640809443,0.0,0.0,0.0,0.0,0.0,0.0,Indian National Congress,213,187,26,All India Anna Dravida Munnetra Kazhagam,4,1,5,8,2,8,8,3,8,8,8,8,5,8,5,4.384485666104553,2
254,Kankaniarpuram,"T.  N.  D.  T.  A.  Middle  School  West  Building, Kankaniarpuram","1.Shasthavinallur  (R.V)  And  (P)  Chandrayerpuram  Block  1  , 2.Shasthavinallur  (R.V)  And  (P)  Subbramaniapuram  Block  2  , 3.Shasthavinallur  (R.V)  And  (P)  Subramaniapuram  Block  3  , 999.OVERSEAS  ELECTORS",All  Voters,124,56,144,130,1,0,0,1,0,0,0,0,0,0,1,457,0,0,457,0,27.13347921225383,12.25382932166302,31.50984682713348,28.44638949671772,0.2188183807439825,0.0,0.0,0.2188183807439825,0.0,0.0,0.0,All India Anna Dravida Munnetra Kazhagam,144,130,14,Tamilaga Vettri Kazhagam,4,3,5,8,1,8,8,2,5,8,8,8,8,8,5,3.063457330415755,1
255,Polairpuram,"T.N.D.T.A  .All  saint  middle  school  Main  Hall west  side,  (Ground  Floor),  Polaiarpuram","1.Sasthavenallur  (R.V)  And  (P)  Polaiyarpuram  Block  10  ,  2.Sasthavenallur (R.V)  And  (P)  Muthukrushnapuram  Block  10  ,  999.OVERSEAS ELECTORS",All  Voters,238,57,141,180,0,1,0,0,0,1,0,0,1,0,0,619,0,0,619,0,38.44911147011308,9.208400646203554,22.77867528271405,29.07915993537965,0.0,0.1615508885298869,0.0,0.0,0.0,0.1615508885298869,0.0,Indian National Congress,238,180,58,Tamilaga Vettri Kazhagam,4,1,8,5,3,8,8,2,8,5,8,8,5,8,8,9.36995153473344,1
256,Kolunthattu,Punitha  Savier  Primary  School  Kolunthattu,"1.Sasthavenallur  (R.V)  And  (p)  Kolunthattu  Block  11  ,  2.Sasthavenallur
(R.V)  And  (P)  Valathour  Vairvam  Block  12  ,  3.Sasthavenallur  (R.V)  And  (P) Showkeyapuram  Block  13  ,  4.Sasthavenallur  (R.V)  And  (P)  Kammanvillai Block  14  ,  5.Sasthavenallur  (R.V)  And  (P)  Vairavam  Block  15  , 999.OVERSEAS  ELECTORS",All  Voters,280,103,117,288,1,3,1,2,2,0,0,0,3,1,0,801,0,2,803,0,34.95630461922597,12.85892634207241,14.60674157303371,35.95505617977528,0.1248439450686642,0.3745318352059925,0.1248439450686642,0.2496878901373283,0.2496878901373283,0.0,0.0,Tamilaga Vettri Kazhagam,288,280,8,Indian National Congress,4,2,9,5,3,9,12,1,7,12,7,12,5,9,12,0.9987515605493134,4
257,Pothakalanvillai,"St.marys  Higher  secondary  School  East building,  south  portion  (Ground  floor), Pothakalanvilai","1.Shasthavinalluor  (R.V)  And  (P)  Potthakanvillai  Block  4  , 2.Shasthavinalluor  (R.V)  And  (P)  Potthanvillai  Block  5  ,  999.OVERSEAS ELECTORS",All  Voters,232,89,185,253,1,0,0,0,1,1,0,0,0,0,0,762,0,4,766,0,30.44619422572178,11.67979002624672,24.27821522309711,33.20209973753281,0.1312335958005249,0.0,0.0,0.0,0.1312335958005249,0.1312335958005249,0.0,Tamilaga Vettri Kazhagam,253,232,21,Indian National Congress,4,2,5,8,3,8,8,1,8,5,5,8,8,8,8,2.755905511811024,0
258,Pothakalanvillai,"St.marys  Higher  secondary  School  north building,  west  portion  (Ground  floor),
Pothakalanvilai","1.Mudalur  (R.V)  And  (P)  Potthakkalanvillai  Block  8  ,  2.Shasthavinalluor (R.V)  And  (P)  Narayankudiruppu  Block  7  ,  3.Shasthavinalluor  (R.V)  And
(P)  Narayankudiruppu  Block  8  ,  4.Shasthavinalluor  (R.V)  And  (P)
Pudukudi  Block  9  ,  999.OVERSEAS  ELECTORS",All  Voters,94,32,170,182,1,0,0,0,5,1,0,0,0,0,0,485,0,0,485,0,19.38144329896907,6.597938144329897,35.05154639175257,37.52577319587629,0.2061855670103093,0.0,0.0,0.0,1.030927835051546,0.2061855670103093,0.0,Tamilaga Vettri Kazhagam,182,170,12,All India Anna Dravida Munnetra Kazhagam,4,3,6,8,2,8,8,1,8,6,5,8,8,8,8,2.474226804123711,0
259,Salaipudur,Panchayat  Union  Primary  School  North  Side Salaipudur,"1.Naduvakurichi  (R.V)  And  (P)  Adaippuvillai  Block  1  ,  2.Naduvakurichi
(R.V)  And  (P)  Salaipudur  Block  3  ,  3.Naduvakkurichi  (R.V),  Tamaraimozhi
(P)  Samythoppu  Block  1  ,  999.OVERSEAS  ELECTORS",All  Voters,65,24,118,99,0,0,0,0,1,0,0,1,0,0,1,309,0,1,310,0,21.03559870550162,7.766990291262135,38.18770226537217,32.03883495145632,0.0,0.0,0.0,0.0,0.3236245954692557,0.0,0.0,All India Anna Dravida Munnetra Kazhagam,118,99,19,Tamilaga Vettri Kazhagam,4,3,8,8,1,8,8,2,8,8,5,5,8,8,5,6.148867313915858,2
260,Thamraimozhi,"Panchyat  union  primary  School, Thamraimozhi","1.Naduvakkurichi  (R.V),  Tamaraimozhi  (P)  Udankattuvillai  Block  2  , 2.Naduvakkurichi  (R.V),  Thamarimoli  (P)  Merakkudi  Block  3  ,
3.Naduvakkurichi  (R.V),  Thamarimoli  (P)  Puchikkadu  Ananthavillai  Block 5  ,  4.Naduvakkurichi  (R.V),  Thamarimoli  (P)  Shanmugapuram  Block  2  ,
999.OVERSEAS  ELECTORS",All  Voters,75,20,122,148,1,0,1,0,25,0,0,0,1,0,0,393,0,7,400,0,19.08396946564886,5.089058524173027,31.04325699745547,37.65903307888041,0.2544529262086514,0.0,0.2544529262086514,0.0,6.361323155216285,0.0,0.0,Tamilaga Vettri Kazhagam,148,122,26,All India Anna Dravida Munnetra Kazhagam,5,3,6,9,2,6,9,1,9,9,4,9,6,9,9,6.615776081424936,1
261,Naduvakkurichi,"Panchayat  Union  Primary  School  old Building,  Naduvakkuruchi","1.Naduvaikurichi  (R.V)  And  (P)  Mukkandanvillai,  Nallur  Block  4  , 2.Naduvaikurichi  (R.V)  And  (P)  South  ramasamypuram  Block  5  , 3.Naduvaikurichi  (R.V)  And  (P)  MelaNaduvaikurichi  Block  6  ,
4.Naduvaikurichi  (R.V)  And  (P)  Prakasapuram  Block  7  ,  999.OVERSEAS
ELECTORS",All  Voters,198,59,177,162,1,1,1,0,0,0,0,0,0,1,0,600,0,1,601,0,33.0,9.833333333333332,29.5,27.0,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.0,0.0,0.0,0.0,Indian National Congress,198,177,21,All India Anna Dravida Munnetra Kazhagam,4,1,5,5,2,5,9,3,9,9,9,9,9,5,9,3.5,1
262,Naduvakkurichi,Panchayat  Union  Primary  School  Cluster Resource  Centre  Building  Naduvakkuruchi,"1.Naduvaikurichi  (R.V)  And  (P)  Poovudaiyarpuram  Block  10  ,
2.Naduvaikurichi  (R.V)  And  (P)  Dharamanagaram,  Nanagaram  Block  11  , 3.Naduvaikurichi  (R.V)  And  (P)  Semon  Adaippuvillai  block  12  ,
4.Naduvaikurichi  (R.V)  And  (P)  Namasivayapuram  Block  13  , 5.Naduvaikurichi  (R.V)  And  (P)  Naduvaikurichi  Block  14  ,
6.Naduvakuruchi  (R.V)  And  (P)  North  Ramasamypuram  Block  4  , 7.Naduvakuruchi  (R.V)  And  (P)  Mukkanthanvilai  Block  4  ,
999.OVERSEAS  ELECTORS",All  Voters,99,27,270,136,1,0,0,0,1,0,1,0,1,0,1,537,0,1,538,0,18.43575418994413,5.027932960893855,50.27932960893855,25.32588454376164,0.186219739292365,0.0,0.0,0.0,0.186219739292365,0.0,0.186219739292365,All India Anna Dravida Munnetra Kazhagam,270,136,134,Tamilaga Vettri Kazhagam,4,3,5,10,1,10,5,2,10,10,5,10,5,10,5,24.95344506517691,2
263,Thattarmadam,St.  Annal  High  School  Central  Portion (Ground  Floor)  Thattarmadam,"1.Naduvaikurichi  (R.V)  And  (P)  Valathuoor  Block  2  ,  2.Naduvaikurichi
(R.V)  And  (P)  Palavesamuthan  Thattu  Block  16  ,  3.Naduvaikurichi  (R.V) And  (P)  Nayenaarpuram  Block  18  ,  999.OVERSEAS  ELECTORS",All  Voters,133,67,166,158,1,2,1,0,0,0,0,0,0,1,0,529,0,3,532,0,25.14177693761815,12.66540642722117,31.37996219281663,29.86767485822307,0.1890359168241966,0.3780718336483932,0.1890359168241966,0.0,0.0,0.0,0.0,All India Anna Dravida Munnetra Kazhagam,166,158,8,Tamilaga Vettri Kazhagam,4,3,6,5,1,6,9,2,9,9,9,9,9,6,9,1.512287334593573,1
264,Thattarmadam,St.  Annal  High  School  Eastern  Portion (Ground  Floor)  Thattarmadam,"1.Naduvaikurichi  (R.V)  And  (P)  Thattarmadam  Block  15  ,
2.Naduvaikurichi  (R.V)  And  (P)  Thattarmadam  Block  17  ,  999.OVERSEAS ELECTORS",All  Voters,120,53,204,271,0,1,0,2,6,0,1,0,3,3,0,664,0,0,664,0,18.07228915662651,7.981927710843372,30.72289156626506,40.81325301204819,0.0,0.1506024096385542,0.0,0.3012048192771085,0.9036144578313252,0.0,0.1506024096385542,Tamilaga Vettri Kazhagam,271,204,67,All India Anna Dravida Munnetra Kazhagam,4,3,11,9,2,11,9,1,8,11,5,11,6,6,11,10.09036144578313,6
265,Kumaranvilai,"T.  N.  D.  T.  A.  Middle  School  East  Building South  portion,  Kumaranvilai","1.Arasoor  2  (R.V),  Arasoor  (p)  Keliyanvillai  block  12  ,  2.Arasoor  2  (R.V),
Arasoor  (P)  Pottal  villai  Konithattu  Block  12  ,  3.Arasoor  2  (R.V),  Arasoor
(P)  Kottaithattu  Block  13  ,  4.Arasoor  2  (R.V),  Arasoor  (P)  Panaivillai  Block 12  ,  5.Arasoor  2  (R.V),  Arasoor  (P)  Ananthavillai  Block  12  ,  6.Arasoor  2 (R.V),  Arasoor  (P)  Kumaranvillai  Block  13  ,  7.Arasoor  2  (R.V),  Arasoor  (P) Alantherivillai  Block  13  ,  8.Arasoor  2  (R.V),  Arasoor  (P)  Azhakiyavillai Block  13  ,  999.OVERSEAS  ELECTORS",All  Voters,152,71,316,323,3,2,0,1,0,0,0,0,0,1,0,869,0,1,870,0,17.49136939010357,8.170310701956272,36.36363636363637,37.16915995397008,0.3452243958573072,0.2301495972382048,0.0,0.1150747986191024,0.0,0.0,0.0,Tamilaga Vettri Kazhagam,323,316,7,All India Anna Dravida Munnetra Kazhagam,4,3,5,6,2,9,9,1,7,9,9,9,9,7,9,0.805523590333717,1
266,Kumaranvilai Idachivilai,T.  N.  D.  T.  A.  Middle  School  East  Building North  Side  Kumaranvilai  -  Idachivilai,"1.Arasoor  2  (R.V),  Arasoor  (P)  Nallammalpuram  Idaichivillai  Block  2  ,
2.Arasoor  2  (R.V),  Arasoor  (P)  Emmakelavivillai  Block  3  ,  3.Arasoor  2 (R.V),  Arasoor  (P)  Boovenvilai  Block  3  ,  999.OVERSEAS  ELECTORS",All  Voters,151,48,304,353,2,2,0,0,0,1,1,0,0,0,0,862,0,2,864,0,17.51740139211137,5.56844547563805,35.26682134570765,40.95127610208817,0.2320185614849188,0.2320185614849188,0.0,0.0,0.0,0.1160092807424594,0.1160092807424594,Tamilaga Vettri Kazhagam,353,304,49,All India Anna Dravida Munnetra Kazhagam,4,3,5,5,2,9,7,1,9,7,9,9,9,9,9,5.68445475638051,0
267,Vagaineri,Panchayat  Union  Primary  School  Vagaineri,"1.Arasoor  2  (R.V),  Arasoor  (P)  Vaganeri,  Udaianeristreet  Block  1  ,
2.Arasoor  2  (R.V),  Arasoor  (P)  Thottikaranvillai  Block  1  ,  3.Arasoor  2  (R.V), Arasoor  (P)  Vagainariyathaverkudiruppu  Block  1  ,  999.OVERSEAS ELECTORS",All  Voters,38,37,107,121,0,0,0,1,17,0,0,0,2,0,0,323,0,3,326,0,11.76470588235294,11.45510835913313,33.12693498452013,37.46130030959753,0.0,0.0,0.0,0.3095975232198143,5.263157894736842,0.0,0.0,Tamilaga Vettri Kazhagam,121,107,14,All India Anna Dravida Munnetra Kazhagam,4,3,8,8,2,8,8,1,7,8,5,8,6,8,8,4.3343653250774,2
268,Poochikadu,"St.  Antonys  R.  C.  Middle  School,  East  Side East  Portion,Koviladivilai,  Poochikadu","1.Arasoor  1  (R.V),  Arasoor  (P)  Puchikadu  Block  6  ,  2.Arasoor  1  (R.V), Arasoor  (P)  Mettu  villai  Block  9  ,  3.Arasoor  (R.V),  Arasoor  (P) Sivasubramaniapuram  Block  9  ,  4.Arasoor  1  (R.V),  Arasoor  (P)  Kamaraj Nagar  Block  9  ,  999.OVERSEAS  ELECTORS",All  Voters,167,42,186,186,2,3,0,0,2,0,0,0,2,0,0,590,0,2,592,0,28.30508474576271,7.118644067796611,31.52542372881356,31.52542372881356,0.3389830508474576,0.5084745762711864,0.0,0.0,0.3389830508474576,0.0,0.0,All India Anna Dravida Munnetra Kazhagam,186,186,0,All India Anna Dravida Munnetra Kazhagam,4,3,6,5,1,9,9,1,9,9,6,9,6,9,9,0.0,2
269,Poochikadu,"St.  Antonys  R.  C.  Middle  School,  East  Side West  Portion  Facing  North  Koviladivilai,
Poochikadu","1.Arasoor  (R.V),  Arasoor  (P)  Suyambulingapuram  Block  7  ,  2.Arasoor  1 (R.V),  Arasoor  (P)  Perumalpuram  Block  6  ,  3.Arasoor  1  (R.V),  Arasoor  (P) Pudukkottai  Block  6  ,  4.Arasoor  1  (R.V),  Arasoor  (P)  Valathanvilai  Block  7
,  999.OVERSEAS  ELECTORS",All  Voters,38,20,174,171,2,0,0,1,2,3,0,0,2,0,0,413,0,2,415,0,9.200968523002421,4.842615012106537,42.13075060532688,41.40435835351089,0.4842615012106538,0.0,0.0,0.2421307506053269,0.4842615012106538,0.7263922518159807,0.0,All India Anna Dravida Munnetra Kazhagam,174,171,3,Tamilaga Vettri Kazhagam,4,3,6,10,1,10,10,2,9,5,6,10,6,10,10,0.7263922518159807,2
270,Poochikadu,"St.  Antonys  R.  C.  Middle  School,  East  Side, west  portion,Koviladivilai,  Poochikadu","1.Arasoor  1  (R.V),  Arasoor  (P)  Theethanvillai  Block  8  ,  999.OVERSEAS ELECTORS",All  Voters,131,48,169,173,1,0,0,1,1,0,0,0,1,0,0,525,0,2,527,0,24.95238095238095,9.142857142857142,32.19047619047619,32.95238095238095,0.1904761904761905,0.0,0.0,0.1904761904761905,0.1904761904761905,0.0,0.0,Tamilaga Vettri Kazhagam,173,169,4,All India Anna Dravida Munnetra Kazhagam,4,3,5,9,2,9,9,1,5,9,5,9,5,9,9,0.7619047619047619,1
271,Thachanvillai,"Panchayat  Union  Middle  School,  South Building  East  SideThachanvilai","1.Arasoor  1  (R.V),  Arasoor  (P)  Pethalagam  Block  15  ,  2.Arasoor  1(R.V), Arasoor  (P)  Thangammalpuram  Block  15  ,  3.Arasoor  1  (R.V),  Arasoor  (P) Konkanvilai  Block  16  ,  999.OVERSEAS  ELECTORS",All  Voters,81,26,160,130,0,0,1,1,0,1,1,0,0,0,1,402,0,1,403,0,20.14925373134328,6.467661691542288,39.80099502487563,32.33830845771145,0.0,0.0,0.2487562189054726,0.2487562189054726,0.0,0.2487562189054726,0.2487562189054726,All India Anna Dravida Munnetra Kazhagam,160,130,30,Tamilaga Vettri Kazhagam,4,3,10,10,1,5,5,2,5,5,10,10,10,10,5,7.462686567164178,1
272,Thachanvillai,"Panchayat  Union  Middle  School,  North Building  West  Side  East  facing,Thachanvilai.","1.Arasoor  1  (R.V),  Arasur  (P)  Thatchanvilai  Block  17  ,  999.OVERSEAS ELECTORS",All  Voters,122,59,337,233,2,1,0,1,0,0,1,3,2,2,4,767,0,1,768,0,15.90612777053455,7.692307692307693,43.9374185136897,30.3780964797914,0.2607561929595828,0.1303780964797914,0.0,0.1303780964797914,0.0,0.0,0.1303780964797914,All India Anna Dravida Munnetra Kazhagam,337,233,104,Tamilaga Vettri Kazhagam,4,3,7,10,1,13,10,2,10,13,13,6,7,7,5,13.5593220338983,11
273,Kadakulam,"St.  Joshep  Middle  School,  East  New Building,  Facing  South  side,  Kadakulam","1.Arasoor  1  (R.V),  Arasoor  (p)  Kadakulam  block  18  ,  999.OVERSEAS ELECTORS",All  Voters,164,80,65,164,0,1,0,0,0,0,0,0,0,1,0,475,0,0,475,0,34.52631578947368,16.84210526315789,13.68421052631579,34.52631578947368,0.0,0.2105263157894737,0.0,0.0,0.0,0.0,0.0,Indian National Congress,164,164,0,Indian National Congress,3,1,7,5,4,7,7,1,7,7,7,7,7,5,7,0.0,1
274,Athisayapuram,T.  N.  D.  T.  A.  Middle  School  Athisayapuram,"1.Arasoor  1  (R.V),  Arasoor  (p)  Athisayapuram  Block  19  ,  2.Arasoor  1  (R.V), Arasoor  (P)  Karishal  vadapuram,  tenpuram  Block  20  ,  999.OVERSEAS ELECTORS",All  Voters,205,49,185,148,0,0,0,0,0,0,0,0,2,0,0,589,0,1,590,0,34.80475382003396,8.31918505942275,31.40916808149406,25.12733446519524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indian National Congress,205,185,20,All India Anna Dravida Munnetra Kazhagam,4,1,6,6,2,6,6,3,6,6,6,6,5,6,6,3.395585738539898,2
275,Puthantharvai,"Panchayat  Union  Middle  School  South  East Building,   Puthantharuvai","1.Putthantharuvai  (R.V)  And  (P)  Kaspa  Street  Block  1  ,  2.Putthantharuvai (R.V)  And  (P)  Chinnappalli  West  Street  Block  2  ,  3.Putthantharuvai  (R.V) And  (P)  Katchery  Street  Block  1  ,  4.Putthantharuvai  (R.V)  And  (P)  New
Veetu  Street  Block  1  ,  5.Putthantharuvai  (R.V)  And  (P)  Mannar Rajapuram  Block  2  ,  6.Putthantharuvai  (R.V)  And  (P)  Velli  villai  Block  2  , 7.Putthantharuvai  (R.V)  And  (P)  Perumal  Nagar  Block  2  ,
8.Putthantharuvai  (R.V)  And  (P)  Mela  Veda  Kovil  Street  Block  2  ,
999.OVERSEAS  ELECTORS",All  Voters,154,27,239,166,1,0,0,0,1,0,1,2,0,1,0,592,0,1,593,0,26.01351351351352,4.560810810810811,40.37162162162162,28.04054054054054,0.1689189189189189,0.0,0.0,0.0,0.1689189189189189,0.0,0.1689189189189189,All India Anna Dravida Munnetra Kazhagam,239,166,73,Tamilaga Vettri Kazhagam,4,3,6,10,1,10,6,2,10,10,6,5,10,6,10,12.33108108108108,3
276,Puthantharvai,"Panchayat  Union  Middle  School  North Building  Facing  South,  Puthantharuvai","1.Putthantharuvai  (R.V)  And  (P)  Periya  Street  Block  3  ,  2.Putthantharuvai (R.V)  And  (P)  Mohammathiar  Street  Block  4  ,  3.Puthan  Street  (R.V)  And
(P)  Amman  kovil  Street  Block  3  ,  4.Puthan  Street  (R.V)  And  (P)  Therkoor
Street  Block  4  ,  5.Puthan  Street  (R.V)  And  (P)  Keeloor  Keela  Street  Block  4
,  999.OVERSEAS  ELECTORS",All  Voters,277,23,129,180,1,0,0,0,1,0,1,1,0,0,0,613,0,5,618,0,45.18760195758564,3.752039151712887,21.04404567699837,29.36378466557912,0.1631321370309951,0.0,0.0,0.0,0.1631321370309951,0.0,0.1631321370309951,Indian National Congress,277,180,97,Tamilaga Vettri Kazhagam,4,1,5,9,3,9,5,2,9,9,5,5,9,9,9,15.82381729200653,1
277,"Usarathu
kudieruppu","Panchayat  Union  Middle  School  South Building,  Facing  North,  Usarathukudieruppu","1.Puttantharuvai  (R.V)  And  (P)  Pudhkudiruppu  Block  6  ,  2.Puttantharuvai (R.V)  And  (P)  Usarathaukkudiruppu  Block  7  ,  3.Puttantharuvai  (R.V)  And
(P)  Usarathukudiruppu  Block  6  ,  999.OVERSEAS  ELECTORS",All  Voters,65,32,247,124,0,0,2,0,1,0,0,0,0,1,0,472,0,4,476,0,13.77118644067797,6.779661016949152,52.33050847457628,26.27118644067797,0.0,0.0,0.423728813559322,0.0,0.211864406779661,0.0,0.0,All India Anna Dravida Munnetra Kazhagam,247,124,123,Tamilaga Vettri Kazhagam,4,3,8,8,1,5,8,2,8,8,6,8,8,6,8,26.05932203389831,1
278,Chettivilai,"St.Joseph  Middle  school  ,  east  building south  portion,  Chettivilai","1.Puttantharuvai  (R.V)  And  (P)  MathaKoil  Street  Chettyvilai  Block  5  , 999.OVERSEAS  ELECTORS",All  Voters,141,75,136,220,0,0,0,0,0,0,0,1,0,0,0,573,0,3,576,0,24.60732984293194,13.08900523560209,23.7347294938918,38.39441535776614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tamilaga Vettri Kazhagam,220,141,79,Indian National Congress,4,2,6,6,3,6,6,1,6,6,6,5,6,6,6,13.7870855148342,1
