Serial No. Of Polling Station,Locality,Polling  Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
233,Sattankulam,"1.Sathankulam  (SGTP)  Arasaradi  vinayagar  Kovil  Street  ,  2.Sathankulam (SGTP)  NaduStreet  ,  3.Sathankulam  (SGTP)  Swamy  Sanathi  Street  , 4.Sathankulam  (SGTP)  North  Mada  Veethi  ,  5.Sathankulam  (SGTP)
Kuthukkal  Street  ,  6.Sathankulam  (SGTP)  Edakkudi  Street  , 7.Sathankulam  (SGTP)  Thachiar  Street  ,  8.Sathankulam  (SGTP)  North ratha  Veethi  ,  9.Sathankulam  (SGTP)  Udhayamarthandan  vinayagar  Kovil Street  ,  10.Sathankulam  (SGTP)  Nazareth  Road  ,  999.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,17,2.681388012618297
236,Sattankulam,"1.Sathankulam  (SGTP)  Sathankulam  colony  Street  1  ,  2.Sathankulam (SGTP)  Sathankulam  colony  2  Street  ,  3.Sathankulam  (SGTP) Sathankulam  Colony  Street  3  Ward  1  ,  999.OVERSEAS  ELECTORS",Indian National Congress,Tamilaga Vettri Kazhagam,23,4.006968641114982
240,Sattankulam,"1.Sathankulam  (SGTP)  Chekkadi  Pudustreet  ward  3  ,  2.Sathankulam (SGTP)  Main  Road  ward  3  ,  3.Sathankulam  (SGTP)  Savarimuthunadar Street  ward  3  ,  4.Sathankulam  (SGTP)  Veriporttor  Streer  ward  3  , 5.Sathankulam  (SGTP)  Pillaiyar  Kovil  Street  ward  3  ,  6.Sathankulam
(SGTP)  Arunachalamchettiar  Street  ward  3  ,  7.Sathankulam  (SGTP) Kariyalan  Kudiruppu  Street  ward  3  ,  8.Sathankulam(SGTP)
Pillaiyarsannathi  Street  Ward  -  3  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,21,4.595185995623632
241,Sattankulam,"1.Sathankulam  (SGTP)  Chettier  Nadu  street  ward  9  ,  2.Sathankulam (SGTP)  Chettier  KeelaStreet  ward  9  ,  3.Sathankulam  (SGTP)
Pandarnchettivillai  ward  9  ,  4.Sathankulam  (SGTP)  Perumalkovil  Street ward  9  ,  5.Sathankulam  (SGTP)  Thachaimoli  Mutharammankovil  Street ward  9  ,  6.Sathankulam  (SGTP)  Chettiar  Sourh  Street  ward  9  ,
999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,26,3.651685393258427
242,Sattankulam,"1.Sattankulam  (R.V)  and  (P)  Thaccmozhi  Nadar  South  Street  1  Sandu  1 Ward  6  ,  2.Sathankulam  (SGTP)  Thachaimoli  Nadar  South  Street  1  sandu 2  ,  3.Sathankulam  (SGTP)  Thachaimoli  Nadar  Street  1  Sandu  3  , 4.Sathankulam  (SGTP)  Thachaimoli  Nadar  South  Street  1,  Sandu  4  , 5.Sathankulam  (SGTP)  Thachaimoli  Nadar  SouthStreet  1,  Sandu  5  , 6.Sathankulam  (SGTP)  Thachaimoli  Nadar  South  Street  2  , 7.Sathankulam  (SGTP)  Thachaimoli  Nadar  Street  3  ,  8.Sathankulam
(SGTP)  Thachaimoli  Nadar  South  Street  4  ,  9.Sathankulam  (SGTP)
Thachaimoli  Nadar  Street  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,8,1.801801801801802
248,Muthu krishnapuram,"1.Sattankulam  (R.V),  Subburayapuram  (P)  Thalavaipuram  Block  4  , 2.Sattankulam  (R.V),  Subburayapuram  (P)  Arumuganeri  Block  5  , 3.Sattankulam  (R.V),  Subburayapuram  (P)  Kalankudierruppu  Block  5  , 4.Sattankulam  (R.V),  Subburayapuram  (P)  Muthukrishnapuram  Block  3  , 5.Sattankulam  (R.V),  Subburayapuram  (P)  Srirenganathapuram  Block  3  , 6.Sattankulam  (R.V),  Subburayapuram  (P)  Thoppuvalam  Block  1  , 7.Sattankulam  (R.V),  Subburayapuram  (P)  Kanthasamypuram  Block  1  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,31,4.936305732484077
252,Katachapuram,"1.Muthaluor  (P)  Valliammalpuram  Block  10  ,  2.Muthaluor  (P) Muthukrishanapuram  Block  11  ,  3.Muthaluor  (P)  Aladithattu  Block  12  , 4.Muthaluor  (P)  Shunmugapuram  Block  13  ,  5.Muthaluor  (P) Kadachipuram  North  Street  KeelaStreet  KoilStreet  Block  16  ,  6.Muthaluor
(P)  Kadakachipuram,2nd  South  Street  ,  Pudustreet  Block  17  ,
999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Indian National Congress,43,4.730473047304731
253,Katachapuram,"1.Mudalur  (R.V)  And  (P)  Aathikkadu  Block  14  ,  2.Mudalur  (R.V)  And  (P) Chokkalingapuram  Block  15  ,  3.Mudalur  (R.V)  And  (P)  Katthapuram, Jeyapalpuram  Block  18  ,  4.Mudalur  (R.V)  And  (P)  Anbinnagaram  Block 19  ,  999.OVERSEAS  ELECTORS",Indian National Congress,All India Anna Dravida Munnetra Kazhagam,26,4.384485666104553
254,Kankaniarpuram,"1.Shasthavinallur  (R.V)  And  (P)  Chandrayerpuram  Block  1  , 2.Shasthavinallur  (R.V)  And  (P)  Subbramaniapuram  Block  2  , 3.Shasthavinallur  (R.V)  And  (P)  Subramaniapuram  Block  3  , 999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,14,3.063457330415755
256,Kolunthattu,"1.Sasthavenallur  (R.V)  And  (p)  Kolunthattu  Block  11  ,  2.Sasthavenallur
(R.V)  And  (P)  Valathour  Vairvam  Block  12  ,  3.Sasthavenallur  (R.V)  And  (P) Showkeyapuram  Block  13  ,  4.Sasthavenallur  (R.V)  And  (P)  Kammanvillai Block  14  ,  5.Sasthavenallur  (R.V)  And  (P)  Vairavam  Block  15  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Indian National Congress,8,0.9987515605493134
257,Pothakalanvillai,"1.Shasthavinalluor  (R.V)  And  (P)  Potthakanvillai  Block  4  , 2.Shasthavinalluor  (R.V)  And  (P)  Potthanvillai  Block  5  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Indian National Congress,21,2.755905511811024
258,Pothakalanvillai,"1.Mudalur  (R.V)  And  (P)  Potthakkalanvillai  Block  8  ,  2.Shasthavinalluor (R.V)  And  (P)  Narayankudiruppu  Block  7  ,  3.Shasthavinalluor  (R.V)  And
(P)  Narayankudiruppu  Block  8  ,  4.Shasthavinalluor  (R.V)  And  (P)
Pudukudi  Block  9  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,12,2.474226804123711
261,Naduvakkurichi,"1.Naduvaikurichi  (R.V)  And  (P)  Mukkandanvillai,  Nallur  Block  4  , 2.Naduvaikurichi  (R.V)  And  (P)  South  ramasamypuram  Block  5  , 3.Naduvaikurichi  (R.V)  And  (P)  MelaNaduvaikurichi  Block  6  ,
4.Naduvaikurichi  (R.V)  And  (P)  Prakasapuram  Block  7  ,  999.OVERSEAS
ELECTORS",Indian National Congress,All India Anna Dravida Munnetra Kazhagam,21,3.5
263,Thattarmadam,"1.Naduvaikurichi  (R.V)  And  (P)  Valathuoor  Block  2  ,  2.Naduvaikurichi
(R.V)  And  (P)  Palavesamuthan  Thattu  Block  16  ,  3.Naduvaikurichi  (R.V) And  (P)  Nayenaarpuram  Block  18  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,8,1.512287334593573
265,Kumaranvilai,"1.Arasoor  2  (R.V),  Arasoor  (p)  Keliyanvillai  block  12  ,  2.Arasoor  2  (R.V),
Arasoor  (P)  Pottal  villai  Konithattu  Block  12  ,  3.Arasoor  2  (R.V),  Arasoor
(P)  Kottaithattu  Block  13  ,  4.Arasoor  2  (R.V),  Arasoor  (P)  Panaivillai  Block 12  ,  5.Arasoor  2  (R.V),  Arasoor  (P)  Ananthavillai  Block  12  ,  6.Arasoor  2 (R.V),  Arasoor  (P)  Kumaranvillai  Block  13  ,  7.Arasoor  2  (R.V),  Arasoor  (P) Alantherivillai  Block  13  ,  8.Arasoor  2  (R.V),  Arasoor  (P)  Azhakiyavillai Block  13  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,7,0.805523590333717
267,Vagaineri,"1.Arasoor  2  (R.V),  Arasoor  (P)  Vaganeri,  Udaianeristreet  Block  1  ,
2.Arasoor  2  (R.V),  Arasoor  (P)  Thottikaranvillai  Block  1  ,  3.Arasoor  2  (R.V), Arasoor  (P)  Vagainariyathaverkudiruppu  Block  1  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,14,4.3343653250774
268,Poochikadu,"1.Arasoor  1  (R.V),  Arasoor  (P)  Puchikadu  Block  6  ,  2.Arasoor  1  (R.V), Arasoor  (P)  Mettu  villai  Block  9  ,  3.Arasoor  (R.V),  Arasoor  (P) Sivasubramaniapuram  Block  9  ,  4.Arasoor  1  (R.V),  Arasoor  (P)  Kamaraj Nagar  Block  9  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,0,0.0
269,Poochikadu,"1.Arasoor  (R.V),  Arasoor  (P)  Suyambulingapuram  Block  7  ,  2.Arasoor  1 (R.V),  Arasoor  (P)  Perumalpuram  Block  6  ,  3.Arasoor  1  (R.V),  Arasoor  (P) Pudukkottai  Block  6  ,  4.Arasoor  1  (R.V),  Arasoor  (P)  Valathanvilai  Block  7
,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,3,0.7263922518159807
270,Poochikadu,"1.Arasoor  1  (R.V),  Arasoor  (P)  Theethanvillai  Block  8  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,4,0.7619047619047619
273,Kadakulam,"1.Arasoor  1  (R.V),  Arasoor  (p)  Kadakulam  block  18  ,  999.OVERSEAS ELECTORS",Indian National Congress,Indian National Congress,0,0.0
274,Athisayapuram,"1.Arasoor  1  (R.V),  Arasoor  (p)  Athisayapuram  Block  19  ,  2.Arasoor  1  (R.V), Arasoor  (P)  Karishal  vadapuram,  tenpuram  Block  20  ,  999.OVERSEAS ELECTORS",Indian National Congress,All India Anna Dravida Munnetra Kazhagam,20,3.395585738539898
279,Chockankudiruppu,"1.Kommadikottai  (R.V)  And  (p)  Chokkankudiruppu  block  3  , 2.Kommadikottai  (R.V)  And  (P)  Chokkankudiruppu  Block  4  ,
3.Kommadikottai  (R.V)  And  (P)  Chokkankudiruppu  Gandhinagar  Block  5  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Indian National Congress,22,2.770780856423174
280,Kommadikottai,"1.Kommadikottai  (R.V)  And  (P)  Kommadikottai  Block  1  ,  2.Kommadikottai (R.V)  And  (P)  Vshuvasapuram  Block  2  ,  3.Kommadikottai  (R.V)  And  (P) Chinnaranipuram  Block  3  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,15,2.683363148479427
