Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
220,"BHARATHIYAR GOVT HIGHER SEC SCHOOL, Room no.1, WESTERN PORTION, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 4 Balathadi Vinayagar Street",All India Anna Dravida Munnetra Kazhagam,1.1180124223602486
223,"ST.JOHNS MATRIC HR SEC SCHOOL, NORTHERN PORTION  EASTERN SIDE ROOM NO.6 VEERAVANALLUR","1 - Veeravanallur (P), Ward No 7 Vandimalaichiamman Kovil 5th North Street",All India Anna Dravida Munnetra Kazhagam,7.195301027900147
224,"ST.JOHNS MIDDLE SCHOOL, EASTERN PORTION VEERAVANALLUR","1 - Veeravanallur (P), Ward No 8 Kambalathan Sannathi Street",All India Anna Dravida Munnetra Kazhagam,4.316546762589928
225,"ST.JOHNS MIDDLE SCHOOL, WESTERN PORTION VEERAVANALLUR","1 - Veeravanallur (P), Ward No 8 Kambalathamman Kovil North Street",All India Anna Dravida Munnetra Kazhagam,7.157894736842104
226,"BHARATHIYAR GOVT.HR.SEC SCHOOL(New Building), EAST BUILDING, SOUTHERN PORTION, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 9 Bajanaimadam Sannathi Street",Tamilaga Vettri Kazhagam,6.25
227,"BHARATHIYAR GOVT.HR.SEC SCHOOL(New Building), EAST BUILDING, MIDDLE PORTION, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 10 Renganathaswamy Koil South Street",All India Anna Dravida Munnetra Kazhagam,4.4799999999999995
228,"BHARATHIYAR GOVT.HR.SEC SCHOOL(New Building), EAST BUILDING, NORTHERN PORTION, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 11 Kottaivasal Colony",Tamilaga Vettri Kazhagam,9.703947368421053
230,"THIRUGNANA SAMBANTHAR MIDDLE SCHOOL, OLD BUILDING, SOUTHERN PORTION, VEERAVANALLUR","2 - Veeravanallur (P), Ward No 13 Barathinagar",Indian National Congress,4.595588235294118
231,"THIRUGNANA SAMBANTHAR MIDDLE SCHOOL, CENTRAL PORTION, WESTERN BUILDING, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 13 Madhakoil North Street",All India Anna Dravida Munnetra Kazhagam,7.191316146540028
232,"THIRUGNANA SAMBANTHAR MIDDLE SCHOOL, NEW BUILDING, Ramasamy Room NO.12 VEERAVANALLUR","1 - Veeravanallur (P), Ward No 14 V.O.Chidambaranar Street",Tamilaga Vettri Kazhagam,8.720930232558139
236,"COMMUNITY HALL WEST SIDE ,VEERAVANALLUR","1 - Therkku Veeravanallur (R.V), Therkku Veeravanallur (P), Block No 4 Rediyarpuram",Tamilaga Vettri Kazhagam,2.547770700636943
237,"PANCHAYAT UNION PRIMARY SCHOOL, SOUTHERN PORTION ALAGAPPAPURAM THERKKU VEERAVANALLUR","2 - Therkku Veeravanallur (R.V), Therkku Veeravanallur (P), Block No 2 Senkulam",Tamilaga Vettri Kazhagam,3.149606299212598
240,"COMMUNITY HALL,PUDUKUDI","1 - Pudukudi (R.V)Pudukudi (P), Sowrastra Mela Street",All India Anna Dravida Munnetra Kazhagam,4.089219330855019
241,"GANAPATHY PRIMARY SCHOOL, MAIN BUILDING, PUDUKUDI","3 - Pudukudi (R.V),Pudhukudi (P), Mupudathiammankovil Street",All India Anna Dravida Munnetra Kazhagam,8.040201005025125
242,"T.D.T.A PRIMARY SCHOOL, NEW BUILDING, PUDUKUDI","1 - Pudhukudi (R.V), Pudhukudi (P), Pudhucolony",All India Anna Dravida Munnetra Kazhagam,2.1638330757341575
243,"HINDU MIDDLE SCHOOL, EASTERN PORTION WEST SIDE VADAKKU KARUKURICHI","1 - Vadakku Karukurichi (R.V),Vadakku Karukurichi (P), Block No 1",Tamilaga Vettri Kazhagam,12.244897959183673
244,"HINDU MIDDLE SCHOOL, EASTERN PORTION EAST SIDE VADAKKU KARUKURICHI","1 - Vadakku Karukurichi (R.V),Vadakku Karukurichi (P), Block No 3",Tamilaga Vettri Kazhagam,3.58814352574103
245,"COMMITTEE HARIJAN PRIMARY SCHOOL ,VADAKKU KARUKURICHI","1 - Vadakku Karukurichi (R.V), Vadakku Karukurichi (P), Block no 5",Indian National Congress,1.5018773466833542
246,"COMMITTEE HARIJAN PRIMARY SCHOOL, WESTERN BUILDING, NORTHERN PORTION, VADAKKU KARUKURICHI.","1 - Vadakku Karukurichi (R.V), Vadakku Karukurichi (P), Block No 7",Tamilaga Vettri Kazhagam,0.8174386920980926
247,"HARIJAN COMMITTEE SCHOOL, SHENBAGAVALLI AMMAN KOVIL COLONY THERKKU ARIYANAYAGIPURAM","1 - Therkku Ariyanayagipuram (R.V), Therkku Ariyanayagipuram (P), Block No 1",All India Anna Dravida Munnetra Kazhagam,9.90990990990991
250,"PANCHAYAT UNION MIDDLE SCHOOL, SOUTHERN BUILDING EASTERN PORTION, KUNIYUR","1 - Kuniyur (R.V), Kuniyur (P), Block No 4",Tamilaga Vettri Kazhagam,0.45801526717557256
252,"COMMITTEE MIDDLE SCHOOL, EASTERN PORTION, CHERANMAHADEVI","1 - Cheranmahadevi (P), Ward No. 1 Pakthaprioyam Street",Indian National Congress,4.854368932038835
256,"COMMITTEE HARIJANA PRIMARY SCHOOL, SOUTHERN PORTION, CHUNNAMMBUKKAL STREET, CHERANMAHADEVI","1 - Cheranmahadevi (P), Ward No. 5 Ramasamy Kovil  South Car Street",All India Anna Dravida Munnetra Kazhagam,10.614525139664805
257,"COMMITTEE HARIJANA PRIMARY SCHOOL, SOUTH
SIDE, CHUNNAMMBUKKAL STREET, CHERANMAHADEVI","1 - Cheranmahadevi (P), Ward No. 6 Chunnampukal Street",Tamilaga Vettri Kazhagam,6.8359375
259,"PANCHAYAT UNION PRIMARY SCHOOL, WESTERN BUILDING, SOUTHERN PORTION, CHERANMAHADEVI.","1 - Cheranmahadevi (P), Ward No.8 East Middle Street.",All India Anna Dravida Munnetra Kazhagam,0.0
264,"MUSLIM COMMITTEE HIGH SCHOOL, NORTHERN BUILDING (East Side), CHERANMAHADEVI","1 - Cheranmahadevi   (P), Ward No. 9 Vaithi East Street",Tamilaga Vettri Kazhagam,6.746626686656672
266,"PERIYAR GOVT HIGHER SEC SCHOOL,EAST BUILDING, CHERANMAHADEVI.","1 - Cheranmahadevi  (P), Ward No. 12 Chellipuram Street.",Tamilaga Vettri Kazhagam,5.539358600583091
267,"PERIYAR GOVT HIGHER SEC SCHOOL, ROOM NO.XIID1, CHERANMAHADEVI.","1 - Cheranmahadevi (P), Ward. No. 12 Aladi Street.",Tamilaga Vettri Kazhagam,12.447552447552447
268,"R.C.MIDDLE SCHOOL, SOUTHERN BUILDINGS, EAST SIDE, CHERANMAHADEVI.","1 - Cheranmahadevi (P), Ward No. 12 M.G.R. Nagar House Board",Indian National Congress,6.572769953051644
269,"R.C.MIDDLE SCHOOL, SOUTHERN EAST BUILDING (WEST SIDE) CHERANMAHADEVI","1 - Cheranmahadevi (P), Ward No. 10 Thiruvalluvar Street.",Tamilaga Vettri Kazhagam,8.6848635235732
271,"R.C.MIDDLE SCHOOL, NORTHERN BLOCK (EAST), ROOM
NO. 8thC CHERANMAHADEVI","1 - Cheranmahadevi (P), Ward No. 10 Punitha Annammal Street.",Tamilaga Vettri Kazhagam,3.3810143042912877
275,"RAMASESHIER HR.SEC. SCHOOL, NORTHERN NEW BUILDING WEST ROOM, PATHAMADAI","1 - Patthamadai  (P), Ward No.3 Annanagar New Colony",Indian National Congress,3.6090225563909777
276,"RAMASESHIER HR.SEC.SCHOOL, MAIN BUILDING NORTHERN PORTION, PATHAMADAI","1 - Patthamadai  (P), Ward No.13 Muthammal Street",All India Anna Dravida Munnetra Kazhagam,6.913996627318718
299,"PANCHAYAT UNION PRIMARY SCHOOL, NORTH BUILDING, EASTERN SIDE, CHOKKALINGAPURAM","9 - Melacheaval  (P), Ward No. 10 Rajiv Gandhi Nagar",Tamilaga Vettri Kazhagam,6.8493150684931505
301,"PANNAI VENKATRAMAIYAR HIGH SCHOOL, NORTHERN PORTION, GOPALASAMUDRAM","1 - Gopalasamudram (P), Ward No. 3 Muppidathiamman kovil East Line.",Indian National Congress,7.678883071553229
302,"PANCHAYAT UNION PRIMARY SCHOOL, SOUTHERN EAST NEW BUILDLING, GOPALASAMUDRAM","2 - Gopalasamudram (P), Ward No.5 Marukkal Union Road East Line",Tamilaga Vettri Kazhagam,4.444444444444445
303,"PANCHAYAT UNION PRIMARY SCHOOL, SOUTHERN WEST BUILDING GOPALASAMUDRAM","1 - Gopalasamudram  (P), Ward No. 6 Palaniandavar Kovil street.",All India Anna Dravida Munnetra Kazhagam,8.116385911179174
304,"PANCHAYAT UNION PRIMARY SCHOOL, NORTHERN BUILDING ABL SCIENCE, GOPALASAMUDRAM","1 - Gopalasamudram (P), Ward  No. 10 Ambethkar North street.",Tamilaga Vettri Kazhagam,12.927756653992395
305,"T.D.T.A PRIMARY SCHOOL , WESTERN PORTION, GOPALASAMUDRAM","1 - Gopalasamudram  (P), Ward No. 7 SargunaVinayagar Kovil street.",All India Anna Dravida Munnetra Kazhagam,9.15032679738562
306,"T.D.T.A PRIMARY SCHOOL , WESTERN PORTION, GOPALASAMUDRAM","1 - Gopalasamudram  (P), Ward No. 8 Church street.",Indian National Congress,3.5135135135135136
309,"PANCHAYAT UNION PRIMARY SCHOOL, NORTH PORTION PIRANCHERI","8 - Gopalasamudram (P), Ward No. 7 Prancheri Adidravidar East Street",Indian National Congress,12.5
