Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
35,"ST.THERASA MIDDLE SCHOOL, WESTERN BUILDING, MAIN BUILDING VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), Colony South Street",Tamilaga Vettri Kazhagam,4.063604240282685
37,"SENAITHALAIVAR HR. SEC.SCHOOL, NORTH RCC BUILDING, FACING SOUTH STD XIIC, VICKRAMASINGAPURAM - 1","1 - Vickramasingapuarm (M), Vaithiyalingapuram West Street",Tamilaga Vettri Kazhagam,1.8838304552590266
38,"SENAITHALAIVAR HR. SEC.SCHOOL, NORTH RCC BUILDING, FACING SOUTH STD XIIC, VICKRAMASINGAPURAM - 1","3 - Vickramasingapuarm (m), Pannimadasamy Kovil Street",All India Anna Dravida Munnetra Kazhagam,3.8770053475935833
39,"SENAITHALAIVAR PRIMARY SCHOOL, NORTH RCC BUILDING WESTERN PORTION, VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), Salai Amman Kovil Street",All India Anna Dravida Munnetra Kazhagam,0.6230529595015576
40,"P.L.W.A HR.SEC.SCHOOL, SOUTHERN BUILDING ROOM.NO.12 VICKRAMASINGAPURAM","1 - Vickramasingapuram (M), Vickramasingapuram Main Road",Tamilaga Vettri Kazhagam,10.967741935483872
41,"P.L.W.A HR.SEC.SCHOOL , NORTHERN PORTION ROOM.NO.4 SOUTHERN BUILDING VICKRAMASINGAPURAM","1 - Vickramasingapuram (M), Arunthathiyer Street",Tamilaga Vettri Kazhagam,6.870229007633588
43,"P.L.W.A HR.SEC.SCHOOL, ROOM.NO.8 SOUTHERN BUILDING VICKRAMASINGAPURAM","1 - Vickramasingapuram (M), Ambalavanapuram Main Road",Tamilaga Vettri Kazhagam,5.1652892561983474
44,"ST.XAVIERS GIRLS MIDDLE SCHOOL, SOUTHERN BUILDING EASTERN PORTION IRUTHAYAKULAM, VICRAMASINGAPURAM","1 - Vickramasingapuram (M), Ambalavanapuram North Last Street",All India Anna Dravida Munnetra Kazhagam,0.1531393568147014
45,"ST.XAVIERS GIRLS MIDDLE SCHOOL, SOUTHERN BUILDING WESTERN PORTION IRUTHAYAKULAM, VICRAMASINGAPURAM","1 - Vickramasingapuram (M), Gandhinagar West Street",Tamilaga Vettri Kazhagam,5.673758865248227
46,"ST. SACRED HEART HIGH SCHOOL, EASTERN BUILDING SOUTHERN PORTION VICKRAMASINGAPURAM - 1","3 - Vickramasingapuram (M), Georgepuram South Street",Indian National Congress,4.722792607802875
57,"PANCHAYAT UNION PRIMARY SCHOOL, SCHOOL INTEGRARATED CONFERENCE CENTRE, MANNARKOVIL.","1 - Mannarkovil (R.V), Mannarkovil (P), Sivanthipatti Sannathi Street",Tamilaga Vettri Kazhagam,1.2958963282937366
59,"VILLAGE PANCHAYAT OFFICE, NORTH PORTION, MANNARKOVIL","1 - Mannarkovil (R.V), Mannarkovil (P), Vempadi Street1 to 11/49 ,11/223 to 60A",All India Anna Dravida Munnetra Kazhagam,6.41399416909621
60,"COMMUNITY HALL ,JAWAHARPURAM ,MANNARKOVIL","PON NAGER Door no.11/50 to 11/221 C , 60B to 228/69H",Tamilaga Vettri Kazhagam,13.194444444444445
62,"PERUMAL THEVAR MEMORIAL PRIMARY SCHOOL, AYAN THIRU VALEESWARAM","1 - Ayan Thiruvaliswaram (R.V), Ayan Thiruvaliswaram (P), Ayan Thiruvaliswaram South Street.",All India Anna Dravida Munnetra Kazhagam,1.487603305785124
66,"SRI PUDTHAR PRIMARY SCHOOL, NEWLY CONSTRUCTED BUILDING, SOUTHERN BUILDING, GOWTHAMAPURI","1 - Brahmadesam (R.V), Brahmadesam (P), Block No 7 Gowthamapuri",Tamilaga Vettri Kazhagam,13.333333333333334
