Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Winner_Party,Margin_Percentage
109,Innasiarpuram,"St.  Ignatious  Hr.  Sec.  School,  St.Marys  Hall (STD  XII  D),  Innasiarpuram","1.Thoothukudi  Corporation  Muthukrishnapuram  2nd  street  -  Ward  12  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.80519480519481
110,Innasiarpuram,"St.  Ignatious  Hr.  Sec.  School,  Arch  Bishop Peter  Fernando  Hall,  2nd  room  from  North (STD  XI  C),  Innasiarpuram","1.Thoothukudi  Corporation  Muthukrishnapuram  6th  Street  -  Ward  11  ,
,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,16.64355062413315
111,Innasiarpuram,"St.  Ignatious  Hr.  Sec.  School,  Arch  Bishop Peter  Fernando  Hall,  (STD  X  A), Innasiarpuram","1.Thoothukudi  Corporation  Muthukrishnapuram  6th  Street  -  Ward  11  , 2.Thoothukudi  Corporation  Muthukrishnapuram  7th  Street  -  Ward  12  , 3.Thoothukudi  Corporation  Muthukrishnapuram  8th  street  -  Ward  12  , 4.Thoothukudi  Corporation  Muthukrishnapuram  9th  Street  -  Ward  12  , 5.Thoothukudi  Corporation  Muthukrishnapuram  10th  street  -  Ward  12  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,13.20224719101124
118,Thiraviapuram,"T.N.D.T.A  Middle  School,  North  New Building,  West  Portion,  Thiraviapuram","1.Thoothukudi  Corporation  Boobalarayarpuram  1st  street  -  Ward  12  ,
2.Thoothukudi  Corporation  Boobalarayarpuram  1st  street  Lane  1  -  Ward 12  ,  3.Thoothukudi  Corporation  Boopalarayarpuram  6th  Street  -  Ward  12
,  4.Thoothukudi  Corporation  Boobalarayerpuram  2nd  Street  -  Ward  12  , 5.Thoothukudi  Corporation  Boobalarayarpuram  3rd  Street  -  Ward  12  , 6.Thoothukudi  Corporation  Boobalarayarpuram  4th  Street  -  Ward  12  , 7.Thoothukudi  Corporation  Boobalarayarpuram  5th  Street  -  Ward  12  , 8.Thoothukudi  Corporation  Boobalarayarpuram  7th  Street  -  Ward  12  , 9.Thoothukudi  Corporation  Boobalarayarpuram  8th  Street  -  Ward  12  , 10.Thoothukudi  Corporation  Boobalarayarpuram  9th  Street  -  Ward  12  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,18.83656509695291
121,Muthukrishnapura m,"Sathya  Nursery  and  Primary  School,  North building,  West  portion  1st  room, Muthukrishnapuram","1.Thoothukudi  Corporation  Boobalarayerpuram  3rd  Street  -  Ward  12  , 2.Thoothukudi  Corporation  Boobalarayarpuram  1st  Street  Lane  2  -
Ward  12,
3.Thoothukudi  Corporation  Muthukrishnapuram  Main  -  Ward  12  ,  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,22.02970297029703
124,Alangarathattu,"R.C.  Primary  School,  Main  Building,  3rd room  from  East,  STD  III,  Alangarathattu","1.Thoothukudi  Corporation  Mela  Alangarathattu  -  Ward  17  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,32.65856950067476
125,Alangarathattu,"R.C.  Primary  School,  Main  Building,  3rd room  from  West,  STD  II,  Alangarathattu","1.Thoothukudi  Corporation  Keela  Alangarathattu  -  Ward  17  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,29.84054669703872
126,Alangarathattu,"R.C.  Primary  School,  Main  Building,  2nd room  from  West,  STD  I,  Alangarathattu","1.Thoothukudi  Corporation  Thasnavis  Nagar  -  Ward  17  ,  2.Thoothukudi Corporation  Bharathi  Nagar  (Saint  Mary  Colony)  -  Ward  17  ,
3.Thoothukudi  Corporation  John  Xavier  Nagar  -  Ward  17  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,29.25659472422063
127,Krishnarajapuram,"Infant  Matric.  Hr.  Sec.  School,  South Building,  1st  room  from  west, Krishnarajapuram","1.Thoothukudi  Corporation  Ayyar  Villai  Block  1  -  Ward  17  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,22.21063607924922
128,Krishnarajapuram,"Infant  Matric.  Hr.  Sec.  School,  South Building,  2nd  room  from  West, Krishnarajapuram","1.Thoothukudi  Corporation  Ponsubbaiah  Nagar  Block  2  -  Ward  17  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,17.73504273504274
158,Beach  Road,"Caldwell  Hr  Sec  School,  East  Building,  North portion  3rd  Room,  Beach  Road","1.Thoothukudi  Corporation  St.George  sandhu  -  Ward  21  ,  2.Thoothukudi Corporation  St.George  Street  -  Ward  21  ,  3.Thoothukudi  Corporation
Tharuvai  Sandhu  -  Ward  21  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,30.21442495126706
