Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Winner_Party,Margin_Percentage
59,Millerpuram,"St.Marys  Primary  School,  North  Building,  1st room  from  East,  Millerpuram","1.Thoothukudi  Corporation  Anna  Nagar  11th  Street  -  Ward  37  ,
2.Thoothukudi  Corporation  Palayamkottai  road  West  -  Ward  35  ,
3.Thoothukudi  Corporation  Millerpuram  -  Ward  35  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,0.0
62,Millerpuram,"The  Vikasa  School,  West  Building,  Room  No.
11.  Millerpuram","1.Thoothukudi  Corporation  Chinnamani  Nagar  Main  -  Ward  35  ,
2.Thoothukudi  Corporation  Millerpuram  -  Ward  35  ,  3.Thoothukudi Corporation  Millerpuram  Center  -  Ward  35  ,  4.Thoothukudi  Corporation Millerpuram  South  -  Ward  35  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,1.672862453531598
66,Annanagar  10th street,"Thangam  Middle  School,  North  Building,  4th room  from  West  (STD  VI),  Annanagar  10th
street","1.Thoothukudi  Corporation  Anna  Nagar  2nd  Street  -  Ward  36  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,10.89108910891089
71,"Anna  Nagar  12th Street  Extension, Mangalapuram","ICDS  Centre  No.  37,  Anna  Nagar  12th  Street Extension,  Mangalapuram","1.Thoothukudi  Corporation  Mangalapuram  -  Ward  3  ,  2.Thoothukudi Corporation  Magilchipuram  -  Ward  3  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,3.767660910518053
75,Polpettai,"Thangammal  Memorial  Hr.  Sec.School,  Main Building,  4th  room  from  East,  Polpettai","1.Thoothukudi  Corporation  Polpettai  1  st  Street  -  Ward  4  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,4.44104134762634
76,Polpettai,"Thangammal  Memorial  Hr.  Sec.  School,  Main Building,  3rd  room  from  West,  (Near Staircase),  Polpettai","1.Thoothukudi  Corporation  Polpettai  2nd  Street  -  Ward  4  ,  2.Thoothukudi Corporation  Polpettai  3rd  Street  -  Ward  4  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,1.275510204081633
77,Polpettai,"Thangammal  Memorial  Hr.  Sec.  School,  Main Building,  2nd  room  from  West,  Polpettai","1.Thoothukudi  Corporation  Polpettai  East  4th  Street  -  Ward  4  , 2.Thoothukudi  Corporation  State  Bank  Colony  West  -  Ward  4  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,10.74380165289256
78,Polpettai,"Thangammal  Memorial  Primary  School,  West Building,  1st  room  from  North,  Polpettai","1.Thoothukudi  Corporation  State  Bank  Colony  East  -  Ward  6  ,
2.Thoothukudi  Corporation  S.K.S.R  Colony  -  Ward  6  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,2.878787878787879
79,Polpettai,"Geetha  Matric.  Hr.  Sec.  School,  East Building,  1st  room  from  South,  Polpettai","1.Thoothukudi  Corporation  Polpettai  West  -  Ward  4  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,10.0
81,Polpettai,"Geetha  Matric.  Hr.  Sec.  School,  North Building,  2nd  room  from  East,  STD  II  B, Polpettai","1.Thoothukudi  Corporation  Polpettai-Gomathibai  Colony  Street-1  -  Ward 6  ,  2.Thoothukudi  Corporation  Polpettai-Gomathibai  Colony  Street-2  - Ward  6  ,  3.Thoothukudi  Corporation  Polpettai-S.K.S.R.  Colony  -  Ward  6  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,2.982954545454545
82,Polpettai,"Geetha  Matric.  Hr.  Sec.  School,  North Building,  3rd  room  from  East,  STD  II  A, Polpettai","1.Thoothukudi  Corporation  Polpettai  west  street-1  -  Ward  4  , 2.Thoothukudi  Corporation  Polpettai  West  Street-2  -  Ward  4  ,
3.Thoothukudi  Corporation  State  Bank  Colony  -  Ward  4  ,  4.Thoothukudi
Corporation  Ezhil  Nagar  -  Ward  6  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,3.869047619047619
83,Polpettai,"Geetha  Matric.  Hr.  Sec.  School,  North Building,  4th  room  from  East,  STD  I  A, Polpettai","1.Thoothukudi  Corporation  Polpettai  east  1  st  street  -  Ward  4  , 2.Thoothukudi  Corporation  Polpettai  East  2nd  Street  -  Ward  4  , 3.Thoothukudi  Corporation  Polpettai  East  3rd  Street  -  Ward  4  ,
4.Thoothukudi  Corporation  Polpettai  West  -  Ward  4  ,  5.Thoothukudi Corporation  Kurinjinagar  1  st  Street  -  Ward  4  ,  6.Thoothukudi Corporation  Kurinjinagar  2nd  Street  -  Ward  4  ,  7.Thoothukudi Corporation  Kurinji  Nagar  3rd  Street  -  Ward  4  ,  999.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,1.866251944012442
84,Polpettai,"Geetha  Matric.  Hr.  Sec.  School,  North Building,  2nd  room  from  West,  (Near Staircase),  STD  LKG  B,  Polpettai","1.Thoothukudi  Corporation  Kurinji  Nagar  4th  Street  -  Ward  4  , 2.Thoothukudi  Corporation  Kurinji  Nagar  5th  Street  -  Ward  4  , 3.Thoothukudi  Corporation  Kurinji  Nagar  6th  Street  -  Ward  4  , 4.Thoothukudi  Corporation  Kurinjinagar  7th  Street  -  Ward  4  ,
5.Thoothukudi  Corporation  Polpettai  East  Main  -  Ward  4  ,  6.Thoothukudi
Corporation  Periyasamy  Nagar  -  Ward  6  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,9.145427286356822
85,Polpettai,"Geetha  Matric.  Hr.  Sec.  School,  North Building,  1st  room  from  West,  STD  LKG  A, Polpettai","1.Thoothukudi  Corporation  Polpettai  1st  Street  -  Ward  6  ,  2.Thoothukudi Corporation  Polpettai  2nd  street  -  Ward  6  ,  3.Thoothukudi  Corporation
Polpettai  3rd  street  -  Ward  6  ,  4.Thoothukudi  Corporation  Kasirajan
Colony  -  Ward  6  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,12.35632183908046
97,Innasiarpuram,"St.  Thomas  Matricultion  Hr  Sec,  School,  B.P. Peters  Block,  1st  room  from  North,  Room  No. 1,  Innasiarpuram","1.Thoothukudi  Corporation  Krishnarajapuram  6th  Street  -  Ward  11  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,10.68702290076336
106,Innasiarpuram,"St.  Ignatious  Primary  School,  East  Building, 2nd  Room  from  south,  Innasiarpuram","1.Thoothukudi  Corporation  Sathya  Nagar  -  Ward  6  ,  2.Thoothukudi Corporation  Ambedhkar  Nagar  Street  1  -  Ward  6  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,8.206106870229007
