Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Winner_Party,Margin_Percentage
253,Tiruchendur  Road,"Annammal  College  of  Education  for  Women,
D.  Shenbagamurthi  Hall,  West  Portion,  Room No.  GF-3,  Tiruchendur  Road,  Thoothukudi","1.Thoothukudi  Corporation  Coats  Nagar  -  ward  50  ,  2.Thoothukudi Corporation  Sakthi  Nagar  -  ward  48  ,  3.Thoothukudi  Corporation  S.N.R. Nagar  -  ward  49  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,29.36962750716333
256,Rajapandi  Nagar,"Nirmal  Rural  Development  Centre  Project Office  (SCAD),  South  Building,  2nd  Room from  East,  Rajapandi  Nagar","1.Thoothukudi  Corporation  Sathya  Nagar  -  ward  50  ,  2.Thoothukudi Corporation  Mudukkukadu  -  ward  50  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,18.69031377899045
258,Rajapandi  Nagar,"Nirmal  Rural  Development  Center  Project Office  (SCAD),  South  Building,  3rd  Room from  West,  Rajapandi  Nagar","1.  Thoothukudi  Corporation  Periyasamy  Nagar
2.  Thoothukudi  Corporation  MGR  Nagar  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,24.7557003257329
259,Caldwell  Colony  4th Street,"Infant  Jesus  Nursery  and  Primary  School, 1st  room  from  East,  Caldwell  Colony  4th Street","1.Thoothukudi  Corporation  Anthonyarpuram  -  ward  50  (Door  No.  1  to 44-346)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.40509915014164
266,Caldwell  Colony  4th Street,"Thiru  Kudumbam  Tamil  Middle  School,  East Building,  3rd  room  from  North,  (STD  II)
Caldwell  Colony  4th  Street","1.Thoothukudi  Corporation  Vallinayagapuram  Block  4  -  ward  49  (Door No.  After  3C-150),  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,27.60736196319019
267,Caldwell  Colony  4th Street,"Thiru  Kudumbam  Tamil  Middle  School,  East Building,  2nd  room  from  South,  (STD  I  E)
Caldwell  Colony  4th  Street","1.Thoothukudi  Corporation  Amutha  Nagar  -  ward  48  (Door  No.  1  to 5D-250)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,31.3458262350937
269,Tiruchendur  Road,"Bharat  Ratna  Kamarajar  Matriculation  Hr. Sec.  School,  Main  Block,  Room  No.  105, Tiruchendur  Road,  Thoothukudi","1.Thoothukudi  Corporation  Muniasamypuram  2nd  street  -  ward  46  ,
2.  Thoothukudi  Corporation  Muniasamypuram  West  -  Ward  46 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,13.7434554973822
271,Tiruchendur  Road,"Bharat  Ratna  Kamarajar  Matriculation  Hr. Sec.  School,  Main  Block,  6th  Room  from East,  Tiruchendur  Road,  Thoothukudi","1.Thoothukudi  Corporation  Levenchipuram  -  ward  47  ,  2.Thoothukudi Corporation  Levenchipuram  Salt  Bangalow  Street  -  ward  46  ,
3.Thoothukudi  Corporation  Levenchipuram  2nd  Street  -  ward  47  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,29.04368358913814
273,Tiruchendur  Road,"Bharat  Ratna  Kamarajar  Matriculation  Hr. Sec.  School,  Main  Block,  Room  No.  108, Tiruchendur  Road,  Thoothukudi","1.Thoothukudi  Corporation  Levenchipuram  1st  Street  -  Ward  47  (Door No.  1  to  26B)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,24.34127979924718
274,Tiruchendur  Road,"Bharat  Ratna  Kamarajar  Matriculation  Hr. Sec.  School,  Main  Block,  Room  No.  110, Tiruchendur  Road,  Thoothukudi","1.Thoothukudi  Corporation  Levenchipuram  1st  Street  -  Ward  47  (Door No.  Above  26B)
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,13.29690346083789
276,VE  Road,"DMNS.  Dr.  Sivanthi  Adithanar  Matriculation Hr.Sec.  School,  North  Building,  4th  room from  West,  (STD  U.K.G.  A),  V.E  Road","1.Thoothukudi  Corporation  Melashanmugapuram  1st  Street  -  Ward  45  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,20.31662269129288
278,Devarpuram  Road,"Ceena  Vana  Govt  Hr.  Sec.  School,  Main Building,  West  portion,  Room  No.  2, Devarpuram  Road,  Thoothukkudi","1.Thoothukudi  Corporation  Vannar  6th  Street  -  Ward  29  ,  2.Thoothukudi Corporation  Sivanthakulam  Road  -  Ward  29  ,  3.Thoothukudi  Corporation Aavudaiyarpuram  -  Ward  40  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.62616822429906
291,Doovipuram  4th Street,"Bell  Matric.  Hr.  Sec.  School,  Eastern Building,  Doovipuram  4th  Street,
Thoothukudi","1.Thoothukudi  Corporation  Doovipuram  5th  street  -  ward  38  , 2.Thoothukudi  Corporation  Doovipuram  6th  Street  -  ward  38  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,25.49504950495049
292,Doovipuram  4th Street,"Bell  Matric.  Hr.  Sec.  School,  South  Building, Doovipuram  4th  Street  Thoothukudi","1.Thoothukudi  Corporation  Doovipuram  10th  Street  -  Ward  38  , 2.Thoothukudi  Corporation  Doovipuram  11th  Street  -  Ward  38  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.50904392764858
298,Doovipuram  11th Street,"ICDS  centre,  Sankaranarayanan  Park Campus,  Centre  No.  35,  Doovipuram  11th Street,  Thoothukudi","1.Thoothukudi  Corporation  Anna  Nagar  8  -  Ward  37  (Door  No.  After  40)  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,15.0259067357513
301,Doovipuram  2nd Street,"T.N.D.T.A  Middle  School,  Main  Building,  1st room  from  North,  Doovipuram  2nd  Street,
Thoothukkudi","1.Thoothukudi  Corporation  Anna  nagar  7  -  Ward  37  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,21.09004739336493
303,Doovipuram  2nd Street,"T.N.D.T.A  Middle  School,  Main  Building,  1st room  from  South,  Doovipuram  2nd  Street, Thoothukkudi","1.Thoothukudi  Corporation  Mani  Nagar  -  Ward  41  ,  2.Thoothukudi Corporation  Doovipuram  9th  Street  -  Ward  38  ,  3.Thoothukudi Corporation  Annanagar  9th  Street  North  -  Ward  37  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,26.0545905707196
310,Chidambara  nagar,"Crescent  Matric.  Hr.  Sec.  School,  Main Building,  Room  No  13,  Chidambaranagar, Thoothukudi","1.Thoothukudi  Corporation  Bryant  Nagar  5th  street  -  Ward  43  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,14.77832512315271
313,Bryant  Nagar  7th Street,"T.N.D.T.A  Primary  School,  West  Building, North  portion,  Bryant  Nagar  7th  Street,
Thoothukudi","1.Thoothukudi  Corporation  Bryant  Nagar  7th  Street  -  Ward  43  (Door  No. 1  to  30)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,22.79411764705882
316,Bryant  Nagar  3rd Street  (East),"Good  Shepherd  Hr.  Sec.  School  for  Hearing Impaired,  South  Middle  Building,  East Portion,  Bryant  Nagar  3rd  Street  (East)","1.Thoothukudi  Corporation  Bryant  Nagar  9th  Street  -  Ward  43  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,14.02439024390244
318,Bryant  Nagar  3rd Street  (East),"Good  Shepherd  Hr.  Sec.  School  for  Hearing Impaired,  Good  Shepherd  Home  Block,
Bryant  Nagar  3rd  Street  (East)","1.Thoothukudi  Corporation  Bryant  Nagar  Amman  Koil  Main  -  Ward  42  , 2.Thoothukudi  Corporation  Bryant  Nagar  Amman  Kovil  Lane  -  Ward  42  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,12.44343891402715
322,Levengipuram,"Corporation  Primary  School,  North  Building, 3rd  room  from  west,  Levengipuram,
Thoothukkudi","1.Thoothukudi  Corporation  Muniasamypuram  2nd  Street  Extension- Ward  -46  ,  2.Thoothukudi  Corporation  Muniasamypuram  3rd  Street Extension  -  Ward  46  ,  3.Thoothukudi  Corporation  Muniasamypuram  1st Street  -Ward-47  ,  4.Thoothukudi  Corporation  Muniasamypuram  2nd
Street  -  Ward-46  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.57364341085271
325,Veeranayakkanthatt u,"Corporation  Primary  School,  2nd  room  from South,  Veeranaickanthattu","1.Thoothukudi  Corporation  Veeranaickanthattu  -  ward  51  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,15.86206896551724
328,"J.S.  Nagar, Muthiahpuram","Corporation  Primary  School,  New  Building, 1st  Room  from  west,  J.S.Nagar, Muthiahpuram","1.Thoothukudi  Corporation  Sundaram  nagar  -  ward  54  (Door  No.  1  to 4-210)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.27966101694915
329,"J.S.  Nagar, Muthiahpuram","Community  Hall,  West  portion  J.S.Nagar, Muthiahpuram","1.Thoothukudi  Corporation  Sundaram  nagar  -  ward  54  (Door  No.  After 4-210)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,14.92146596858639
331,Mullakadu,"T.N.D.T.A  MIddle  School,  South BuildingMullakadu","1.Mullakkadu  Part  2  (R.V)  And  (P)  North  street  ,  2.Mullakkadu  Part  2
(R.V)  And  (P)  West  Street  ,  3.Mullakkadu  Part  2  (R.V)  ANd  (P)  Meenavar Colony  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,8.1145584725537
339,"North  Street, Muthiahpuram","Chandy  Matric  Hr.Sec.  School,  East Building,  Room  No.  2  North  Street, Muthiahpuram","1.Thoothukudi  Corporation  Thoppu  Street  -  ward  52  ,  2.Thoothukudi Corporation  South  Street  -  ward  52  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.41964285714286
340,"North  Street, Muthiahpuram","Chandy  Matric  Hr.Sec.  School,  East Building,  Room  No.  4,  North  Street, Muthiahpuram","1.Thoothukudi  Corporation  North  Street  Block  2  -  ward  53  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,18.13537675606641
341,Muthiapuram,"K.T.  Kosalram  High  School,  P.V.  Muthiah Memorial  Block,  1st  room  from  West,  (1st door),  Muthiahpuram","1.Thoothukudi  Corporation  East  Street  -  ward  52  (Door  No.  1  to  1-79-14)
,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,23.5
347,"Spic  Nagar, Muthiapuram","Spic  Nagar  Hr,  Sec  School,  East  building, Room  No  5,  Spic  Nagar,  Muthiahpuram","1.Thoothukudi  Corporation  Spic  Nagar  D  Sector  -  ward  54  , 2.Thoothukudi  Corporation  Tac  Nagar  -  ward  59
3.Thoothukudi  Corporation  Spic  Nagar  G  Sector  -  ward  54  ,  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,30.62730627306273
351,Thermal  nagar Camp-1,"St.Thomas  Nursery  and  Primary  School,  2nd room  from  East,  Thermal  Nagar","1.Thoothukudi  Corporation  Thermal  Power  Station  Housing  Board  Type  2 Sector  2  -  ward  53  ,  2.Thoothukudi  Corporation  Thermal  Power  Station Housing  Board  Type  2  Sector  3  -  ward  53  ,  3.Thoothukudi  Corporation
Thermal  Power  Station  Housing  Board  Type  2  Sector  4  -  ward  53  ,
4.Thoothukudi  Corporation  Pandukarai  West  -  ward  53  ,  5.Thoothukudi Corporation  Pandukarai  East  -  ward  53  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,24.04494382022472
353,Thermal  nagar Camp-1,"Thoothukudi  Panchayat  Union  Middle School,  South  Building,  2nd  room  from West,  Thermal  Nagar","1.Thoothukudi  Corporation  Koilpillai  Nagar  Block  2  -  ward  51  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,14.31297709923664
359,New  Harbour,"J.I.Coilpillai  Memorial  Hr.  Sec.  School,  West Portion,  Room  No.  19,  New  Harbour","1.Thoothukudi  Corporation  Temporary  Fishermens  Quarters  -  Ward  60  , 2.Thoothukudi  Corporation  New  Harbour  -Ward  60  ,  3.Thoothukudi Corporation  Railway  colony  -  Ward  60  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,30.73110285006196
360,New  Harbour,"J.I.Coilpillai  Memorial  Hr.  Sec.  School,  West Portion,  Room  No.  21,  New  Harbour","1.Thoothukudi  Corporation  New  Harbour  Quarters  Block  1  -  Ward  60  , 2.Thoothukudi  Corporation  New  Harbour  Side  Temporary  Quarters  -
Ward  60  ,  3.Thoothukudi  Corporation  Bharathi  Nagar  Kovil  Street  -  Ward
60  ,  4.Thoothukudi  Corporation  Bharathi  Nagar  Pillaiyar  Kovil  -  Ward  60  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,10.9717868338558
