Label,Total_Votes,Share_Percentage
TVK,95555,45.68533986106264
DMK,59324,28.36311131722756
AIADMK,40545,19.3847742626423
NTK,11435,5.467132659842513
AIPTMMK,874,0.4178639217054967
PT,272,0.1300446072126946
IND4,262,0.1252635554769338
NIP,173,0.08271219502866241
ETMK,170,0.08127787950793415
TVK-TV,126,0.06024125187058649
RSD(R),105,0.05020104322548875
IND5,95,0.04541999148972791
IND2,91,0.04350757079542358
IND1,85,0.04063893975396708
IND3,47,0.02247094315807591
