Label,Total_Votes,Share_Percentage
TVK,87539,41.02550884115907
DMK,75484,35.37588399874401
AIADMK,38526,18.05536679210974
NTK,10432,4.888999282959269
NOTA,871,0.4081976970338884
IND7,255,0.1195067884542383
IND4,189,0.08857561967784719
IND8,188,0.08810696560547764
TAVAK,169,0.07920253823045595
IND1,129,0.06045637533567347
IND2,126,0.05905041311856479
VTK,116,0.05436387239486917
IND5,88,0.04124155836852144
IND6,85,0.03983559615141276
IND3,51,0.02390135769084765
