Polling_Station_No,location_clean,Dominant_Party_In_Booth,Dominant_Party_Votes,Margin_Of_Victory
48,Thoppur-625008,tamilaga vettri kazhagam,428,120
49,Munandipatti-625008,tamilaga vettri kazhagam,209,60
50,Vedarpuliyankulam-625006,dravida munnetra kazhagam,385,31
51,Vedarpuliyankulam-625006,tamilaga vettri kazhagam,330,19
52,Vedarpuliyankulam-625006,tamilaga vettri kazhagam,366,95
53,Thanakkankulam-625006,tamilaga vettri kazhagam,279,15
54,Thanakkankulam-625006,tamilaga vettri kazhagam,326,35
55,Thanakkankulam-625006,tamilaga vettri kazhagam,320,64
56,"West Building East
Portion Thanakankulam 625006",tamilaga vettri kazhagam,336,102
57,West Building West Portion Thanakankulam 625006,tamilaga vettri kazhagam,331,58
58,Thanakkankulam-625006,tamilaga vettri kazhagam,278,79
59,Thanakkankulam-625006,tamilaga vettri kazhagam,275,59
60,Thanakkankulam-625006,tamilaga vettri kazhagam,378,31
61,Thanakkankulam-625006,tamilaga vettri kazhagam,335,86
62,Thanakkankulam-625006,tamilaga vettri kazhagam,374,145
63,"Thiruvalluvar nagar
Thanakkankulam-625006",tamilaga vettri kazhagam,322,99
64,"Thiruvalluvar nagar
Thanakkankulam-625006",tamilaga vettri kazhagam,433,205
65,"Thanakkankulam-
625006",tamilaga vettri kazhagam,402,201
66,Thanakkankulam-625006,tamilaga vettri kazhagam,411,178
67,Vilacheri-625006,dravida munnetra kazhagam,586,431
68,625006,tamilaga vettri kazhagam,411,106
69,Vilacheri-625006,tamilaga vettri kazhagam,190,63
70,625006,dravida munnetra kazhagam,257,2
71,625006,dravida munnetra kazhagam,249,47
72,625006,tamilaga vettri kazhagam,442,137
73,Vilacheri-625006,dravida munnetra kazhagam,359,70
74,Vilacheri-625006,tamilaga vettri kazhagam,356,8
75,Thirunagar-625006,dravida munnetra kazhagam,178,6
76,(East side) Thirunagar-625006,tamilaga vettri kazhagam,268,113
77,Thirunagar-625006,tamilaga vettri kazhagam,273,65
78,(West Side) Thirunagar-625006,tamilaga vettri kazhagam,314,138
79,Thirunagar-625006,tamilaga vettri kazhagam,326,130
80,West Building South Portion Thirunagar-625006,tamilaga vettri kazhagam,237,49
81,West Building Middle Portion (South Side) Thirunagar-625006,tamilaga vettri kazhagam,285,116
82,West Building Middle Portion Thirunagar-625006,tamilaga vettri kazhagam,309,134
83,West Building Middle Portion (North Side) Thirunagar-625006,tamilaga vettri kazhagam,356,181
84,West Building North Portion Thirunagar-625006,tamilaga vettri kazhagam,380,219
85,Thirunagar-625006,tamilaga vettri kazhagam,317,117
86,Thirunagar-625006,tamilaga vettri kazhagam,436,250
87,Thirunagar-625006,tamilaga vettri kazhagam,296,116
88,"Thirunagar-
625006",tamilaga vettri kazhagam,299,176
89,Thirunagar 625006,tamilaga vettri kazhagam,308,124
90,"Thirunagar-
625006",tamilaga vettri kazhagam,240,113
91,Thirunagar-625006,tamilaga vettri kazhagam,293,98
92,Thirunagar-625006,tamilaga vettri kazhagam,342,121
93,Thirunagar-625006,tamilaga vettri kazhagam,269,60
94,Thirunagar-625006,tamilaga vettri kazhagam,224,78
95,Thirunagar-625006,tamilaga vettri kazhagam,214,69
96,Thirunagar-625006,tamilaga vettri kazhagam,362,103
97,Thirunagar-625006,tamilaga vettri kazhagam,392,151
98,Thirunagar-625006,tamilaga vettri kazhagam,414,222
99,Thirunagar-625006,tamilaga vettri kazhagam,337,169
100,Western Portion Thiyagarajar colony-625004,tamilaga vettri kazhagam,371,160
101,"East Portion Thiyagarajar
colony-625004",tamilaga vettri kazhagam,341,104
102,Near H M Room Pasumalai-625004,tamilaga vettri kazhagam,265,11
103,Near Correspondent Room Pasumalai-625004,dravida munnetra kazhagam,269,8
104,Near A H M Room Pasumalai-625004,tamilaga vettri kazhagam,322,78
105,Pasumalai-625004,dravida munnetra kazhagam,277,30
106,Room No 5 Pasumalai-625004,tamilaga vettri kazhagam,233,29
107,Room No 6 Pasumalai-625004,tamilaga vettri kazhagam,243,56
108,Thiruparankundram-625005,tamilaga vettri kazhagam,351,172
109,Thiruparankundram-625005,tamilaga vettri kazhagam,382,143
110,Thiruparankundram-625005,tamilaga vettri kazhagam,312,105
111,East Building Northern Portion Thiruparankundram-625005,tamilaga vettri kazhagam,307,116
112,Room No 3 Thiruparankundram-625005,tamilaga vettri kazhagam,413,252
113,Thiruparankundram-625005,tamilaga vettri kazhagam,340,117
114,Thiruparankundram-625005,tamilaga vettri kazhagam,451,224
115,Near Staff Room No 1 Thiruparankundram-625005,tamilaga vettri kazhagam,313,24
116,Thiruparankundram-625005,tamilaga vettri kazhagam,339,47
117,Thiruparankundram-625005,tamilaga vettri kazhagam,409,184
118,HM Room Thiruparankundram-625005,tamilaga vettri kazhagam,494,241
119,Tiruparankundram-625005,tamilaga vettri kazhagam,192,1
120,Tiruparankundram-625005,tamilaga vettri kazhagam,243,50
121,MRCAS Manikam Ramaswami College of Arts & Science East Portion LH3 Room Tiruparankundram-625005,tamilaga vettri kazhagam,322,181
122,MRCAS Manikam Ramaswami College of Arts & Science Center Portion LH4 Room Tiruparankundram-625005,tamilaga vettri kazhagam,412,187
123,MRCAS Manikam Ramaswami College of Arts & Science West Portion LH5 Room Tiruparankundram-625005,tamilaga vettri kazhagam,438,245
124,Tiruparankundram -625005,tamilaga vettri kazhagam,355,106
125,Western portion Tiruparankundram - 625005,tamilaga vettri kazhagam,364,72
126,Tiruparankundram -625005,tamilaga vettri kazhagam,391,144
127,Tiruparankundram 625005,tamilaga vettri kazhagam,462,218
128,Tiruparankundram -625005,tamilaga vettri kazhagam,265,31
129,Tiruparankundram -625005,tamilaga vettri kazhagam,447,180
130,East Building East Portion Thiruparankundarm (East) -625005,tamilaga vettri kazhagam,303,156
131,"East Building West
Portion Thiruparankundarm (East) -625005",tamilaga vettri kazhagam,212,51
132,Tiruparankundram -625005,tamilaga vettri kazhagam,359,104
133,Tiruparankundram -625005,tamilaga vettri kazhagam,378,129
134,X-Tiruparankundram -625005,tamilaga vettri kazhagam,413,119
135,Thiruparankundram-625005,dravida munnetra kazhagam,338,47
136,Thiruparankundram-625005,dravida munnetra kazhagam,311,0
137,Harveypatti-625005,tamilaga vettri kazhagam,386,182
138,Harveypatti-625005,tamilaga vettri kazhagam,280,82
139,Harveypatti-625005,tamilaga vettri kazhagam,366,137
140,South Building North side Room No-1,tamilaga vettri kazhagam,337,127
141,North Building South side Room No-2,tamilaga vettri kazhagam,343,150
142,North Side,tamilaga vettri kazhagam,340,154
143,East Side,tamilaga vettri kazhagam,402,169
144,North Side,tamilaga vettri kazhagam,298,88
