Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
151,"L.K. Primary School, West building
Ground floor, Northern Portion, kayalpattinam","1.kayalpattinam (Municipality.) Peria nesavu street ward 11, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,567,93,69.09620991253644
152,"L.K. Primary School, North building
West portion Ground Floor, Lebaithambi street, kayalpattinam","1.kayalpattinam (Municipality) Karuthambi marakayer street ward 11, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,452,39,82.10735586481114
153,"L.K. Primary School , Middle Portion, North Building Class IIIA, kayalpattinam.","1.Kayalpattinam (Municipality) Chinnanesauv street ward 10,
2.kayalpattinam (Municipality) Parimar Street Ward 10, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,500,119,58.61538461538461
154,"L.K. Primary School , West Building
Ground Floor Southern Portion, kayalpattinam.","1.kayalpattinam (Municipality) Aliyarstreet ward 10, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,545,70,74.80314960629921
157,"Municipality Primary School, Fathima
Hall east portion, Theevu street, kayalpattinam.","1.kayalpattinam (Municipality) Solukkar street ward 8, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,609,95,70.6043956043956
158,"Municipality Primary School, South Side, Middle Portion, Theevu street, kayalpattinam.","1.kayalpattinam (Municipality) Kochiyar street ward 8,
2.kayalpattinam (Municipality) Pandhasalai Street Ward 8,
3.kayalpattinam (Municipality) Thankaipandakasalai street ward 8,
4.kayalpattinam (Municipality) Muthuvapathikka Street ward 8, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,588,188,48.25090470446321
160,"Municipality Primary School, West
Building, K.T.M. Street, Kayalpattanam","1.kayalpattinam (Municipality) Appapalli street ward 9,
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,359,46,73.13084112149532
161,"Anganwadi centre North Building,south facing K.T.M. Street, kayalpattinam.","1.kayalpattinam (Municipality) Kaytheymillath Nagar ward 10,
2.kayalpattinam (Municipality) Tiruchendur road ward 10, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,379,53,71.49122807017544
192,"Panchayat Union Middle School,
Northwestern Building, South Room, N.Muthaiahpuram","1. MelaTiruchendur (R.V) And (P) Ayyangovilvilai muthaiyapuram block 4 Part II, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,470,162,44.70246734397678
195,"Panchayat Union Primary School, South
Side, East Portion, Nadu Nalumoolaikinaru.","1.Mela Tiruchendur (R.V) And (P) Nadunalumoolaikinaru Block 2 (Door No. 1 to 200), 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,399,154,39.64401294498382
196,"Panchayat Union Primary School, North
Side, East West Portion, Nadunalumoolaikinaru.","1.Mela Tiruchendur (R.V) And (P) Nadunalumoolaikinaru Block 2 Part II (Door No. 201 and above), 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,404,166,37.9585326953748
279,"Panchayat Union Primary School West
Building, Periya Street, Kalankudiyiruppu","1.Udankudi (S.G.T.P) Nainar Pillai Street Ward 18, 2.Udankudi
(S.G.T.P) ChedambaraStreet Ward 18, 3.Udankudi (S.G.T.P) Mohiden Pudu Street Ward 18, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,688,154,59.79843225083986
