Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
41,"Anganwadi Center Eastern side Building, North Portion, Mela Authoor.","1.Mela Authoor (R.V) And (P) Mela Mela Authoor block 3, 2.Mela
Authoor (R.V) And (P) Mela Authoor block 4, 3.Mela Authoor (R.V) And (P) Punnaisathan kurichi block 5, 4.Mela Authoor (R.V) And (P) Subramaniyapuram block 999.OVERSEAS ELECTORS",Bharatiya Janata Party,261,214,6.394557823129252
42,"R,C. Primary school West Side, Koluvainallur, Mela Authoor.","1.MelAuthoor (R.V) And (P) Koluvainallur nadar street block 11,
2.Mela Authoor (R.V) And (P) Koluvainallur parather street block 12, 3.Mela Authoor (R.V) And (P) Koluvainallur thevar street block 13,, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,360,221,17.24565756823821
46,"Government Higher Secondary School , Ist Building X th Standard Room, Authoor.","1.Authoor (S.G.T.P) South car street ward 5, 2.Authoor (S.G.T.P)
Old village ward 5, 3.Authoor (S.G.T.P) West car street ward 5,
4.Authoor (S.G.T.P) Mariamman kovil street ward 8, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,177,143,7.606263982102908
48,"Government Higher Secondary School ,
West Building, South side, East Facing , Authoor.","1.Authoor (S.G.T.P) Mela street ward, 2.Authoor (S.G.T.P)
Mudukkuth streetward 6, 3.Authoor (S.G.T.P) First Santhai street ward, , 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,225,182,7.375643224699828
49,"Govt.Hr. sec. school, East Building,North side,West Facing , Authoor.","1. Authoor (S.G.T.P) Keelaratha veethi ward 12, 9, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,139,104,9.722222222222223
53,"Shunmuga Sundara Nadar Primary School, West Building, South Portion, Authoor.","1) Authoor (S.G.T.P) Muttharammankoil street ward 10 2) Authoor
(S.G.T.P) Maruthuvar street ward 11 3) Authoor (S.G.T.P) Thalavaisamy koil theru ward11 4) Authoor (S.G.T.P) Punnakayel road ward 12 5) Authoor (S.G.T.P) Yathavar street ward 13,
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,244,173,11.620294599018004
55,"Panchayat Union Primary School ,South
Building, Thalaivanvadali.","1.Authoor (S.G.T.P) Thalaivanvadali ward 2, 999.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,380,211,19.248291571753988
56,"Panchayat Union Middle School ,S.S.A Building, Avaraiuoor","1.Authoor (S.G.T.P) Puthunagar Ward 1, 2.Authoor (S.G.T.P)
Avaraiur Ward 1, 3.Authoor (S.G.T.P) Thalaivanvadali, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,311,153,25.199362041467303
58,"St.Michael R.C. Middle School ,North building ,Western Portion, Sernthamangalam.","1.Sernthamangalam (R.V) And (P) Parather street block 2,
2.Sernthamangalam (R.V) And (P) Maravar street block 3,
3.Serntha poo Mangalam(R.V), Mukkani (P) Serntha poo Mangalam Block 11, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,264,135,24.807692307692307
59,"Panchayat Union Primary School,
Selvanputhiyanoor.","1.Sernthamangalam (R.V) And (P) Kumarapannaiur
selvanpuduyanur block 4, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,176,100,18.181818181818183
69,"Grama Middle School, Main Building, VellaKovil, Suganthalai.","1.Suganthalai (R.V) And (P) Suganthalai kasba block 1,
2.Suganthalai (R.V) And (P) Velakkovil block 2, 3.Suganthalai (R.V) And (P) Suganthalai colony Block 3, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,219,216,0.44576523031203563
70,"T.N.D.T.A. Issac DuraisaamyNadar
HighSchool North Portion, Miss.Grace Pappa Building, North Maranthalai.","1.Suganthalai (R.V) And (P) Maranthalai block 3, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,274,244,3.584229390681003
72,"Barathi Primary School , North Building, Alagappapuram.","1.Angamangalam (R.V) Alagappapuram (P) West alagappapuram block 1, 2.Angamangalam ( R.V) Alagappapuram (P) East Alagappapuram block 2, 3.Angamangalam (R.V) Alagappapuram (P) Periamuthuvilai block 3, 4.Angamangalam (R.V), Angamanagalam
(P) Arulananthapuram block 9, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,262,215,6.51872399445215
83,"Grama Panchayat E-Service centre building, Nallur","1.Nallur (R.V) and (P) North nallur block 1, 2.Nallur (R.V) and (P)
Suyambulingapuram Block 1, 3.Nallur (R.V) And (P) Kulakkanathapuram Block 1, 4.Nallur (R.V) And (P) South nallur block 2, 5.Nallur (R.V) And (P) Nallur block 2, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,351,304,5.759803921568627
84,"Panchayat Union Primary School,North Building West Side , Nallur","1.Nallur (R.V) And (P) Pillaimar Street Block 3, 2.Nallur (R.V) and
(P) Asarimar street block 3, 3.Nallur (R.V) And (P) Nagkanniyapuram block 4, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,235,219,2.527646129541864
85,"Panchayat Union Primary School, North Building East Side, Nallur","1.Nallur (R.V) And (P) Muthumalaivillai block 4, 25.Nallur (R.V)
And (P) Kuranganthattu block 6, 3.Nallur (R.V) And (P) Sasthanvillai block 7, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,179,119,14.251781472684085
