Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
178,"Panchayat Union Middle School, East Side, Kanam","1.Kanam(T.P) Vanubanvillai Ward 6, 2.Kanam(T.P) Kanam kasbha
Keelapakuthi Ward 7, 3.Kanam (T.P) Kanam Kasbha mel Side Ward 8, 4.Kanam(T.P) kanam Kasbha Ward 9,, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,184,137,10.10752688172043
183,"Panchayat Union Primary School, Therikudieruppu, Kayamozhi","1.Kayamozhi (R.V) And (P) Therikudiruppu block 8, 2.Kayamozhi
(R.V) And (P) Therikudiruppu Block 9, 3.Kayamozhi (R.V) And (P) Therikudyiruppu Block 10, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,290,158,20.43343653250774
184,"Kalaivani Primaryschool, West Portion, Subramaniyapuram, Kayamozhi","1.Kayamozhi (R.V) And (P) Ramanathapuram(Adithanar colony,
thangamalpuram) Bl, 2.Kayamozhi (R.V) And (P) Kandasamypuram(Ammalpuram) Block 12, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,304,175,18.428571428571427
186,"Si .Pa.Adithanar.Govt Hr.Sec School, East Block, Std XIth D, Ramanathapuram, Kayamozhi","1) Kayamozhi (R.V) And (P) Kayamozhi Kasbha Valluvar nagar
Block 3 2) Kayamozhi (R.V) And (P) Mela arasoor Block 4 3) Kayamozhi (R.V) And (P) SavukkaiStreet, VadappooStreet block 5, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,170,159,2.1484375
188,"T.N.D.T.A . Primary School, Arumugapuram, Kayamozhi","1.Kayamozhi (R.V) And (P) Pallathur Block 1, 2.Kayamozhi (R.V)
And (P) Arumugapuram, Mathimanvilai, New Colony Block 2, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,237,191,7.371794871794872
193,"St. Antony Middle School, Pitchivillai.","1.Mela Tiruchendur (R.V), Pichivilai (P) Pichiviali
Pudukenathanvilai pudur Block 1, 2, 3, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,228,210,2.8846153846153846
194,"Panchayat Union Primary School, South
Building West Portion, Pitchivillai, Paramankuruchi","1.Paramankuruchi (R.V), Pichivilai (P) Pichivilai Maravanvilai Block
14, 2.Paramankuruchi (R.V), Pichivilai (P) Pichivilai South Street Block 15, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,199,160,7.129798903107861
197,"Arulmigu Senthilandavar Govt Boys
Higher Secondary School, New Building, South Portion, East Room T.B.Road, Tiruchendur.","1.Tiruchendur (Municipality )Kalyanasundravinayagarkoiltheru Ward20, 2.Tiruchendur (Municipality )SaravanapoikaiRoad Ward 20, , 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,219,171,8.149405772495756
198,"Arulmigu Senthilandavar Govt Boys
Higher Secondary School, North Building, Middle Porton, T.B.Road, Tiruchendur","1.Tiruchendur (Municipality )Railway Feeder Road Ward 20,
2.Tiruchendur (Municipality )Bharathiyar Street Ward 20, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,267,183,12.156295224312592
203,"Panchayat Union Primary School , Tiruchendur","1.Tiruchendur (Municipality )Theppakulam Street Ward 18,
2.Tiruchendur (Municipality )East CarStreet Anantharaman Sandhu(South) Ward-18, 3.Tiruchendur (Municipality )West carStreet Anantharaman Sanduku North Ward 1, 4.Tiruchendur (Municipality )Vadikal Street Ward 18, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,216,193,3.833333333333333
206,"Senthilmurugan Govt Girls Hr Sec School, New Building South Side, Middle Portion, Tiruchendur.","1.Tiruchendur (Municipality )Keelaratha navvaladi Sandhu South
Street Ward 8, 2.Tiruchendur (Municipality )Frist Santhi Street Ward 8, 3.Tiruchendur (Municipality )2nd Santhi Street Ward 8,
4.Tiruchendur (Municipality )Mailappuram Street Ward 8,
5.Tiruchendur (Municipality )Keelarathaveethi Navvaladi Santhu North Street Ward-8, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,302,133,33.0078125
209,"Senthil murugan Govt,Girls Hr,Sec School New Building South Portion North Facing West Room","1.Tiruchendur (Municipality )Otthamada Street Ward 21,
2.Tiruchendur (Municipality )North Mada Street Ward 21,
3.Tiruchendur (Municipality )Frist SanthikurukuStreet Ward 21,
4.Tiruchendur (Municipality) Tiruchendur (Municipality
)Palayamkottai Road Ward 21, 6.Tiruchendur (Municipality )Noth CarStreet Ward 21, 7.Tiruchendur (Municipality )East car street Ward 21, 8.Tiruchendur (Municipality )North ratha veethi Ward 21, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,280,278,0.2544529262086514
210,"Senthilmurugan Govt Girls High Sec
School, New Building West Portion East Facing North side Tiruchendur","1.Tiruchendur (Municipality)Mutharamankovil Street Ward 10,
2.Tiruchendur (Municipality) Mutharammankovil South Street ward 11, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,229,162,11.11111111111111
211,"Senthilmurugan Govt Girls Higher
Secondary School, New Building West portion South Side East facing Tiruchendur","1.Tiruchendur (Municipality)KrishnankovilStreet Ward 10,
2.Tiruchendur (Municipality) Veerakaliammankovil KeelaStreet Ward 10, , 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,141,103,11.875
213,"Hindu Primary School South Facing North Building V.O.C Street, Tiruchendur","1.Tiruchendur (Municipality )Kovil Street Ward 4, 2..Tiruchendur
(Municipality )Subbramaniapuram Ward-4 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,374,276,10.78107810781078
217,"Stars Model Matriculation Higher Secondary School Main Building, Southern wing, (Class III Std B) (Ground Floor), Kumarapuram, Tiruchendur","1.Tiruchendur (Municipality )Kumarapuram ward-19, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,381,223,17.61426978818283
218,"Panchayat Union Primary School,
Sankivillai, Tiruchendur","1.Tiruchendur (Municipality )Sankilivilai @ Ramasamypuram ward
19, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,110,106,1.1695906432748537
219,"S.R.B.M Senthilmurugan Middle School North Side, South car street, Tiruchendur","1.Tiruchendur (Municipality )South rathaveethi Keelpukuthi Ward
17, 2.Tiruchendur (Municipality )Mutharammankovil First sandu Ward 17, 3.Tiruchendur (Municipality )Mutharammankovil 2nd Sandu ward 17, 4.Tiruchendur (Municipality )Mutharammankovil 3rd Sandu Ward 17, 5.Tiruchendur (Municipality
)Mutharammankovil 4th Sandu Ward 17, 999.OVERSEAS
ELECTORS",Bharatiya Janata Party,330,125,36.283185840707965
221,"TN.D.T.A . Primary School west Portion,
Keelavannaduraivilai, Tiruchendur","1.Tiruchendur (Municipality )Muthumalaiamman kovil 3rd sandu
street ward 11, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,235,155,13.864818024263432
232,"Duraisivan Primary School, West portion, Paramankuruchi","1.Paramankuruchi (R.V) And (P) Murugeshapuram block 1,
2.Paramankuruchi (R.V) And (P) Aazathnagar Pillayaar kovil Street Block 2, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,275,208,9.37062937062937
233,"Duraisivan Primary School, East portion, Paramankuruchi","1.Paramankuruchi (R.V) And (P) Sasthankovilvilai West Bhadai
Street Block 3, 2.Paramankuruchi (R.V) And (P) Karisanvilai Ramanpuram Block 8, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,165,157,1.6161616161616161
234,"Panchayat Union Primary School, Seerudaiyarpuram, Paramankuruchi","1.Paramankuruchi (R.V) And (P) Gurunathapuram Block 4,
2.Paramankuruchi (R.V) And (P) Colony Musleem Pudustreet Block 5, 3.Paramankuruchi (R.V) And (P) Musleem Center Street Mela Street Block 6, 4.Paramankuruchi (R.V) And (P) Sherudaiyarpuram Samathuvapuram Block 6, 5.Paramankuruchi (R.V) And (P) Veerappa Nadar Kudiruppu Block 7, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,242,228,2.083333333333333
235,"T.N.D.T.A Primary School, New Building, Potharanganvilai, Paramankuruchi","1.Paramankuruchi (R.V) And (P) Aranganvilai Block 9,
2.Paramankuruchi (R.V) And (P) Potharanganvilai Block 10,
3.Paramankuruchi (R.V) And (P) Koola Periavanvilai Block 11,
4.Paramankuruchi (R.V) And (P) Kulathangarai vilai Block 13, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,253,214,5.401662049861495
239,"T.N.D.T.A. Bishop Azaria Memorial
Hr.Sec School,West Building Middle Room,Class XIIth A std, Vellalanvillai","1.Paramankuruchi (R.V) And (P) Velalanvilai north street block 21,
2.Paramankuruchi (R.V) And (P) Vattanvilai Manadu Block 22, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,173,172,0.17889087656529518
241,"T.N.D.T.A Primary School New Building, Pavanasapuram, Soolaikudieruppu, Kuthiraimozhi","1.Kuthiraimozhi (R.V) And (P) Sundarapuram Block 3,
2.Kuthiraimozhi (R.V) And (P) Varatharajapuram Manadu Solaikudirupu Block 4, 3.Kuthiraimozhi (R.V) And (P) Kailasapuram Block 5, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,285,219,8.967391304347826
242,"Panchayat Union Primary School, New Building, Semmarikulam","1.Semmarikulam (R.V) And (P) Semmarikulam kasbha Block 1,
2.Semmarikulam (R.V) And (P) Thamaraikulam Sathya Nagar Block 5, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,320,195,16.711229946524064
244,"T.N.D.T.A Middle school, Kalvilai","1.Semmarikulam (R.V) And (P) Valasaikennaru Ramasamypuram
Block 2, 2.Semmarikulam (R.V) And (P) Kalvilai Arualananthapuram Block 4, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,246,217,3.988995873452544
246,"St. Annis Primary School, North Portion, Keelaramansamyapuram, Nangaimozhi","1.Nangaimozhi (R.V) And (P) Nangaimozhi block 1, 2.Nangaimozhi (R.V) And (P) Elanganathapuram Block 2, 3.Nangaimozhi (R.V) And
(P) Dharamapuri colony Block 4, 4.Nangaimozhi (R.V) And (P) Melaramasamypuram Block 6, 5.Nangaimozhi (R.V) And (P) Anaiyour Block 7, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,252,177,11.961722488038278
247,"St. Annis High School South Side, East
Portion, Keelaramasamyapuram, Nangaimozhi","1.Nangaimozhi (R.V) And (P) Kelaramasamypuram block 5,
2.Nangaimozhi (R.V) And (P) Adaikalapuram Block 3, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,143,132,2.806122448979592
248,"T.N.D.T.A. Primary School Marudhoorkarai, Y.M.C.A Building, Lakshmipuram","1.Lakshmipuram (R.V) And (P) Lakshmipuram Maruthurkarai
block 1, 2.Lakshmipuram (R.V) And (P) Kumaralakshmipuram, Chitanvilai Block 3, 3.Lakshmipuram (R.V) And (P) Ramanathapuram Block 3, 4.Lakshmipuram (R.V) And (P) Vagaivilai Block 4, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,181,169,2.2429906542056073
257,"T.N.D.T.A. Primary School, East Portion, Chithabarapuram, Thandupathu","1.Manaduthandupathu (R.V) And (P) Chettivillai block 5,
2.Manaduthandupathu (R.V) And (P) Chidambarapuram MathaKovil St., (Chidambarapuram ) Mela Street Block 6,
3.Manaduthandupathu (R.V) And (P) Manadu Block 7,
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,233,217,2.4024024024024024
258,"T.N.D.T.A Middle School, West Building, Seerkachi","1.Manaduthandupathu (R.V), Seerkatchi (P) Vijayanarayanapuram
Block 1, 2.Manaduthandupathu (R.V), Seerkatchi (P) Sheerkachi Keelatheru Block 2, 3.Manaduthandupathu (R.V), Seerkatchi (P) Seerkatchi MelaStreet Block 3, 4.Manaduthandupathu (R.V), Seerkatchi (P) Veerabhakupuram Block 4, 999.OVERSEAS
ELECTORS",Bharatiya Janata Party,260,162,16.17161716171617
260,"Panchayat Union Primary School Eastern Portion, Nainarpathu","1.Manaduthandupathu (R.V), Nainarpathu (P) Ponvandu
Ayyanarpuram Nainarpathu Block 3, 2.Manaduthandupathu (R.V), Nainarpathu (P) Thaikkavoor keela Street, West Street, South Street Block 4, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,177,109,19.318181818181817
261,"Panchayat Union Middle School, Naina Pillai Street, East Building South Portion, VIIIth Std, Kalankudiyiruppu","1.Udankudi (S.G.T.P) Sivalvilaipudur North Street Ward 1,
2.Udankudi (S.G.T.P) Sivaivillapudur South Street ward 1,
3.Udankudi (S.G.T.P) North Subbramaniapuram Ward 1,
4.Udankudi (S.G.T.P) North kalan kuddirupu east street ward 1,
5.Udankudi (S.G.T.P) School Street Ward 1, 6.Udankudi (S.G.T.P) Mutharamman kovil Street Ward 1, 7.Udankudi (S.G.T.P) Vadakkukudieruppu Vadakku Street Ward1, 8.Udankudi (S.G.T.P) North Kalan Kudiruppu VellangkudiStreet Ward 1, 9.Udankudi (S.G.T.P) Sivalvillai pudur Road Ward 1, 10.Udankudi (S.G.T.P) Sivalvilaipudur Center Street 1, 11.Udankudi (S.G.T.P) Sivalvilaipudur West street ward 1, 12.Udankudi (S.G.T.P)
Nadukkadak Street Ward 3, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,359,257,12.34866828087167
263,"Najath Nursery and Primary School East Building North Side , Udankudi","1.Udankudi (S.G.T.P) Santhaiyadi Street ward 17, 2.Udankudi
(S.G.T.P) Coola Street Ward 17, 3.Udankudi (S.G.T.P) kalan Kudiruppu Ward 17, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,267,180,13.853503184713375
269,"St Antony R.C. Middle School, North Side, West Hall, Udankudi","1.Udankudi (S.G.T.P) North Street Ward 6, 2.Udankudi (S.G.T.P)
Nadutheru Ward 6, 3.Udankudi (S.G.T.P) Keela Street Ward 6,
4.Udankudi (S.G.T.P) Bustand Road Ward 6, 5.Udankudi (S.G.T.P) Melastreet ward 6, 6.Udankudi (S.G.T.P) Mowlakudi Street Ward 7,
7.Udankudi (S.G.T.P) Fernandos Street Ward 7, 8.Udankudi (S.G.T.P) Parather Street Sandu ward 7, 9.Udankudi (S.G.T.P) PerungkadaiStreet Ward 7, 10.Udankudi (S.G.T.P) R.C. Kovil Street 7, 11.Udankudi (S.G.T.P) South Street Ward 7, 999.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,182,129,11.856823266219239
271,"Panchayat Union Middle school Central Hall, Idachivillai, Udankudi","1.Udankudi (S.G.T.P) Thandavankadu Road ward 10, 2.Udankudi (S.G.T.P) Muthaukrishnapuram North Street Ward 10, 3.Udankudi (S.G.T.P) Muthukrishnapuram KeelaStreet Ward 10, 4.Udankudi (S.G.T.P) Lakshmipuram NOrth Street Ward 10, 5.Udankudi (S.G.T.P) Lakshmipuram south Street Ward 10, 6.Udankudi (S.G.T.P) Muthukrishnapuram South Street Ward 10, 7.Udankudi (S.G.T.P) Muthukrishnapuram PeriaStreet Ward 10, 8.Udankudi (S.G.T.P) Muthukrishnapuram MelaStreet Ward 10, 9.Udankudi (S.G.T.P) Idaychivillai Ward 10, 10.Udankudi (S.G.T.P) Kottankadu South Street Ward 10, 11.Udankudi (S.G.T.P) Kottankadu North Street Ward 10, 12.Udankudi (S.G.T.P) Kottankaadu colony Ward
10, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,380,182,28.947368421052634
272,"Mary Ann Best Girls Hr,sec School, Main Building , Middle Room ,XIthStd D.D.M Room, Pandarachittivillai","1.Udankudi (S.G.T.P) pandarangchettyvillai South Street Ward 11,
2.Udankudi (S.G.T.P) Pandaranchetteyvillai North Street Ward 11,
3.Udankudi (S.G.T.P) Thandavankadu Road Ward 11, 4.Udankudi (S.G.T.P) Thanganagaram Ward 11, 5.Udankudi (S.G.T.P) Renkanathapuram Keela Street Ward 11, 6.Udankudi (S.G.T.P) Renkanathapuram West Street Ward 11, 7.Udankudi (S.G.T.P) Satharakonvillai South Street Ward 11, 8.Udankudi (S.G.T.P) Satharanakonvillai North Street Ward 11, 999.OVERSEAS
ELECTORS",Bharatiya Janata Party,363,227,16.728167281672818
273,"Mary Ann Best Girls Hr.sec.School, Middle Building, North side, PanarachittivillaiNorth Building Class VIIIth C, Pandarachittivillai","1.Udankudi (S.G.T.P) Santhaiyadiuor Mutharamman kovil Street Ward 11, 2.Udankudi (S.G.T.P) Thandavankadu Road Ward 12,
3.Udenkudi (S.G.T.P) Santhaiyadiur South Street Ward 12,
4.Udankudi (S.G.T.P) Santhaiyadiuor Narayansamy Street Ward 12, 5.Udankudi (S.G.T.P) Pandaravillai Ward 12, 6.Udankudi (S.G.T.P) Sathiyanagaram Ward 12, 7.Udankudi (S.G.T.P) Somathapuram Ward 12, 8.Udankudi (S.G.T.P) Somanathapuram South Street Ward-12, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,312,226,11.684782608695652
275,"Mary Ann Best Girls Hr.Sec School, East Building, Middle room 10B, Pandarachittiviilai","1.Udankudi (S.G.T.P) Santhaiyadiuor Natu Street Ward 13,
2.Udankudi (S.G.T.P) Santhaiyadiuor Meluor Ward 13, 3.Udankudi (S.G.T.P) Mariyamalpuram Ward 13, 4.Udankudi (S.G.T.P) Thesayanvillai Road Ward 13, 5.Udankudi (S.G.T.P) Santhaiyadiuor MutharammankovilStreet Ward 13, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,205,201,0.6920415224913495
277,"T.N.D.T.A Boys Hr.Sec School,East Portion New Building,Class Xth A, Christianagaram","1.Udankudi (S.G.T.P) Kattuvathattu street ward 14, 2.Udankudi (S.G.T.P) Vaithaiyalingapuram East Street Ward 14, 3.Udankudi (S.G.T.P) Vaithaiyalingapuram EdakkudiStreet Ward 14,
4.Udankudi (S.G.T.P) Vaitheiyalingapuram KammalarSouth Street Ward 14, 5.Udankudi (S.G.T.P) Vaithelingapuram KamalarNorth Street Ward 14, 6.Udankudi (S.G.T.P) Perumal sanathiStreet Ward 14, 7.Udankudi (S.G.T.P) VaitheiyalingapuramMelaStreet Ward 14,
8.Udankudi (S.G.T.P) Vaithaiyalingapuram MelaStreet2 Ward 14,
999.OVERSEAS ELECTORS",Bharatiya Janata Party,346,337,0.9424083769633508
278,"T.N.D.T.A Boys Hr.Sec School, Western New Building, X std D,Muslim Wellwishers Block, Christianagaram","1.Udankudi (S.G.T.P) Venkatachalapuram north street ward 16,
2.Udankudi (S.G.T.P) Venkatachalapuram South Street Ward16,
3.Udankudi (S.G.T.P) Venkatachalapuram East Street Ward 16,
4.Udankudi (S.G.T.P) Pillaiyar Periavanthattu South Street Ward 15, 5.Udankudi (S.G.T.P) Pillaiyar Periyavan thattu Sandu Ward 16, 6.Udankudi (S.G.T.P) Venkatachalapuram East Street 1 Ward 16, 7.Udankudi (S.G.T.P) Venkatachalapuram West Street 2 Ward 16, 8.Udankudi (S.G.T.P) Pillaiyar periyavanthattu North Street Ward 16, 9.Udankudi (S.G.T.P) Venkatachalapuram west Street 3, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,278,229,6.371911573472041
282,"T.N.D.T.A Primary School South Portion, Theriuoor","1.Chettiapathu (R.V) And (P) Theriuor Melpuram Block 3,
2.Chettiapathu (R.V) And (P) Theriuor Keelpuram Block 4, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,320,311,1.094890510948905
283,"Sri Ramakrishna Chithambaraeswar Hr
Sec School, West Building North Side Room No5, Therioor","1.Chettiapathu (R.V) And (P) Sivaluor Block 5, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,225,167,11.068702290076336
284,"Sri Ramakrishna Chithambareswarar Hr.Sec.School West Building North Side, Class no 7,Therioor","1.Chettiapathu (R.V) And (P) Aandivillai Block 1, 2.Chettiapathu (R.V) And (P) Kottankadu Block 6, 3.Chettiapathu (R.V) And (P) Thangai Pandarapuram Block 7, 4.Chettiapathu (R.V) And (P) Thangai Ramachandrapuram Block 8, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,187,177,1.9762845849802373
285,"T.N.D.T.A, Middle School, Meyoor","1.Venkataramanujapuram (R.V) And (P) Narayanapuram Block 1,
2.Venkataramanujapuram (R.V) And (P) Subbramaniyapuram Block 1, 3.Venkataramanujapuram (R.V) And (P) Mayoor Block 12,
4.Venkataramanujapuram (R.V) And (P) Venkataramanujapuram Kasbha Block 13, 5.Venkataramanujapuram (R.V) And (P) Thangaikailasapuram Block 14, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,220,219,0.1597444089456869
286,"Panchayat Union Primary School, Piraikudieruppu","1.Venkataramanujapuram (R.V) And (P) Ramasamydharmapuram
Block 8, 2.Venkataramanujapuram (R.V) And (P) Braikudiruppu Block 9, 3.Venkataramanujapuram (R.V) And (P) Kaliyanvillai Block 10, , 999.OVERSEAS ELECTORS",Bharatiya Janata Party,155,85,23.1023102310231
287,"Panchayat Union Primary School, Uthiramadankudieruppu","1.Venkataramanujapuram (R.V) And (P) Uthiramadankudiruppu
Block 6, 2.Venkataramanujapuram (R.V) And (P)
Sembulinagapuram Block 6, 3.Venkataramanujapuram (R.V) And
(P) Kandasamypuram Block 7, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,283,197,12.893553223388308
288,"Govt High School, Venkatrananugapuram, New Building , East Portion,Uthiramadankudieruppu","1.Venkataramanujapuram (R.V) And (P) Kandapuram Block 2,
2.Venkataramanujapuram (R.V) And (P) Madavillai Annanagar Block 3, 3.Venkataramanujapuram (R.V) And (P) Nesapuram Block 4, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,140,95,14.90066225165563
289,"Panchayat Union Primery School West Side, Gnaniyakudieruppu","1.Athiyakuruchi (R.V) And (P) Teethathapuram Block 1,
2.Athiyakuruchi (R.V) And (P) Gnnear kuddiruppu Block 2,
3.Athiyakuruchi (R.V) And (P) Vedakottavillai Block 3,
4.Athiyakuruchi (R.V) And (P) Ramasamypuram Block 4, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,317,232,11.082138200782268
290,"PandarasivanSenthilArumugam Memorial Middle School, West End Building Kulasekaranpattanam","1.Kulasekaranpattinam (R.V) And (P) Melaratha Veethi Block 1,
2.Kulasekaranpattinam (R.V) And (P) South car Street Block 1,
3.Kulasekaranpattinam (R.V) And (P) Perumal Kovil Street Block 1,
4.Kulasekaranpattinam (R.V) And (P) Yadavar East Street Block 1,
5.Kulasekaranpattinam (R.V) And (P) Yadavar South East Street Block 1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,245,237,1.0973936899862824
291,Pandarasivan SenthilArumugam Memory Middle School K.S Ananathakumar Memoriyal Block South Portion Kulasekaranpattanam,"1.Kulasekaranpattinam (R.V) And (P) Karunkaliamman sannathi
Street Block 1, 2.Kulasekaranpattinam (R.V) And (P) Karungkaliamman sannathi West Street Block 1,
3.Kulasekaranpattinam (R.V) And (P) Pudustreet Block 2,
999.OVERSEAS ELECTORS",Bharatiya Janata Party,244,211,4.984894259818732
292,Pandarasivan SenthilArumugam Memory Middle School K.S Ananathakumar Memoriyal Block North Portion Kulasekaranpattanam,"1.Kulasekaranpattinam (R.V) And (P) West Street Block 2,
2.Kulasekaranpattinam (R.V) And (P) Maruthuvar Street Block 2,
3.Kulasekaranpattinam (R.V) And (P) Center Street Block 2,
4.Kulasekaranpattinam (R.V) And (P) South Street Block 2,
5.Kulasekaranpattinam (R.V) And (P) Udayamarthandan Vinayagar Kovil Street Block 2, 6.Kulasekaranpattinam (R.V) And (P) Mela Aandi Street Block 2, 7.Kulasekaranpattinam (R.V) And (P) Mubbedariammankovil sanathi keela Street Block 3,
8.Kulasekaranpattinam (R.V) And (P) Keelamarakkudi Street Block
3, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,188,150,7.265774378585086
296,"Thiru Arul Hr. Sec School North Building East Portion, Kulasekaranpattanam","1.Kulasekaranpattinam (R.V) And (P) Xaiver Koil Sannathi Street
Block 3, 2.Kulasekaranpattinam (R.V) And (P) Xavier kovil Kurukku Street Block 3, 3.Kulasekaranpattinam (R.V) And (P) Xavierkovil Street Block 3, 4.Kulasekaranpattinam (R.V) And (P) Mutharammankovil Street Keelamalayan Street Block 3,
5.Kulasekaranpattinam (R.V) And (P) Katcherry Street Block 3,
6.Kulasekaranpattinam (R.V) And (P) Sawyakkarakudi Street Block 3, 7.Kulasekaranpattinam (R.V) And (P) Melamarakkudi Street",Tamilaga Vettri Kazhagam,277,123,29.558541266794624
305,"R.M.V. Middle School, Sirunadarkudieruppu.","1.Kulasekarapattinam (R.V), Sirunadarkudiruppu (P)
Kandasamypuram Block 1, 2.Kulasekarapattinam (R.V), Sirunadarkudiruppu (P) Meluor Block 2, 3.Kulasekarapattinam (R.V), Sirunadar Kudieruppu (P) SirunadarKudieruppu Vadapagam Block 3, 4.Kulasekarapattinam (R.V), Sirunadar Kudieruppu (P)
South Street Block 4, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,200,158,8.60655737704918
306,"Hindu Primary School, East Portion, Thandavankadu, Madhavankuruchi","1.Madhavankuruchi (R.V) And (P) Karangkadu Block 1,
2.Madhavankuruchi (R.V) And (P) Kuodal Nagar Block 1,
3.Madhavankuruchi (R.V) And (P) Thandavankadu Block 2,
4.Madavan Kuruchi (R.V) And (P) Narayanapuram Block 3, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,194,182,2.2388059701492535
307,"Hindu Primary School West Building, Madhavankuruchi","1.Madhavankuruchi (R.V) And (P) Madhavankuruchi Meluor Block 4, 2.Madhavankuruchi (R.V) And (P) Madhavankuruchi keelur Block 5, 3.Madhavankuruchi (R.V) And (P) Madhavankuruchi Amarapuram Block 6, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,150,129,5.048076923076923
