Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
32,"St. Marks Higher Secondary School Middle Building East Portion (Class XI B), Mookkuperi.","1.Mookkuberi(R.V) And (p) Mookkuberi block 1, 2.Mookkuberi (R.V)
And (P) Mookkuberi Block 2, 3.Mookkuperi (R.V) And (P) Mookkuperi Block 3, 4.Mookkuperi (R.V) And (P) Santhainagar Block 4, , 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,204,149,13.750000000000002
33,"St. Marks Higher Secondary School
Middle Building West Portion (Class XI  D
), Mookkuperi.","1.Mookkuperi (R.V) And (P) Oyyankudi Block 5, 2.Mookkuperi (R.V)
And (P) Mookkuperi Block 6, 3.Mookkupeeri (R.V) And (P) Mookkupeeri Block 7, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,210,208,0.3875968992248062
34,"Asoka Vidhyalaya Middle School Central Portion VII th Standard Room, Kachinavillai.","1.kachanavilai (R.V) And (P) kachanavilai Block 16,
2.kachanavilai(R.V) And (P) kachanavilai Block 17, 3.kachanavilai (R.V) And (P) Pattakkarai Block 18, 4.kachanavilai (R.V) And (P) Pattakkarai Block 19, 5.kachanavilai (R.V) And (P) Pattiakarai Block 20, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,241,157,16.8
35,"Asoka Vidhyalaya Middle School, West Portion, Kachinavillai.","1.kachanavilai (R.V) And (P) Ramalingapuram Block 12,
2.kachanavilai (R.V) And (P) Punnaiyadi Block 13, 3.kachanavilai (R.V) And (P) Neivelai Block 14, 4.kachanavilai (R.V) And (P) Neivelai Block 15, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,174,164,2.403846153846154
37,"Panchayat Union Primary school, East Building, Sethukuvaithan.","1.Sethuku vaithan (R.V) And (P) Musulim Street Block 2,
2.Sethukku vaithan (R.V) And (P) Musleem mela street, parather
street, sasthaingkovil street block 3, 3.Sethukuvaithan (R.V) And
(P) Chokkapplamkarai block 6, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,373,276,12.064676616915424
40,"Panchayat Union Primaryschool Eastern South side Building, Mela Authoor","1.Mela Authoor (R.V) And (P) Kuchikadu block 1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,416,214,25.0
43,"R.C. Primaryschool East Side,
KoluvaiNallur, Mela Authoor.","1. Mela Authoor (R.V) And (P) Narasinghanvillai block 14,
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,199,136,16.27906976744186
52,"Shunmuga Sundara Nadar Primary School, West Building, North portion, Authoor.","1) Authoor (S.G.T.P) Maraikayer street ward 10 2) Authoor (S.G.T.P)
Pettai street ward 11 3) Authoor (S.G.T.P) Keelamuttharamman koil street ward 11 4) Authoor (S.G.T.P) Barather street ward 11 5) Authoor (S.G.T.P) Senaiarstreet ward 11, 999.OVERSEAS ELECTORS.",Tamilaga Vettri Kazhagam,289,210,11.987860394537178
57,"St.Michael R.C. Middle School ,North
building ,Eastern Portion, Sernthamangalam.","1.Sernthamangalam (R.V) And (P) Sernthamangalam kasba block 1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,311,182,18.80466472303207
60,"St.Joseph Hr.Sec.School West Building
Middle Room, North Side Punnakayal.","1.Punnakayal (R.V) And (P) South street block 1(Door No 01-79),
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,236,164,15.61822125813449
61,"St.Joseph Hr. Sec.School West Building Middle Room, South Side Punnakayal.","1.Punnakayal (R.V) And (P) South street block 1 ( Door No.79-797), 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,288,196,17.228464419475657
62,"St. Joseph Hr.Sec. School West portion,
Punnakayal.","1.Punnakayal (R.V) And (P) North street block 3, 999.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,489,182,41.99726402188782
63,"St. Joseph Hr. Sec. School East portion,
Punnakayal.","1.Punnakayal (R.V) And (P) Ponmanicka street block 4 Door no 1 to
50, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,320,144,35.0597609561753
64,"St Xaviers Nursery and primary School
East building west facing north side Punnaikayal","1.Punnakayal (R.V) And (P) Ponmanicka street block 4 Above Door no.50, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,226,131,23.34152334152334
65,"St. Joseph Primary School, West Portion
South Building, North Portion, Punnakayal.","1.Punnakayal (R.V) And (P) South street (iruthayapuram, bowlanagr ) Block 1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,323,218,18.51851851851852
66,"St. Joseph Primary School, Eastern
Portion, South Building, Punnakayal","1.Punnakkayal (R.V) And (P) Nooruveedu block 1, 999.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,572,298,29.02542372881356
67,"St. Marys Middle school, North side,
Class IInd Standard, Punnakayal","1.Punnakayal (R.V) And (P) Melastreet block 2 (Door No. 01-64),
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,291,175,22.48062015503876
68,"St. Marys Middle school , North Side,
South Portion, Class IIIrd Standard, Punnakayal.","1.Punnakayal (R.V) And (P) Melastreet block 2 (Door No. 64 - 569), 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,250,237,2.5048169556840074
73,"St. Lucia High School, Esat Building,Middle Portion, Kurumbur.","1.Angamangalam (R.V) And (P) Thonippalam subbramaniapuram
block 1, 2.Angamangalam (R.V) And (P) Arunththayar colony block 2, 3.Angamangalam (R.V) And (P) Maylodai Block 2, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,186,126,14.888337468982629
74,St Lucia high school south building Middle Portion kurumbur,"1.Angamangalam (R.V) and (P) Bharather north street block 3,
2.Angamangalam (R.V) Angamanagalam (P) Bharathar south street block 8, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,243,194,9.919028340080972
