Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
47,"Government Higher Secondary School
East BuildingWest facing Middle portion side Authoor.","1.Authoor (S.G.T.P) North car street ward 8, 2.Authoor (S.G.T.P) Puliadi street ward 8, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,243,155,16.387337057728118
54,"Hindu Primary School, Keeranoor.","1.Authoor (S.G.T.P) Keela Keeranur Ward2, 2.Authoor (S.G.T.P)
Keeranur ward 4, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,197,188,1.5228426395939088
71,"Hindu Middle School, Main Building, East Room, Varandiyavel, Suganthalai","1.Suganthalai (R.V), Varandivel (P) Maykkan nadar kudiruppu
block 1, 2.Sungathalai (R.V), Varandivel (P) Varandivel block 2,
3.Suganthalai (R.V) Varandivel (P) A. Gopalapuram Thanneerpanthal Block 3, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,283,202,11.538461538461538
78,"T.N.D.T.A Primary School, North
Shunmugapuram, east portion, Kurumbur.","1.Nalumavadi (R.V) And (P) Kurumbur (nalumavadi ) block 2, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,197,185,2.666666666666667
80,"TN.D.T.A Middle School , South Room IV Std, Nalumavadi.","1.Nalumavadi (R.V) And (P) Melastreet (samynagar) block 11,
2.Nalumavadi (R.V) And (P) Vadakku street block 12, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,254,151,18.69328493647913
81,"Sri Ganesar Hr, Sec, School, VOC Block West portion, Panikkanadarkudieruppu.","1.Nalumavadi (R.V) And (P) Valasubbramaniapuram block 3,
2.Nalumavadi (R.V) And (P) Thirumalarpuram Block 4,
3.Nalumavadi (R.V) And (P) Keela nalumavadi block 5,
4.Nalumavadi (R.V) And (P) PanikkaNadar kudiyiruppu block 6, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,273,218,8.18452380952381
86,"T.N.D.T.A Middle School, South Building, Veermanickam","1.veeramanickam (R.V) And (P) veeramanickam Block 1,
2.veeramanickam (R.V) And (P) Ambalaprappu Block 2, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,188,169,3.941908713692946
88,"Panchayat Union Primary School, Middle Building, South portion Ammanpuram.","1) Ammanpuram (R.V) And (P) Agarakaram Street Block 1, 2)
Ammanpuram (R.V) And (P) Kailasapuram Block 1, 3) Ammanpuram (R.V) And (P) Thiruvalluvar Street East Block 1, 4) Ammanpuram (R.V) And (P) Pilayarkovil Street Block1, 5) Ammanpuram (R.V) And (P) Ganavillai Block 1, 6) Ammanpuram (R.V) And (P) Pudur Street Block 1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,334,272,8.635097493036211
90,"Hindu Primary School , Molakkarai","1.Moolakkarai (R.V) And (P) Kandankudiruppu MelaStreet Block 1,
2.Moolakkarai (R.V) And (P) Kandankudiruppau North Street Block 2, 3.Moolakkarai (R.V) And (P) Kuppathrade Subhas Street Natustreet Blcok 3, 4.Moolakkarai (R.V) And (P) Keela Street South
Street Block 4, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,334,184,20.161290322580644
91,"Hindu Hr Sec School Dr.Sivanthi Aditanar Hall, South Side, Class X A, Arumuganeri.","1.Arumuganeri (S.G.T.P) Kaniyalar street ward 23, 2.Arumuganeri (S.G.T.P) Swamy sanathi street ward 2, 3.Arumuganeri (S.G.T.P) Swamy Sannathi South Street Ward 2, 4.Arumuganaeri (S.G.T.P) Kaniyalar South Street Ward 3, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,355,208,18.014705882352942
96,"Panchayat Union Middle School, , West
Building, East facing north side Selvarajapuram, Arumuganeri.","1.Arumuganeri (S.G.T.P) Perumalpuram ward 18, 2.Arumuganeri (S.G.T.P) Periyaanvilai ward 18, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,295,230,8.76010781671159
99,Kamaraj Somasundari Nursery and Primary School North Building West Side South Facing SomasunariammanKovil street Arumuganeri,"1.Arumuganeri (S.G.T.P) Keelashanmugapuram ward 1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,263,221,6.392694063926941
103,"K.A.Higher Secondary School , North Building East Portion West Side Class XB, Peiyanvillai, Arumuganeri.","1.Arumuganeri (S.G.T.P) Peyanvilai west street ward 4,
2.Arumuganeri (S.G.T.P) Peyanvilai north street ward 4,
3.Arumuganeri (S.G.T.P) PeyanvilaiKeelaStreet vadapakam Ward 4,
4.Arumuganeri (S.G.T.P) Peyanvilai center street ward 4,
5.Arumuganeri (S.G.T.P) Peyanvilai south street ward 4,
6.Arumuganeri (S.G.T.P) Local fund road 1 jain nagar ward 1,
7.Arumuganeri (S.G.T.P) Peyanvilai south street first sandu,
8.Arumuganeri (S.G.T.P) Peyanvilai MelaStreet First Sandu,
9.Arumuganeri (S.G.T.P) Local fund road jainnagar 2nd street ward 4, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,214,154,11.049723756906078
104,"K.A.Higher Secondary School ,North
Building East Portion East Side Class XA, Peiyanvillai, Arumuganeri.","1.Arumuganeri(S.G.T.P) Krishnapuram Ward 4, 2.Arumuganeri
(S.G.T.P) Pudhur muthuaramman kovil street ward 5, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,205,135,13.779527559055119
112,"T.N.D.T.A Middle School, South Portion, Muthukrishnapuram, Arumuganeri.","1.Arumuganeri (sp) Thiruchendur road ward 6, 2.Arumuganeri(SP)
Muthukrishnapuram North Street Ward 6, 3.Arumuganeri(SP) Muthukrishnapuram Center Street Ward 6, 4.Arumuganeri(SP) Kandasamypuram Road Ward 6, 5.Arumuganeri(sp) Muthukrishnapuram south street ward 6, 6.Arumuganeri(SP) Muthukrishnapuram Pajanaikovil Street Ward 6,
7.Arumuganeri(SP) Bajanai Street(Kandasamypuram) Ward 6,
8.Arumuganeri(SP) Rani Maharajapuram Road (Muthukrishnapuram) Ward 6, 9.Arumuganeri(SP) Muthukrishnapuram (Kandasamypuram)Ward 6, 999.OVERSEAS",Tamilaga Vettri Kazhagam,267,220,6.619718309859154
113,"Arockiya Annai Middle School East Building Middle portion (Ground Floor), Adaikkalapuram.","1E.LAErCumTOuRgSaneri(S.G.T.P) Adaikalapuram south street ward 7,
2.Arumuganeri(S.G.T.P) Adaikalapuram Keelastreet Ward 7,
3.Arumuganeri(S.G.T.P) Adaikalapuram center street ward 7,
4.Arumuganeri(S.G.T.P) Pudu Street Ward 7,
5.Arumuganeri(S.G.T.P) ArokkyaMatha KovilStreet Ward 7,, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,302,231,9.620596205962059
116,"Illainjer Aramba vidhya saalai New
Building, East Portion, Ranimaharajapurtam, Arumuganeri","1.Arumuganeri(S.G.T.P) Ranimaharajpuram MelaStreet Ward 8,
2.Arumuganeri(S.G.T.P) Gandhipuram Ward 9, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,282,200,12.51908396946565
128,"ArulRaj Primary School West Building, Rathinapuri, Kayalapattanam.","1.kayalpattinam (Municipality) Localfund road 1 ward 14,
2.Kayalpattinam (Municipality) Alagapuri block 14,
3.Kayalpattinam (Municipality) Alagapuri south street block 14,
4.Kayalpattinam (Municipality) Santhanamariamman Kovil Street Block 14, 5.Kayalpattinam (Municipality) New Colony Block 14,
6.Kayalpattinam (Municipality) Pasi Nagar Block 14,
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,329,281,5.933250927070458
168,"StThomas Hr.Sec School, North
Building, East Side, Veerapandiyanpattanam","1.Veerapandianpattinam (R.V) And (P) Kurunchinagar Block 1,
2.Veerapandianpattinam (R.V) And (P) Kurinchinagar, Santhinagar Extension Block 1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,178,161,3.78619153674833
171,"St. Thomas Hr. Sec School North Building West side Middle room, XI  B Standard,Veerapandiyanpattanam","1.Veerapandianpattinam (R.V) And (P) Johnveethi Block4,
2.Veerapandianpattinam (R.V) And (P) Johnveethi (East) Block 4,
3.Veerapandianpattinam (R.V) And (P) Senthilveethi Block 4,
4.Veerapandianpattinam (R.V) And (P) Meenavarcolony Velankanninagar block 4, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,293,235,9.385113268608414
176,"Punitha Susai Primary School South
Building Middle Portion, North Facing Adaikkalapuram, Veerapandiyanpattanam.","1.Veerapandian Pattinam (R.V), Veerapandian Pattinam Rural (P) SebasthiyanStreet, Bilomi Nagar, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,228,175,10.251450676982591
179,"T.N.D.T.A . Middle School, South Building South Portion, Vallivillai","1.Kanam(T.P) Melakananm Ward 1, 2.Kanam(T.P) Pudumanai
Ward 1, 3.Kanam (T.P) ValliVilai Ward-10, 4.Kanam (T.P) Senthamaraivilai (Colony) Ward11, 5.Kanam (T.P) Vallivilai Ward
11, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,346,253,11.36919315403423
181,"Panchayat Union Primary School, Kudieruppuvillai","1. Pallipathu (R.V) and (P) Pallipathu Kaspa Block.1 2).Pallipathu
(R.V) And (P) Pandaravilai Block 1, 3).Pallipathu (R.V) And (P) Elayaperumalvilai Block 1, 4).Pallipathu (R.V) And (P) Perialadivilai Block 1, 5).Pallipathu (R.V) And (P) Kudiruppuvillai Block 2, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,287,215,10.778443113772456
185,"Kalaivani Primaryschool, East Portion, Subramaniapuram, Kayamozhi","1.Kayamozhi (R.V) And (P) Uthaangkarai vilai Block 13,
2.Kayamozhi (R.V) And (P) Subbramaniapuram Ramalingapuram Block 14, 3.Kayamozhi (R.V) And (P) Kumarasamypuram,
Ramanathapuram block 15, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,198,161,7.061068702290077
189,"Pothu Nala Ikiya Sanga Primary School ,
West Side, Thalavaipuram, MelaTiruchendur","1.MelaTiruchendur (R.V) And (P) Thalavaipuram Vanniyankadu Muthukirshnapuram Blcok1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,315,195,15.625
201,"Municipality Primary School East side Old Building South portion, T.B.Road, Tiruchendur","1.Tiruchendur (Municipality )Keelaveilukandammankovil Street East Ward 2 , 2.Tiruchendur (Municipality
)VeilukandanammankovilStreet Ward 2,999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,230,180,8.291873963515755
204,"Senthil murugan Govt,Girls Hr,Sec
School New Building South Side East Room Tiruchendur","1.Tiruchendur (Municipality)Veeraragavapuram street ward 7 DOOR NO 1-278, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,191,116,16.447368421052634
205,"Senthil murugan Govt Girls Hr Sec
School New Building West side Hall Room no 2 Tiruchendur.","1.Tiruchendur (Municipality)Veeraragavapuram street ward 7
above DOOR NO 278, 2.Tiruchendur (Municipality) Veeraragawapuram Ward 8, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,229,146,15.779467680608365
207,"Senthil Murugan Govt Girls High Sec School, Old Building North Portion South Facing East Side Tiruchendur","1.Tiruchendur (Municiplaity) Mutharamkmankovil keelaStreet
Ward 9, 2.Tiruchendur (Municipality) KeelapuduStreet Ward 9,
3.Tiruchendur (Municipality)South PuduStreet 1st Sandu Thachiar Street Ward 9, 4. Tiruchendur (Municipality) Veerakaliammankovil Street Ward 9, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,192,172,3.656307129798903
208,"Senthil Murugan Govt girls Hr sec
School old building NorthPortion West side South Facing Tiruchendur.","1.Tiruchendur (Municipality)South pudu Street Ward, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,189,112,17.579908675799086
215,"Saravana Iyer middle school
Ramachandra Iyer Ninaivarangam, North Building West Portion, panthal Mandabam, Keelaratha Veethi, Tiruchendur.","1.Tiruchendur (Municipality )Sabapathipuram street ward 5, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,206,125,16.9811320754717
220,"S.R.B.M Senthilmurugan Middle School South Portion, South car street, Tiruchendur","1.Tiruchendur (Municipality )Mariammnkovil Street Ward 11,
2.Tiruchendur (Municipality )Mutharammankovil 1st Keelsandu Ward 11, 3.Tiruchendur (Municipality )Mutharammankovil 2nd Sandu Ward 11, 4.Tiruchendur (Municipality )South RathaVeethi Melpukuthi Ward 17, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,221,140,15.88235294117647
222,"TN.D.T.A . Primary School East Portion, Keelavannaduraivilai, Tiruchendur","1.Tiruchendur (Municipality )Muthumalaiamman Kovil First Street Ward 13, 2.Tiruchendur (Municipality )Muthumalaiammnkovil Street 2nd Ward 13, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,255,176,11.969696969696969
226,"RC Primary School south Building East
Portion Tiruchendur.","1.Tiruchendur (Municipality )Amalinagar ward 12 above door no
90, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,326,162,30.711610486891384
231,"Carmal Middle School, South Building, Alanthalai","1.Tiruchendur (Municipality )Alanthalai South puduStreet(Rosaray colony Ward 16, 2.Tiruchendur (Municipality )Soosaikudiyathu Ward 16, 3.Tiruchendur (Municipality )PallivasalAathalaiStreet Ward 16, 4.Tiruchendur (Municipality Alanthalai singharavelarkudiruppu Ward 16, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,332,121,42.03187250996016
236,"K.K.R. T.N.D.T.A High School, North Building West Room, Paramankuruchi","1.Paramankuruchi (R.V) And (P) Paramankuruchi Kasbha Mela Street Block 19, 2.Paramankuruchi (R.V) And (P) Paramankuruchi Kasbha Center Street Block 20, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,181,146,6.944444444444445
237,"K.K.R T.N.D.T.A. High School, South Building WestRoom, Paramankuruchi","1.Paramankuruchi (R.V) And (P) Thotttharvilai Block 12,
2.Paramankuruchi (R.V) And (P) Mudrithottam Block 13,
3.Paramankuruchi (R.V) And (P) Paramankuruchi yathar street, Singharayarpuram blo, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,390,361,3.2222222222222223
243,"T.N.D.T.A. Primary School, Immanualpuram, Seemarikulam","1.Semmarikulam (R.V) And (P) Kumaralakshmipuram Block 1,
2.Semmarikulam (R.V) And (P) Valliammalpuram, Immanualpuram Block 1, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,207,185,3.594771241830065
245,"T.N.D.T.A Primary School, New Building, Anaithalai, Seemarikulam","1.Semmarikulam (R.V) And (P) Asirwathapuram
Ramasubramaniapuram Block 2, 2.Semmarikulam (R.V) And (P) Anaithlai, poolikudiyiruppu Thirupani Block 3, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,182,139,9.817351598173515
252,"Eliot Tuxford Girls Hr. Sec.School South Block Class XIIth A1, Meiganapuram","1).Meignanapuram (R.V) And (P) Rottustreet block 4,
2).Meignanapuram (R.V) And (P) Navaladivilai Block 5, 3)
Meignanapuram (R.V) And (P) Muthulakshmipuram Block 6, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,345,274,8.031674208144796
255,"T.N.D.T.A Bisoph Azaria Memorial Primary School West Portion, Vellalanvillai","1.Manaduthandupathu (R.V), Velalanvilai (P) Nainarpuram Keela
Street Mela Street Block 4, 2.Manaduthandupathu (R.V), Velalanvilai (P) Velalanvilai Mela Street Block 5,
3.Manaduthandupathu (R.V), Velalanvilai (P) Velalanvilai
KeelaStreet nadustreet Block 6, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,287,123,31.060606060606062
256,"Shunmugakani Ammal Memorial Panchayat Union MiddleSchool, East Portion, Thandupathu","1.Manaduthandupathu (R.V) And (P) Thandapathu north street block 1, 2.Manaduthandupathu (R.V) And (P) Thandapathu South Street Block 2, 3.Manaduthandupathu (R.V) And (P) Thandapathu Mela Street Puducolony Block 3, 4.Manaduthandupathu (R.V) And
(P) Athiyadithattu Block 4, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,262,162,16.181229773462782
259,"Panchayat Union Primary school, western portion, Nainarpathu","1.Manaduthandupathu (R.V), Nainarpathu (P) Inam Nainarpathu
block 1, 2.Manaduthandupathu (R.V), Nainarpathu (P) Ammanpuram Block 2, , 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,231,210,3.4482758620689653
267,"St Antony R.C. Middle School, South
Building, West Hall, Udankudi","1.Udankudi (S.G.T.P) Pudhumanai pallivaasal street ward 8,
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,234,117,26.71232876712329
270,"St. Antony R.C. Middle School, North Building, Middle Hall, Udankudi","1.Udankudi (S.G.T.P) Santhaikadai Street Ward 6, 2.Udankudi
(S.G.T.P) Keela Pudu Street Ward 6, 3.Udankudi (S.G.T.P) Thesayanvillai Road ward6, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,182,153,6.004140786749482
280,"Panchayat Union Primary School New
Building, South Side, Chettiyapathu","1.Chettiapathu (R.P) And (P) Chettiapathu Block 2, 999.OVERSEAS
ELECTORS",Bharatiya Janata Party,217,167,9.433962264150944
281,"Anganwadi centre, Chettyapathu","1.Chettiapathu (R.V) And (P) Vathiyarkudiruppu Block 9,
2.Chettiapathu (R.V) And (P) Muthukrishnapuram Block 10,
3.Chettiapathu (R.V) And (P) Kumaralakshmipuram Block 1,
4.Chettiapathu (R.V) And (P) Arunachalapuram Block 2, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,154,128,6.63265306122449
293,"T.N.D.T.A Primary School,
Kulasekaranpattanam","1.Kulasekaranpattinam (R.V) And (P) Vadakoor block 1,
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,155,124,9.451219512195122
298,"Hasania Middle School west building, Hasania street, Kulasekaranpattanam","1.Kulasekaranpattinam (R.V) And (P) Kathireya sanathi Street
Block 5, 2.Kulasekaranpattinam (R.V) And (P) Vannakkudistreet Block 5, 3.Kulasekaranpattinam (R.V) And (P) Kathereya South Street Block 5, 4.Kulasekaranpattinam (R.V) And (P) Bharathi Street Block 5, 5.Kulasekaranpattinam (R.V) And (P)
Anukoolapuram block 5, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,248,222,4.651162790697675
299,"St. Joseph Higher Secondary School
West Side VictoriaHall, XIIth std, Manapadu","1.Manapadu (R.V) And (P) Raja Street Block 1 (Door No.01 - 116), 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,247,131,27.884615384615387
