Polling Station No.,Location and Name of the Building in which Polling station is located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
73,"Govt.High.School, Kallabiranpuram East facing building","1.Kallabiranpuram (P) And (R.V), Ward2 Pallastreet
2.Kallabiranpuram (P) And (R.V), Ward2 colony pillaiyar koil street
3.Kallabiranpuram (P) And (R.V), Ward2 Ottar Street
4.Kallabiranpuram (P) And (R.V), Ward2 Pillaiyar Koil Street
5.Kallabiranpuram (P) And (R.V), Ward2 kuruku street
6.Kallabiranpuram (P) And (R.V), Ward Neyikuppi Village Mettu Street
7.Kallabiranpuram (P) And (R.V), Ward Neyi Village Palla Street
8.Kallabiranpuram (P) And (R.V), Ward1 Throbathiyamman Koil Street
9.Kallabiranpuram (P) And (R.V), Ward2 Anthiyamman Koil Street
10.Kallabiranpuram (P) And (R.V), Ward2 New Colony
11.Kallabiranpuram (P) And (R.V), Ward1 Pazaya Colony 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,1,0.1420454545454546
74,"Panchayat Union Middle School, Padalam South Facing West Side","1.Padalam (P) And (R.V), Ward 2 kuyavar st
2.Padalam (P) And (R.V), Ward 2 Kanakkar
3.Padalam (P) And (R.V), Ward 2 Chetty medu Main Road
4.Padalam (P) And (R.V), Ward 2 New Colony St
5.Padalam (P) And (R.V), Ward 2 Middle Colony St
6.Padalam (P) And (R.V), Ward 2 Mettu Colony St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,9,1.062573789846517
75,"Panchayat Union Middle School, Padalam South Facing East Side","1.Padalam (P) And (R.V), Ward 2 peria st
2.Padalam (P) And (R.V), Ward 2 Chinna St
3.Padalam (P) And (R.V), Ward 2 Vijay Nagar St
4.Padalam (P) And (R.V), Ward 2 Eswaran Koil St
5.Padalam (P) And (R.V), Ward 2 Vettaikarar St
6.Padalam (P) And (R.V), Ward 2 Padalam Alai Qtrs
7.Padalam (P) And (R.V), Ward 2 Kanniamman Koil St
8.Padalam (P) And (R.V), Ward 2 Padalam Cheyyur Road Street 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,5,0.8710801393728222
77,"Panchayat Union Middle School, Padalam, East Facing South Side","1.Padalam (P) And (R.V), Ward 3 Padalam Uthukkadu Amman Koil St
2.Padalam (P) And (R.V), Ward 3 Padalam Madhakoil St
3.Padalam (P) And (R.V), Ward 3 Padalam Gangaiamman Koil St
4.Padalam (P) And (R.V), Ward 3 Padalam New Colony Main Road 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,36,4.49438202247191
79,Adi-Dravidar Welfare Primary School Pathur South Facing,"1.Lakshminarayanapuram (P) And (R.V), Ward 3 Arasar Kovil varatharajaparumal St
2.Lakshminarayanapuram (P) And (R.V), Ward 3 Arasar kovil Village Mettu Street
3.Lakshminarayanapuram (P) And (R.V), Ward 2 Chettymedu Padalam cheyyur Road
4.Lakshminarayanapuram (P) And (R.V), Ward 2 chettymedu colany atthoram St
5.Lakshminarayanapuram (P) And (R.V), Ward 2 Chettimedu Patthur Salai
6.Lakshminarayanapuram (P) And (R.V), Ward 2 Chettimedu Colony Kavankarai Street
7.Lakshminarayanapuram (P) And (R.V), Ward 2 Chettymedu Colony Palla Steet
8.Lakshminarayanapuram (P) And (R.V), Ward 2 Chettymedu Village Kavalankarai Street
9.Lakshminarayanapuram (P) And (R.V), Ward 2 Chettymedu Colony Madha Koil Steet
10.Lakshminarayanapuram (P) And (R.V), Ward 1 pathur village mettu street
11.Laksmi narayanapuram (P) And (R.V), Ward 1 paththuoor kalani periya st
12.Lakshmi Narayanapuram (P) And (R.V), Ward 1 Mazhuvankoillai Colony Nadu Steet
999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,14,1.609195402298851
83,Panchayat Union Middle School Essur north face building,"1.Pudur (P) And (R.V), Ward 1 agrahara st
2.Pudur (P) And (R.V), Ward 1 Theradi St
3.Pudur (P) And (R.V), Ward 2 Bajanai Koil St
4.Pudur (P) And (R.V), Ward 3 Kulakkarai St
5.Pudur (P) And (R.V), Ward 3 Ponniamman Koil St
6.Pudur (P) And (R.V), Ward 3 Thatchoor Neelamangalam Road
7.Pudur (P) And (R.V), Ward 3 Thirukalikundram Road 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,23,3.50609756097561
86,"R.C.Mission High School, Main building, Thatchur East Facing East Side","1.Kunnathur (P) And (R.V), Ward 3 thachur colony thakkaraithangal
2.Kunnathur (P) And (R.V), Ward 3 Thatchoor Colony Sudukadu St
3.Kunnathur (P) And (R.V), Ward 3 Thatchoor Colony Palla St
4.Kunnathur (P) And (R.V), Ward 4 Thatchoor Arunthathi Palayam Vanathu Chinnappar Koil St
5.Kunnathur (P) And (R.V), Ward 4 Thatchur Arunthathiyar Palayam Metu St
6.Kunnathur (P) And (R.V), Ward 4 Thachur Palayam Madhakoil Street
7.Kunnathur (P) And (R.V), Ward 4 Thatchurpalayam Palla St
8.Kunnathur (P) And (R.V), Ward 4 Thatchur Koot Road Mada Koil St
9.Kunnathur (P) And (R.V), Ward 4 Thatchoor KootRoad Madurantagam Salai
10.Kunnathur (P) And (R.V), Ward 4 Thatchur Neelamangalam Salai 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,24,3.061224489795918
89,Panchayat Union Primary school Kizhapattu North Facing East Side,"1.Veeranakunnam (P) And (R.V), Ward 1 c s i charch st (colany)
2.Veeranakunnam (P) And (R.V), Ward 3 Meatu Colany
3.Veeranakunnam (P) And (R.V), Ward 3 1st St (Colany)
4.Veeranakunnam (P) And (R.V), Ward 3 2nd St (Colany)
5.Veeranakunnam (P) And (R.V), Ward 3 3rd St (Colany)
6.Veeranakunnam (P) And (R.V), Ward 3 Barathiyar (Yur)
7.Veeranakunnam (P) And (R.V), Ward 3 Mettu St
8.Veeranakunnam (P) And (R.V), Ward 3 Poonniyamman Koil St
9.Veeranakunnam (P) And (R.V), Ward 3 Pillaiyar Koil St
10.Veeranakunnam (P) And (R.V), Ward 3 Ambathkar Nagar
11.Veeranakunnam (P) And (R.V), Ward 3 Irular Colany 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,10,1.715265866209263
90,Panchayat Union Middle School Kinar East facing North Side,"1.Kinar (P) And (R.V), Ward 1 thottanaval highway street
2.Kinar (P) And (R.V), Ward1 Thottanaval 1st Cross Street
3.Kinar (P) And (R.V), Ward1 Thottanaval 2nd Street
4.Kinar (P) And (R.V), Thotanaval 3rd cross street
5.Kinar (P) And (R.V), Ward 1 Thandu Mariyamman Koil Street
6.Kinar (P) And (R.V), Ward1 palli sellum street
7.Kinar (P) And (R.V), Ward1 kinar mettu street
8.Kinar (P) And (R.V), Ward1 Mettu Colony 1st Cross Street
9.Kinar (P) And (R.V), Ward1 Ellaiyamman Koil Street
10.Kinar (P) And (R.V), Ward1 Kinar Mettu Colony Nedusalai Street
11.Kinar (P) And (R.V), Ward1 Bajanai Koil Street
12.Kinar (P) And (R.V), Ward 3 Perumal Koil Street
13.Kinar (P) And (R.V), Ward 3 Muthu Mariamman Koil Street 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,32,3.242147922998987
91,Panchayat Union Middle School Kinar North facing South Side,"1.Kinar (P) And (R.V), Ward 3 village highway street
2.Kinar (P) And (R.V), Ward 3 Biramanar Veethi
3.Kinar (P) And (R.V), Ward 3 Eswaran Koil Street
4.Kinar (P) And (R.V), Ward 3 gramani street
5.Kinar (P) And (R.V), Ward 3 Oodai Street
6.Kinar (P) And (R.V), Ward 3 Kinar Colony Highway Street
7.Kinar (P) And (R.V), Ward 3 Kinar Colony Keezhandai Street
8.Kinar (P) And (R.V), Ward 3 Gangaiamman Koil Street
9.Kinar (P) And (R.V), Ward 3 kinar colony 1st street
10.Kinar (P) And (R.V), Ward3 Erubakkam Village Railway Street
11.Kinar (P) And (R.V), Ward3 Erupakkam Colony 1st Street
12.Kinar (P) And (R.V), Ward2 erupakkam colony 3rd street
13.Kinar (P) And (R.V), Ward3 Erupakkam Colony 3rd Street
14.Kinar (P) And (R.V), Ward3 Erubakkam Colony Ambathkar Street
15.Kinar (P) And (R.V), Ward3 Thulukanathamman Koil Street 999.Overseas Electors",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,4,0.4052684903748734
94,Panchayat Union Middle school Karunkuzhi West Facing South Side,"1.Karunguzhi, Ward6 pavazagaraveethi
2.Karunguzhi, Ward6 Bramana Street
3.Karunguzhi, Ward5 Bajanai Koil Street
4.Karunguzhi, Ward5 Tharmaraja Koil Street
5.Karunguzhi, Ward5 vayani vinayagar koil street
6.Karunguzhi, Ward5 Durai Kullakarai
7.Karunguzhi, Ward5 Settipettai Cement Street 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,3,0.495049504950495
96,C.S.I.Middle School Karunkuzhi South Facing East Side,"1.Karunguzhi, Ward7 Rettikulam
2.Karunguzhi, Ward G.S.T. Road
3.Karunguzhi, Ward7 Pillaiyar Koil Street West
4.Karunguzhi, Ward7 Pillaiyar Koil Street North
5.Karunguzhi, Ward7 Pillaiyar Koil East
6.Karunguzhi, WArd7 Komutti Street
7.Karunguzhi, Ward7 Old Post Office Street
8.Karunguzhi, Ward8 Saththani Street
9.Karunguzhi, Ward8 Nathavethar Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,3,0.4665629860031105
98,Agasthiyasamy ITI East facing Madurantakam,"1.Mathuranthagam, Ward6 rangan street
2.Mathuranthagam, Ward1 G.S.T. Road 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,10,2.73224043715847
99,Agasthiyasamy ITI East facing Madurantakam,"1.Mathuranthagam, Ward1 selliyamman theradi street
2.Mathuranthagam, Ward1 Vengadaeswara Nagar
3.Mathuranthagam, Ward1 Rajabather Nagar 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,19,2.741702741702742
102,"PTNVKS Middle School, Chelliamman Theradi Street South Facing West Side","1.Mathuranthagam, Ward5 rangasami street
2.Mathuranthagam, Ward5 Kumith Street
3.Madurantakam M, Ward 4 Mettu Street
4.Mathuranthagam, Ward4 Kambar Street
5.Mathuranthagam, Ward4 Narayanan Street
6.Maduranthagam (T), Ward 2 Mettu Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,10,1.470588235294118
103,"PTNVKS Middle School, Chelliamman Theradi Street South Facing East Side","1.Mathuranthagam, Ward3 Santhikarai Street
2.Mathuranthagam, Ward3,5 Solliyamman Theradi Street
3.Mathuranthagam, Ward3 Solliyamman Theradi 1st Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,6,0.8968609865470852
105,Gengusamy Matriculation High School North Facing,"1.Mathuranthagam, Ward5 kottanagara street
2.Mathuranthagam, Ward9 Rajaji Street
3.Mathuranthagam, Ward Sundarram Nagar
4.Mathuranthagam, Ward10 Santhai 2nd Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,2,0.4597701149425287
107,Saint Josap Matriculation Higher secondary schoolMaduranthagam North facing East Side building,"1.Mathuranthagam, Ward11 Mandabam Cross Street
2.Mathuranthagam, Ward11 bharathiyar nagar main road
3.Mathuranthagam, Ward11 Bharathiyar Nagar 1st Street
4.Mathuranthagam, Ward11 Bharathiyar Nagar 2nd Street
5.Mathuranthagam, Ward11 Bharathiyar Nagar 3rd Street
6.Mathuranthagam, Ward11 Bharathiyar Nagar 4th Street
7.Mathuranthagam, Ward11 Bharathiyar Nagar 5th Street
8.Mathuranthagam, Ward11 Bharathiyar Nagar 6th Street
9.Mathuranthagam, Ward11Bharathiyar Nagar 7th Street
10.Mathuranthagam, Ward11 bharathiyar nagar 8th street
11.Mathuranthagam, Ward11 Bharathiyar Nagar 10th Street
12.Mathuranthagam, Ward11 Bharathiyar Nagar 11th Street
13.Mathuranthagam, Ward11 Bharathiyar 1st Cross Street
14.Mathuranthagam, Ward11 Bharathiyar 3rd Cross Street
15.Maduranthagam (T), Ward 2 Barathiyar Nagar 2nd Cross Street 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,21,4.117647058823529
108,SriAgobila madam Samaskirutha collegeMaduranthagam north st building first room,"1.Mathuranthagam, Ward8 bharathsarathi street
2.Mathuranthagam, Ward8 Pazhaya Police Line
3.Mathuranthagam, Ward8 New Police Line
4.Mathuranthagam, Ward8 Perumal Koil Street
5.Mathuranthagam, Ward8 Sanathi Street 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,20,3.629764065335753
111,Municipal Primary School Senguntharpettai Madurantakam West Facing North Side,"1.Mathuranthagam, Ward19 Kullakarai 2nd Street
2.Mathuranthagam, Ward19 Kullakarai 1st Street Eurular Appartments
3.Mathuranthagam, Ward18 Ponniyamman Koil Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,23,4.781704781704782
113,Municipal Primary School Senguntharpettai Madurantakam West Facing South Side,"1.Mathuranthagam, Ward19 othiyan kullakarai street
2.Mathuranthagam, Ward18 Devamannar Avenu
3.Mathuranthagam, Ward18 arulaleeswarn koil street
4.Mathuranthagam, Ward18 Arulaleeswaran Koil Street
5.Maduranthagam (T), Ward 2 A.E. Koil Street
6.Mathuranthagam, Ward19 Chinna Colony 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,24,3.319502074688797
115,"C.S.I Primary School Acharapakkam Main Roed Maduranthagam West
Facing North Side","1.Mathuranthagam, Ward19 Pazaveri Kuttai
2.Mathuranthagam, Ward19 Acharapakkam Road
3.Mathuranthagam, Ward19 Malattukkuttai Street 1st
4.Mathuranthagam, Ward19 Bangala Colony
5.Mathuranthagam, Ward Malattukuttai Street 2nd 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,20,4.77326968973747
116,"C.S.I Primary School Acharapakkam Main Roed Maduranthagam West
Facing South Side","1.Mathuranthagam, Ward15 Arunankullam
2.Mathuranthagam, Ward15 Thiru.V.K. Street
3.Mathuranthagam, Ward14,15 Acharapakkam Road
4.Mathuranthagam, Ward14 pillaiyar koil street
5.Mathuranthagam, Ward14 Variyar Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,2,0.2770083102493075
119,Hindu Garnesan Midde School Mdurantakam South Facing,"1.Mathuranthagam, Ward7 Kachcherry Steert
2.Mathuranthagam, Ward7 Ramanujam Street
3.Mathuranthagam, Ward7 PalliPattu Narasiman Street
4.Mathuranthagam, Ward7 Bharthasarthy Street
5.Mathuranthagam, Ward7 rajagopal street
6.Mathuranthagam, Ward7,9, Sunambedu Road 999.Overseas Electors",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,20,3.316749585406302
121,Saint Josap Matriculation Higher secondary schoolMaduranthagam North Facing,"1.Mathuranthagam, Ward1 Kadpperri
2.Mathuranthagam, Ward12 venkatteswaran koil street
3.Mathuranthagam, Ward12 Vivekanathar Street
4.Mathuranthagam, Ward12 Bajanai Koil Street
5.Mathuranthagam, Ward12 Kadpperri Punthottam
6.Madurantakam, Ward12 Amrith Nagar 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,31,3.831891223733003
122,Hindu Garnesan Midde School Mdurantakam South Facing,"1.Mathuranthagam, Ward13 Bharthasarthy Street
2.Mathuranthagam, Ward3 appan street
3.Mathuranthagam, Ward13 Bharathy Street
4.Mathuranthagam, Ward13 Mariyamman Koil Street
5.Mathuranthagam, Ward13 illango street
6.Mathuranthagam, Ward13 Thiruvalluvar Street
7.Madurantakam, Ward13 Eri Sai Ram Nagar Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,31,4.133333333333333
123,"R.C Middle School, Mangalore tiled West facing Room 6","1.Mathuranthagam, Ward22 kalakkapur
2.Mathuranthagam, Ward22 Sathannur Colony
3.Mathuranthagam, Ward22 Sathanur Mariyamman Koil Street
4.Mathuranthagam, Ward22 Sathanur New Street
5.Mathuranthagam, Ward21 Lurthupuram
6.Mathuranthagam, Ward21 Gangaiyamman Koil Street 999.Overseas Electors",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,8,1.257861635220126
126,R.C.High School West Facing gandhi nagar Maduranthagam,"1.Mathuranthagam, Ward20 mariyamman koil street
2.Mathuranthagam, Ward20 Railway Station Road
3.Mathuranthagam, Ward20 govt. appartment thirvalluvar street
4.Mathuranthagam, Ward20 Nethaji Street
5.Mathuranthagam, Ward20 Kambar Street
6.Mathuranthagam (t), Ward20 gov.appartment kannadasan street
7.Mathuranthagam (T), Ward 1 Thiruvalluvar Street 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,24,4.387568555758683
128,"Municipal Primary school Mampakkam, West facing South side Room No 2","1.Mathuranthagam, Ward23 bajanai koil street
2.Madhurathagam, Ward23 Ghandhiji Street
3.Madhurathagam, Ward23 Mariyamman Koil Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,5,0.8389261744966443
135,"Government Higher Secondary School,Morapakkam West Facing Room 2","1.Morappakkam (P) And (R.V), Mariamman Koil st Colony
2.Morappakkam (P) And (R.V), Ward 4 West st Kalani
3.Morappakkam (P) And (R.V), Ward 4 North st Kalani
4.Morappakkam (P) And (R.V), Ward 4 Nadu st 1 Kalani
5.Morappakkam (P) And (R.V), Ward 4 South st Kalani
6.Morappakkam (P) And (R.V), Ward 4 Nadu st 2 Kalani
7.Morappakkam (P) And (R.V), Ward 4 North st 2 Kalani
8.Morappakkam (P) And (R.V), Ward 1 Buthur Salai, Arunthathipalayam
9.Morappakkam (P) And (R.V), Ward 1 Mariamman Koil st, Arunthathipalayam 999.Overseas Electors",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,5,0.8912655971479502
136,PANCHAYAT UNION MIDDLE SCHOOL GUDALORE WEST FACING NORTH SIDE,"1.Kodalur (P) And (R.V), Ward 1 Shcool St
2.Kodalur (P) And (R.V), Ward 1 Bajanai Koil st
3.Kodalur (P) And (R.V), Ward 1 Yadavar St
4.Kodalur (P) And (R.V), Ward 3 Indira Colony St
5.Kodalur (P) And (R.V), Ward 1 Koodalur Colony Salai
6.Kodalur (P) And (R.V), Ward 2 Koodalur Colony Nadu st
7.Kodalur (P) And (R.V), Ward 2 Mariamman Koil st
8.Kodalur (P) And (R.V), Ward 2 2nd Cross st
9.Kodalur (P) And (R.V), Ward 2 3rd Cross st
10.Kodalur (P) And (R.V), Ward 2 Kambar St
11.Kodalur (P) And (R.V), Ward 2 Bathar st
12.Kodalur (P) And (R.V), Ward 3 Periya Andavar St
13.Kodalur (P) And (R.V), Ward 3 Gandhi st 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,12,1.377726750861079
150,Panchayat Union Middle School Kizhamur North Facing,"1.Keizhamur (P) And (R.V), Keizhamur village main road
2.Keizhamur (P) And (R.V), Ward 4 Pillaiyar Koil st
3.Keizhamur (P) And (R.V), Ward 4 Mettu st
4.Keizhamur (P) And (R.V), Ward 2 Naidu st
5.Keizhamur (P) And (R.V), Ward 2 Tank St
6.Keizhamur (P) And (R.V), Ward 3 Keizhamur colony main road
7.Keizhamur (P) And (R.V), Ward 3 Keizhamur colony Muthumariamman koil st
8.Keizhamur (P) And (R.V), Ward 2 Munamalai pattu village
9.Keizhamur (P) And (R.V), Ward 1 Pasuvankaranai village main road
10.Keizhamur (P) And (R.V), Ward 1 Pasuvankaranai village 1st street
11.Keizhamur (P) And (R.V), Ward 1 Pasuvankaranai village nadu st 999.Overseas Electors",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,11,1.326899879372738
151,"PANCHAYAT UNION PRIMARY SCHOOL
ORATHUR East Facing","1.Orathur (P) And (R.V), Ward 4 pillaiyar koil st
2.Orathur (P) And (R.V), Ward 4 Brammanar st
3.Orathur (P) And (R.V), Ward 1 Mariamman koil st
4.Orathur (P) And (R.V), Ward 1 Erikarai st
5.Orathur (P) And (R.V), Ward 3 1st Nedukku st
6.Orathur (P) And (R.V), Ward 3 1 st Cross st
7.Orathur (P) And (R.V), Ward 3 2nd cross st
8.Orathur (P) And (R.V), Ward 1 3rd cross st
9.Orathur (P) And (R.V), Ward 1 2nd Nedukku st
10.Orathur (P) And (R.V), Ward 2 1st Cross st
11.Orathur (P) And (R.V), Ward 2 2nd colony
12.Orathur (P) And (R.V), Ward 2 3rd cross st
13.Orathur (P) And (R.V), Ward 2 Nedukku st 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,15,2.7124773960217
152,Panchayat Union Middle School Kattukudalore North Facing,"1.Kattukoodalur (P) And (R.V), Ward 1 villi st
2.Kattukoodalur (P) And (R.V), Ward 1 Pillaiyar koil st
3.Kattukoodalur (P) And (R.V), Ward 2 Amman koil st
4.Kattukoodalur (P) And (R.V), Ward 2 Nadu st
5.Kattukoodalur (P) And (R.V), Ward 3 First st
6.Nemam (P) And (R.V), Ward 2 Mariamman koil st 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,13,1.884057971014493
154,Panchayat Union Primary School Kattukarani East Facing South Side,"1.Kattukaranai (P) And (R.V), Ward 1 vadavandai st
2.Kattukaranai (P) And (R.V), Ward 1 Mettu st
3.Kattukaranai (P) And (R.V), Ward 2 Santhu st
4.Kattukaranai (P) And (R.V), Ward 2 Mariamman koil st
5.Kattukaranai (P) And (R.V), Ward 1 Bajanai koil st
6.Kattukaranai (P) And (R.V), Ward 1 Gangaiamman koil st
7.Kattukaranai (P) And (R.V), Ward Vettaikara st 999.Overseas Electors",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,2,0.5376344086021506
156,Panchayat Union Primary School Mogalvadi East Facing,"1.Mogalvadi (P) And (R.V), Ward 1 kattkaranai road
2.Mogalvadi (P) And (R.V), Ward 1 Kurukku st
3.Mogalvadi (P) And (R.V), Ward 1 Mariamman koil st
4.Mogalvadi (P) And (R.V), Ward 1 Mettu st
5.Mogalvadi (P) And (R.V), Ward 1 Pillaiyar koil st
6.Mogalvadi (P) And (R.V), Ward 2 south st
7.Mogalvadi (P) And (R.V), Ward 1 East St
8.Mogalvadi (P) And (R.V), Ward 1 School st
9.Mogalvadi (P) And (R.V), Ward 1 Santhu St
10.Mogalvadi (P) And (R.V), Ward 1 Elappakkam road
11.Mogalvadi (P) And (R.V), Ward 1 Kuripedu road
12.Mogalvadi (P) And (R.V), Ward 2 Sekkilar st
13.Mogalvadi (P) And (R.V), Ward 2 Valluvar St
14.Mogalvadi (P) And (R.V), Ward 2 Kannadasan St
15.Mogalvadi (P) And (R.V), Ward 2 Elango st
16.Mogalvadi (P) And (R.V), Ward 2 Renugambal st
17.Mogalvadi (P) And (R.V), Ward 2 Kamban st
18.Mogalvadi (P) And (R.V), Ward 2 V.O.C, st
19.Mogalvadi (P) And (R.V), Ward 2 Bus Stand st
20.Mogalvadi (P) And (R.V), Ward 2 Tholaikatchi st
21.Mogalvadi (P) And (R.V), Ward 2 Mellandai cross st
22.Mogalvadi (P) And (R.V), Ward 2 Keillandai cross st
23.Mogalvadi (P) And (R.V), Ward 2 Mariammankoil colony st 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,31,4.454022988505748
157,Government Higher Secondary school Elapakkam North Side,"1.Elapakkam (P) And (R.V), Ward 1 thorapathi amman koil st
2.Elapakkam (P) And (R.V), Ward 1 Sri mariamman koil st
3.Elapakkam (P) And (R.V), Ward 1 pirathana salai
4.Elapakkam (P) And (R.V), Ward 2 Mada koil st
5.Elapakkam (P) And (R.V), Ward 3 Bazzar st
6.Elapakkam (P) And (R.V), Ward 3 Thatchan kulam st
7.Elapakkam (P) And (R.V), Ward 3 Annaikundram salai
8.Elapakkam (P) And (R.V), Ward 4 Bajanai koil st
9.Elapakkam (P) And (R.V), Ward 4 Mada koil st
10.Elapakkam (P) And (R.V), Ward 4 Sri Mariamman koil st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,2,0.2164502164502164
158,Government Higher Secondary school Ellapakkam South side,"1.Elapakkam (P) And (R.V), Warad 2 hospital road
2.Elapakkam (P) And (R.V), Ward 2 Sri Balamurugan koil st
3.Elapakkam (P) And (R.V), Ward 2 Cross st
4.Elapakkam (P) And (R.V), Ward 2 Higher secondary school st
5.Elapakkam (P) And (R.V), Ward 2 Sri Subramaniar koil st
6.Elapakkam (P) And (R.V), Ward 3 Kulakarai veethy
7.Elapakkam (P) And (R.V), Ward 3 Post Office st
8.Elapakkam (P) And (R.V), Ward 3 Mettu st
9.Elapakkam (P) And (R.V), Ward 2 Electricity Office st
10.Elapakkam (P) And (R.V), Ward 2 pannaithoppu st 999.Overseas Electors",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,18,2.37467018469657
161,Panchayat Union Primary School Baburayanpettai West Face East Side,"1.Baburayanpettai (P) And (R.V), Ward 1 vinayagar koil st
2.Baburayanpettai (P) And (R.V), Ward 1 Andalkuppam st
3.Baburayanpettai (P) And (R.V), Ward 2 Bharathiar Veety
4.Baburayanpettai (P) And (R.V), Ward 2 Mariamman koil st
5.Baburayanpettai (P) And (R.V), Ward 1 Doctor Ambedkar st
6.Baburayanpettai (P) And (R.V), Ward 2 Ratinakinaru st
7.Baburayanpettai (P) And (R.V), Ward 1 Cross st 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,6,1.263157894736842
163,Panchayat Union Primary School Koonangarani South Side,"1.Annankal (P) And (R.V), Ward 2 Annankal tar salai st
2.Annankal (P) And (R.V), Ward 2 Annankal village st
3.Annankal (P) And (R.V), Ward 2 annankal village 1st street
4.Annankal (P) And (R.V), Ward 2 Annankal village 2nd st
5.Annankal (P) And (R.V), Ward 2 Annankal colony
6.Annankal (P) And (R.V), Ward 2 Rajapalayam colony
7.Annankal (P) And (R.V), Ward 2 Rajapalayam Mariamman koil st
8.Annankal (P) And (R.V), Ward 2 Rajapalayam mariamman koil st
9.Annankal (P) And (R.V), Ward 2 Rajapalayam mariamman cross st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,24,4.948453608247423
164,Panchayat Union Primary School Porakal North Facing,"1.Poorakal (P) And (R.V), Ward 1 Annankal poorakal salai
2.Poorakal (P) And (R.V), Ward 1 Poorakal village st
3.Poorakal (P) And (R.V), Ward 1 Annankal poorakal salai
4.Poorakal (P) And (R.V), Ward 2 Old colony 1st street
5.Poorakal (P) And (R.V), Ward 2 Old colony 2nd st
6.Poorakal (P) And (R.V), Ward 2 Old colony 3rd st
7.Poorakal (P) And (R.V), Ward 2 Mariamman koil st
8.Poorakal (P) And (R.V), Ward 2 Elapakkam salai
9.Poorakal (P) And (R.V), Ward 2 New colony 1st st
10.Poorakal (P) And (R.V), Ward 2 New colony 2nd st 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,23,3.616352201257861
