Polling Station No.,Location and Name of the Building in which Polling station is located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
25,"Govt. High School, Sithandi South Facing","1.Chethandi(P)And Chethandi(R.V), Ward 1 bharathiyar st
2.Chethandi(P) And Chethandi(R.V), Ward 1Annai Indiragandhi st
3.Chethandi (P) And Chethandi(R.V), Ward 1 Thiruvalluvar st
4.Chethandi(P) And Chethandi(R.V), Ward 1 Rajiv Gandhi st
5.Chethandi(P) And Chethandi(R.V), Ward 1 Doctor Ambedkar st
6.Chethandi(P)And Chethandi(R.V), Ward 1 V.O.Chidabaranar st
7.Chithandi(P)And Chithandi(R.V), Ward 1 Nehru st
8.Chithandi(P) And Chithandi(R.V), Ward 2 Kattabomman st
9.Chithandi (p) And Chithandi(R V), Ward 1 Nethaji st 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,11,1.453104359313078
30,Panchayat Union Middle School Pazhiyanur West Facing North Side,"1.Pazhiyanur (P) And (R.V), Ward pakavan koil street
2.Pazhiyanur (P) And (R.V), Ward 2 Vampathamman Koil Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,19,2.592087312414734
32,Panchayat Union Middle School Pazhiyanur West Facing North Side Room 5,"1.Pazhiyanur (P) And (R.V), Ward 1 thulukanathamman koil st
2.Pazhiyanur (P) And (R.V), Ward 3 Agraharam St
3.Pazhiyanur (P) And (R.V), Ward 3 Cheyyur Salai
4.Pazhiyanur (P) And (R.V), Ward 2 Yadhavar St
5.Pazhiyanur (P) And (R.V), Ward 3 mudhaliyar st 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,31,3.186022610483042
38,Panchayat Union Middle School Vedavakkam West facing North side,"1.Andavakkam (P) And (R.V), Ward 3 Colony Mariyamman St
2.Andavakkam (P) And (R.V), Ward 3 Colony Mariyamman 2nd St
3.Andavakkam (P) And (R.V), Ward 3 Colony Kizhandai St
4.Andavakkam (P) And (R.V), Ward 3 Colony 1st Cross St
5.Andavakkam (P) And (R.V), Ward 3 Colony 2nd Cross St
6.Andavakkam (P) And (R.V), Ward 1 AntavakkamVillage 1st St
7.Andavakkam (P) And (R.V), Ward 1 Pillaiyar Koil St
8.Andavakkam (P) And (R.V), Ward 1 Pillaiyar Koil 2nd St
9.Andavakkam (P) And (R.V), Ward 1 Erikkarai St
10.Andavakkam (P) And (R.V), Ward 1 Mettu St
11.Andavakkam (P) And (R.V), Ward 1 Thiruvalluvar Nagar
12.Andavakkam (P) And (R.V), Ward 1 Mettu St
13.Andavakkam (P) And (R.V), Ward 2 Colony 1st
14.Andavakkam (P) And (R.V), Ward 2 Udukkattu Ellaiyamman Koil St
15.Andavakkam (P) And (R.V), Ward 2 Colony Mettu St
16.Andavakkam (P) And (R.V), Ward 2 Colony Kilantai St 999.Overseas Electors",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,29,3.348729792147806
41,GOVT.HIGHER SEC. SCHOOL VEDANTHANGAL ROOM OFFICE WEST FACING NORTH SIDE,"1.Vedanthangal (P) And (R.V), Ward 1 Manickam St
2.Vedanthangal (P) And (R.V), Ward 1 Bajanai Koil St
3.Vedanthangal (P) And (R.V), Ward 1 Loganathan St
4.Vedanthangal (P) And (R.V), Ward 1 Chithathur main road
5.Vedanthangal (P) And (R.V), Ward 1 Pillaiyar Koil St
6.Vedanthangal (P) And (R.V), Ward 1 Pasuvan Naidu St
7.Vedanthangal (P) And (R.V), Ward 1 Gengaiamman Koil St
8.Vedanthangal (P) And (R.V), Ward 1 Chithathur Colony 1st Cross St
9.Vedanthangal (P) And (R.V), Ward 1 Chithathur Colony 2nd Cross St
10.Vedanthangal (P) And (R.V), Ward 2 Chithathur main 1st st
11.Vedanthangal (P) And (R.V), Ward 2 Thulukkanathamman Koil St
12.Vedanthangal (P) And (R.V), Ward 2 Chithathur 2nd main road
13.Vedanthangal (P) And (R.V), Ward 2 Chithathur main road
14.Vedanthangal (P) And (R.V), Ward 2 Thuraiyur Main road
15.Vedanthangal (P) And (R.V), Ward 2 Thuraiyur main road
16.Vedanthangal (P) And (R.V), Ward 2 Thuraiyur Colony Main road
17.Vedanthangal (P) And (R.V), Ward 3 Thuraiyur 1st Cross St
18.Vedanthangal (P) And (R.V), Ward 3 Thuraiyur Colony 2nd cross st 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,16,2.888086642599278
42,GOVT.HIGHER SEC. SCHOOL ROOM OFFICE EAST FACING SOUTH SIDE,"1.Vedanthangal (P) And (R.V), Ward 3 Vinayaga nallur Kulakkarai St
2.Vedanthangal (P) And (R.V), Ward 3 Vinayaganallur Bajanai Koil St
3.Vedanthangal (P) And (R.V), Ward 3 Kakkan Kollai St
4.Vedanthangal (P) And (R.V), Ward 3 Vinayaganallur Road
5.Vedanthangal (P) And (R.V), Ward3 Irular St
6.Vedanthangal (P) And (R.V), Ward 3 Vinayaga nallur Kadaisi St
7.Vedanthangal (P) And (R.V), Ward 3 Vinayaganallur Anna St
8.Vedanthangal (P) And (R.V), Ward 3 Vinayaganallur Ambedkar St
9.Vedanthangal (P) And (R.V), Ward 3 Vinayaganallur Indra gandhiSt
10.Vedanthangal (P) And (R.V), Ward 3 Vinayaganallur Nehru St
11.Vedanthangal (P) And (R.V), Ward 3 Vinayaganallur Gandhi St
12.Vedanthangal (P) And (R.V), Ward 3 Erikkarai St 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,8,1.265822784810127
43,Panchayat Union Middle School Vellaputhur North facing East side,"1.Vellaputhur (P) And (R.V), Ward 1 Palakadu
2.Vellaputhur (P) And (R.V), Ward1 Andimedu
3.Vellaputhur (P) And (R.V), Ward1 Mettu Street
4.Vellaputhur (P) And (R.V), Ward1 Chelliamman Koil Street
5.Vellaputhur (P) And (R.V), Ward 1 Kanniyamman Koil Street
6.Vellaputhur (P) And (R.V), Ward 1 Arunthathipalayam
7.Vellaputhur (P) And (R.V), Ward1 Kallankollai
8.Vellaputhur (P) And (R.V), Ward1 Ambedkar Nagar
9.Vellaputhur (P) And (R.V), Ward1 Sungakkollai
10.Vellaputhur (P) And (R.V), Ward2 Pillaiyar Koil Street
11.Vellaputhur (P) And (R.V), Ward2 Throwpathikoil Street
12.Vellaputhur (P) And (R.V), Ward2 Kaliyamman Koil Street
13.Vellaputhur (P) And (R.V), Ward2 Padacettamman Koil St
14.Vellaputhur (P) And (R.V), Ward2 Padavettamman Koil Cross St 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,15,1.565762004175365
46,"Panchayat Union Middle School, Theettalam South Facing Room No 1","1.Theettalam (P) And (R.V), Ward 1 arunthathi muthu mariyamman koil st
2.Theettalam (P) And (R.V), Ward 1 Theettalam village main road
3.Theettalam (P) And (R.V), Ward 2 Annanagar Colony st
4.Theettalam (P) And (R.V), Ward 1 Kulakkarai St
5.Theettalam (P) And (R.V), Ward 1 kulakarai mettu st
6.Theettalam (P) And (R.V), Ward 1 Kozhiyalam main salai
7.Theettalam (P) And (R.V), Ward 1 Ellalaiyamman koil st
8.Theettalam (P) And (R.V), Ward 1 Yadavar Street
9.Theettalam (P) And (R.V), Ward 1 Arasamara Street
10.Theettalam (P) And (R.V), Ward 1 Kizhakku Street
11.Theettalam (P) And (R.V), Ward 1 Bajanai Koil Street
12.Theettalam (P) And (R.V), Ward 1 Nadu Street
13.Theettalam (P) And (R.V), Ward 1 Mettu Street 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,17,3.300970873786408
50,PANCHAYAT UNION PRIMARY SCHOOL L.ENDATHUR SOUTH FACING EAST SIDE,"1.L. Endathur (P) And (R.V), Ward 2 bharathi nagar mgr nagar
2.L. Endathur (P) And (R.V), Ward 1 Perumal Koil st
3.L. Endathur (P) And (R.V), Ward 1 Mariyamman Koil St
4.L. Endathur (P) And (R.V), Ward 1 Nethaji St
5.L. Endathur (P) And (R.V), Ward 1 Annai Therasa St
6.L. Endathur (P) And (R.V), Ward 1 Bazar St
7.L. Endathur (P) And (R.V), Ward 1 Mettu St
8.L. Endathur (P) And (R.V), Ward 1 Varasakthi Vinayagar Koil St
9.L. Endathur (P) And (R.V), Ward 1 Kanniamman Koil St
10.L. Endathur (P) And (R.V), Ward 1 Osuramman Koil Kurukku St
11.L. Endathur (P) And (R.V), Ward 1 Thropathiamman Koil St
12.L. Endathur (P) And (R.V), Ward 1 Thurkaiamman Koil St
13.L. Endathur (P) And (R.V), Ward 2 Mariamman Koil St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,38,4.134929270946682
54,"Panchayat Union Middle School, Perumbakkam South facing","1.Perumbakkam (P) And (R.V), Ward 3 Perumbakkam 7st Street
2.Perumbakkam (P) And (R.V), Ward 3 Perumbakkam 8 st Street
3.Perumbakkam (P) And (R.V), Ward 3 Perumbakkam 9th Street
4.Perumbakkam (P) And (R.V), Ward 3 Perumbakkam 10th street
5.Perumbakkam (P) And (R.V), Ward 1 Koodapakkam 1st Street
6.Perumbakkam (P) And (R.V), Ward 1 Koodapakkam 2nd Street
7.Perumbakkam (P) And (R.V), Ward 1 Koodapakkam 3th st
8.Perumbakkam (P) And (R.V), Ward 1 Koodappakkam 4th st
9.Perumbakkam (P) And (R.V), Ward 1 Koodappakkam 5 th st
10.Perumbakkam (P) And (R.V), Ward 1 Koodappakkam 6th St
11.Perumbakkam (P) And (R.V), Ward 1 Koodappakam 7th st
12.Perumbakkam (P) And (R.V), Ward 1 Koodappakam 8th st
13.Perumbakkam (P) And (R.V), Ward1 Reddiyar Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,28,3.530895334174023
