Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
170,"Corporation Primary School , South to North, 6th Entrance Western Portion, Perumalpuram","1.Tirunelveli (C) Perumalpuram Perumalpuram C Colonymain Road, W.No 42 , 2.Tirunelveli (C) Perumalpuram Perumalpuram C Colony 1St Street, W.No. 42 , 3.Tirunelveli (C) Prumalpuram C Colony 1Th Cross Street, W.No 42 , 4.Tirunelveli (C) Perumalpuram Sankarapuram 1St Street, W.No 41 , 5.Tirunelveli (C) Perumalpuram Sankarapuram 2Nd Street, W.No 41 , 6.Tirunelveli (C) Perumalpuram C Colony 2Nd Street, W.No 42 , 7.Tirunelveli
(C) Perumalpuram C Colony 2Nd Cross Street W.No 42 , 8.Tirunelveli (C) Perumalpuram C Colony Water Tank Street, W.No 42 , 9.Tirunelveli (C) Perumalpuram P And T  Colony, W.No. 41 , 10.Tirunelveli (C) Perumalpuram Perumalpuram Lukkas Nagar W.No 42 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,9,1.598579040852576
171,"Corporation Primary School , South to North, 7th Entrance Perumalpuram","1.Tirunelveli (C) Perumalpuram Perumalpuram 7Th Street, W.No 42 , 2.Tirunelveli (C) Perumalpuram Kamaraj Salai, W.No 40 , 3.Tirunelveli (C) Perumalpuram Kamarajar Salai 3Rd Street, W.No. 40 , 4.Tirunelveli (C) Perumalpuram Anbu Nagar Nobel 2Nd North Street, W.No 40 , 5.Tirunelveli (C) Perumalpuram Perumalpuram1St Cross Street, W.No 42 , 6.Tirunelveli (C) Perumalpuram Second North Street, W.No 42 , 999.Overseas Electors
Page 45 of 78",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,15,3.239740820734342
172,"Corporation Primary School ,South to North, 4th Entrance, Perumalpuram","1.Tirunelveli (C) Perumalpuram Third North Street, W.No 42 , 2.Tirunelveli (C) Perumalpuram Water Tank 3Rd South Street, W.No 40 , 3.Tirunelveli (C) Perumalpuram Water Tank 1St Cross Street, W.No 40 , 4.Tirunelveli (C) Perumalpuram Second Cross St W.No 40 , 5.Tirunelveli (C) Perumalpuram Third Cross St W.No 40 , 6.Tirunelveli (C) Perumalpuram Nobel 1St North Street, W.No 40 , 7.Tirunelveli (C) Perumalpuram Nobel 2Nd South  Street, W.No 40 , 8.Tirunelveli (C) Perumalpuram Water Tank 4Th Street, W.No 40 , 9.Tirunelveli (C) Perumalpuram Water Tank 4Th Cross Street W.No 40 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,4,1.298701298701299
173,"Corporation Primary School, South to North, 11th Entrance, Perumalpuram","1.Tirunelveli (C) Perumalpuram Perumalpuram Police Quarters Anbu Nagar Kamaraj Salai, W.No 40 , 2.Tirunelveli (C) Perumalpuram Kamaraj Salai  3Rd Street,  W.No. 40 , 3.Tirunelveli (C) Perumalpuram Kamarajar Salai  4Th Street W.No 40 , 4.Tirunelveli (C) Perumalpuram Kamarajar Salai  East Street, W.No 40
, 5.Tirunelveli (C) Perumalpuram Nobel 2Nd Cross Street, W.No 40 , 6.Tirunelveli (C) Perumalpuram Nobel North Street, W.No 40 , 7.Tirunelveli (C) Perumalpuram East Street, W.No 40 , 8.Tirunelveli (C) Perumalpuram Kamarajar Salai 2Nd South Street, W.No 40 , 9.Tirunelveli (C) Perumalpuram Kamarajar Salai 1St South Street, W.No 40 , 10.Tirunelveli (C) Perumalpuram Third South Street, W.No 40 , 11.Tirunelveli (C) Perumalpuram Water Tank 2Nd South Street, W.No 40 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,21,4.872389791183294
179,"St. Jospeh Girls Higher Secondary School Campus St. Xavier Nursery and Primary School, New Building Ist Std Class Room,
N.G.O.A. Colony","1.Tirunelveli (C) Perumalpuram Pothigai Nagar 3Rd Cross Street, W.No 41 , 2.Tirunelveli (C) Perumalpuram Pothigai Nagar Poonga South Street, W.No 41 , 3.Tirunelveli (C) Perumalpuram Pothigai Nagar Poonga 1St Cross St, W.No 41 , 4.Tirunelveli (C) Perumalpuram Pothigai Nagar 2Nd Cross Street, W.No 41 , 5.Tirunelveli (C) Perumalpuram Pothigai Nagar 1St South Street, W.No 41 , 6.Tirunelveli (C) Perumalpuram Pothigai Nagar West Street, W.No 41 , 7.Tirunelveli (C) Perumalpuram Pothigai Nagar Poonga North St, W.No 41 , 8.Tirunelveli (C) Perumalpuram Pothigainagar East St, W.No.41, 9.Tirunelveli
(C) Perumalpuram Pothigainagar North St.,W.No.41, 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,15,3.740648379052369
180,"Corporation Primary School ,South to North, 2nd Entrance, Perumalpuram","1.Tirunelveli (C) Perumalpuram Ward 40 Anbu Nagar Kamaraj Salai, , 2.Tirunelveli (C) Perumalpuram Ward 40 Ponvizha Nagar East Street, , 3.Tirunelveli (C) Perumalpuram Ward 40 Ponvizha Nagar West Street, , 4.Tirunelveli (C) Perumalpuram Ward 40 Ponvizha Nagarnorth Street, , 5.Tirunelveli (C) Perumalpuram Ward 40 Ponvizha Nagarmain Street, , 6.Tirunelveli (C) Perumalpuram Ward 40 Ponvizha Nagar South Street, , 7.Tirunelveli (C) Perumalpuram Ward 40 Ponvizha Nagar1 St South Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,6,1.295896328293737
184,"St. Joseph Girls Hr. Sec. School ,Eastern Building, 11th A Class Room, N.G.O. A. Colony.","1.Tirunelveli (C) Ngo Colony Ward No. 41 S.T.C 1St Cross Street, , 2.Tirunelveli
(C) Ngo Colony Ward No. 41 Hariraj Street, , 3.Tirunelveli (C) Ngo Colony Ward No 41  Kurinchi Avenue, , 4.Tirunelveli (C) Ngo Colony Ward No 51 Chellathai Nagar 1St  Street, , 5.Tirunelveli (C) Ngo Colony Ward No 51 Chellathai Nagar 2Nd Street, , 6.Tirunelveli (C) Ngo Colony Ward No 51 Kurnichi Nagar North Street, , 7.Tirunelveli (C) Ngo Colony Ward No. 51 Kurinchi Nagar South Street,
, 8.Tirunelveli (C) Ngo Colony Ward No 51 Jail Singh Nagar South Street, , 9.Tirunelveli (C) Ngo Colony Ward No 51 Jail Singh Nagar East Street, , 10.Tirunelveli (C) Ngo Colony Ward No 51 Jail Singh Nagar North Street, , 11.Tirunelveli (C) Ngo Colony Ward No 51 Jail Singh Nagar 1St Street, , 12.Tirunelveli (C) Ngo Colony Ward No 51 Jail Singh Nagar 2Nd Street, , 13.Tirunelveli (C) Ngo Colony Ward No 51 Jail Singh Nagar 3Rd Street, , 14.Tirunelveli (C) Ngo Clony Ward No. 51 Mother Therasa Street, , 15.Tirunelveli (C) Ngo Colony Ward No 53 Iyyappa Nagar 1St Cross Street, , 16.Tirunelveli (C) Ngo Colony Ward No 53 Iyyappa Nagar  2Nd Cross Street, , 17.Tirunelveli (C) N.G.O.Colony Ward No 53 Iyyappa Nagar East Main Road, , 18.Tirunelveli (C) Ngo Colony Ward No 54 Aanaiyarkulam North Street, , 19.Tirunelveli (C) Ngocolony Ward No 53 Pillaiyar Kovil St , 20.Tirunelveli (C)
N.G.O Colony Ward No 54 Aanaiyarkulam North Street, ,  999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,18,2.597402597402597
185,"St. Joseph Girls Hr. Sec. School ,Eastern Building, 12th C Class Room, N.G.O. A. Colony.","1.Tirunelveli (C) Ngo Colony Ward No 54 Sivanthi Athithan Colony, , 2.Tirunelveli (C) Ngo Colony Ward No 54 Canarabank Colony 1St Street, , 3.Tirunelveli (C) Ngo Colony Ward No 54 Canarabank Colony  2Nd Street , 4.Tirunelveli (C) Ngo Colony Ward No 54 Canarabank Colony  3Rd Street(South Middle Street) , 5.Tirunelveli (C) Ngo Colony Ward No 54 Canara Bank Colony 4Th  Middle Street, , 6.Tirunelveli (C) Ngo Colony Ward No 54 Canara Bank Colony  5Th  Middle Street,, , 7.Tirunelveli (C) Ngo Colony Ward No 54 Canara Bank Colony  6Th Middle Street, , 8.Tirunelveli (C) Ngo Colony Ward No 54 Vasanth Nagar 2Nd Cross Street , 9.Tirunelveli (C) Ngo Colony Ward No 54 Vasanth Nagar, , 10.Tirunelveli (C) Ngo Colony N.G.O. Colony Ward No 54 1St Cross Street, 11.Tirunelveli (C) Ngo Colony Ward No 54 Slum Clerance Board Colony, , 12Tirunelveli (C) Ngo Colony Ward No 54 Geerthi Nagar, , 13.Tirunelveli (C) Ngo Colony Ward No 54 Sri Ram Square, ,14.Tirunelveli (C) N.G.O.Colony Ward No 54 Besent Nagar, , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,25,4.340277777777778
186,St. Joseph Girls Hr. Sec. School Campus St. Xavier Nursery and Primary School New Building L.K.G. Class Room N.G.O. A. Colony.,"1.Tirunelveli (C) Ngo Colony Ward No 54 Thirumal Nagar-I(Door no.1-167), , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,20,3.64963503649635
189,"St. Joseph Girls Hr. Sec. School , Western building, Western Side, N.G.O.A. Colony, Palayamcottai","1.Tirunelveli (C) N.G.O. Colony Ward No 54 N.G.O Colony North Main Road, , 2.Tirunelveli (C) Ngo Colony Ward No 54 1St Cross Street, , 3.Tirunelveli (C) Ngo Colony Ward No 54 2Ngo Colony  2Nd Cross Street, , 4.Tirunelveli (C) Ngo Colony Ward No 54 2Nd Cross Street, , 5.Tirunelveli (C) Ngo Colony Ward No 54 3Rd, Cross Street, , 6.Tirunelveli (C) Ngo Colony Ward No 54 4Th Cross Street, , 7.Tirunelveli (C) Ngo Colony Ward No 54 5Th Cross Street, , 8.Tirunelveli (C) Ngo Colony Ward No 54 6Th Cross Street, , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,3,0.6550218340611353
196,"Amala Primary School, North Part, 1st Room
N.G.O.B Colony, Jawahar Nagar Palayamcottai","1.Tirunelveli (C) N.G.O. Colony Ward No 53 N.G.O. B Colony 1St Street, , 2.Tirunelveli (C) N.G.O.Colony Ward No 53 N.G.O. B Colony 2Ndstreet, , 3.Tirunelveli (C) N.Go.Colony Ward No 53 N.G.O. B Colony 3Rd Street, , 4.Tirunelveli (C) N.G.O.Colony Ward No 53 N.G.O. B Colony 4Th Street(Pallivasal Street) , 5.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 5Th Street, , 6.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 6Th Street, , 7.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 7Th Street, , 8.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 8Th Street, , 9.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 9Th Street, , 10.Tirunelveli (C) N.G.O.Co.Ony Ward No 53 Ngo B Colony 10Th Street, 11.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 11Th Street, , , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,6,1.158301158301158
197,"Amala Primary School North part IInd Room
N.G.O.B Colony, Jawahar Nagar Palayamcottai","1.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 12Th Street, ,
2.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 13Th Street, , 3.Tirunelveli (C) N.G.O. Colony Ward No 53 Ngo B Colony 14Th Street, , 4.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 15Th Street, , 5.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 16Th Street, , 6.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 17Th Street, , 7.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 18Th Street, , 8.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 19Th Street, , 9.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 20Th Street, , 10.Tirunelveli (C) N.G.O.Colony Ward No 53 Ngo B Colony 21Th Street, , 11.Tirunelveli (C) N.G.O.Cilony Ward No 53 Ngo B Colony 22Nd Street, , 12.Tirunelveli (C) N.G.O. Colony Ward No 53 Ngo B Colony 23Rd Street, , 13.Tirunelveli (C) N.G.O. Colony Ward No 53 Ngo B Colony 24Th Street, , 14.Tirunelveli (C) N.G.O. Colony Ward No 53 Ngo B Colony 25Th Street, , 15.Tirunelveli (C) N.G.O. Colony Ward No 41 Pioneer Kumarasamy Nagar West Street, , 16.Tirunelveli (C) N.G.O. Colony Ward No 41 Pioneer Kumarasamy Nagar South Street, , 17.Tirunelveli (C) N.G.O. Colony Ward No 41 Pioneer Kumarasamy Nagar North Street, , 18.Tirunelveli (C) N.G.O. Colony Ward No 41 Pioneer Kumarasamy Nagar 1St Street, , 19.Tirunelveli (C) N.G.O. Colony Ward No 41 Pioneer Kumarasamy Nagar  2Nd Street, , 20.Tirunelveli (C) N.G.O.Colony Ward No 41 Pioneer Kumarasamy Nagar, Main Street , 21.Tirunelveli (C) N.G.O. Colony Ward No 41 Pioneer Kumarasamy Nagar  4Th",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,2,0.408997955010225
199,"Amala Primary School ,Southern Portion, Hostal, N.G.O.B Colony, Jawahar Nagar Palayamcottai","1.Tirunelveli (C) N.G.O Colony Ward No 53 Near Thiruvananthapuram Rajarajeshwari Nagar North Street, ,2.Tirunelveli (C) N.G.O Colony Ward No 53Thiruvanantaha Puram Road Rajarajeshwari Nagar 4Th North Street, , 3.Tirunelveli (C) N.G.O Colony Ward No 53 Thiruvandrum Road Samibam Raja Rajesgwarinagar South Street, , 4.Tiruneveli ( C ) N.G.O Colony Ward No 53 Thiruvandrum Road Samibam Rajarajeshwari 1St South Street, , 5.Tiruneveli ( C
) N.G.O Colony Ward No 53 Ram Vilas Nagar North Street, , 6.Tirunelveli (C) N.G.O.Colony Ward No 53 Ram Vilas Nagar Middle Street, , 7.Tirunelveli (C)N.G.O.Colony Ward No 53 Ram Vilas Nagar South Street, , 8.Tirunelveli (C) N.G.O.Colony Ward No 51 Sakthi Nagar 1St Street, , 9.Tirunelveli (C) N.G.O.Colony Ward No 51 Sakthi Nagar 3Rd Street, , 10.Tirunelveli (C) N.G.O.Colony Ward No 51 Sakthi Nagar 2Nd Street, , 11.Tirunelveli (C) N.G.O.Colony Ward No 51 Vinobhanagar, , 12.Tirunelveli (C) N.G.O.Colony Ward No 51 Roja Nagar Extension South Street, , 13.Tirunelveli (C) N.G.O.Colony Ward No 51 Roja Nagar Extension South Street, , 14.Tirunelveli
(C) N.G.O.Colony Ward No 53 Udaya Nagar West Street, , 15.Tirunelveli (C) N.G.O.Colony Ward No 53 Udaya Nagar 1St West Street, , 16.Tirunelveli (C) N.G.O.Colony Ward No 53 Udayanagar Main Street , 17.Tirunelveli (C) N.G.O.Colony Ward No 53 Udayanagar  1St East Street, , 18.Tirunelveli (C) N.G.O.Colony Ward No 53 Udayanagar 2Nd East Street, , 19.Tirunelveli (C) N.G.O.Colony Ward No 53 Udayanagar 1St West Street, , 20.Tirunelveli (C) N.G.O.Colony Ward No 53 Udaya Nagar North Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,25,3.968253968253968
234,"St. James Primary School, South Building middle portion, Karrupandurai","1.Tirunelveli (C) Karupanthurai Ward No 46 Karuppandurai 2Nd South Street, , 2.Tirunelveli (C) Karupanthurai Ward No 46 North Street, , 3.Tirunelveli (C) Karupandurai Ward No 46 Amman Koil North Street,  Indhira Nagar, , 4.Tirunelveli (C) Karupanthurai Ward No 46 North Puthu Manai Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,22,2.972972972972973
243,"The Muslim Girls Hr.Sec.School, North Building Last room, M L M Nagar,Melapalayam.","1.Tirunelveli (C) Melapalayam Ward No 47 Baseerappa North Street, , 2.Tirunelveli (C) Melapalayam Ward No 46 Amman Koil Street, , 3.Tirunelveli
(C) Melapalayam Ward No 47 Varatharajaperumal 1St Street, , 4.Tirunelveli (C) Melapalayam Ward No 47 Varatharajaperumal  2Nd Street, , 5.Tirunelveli (C) Melapalayam Ward No 47 Varatharaja Perumal East Street, , 6.Tirunelveli (C) Melapalayam Ward No 46 Santhanammal Puram,  7.Tirunelveli (C) Melapalayam Ward No 46 Valluvar Street , 999.Overseas Electors
Page 70 of 78",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,26,4.952380952380953
249,"Ganesapuram East Primary School,North Side, Melapalayamm","1.Tirunelveli (C) Melapalayam Ward No 49  Periya Kothba Palli Vasal 1St Sotuh Lane-I(Door no.1-46), 2.Tirunelveli (C) Melapalayam (P) Ward No 44 Bharathiyar Puram, 3.Tirunelveli (C) Melapalayam Ward No 44 Reddiyarpatti Road, 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,21,2.849389416553596
257,"Ganesapuram West Primary School, ,New Building, Northern Wing , Ganesapuram South Street, Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 49 Ganesha Puram North Street, ,  , 2.Tirunelveli (C) Melapalayam Ward No 44 Natarajapuram , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,12,1.756954612005857
