Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
86,"St Antonys Primary School, Main Building North Palayamkottai","1.Tirunelveli (C) Palayamkottai Paul Street, W.No 34 , 2.Tirunelveli (C) Palayamkottai Viswa Bramanar Street, W.No. 34 , 3.Tirunelveli (C) Palayamkottai Ambikapathi Street, W.No 34 , 4.Tirunelveli (C) Palayamkottai Thillaikootha Nayanar Street, W.No 34 , 5.Tirunelveli (C) Palayamkottai Chithirai Velaikara Street, W.No  34 , 6.Tirunelveli (C) Palayamkottai Sivaloganathar Street, W.No 34 , 7.Tirunelveli (C) Palayamkottai Emperumal Street, W.No. 34 , 8.Tirunelveli (C) Palayamkottai Jothi Street, W.No 34 , 9.Tirunelveli (C) Palayamkottai Perarul Street, W.No 34 , 10.Tirunelveli (C) Palayamkottai Devakirupai Street, W.No 34 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,20,3.091190108191654
94,"Sarah Tucker Branch Elementray School , (Northern Building) Chinnakoil Street., Adaikalapuram","1.Tirunelveli (C) Palayamkottai Thiruvananthapuram Road, W.No 32 , 2.Tirunelveli (C) Palayamkottai Anbu Street, W.No 32 , 3.Tirunelveli (C) Palayamkottai Raniel Street, W.No 32 , 4.Tirunelveli (C) Palayamkottai Chinna Koil Street, W.No 32 , 5.Tirunelveli (C) Palayamkottai Luther Street, W.No 32 , 6.Tirunelveli (C) Palayamkottai Ratchakar Street, W.No 32 , 7.Tirunelveli (C) Palayamkottai Thayaparan Street, W.No 9 , 8.Tirunelveli (C) Palayamkottai Thayaparan Street, W.No 9, 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,6,1.16504854368932
103,"Manivasagar Arulneri Middle School, Southern Building. Eastern Side, South Room Puthu Pettai Middle Street, Palayamkottai","1.Tirunelveli (C) Palayamkottai Nandanar Street, W.No. 32 , 2.Tirunelveli (C) Palayamkottai Kariyanayanar Street, W.No 32 , 3.Tirunelveli (C) Palayamkottai Jothipuram South Street, W.No 32 , 4.Tirunelveli (C) Palayamkottai Jothipuram North Street, W.No 32 ,999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,6,1.214574898785425
104,"Manivasagar Arulneri Middle School, North Building, East Portion, Puthu Pettai Middle Street, Palayamkottai","1.Tirunelveli (C) Palayamkottai Nesanayanar Street, W.No 32 , 2.Tirunelveli (C) Palayamkottai Eripathanayanar Street, W.No 32,3.Tirunelveli (C) Palayamkottai Mgr Colony, W.No 32 , 4.Tirunelveli (C) Palayamkottai Lakshmi Narasingapuram Teacher Quarters, W.No 32 , 5.Tirunelveli (C) Palayamkottai Lakshmi Narasingapuram Extension W.No 32 ,6.Tirunelveli (C) Palayamkottai Pudupettai West Street, W.No 32, 7.Tirunelveli (C) Palayamkottai Lakshmi Narasingapuram Street, W.No 32 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,8,1.288244766505636
106,"Layola Convent Primary School , ,Western Wing 3rd Room, Palayamkottai","1.Tirunelveli (C) Palayamkottai Punithavathiyar Street, W.No 35 , 2.Tirunelveli (C Palayamkottai Mutharamman Koil Street, W.No 35 , 3.Tirunelveli Palayamkottai Andal Street, W.No 35 , 4.Tirunelveli (C) Palayamkottai Thiruvananthapuram Road, W.No 32 , 5.Tirunelveli (C) Palayamkottai Sarvagnana Street, W.No 35 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,19,3.869653767820774
110,"Child Jesus Higher Secondary School, Southern Block Western Side 6th B Class Room, Old Church Street, Palayamkottai","1.Tirunelveli (C) Palayamkottai Divya Prabantha Street W.No. 35 , 2.Tirunelveli
(C) Palayamkottai Mukuntha Malai Street W.No. 35 , 3.Tirunelveli (C) Palayamkottai Coorathalwar Street W.No. 35 , 4.Tirunelveli (C) Palayamkottai Thirumozhisai Alwar Street W.No.35 , 5.Tirunelveli (C) Palayamkottai Masthan Padal Street W.No.35 , 6.Tirunelveli (C) Palayamkottai Sivan South Car Street W.No. 35 , 7.Tirunelveli (C)Palayamkottai Ellamman Koil Street W.No. 35 , 8.Tirunelveli (C) Palayamkottai English Church Road W.No. 35 , 9.Tirunelveli
(C) Palayamkottai Thiruvaimoli Street Ward No 35 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,7,1.217391304347826
123,"St Johns Higher Secondary School, Room No6 Main Portion, South Side Palayamkottai","1.Tirunelveli (C) Palaymkottai. Kirupakaran Street, W.No 34 , 2.Tirunelveli (C) Palaymakottai Johns College Road W.No. 36 , 3.Tirunelveli (C) Palayamkottai St.Mark Street W.No.36 , 4.Tirunelveli (C) Palayamkottai Karuniyar Street W.No.34 , 5.Tirunelveli (C) Palayamkottai Perinba Street W.No. 34 , 6.Tirunelveli
(C) Palayamkottai Old Police Hospital Road,W.No 34 , 7.Tirunelveli (C) Palayamkottai St. Marks Road W.No 35 , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,29,4.882154882154882
127,"Sarah Tucker Girl’s Higher Secondary School,North Building West Portion, I standard 'C' Section Palayamkottai.","1.Tirunelveli (C) Palayamkottai St. Pauls Road -II(Door no.18-C271) W.No 32 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,19,4.260089686098654
132,"Integrated Children Development Scheme Corporation Primary School, ,North Building, East Portion, A.R. Line, Palayamkottai","1.Tirunelveli (C) Palayamkottai Ward No 36 Periyar Nagar, South Street, , 2.Tirunelveli (C) Palayamkottai Ward No 36 Arul Nagar, , 3.Tirunelveli (C) Palayamkottai Ward No 36 M.G.R Colony, , 4.Tirunelveli (C) Palayamkottai Ward No 39 Tamilnadu Police Quarters , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,20,4.88997555012225
133,"Rose Mary Marticulation School ,1std ‘A’ Section ,Ram Nagar, Thiyagarajanagar","1.Tirunelveli (C) Maharaja Nagar Ward 55 Maharajanagar E.B. Colony, , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,4,1.084010840108401
136,"Nellaiappar Anbu Asiramam Primary School
, Dining Hall,Maharaja Nagar","1.Tirunelveli (C) Maharaja Nagar Ward 39 1 St Cross Street, , 2.Tirunelveli (C) Maharaja Nagar Ward 39 2Nd Cross Street, ,  3.Tirunelveli (C) Maharajanagar Ward 39 4Th Cross Street, , 4.Tirunelveli (C) Maharajanagar Ward 39 5Th Cross Street, , 5.Tirunelveli (C) Maharajanagar Ward 39 6Th Cross Street , 6.Tirunelveli
(C)  Maharaja Nagar Ward 39 St Thomas Road , , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,2,0.425531914893617
137,"Sri Jeyandra Saraswathi Swamigal SilverJubilee Hr. Sec. School , Valli Mandram Hall No. 4 Maharaja Nagar","1.Tirunelveli (C) Maharaja Nagar Ward No 39 Maharaja Nagar 10Th Cross Street, , 2.Tirunelveli (C) Maharaja Nagar Ward No 39 11Th Cross Street, Maharaja Nagar. , 3.Tirunelveli (C) Maharaja Nagar Ward No 39 12Th  Cross Street, Maharaja Nagar. , 4.Tirunelveli (C) Maharaja Nagar Ward No 39 13Th Cross Street, Maharaja Nagar. , 5.Tirunelveli (C) Maharaja Nagar Ward No 39 14Th Cross Street, Maharaja Nagar. , 6.Tirunelveli (C) Maharaja Nagar Ward No 39 15Th Cross Street, Maharaja Nagar. , 7.Tirunelveli (C) Maharaja Nagar Ward No 39 16Th Cross Street, Maharaja Nagar. , 8.Tirunelveli (C) Maharaja Nagar Ward No 39 17Th Cross Street, Maharaja Nagar. , 9.Tirunelveli (C) Maharaja Nagar Ward No 39 18Th Cross Street, Maharaja Nagar. , 10.Tirunelveli (C) Maharaja Nagar Ward No 39 19Th Cross Street, Maharaja Nagar. , 11.Tirunelveli
(C) Maharaja Nagar Ward No 39 20Th Cross Street, Maharaja Nagar. , 12.Tirunelveli (C) Maharaja Nagar Ward No 39 21St Cross Street, Maharaja Nagar. , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,2,0.6578947368421052
138,"Sri Jeyandra Saraswathi Swamigal SilverJubilee Higher Secondary School , Valli Mandapam Hall Room No 3 Maharaja Nagar","1.Tirunelveli (C) Maharaja Nagar Ward No 39 22Nd Cross Street, Maharaja Nagar. , 2.Tirunelveli (C) Maharaja Nagar Ward No 39 23Rd Cross Street, Maharaja Nagar. , 3.Tirunelveli (C) Maharaja Nagar Ward No 39 24Th Cross Street, Maharaja Nagar. , 4.Tirunelveli (C) Maharaja Nagar Ward No 39 25Th Cross Street, Maharaja Nagar. , 5.Tirunelveli (C) Maharaja Nagar Ward No 39 26Th Cross Street, Maharaja Nagar. , 6.Tirunelveli (C) Maharaja Nagar Ward No 39 27Th Cross Street, Maharaja Nagar. , 7.Tirunelveli (C) Maharaja Nagar Ward No 39 Sivanthipatti Mainroad, Maharaja N , 8.Tirunelveli (C) Maharaja Nagar Ward No 39 Sivanthi Patti Road 1,2,3,4Th  Street Maharaja Nagar. ,9.Tirunelveli
(C) Maharajanagar Ward No. 39 Kalyanai Nagar, 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,24,4.240282685512367
139,"Sri Jeyandra Saraswathi Swamigal Silver Jubilee Higher Secondary School, Manimandapam Hall No.19, Maharaja Nagar","1.Tirunelveli (C) Maharaja Nagar Ward No 39  2Nd Main Road, Maharajanagar.
, 2.Tirunelveli (C) Maharaja Nagar Ward No 39 3Rd Main Road, Maharajanagar.
, 3.Tirunelveli (C) Maharaja Nagar Ward No 39 4Th Main Road, Maharajanagar.
, 4.Tirunelveli (C) Maharaja Nagar Ward No 39 5Th Main Road, Maharajanagar.
, 5.Tirunelveli (C) Maharaja Nagar Ward No 39 7Thcross Street, Maharajanagar. , 6.Tirunelveli (C) Maharaja Nagar Ward No 39 8Th Cross Street Maharajanagar , 7.Tirunelveli (C) Maharaja Nagar Ward No 39 9Th Cross Street, Maharajanagar. , 8.Tirunelveli (C) Maharaja Nagar Ward No 39  State Bank Colony(Officer Colony) Maharajanagar. , 9.Tirunelveli (C) Maharaja Nagar Ward No 39 Municipal Colony, Maharajanagar. , 10.Tirunelveli (C) Maharaja Nagar Ward No 39 1St Main Road, Maharajanagar. , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,7,1.483050847457627
140,"Sri Jeyandra Saraswathi Swamigal Silver Jubilee Higher Secondary School
,Manimandapam Hall No.16, Maharaja Nagar","1.Tirunelveli (C) Maharaja Nagar Ward No 38 Maharajanagar I.O.B. Colony, , 2.Tirunelveli (C) Maharaja Nagar Ward No 39 Asirvatham  Nagar, , 3.Tirunelveli
(C) Maharaja Nagar Ward No 39 Vasantham Colony, , 4.Tirunelveli (C)  Maharaja Nagar Ward No.39 Ponmani Nagar, , 5.Tirunelveli (C) Maharaja Nagar Ward No 39 Vengadeshwara Nagar, , 6.Tirunelveli (C) Maharaja Nagar Ward No 39 Velavan Colony, Velavan West Colony,  999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,5,0.9174311926605505
142,"Rosemary Marticulation Higher Secondary School, South Building East Portion, U.K.G B section Tuticorin Road, V.M. Chatram","1.Tirunelveli (C) V.M. Chathram T.N.H.B.Quarters Phase III-2(Door no.M6-M174), Wno 37 , 2.Tirunelveli (C) V.M. Chathram Sri Mookambigai Nagar,  Wno 37 , 3.Tirunelveli (C) V.M. Chathiram Ayiswariya Nagar, Ward No. 37 , 4.Tirunelveli (C) V.M. Chathiram Welcome Colony, Ward No 37 , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,9,1.310043668122271
150,"Rosemary Matriculation Higher Secondary School, , East Portion, Forth Room Tuticorin Road, V.M.Chatram.","1.Tirunelveli (C) V.M. Chathram Ayya Subiramaniyan Nagar,W.No.17 , 2.Tirunelveli (C) V.M. Chathram Darling Nagar,  W.No.17 , 3.Tirunelveli (C)
V.M. Chathram Vettri Thiru Nagar, W.No.17 , 4.Tirunelveli (C) V.M. Chathram Kasim Nagar,  W.No.17 ,999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,8,1.238390092879257
156,"Rosemary Matriculation Higher Secondary School ,U.K.G., A- Section, West to East 1st room, Ram nagar, Thiyagaraja Nagar","1.Tirunelveli (C) V.M. Chathram W.No 55 Thiryagarajanagar 1St Middle Street, , 2.Tirunelveli (C) V.M. Chathram W.No.55, Thiryagarajanagar 2Nd Middle Street, , 3.Tirunelveli (C) V.M. Chathram W.No.55, Thiryagarajanagar 3Rd Middle Street, , 4.Tirunelveli (C) V.M. Chathram W.No.55,Thiyagarajanagar 1St South Street, , 5.Tirunelveli (C) V.M. Chathram W.No.55,Thiyagarajanagar 2Nd South Street, , 6.Tirunelveli (C) V.M. Chathram W.No.55 Thiyagarajanagar 3Rd South Street, , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,21,3.652173913043478
159,"Pushpalatha Matric Higher Secondary School, East Part, South Portion, Thiyagarajanagar, Palayamkottai","1.Tirunelveli (C) V.M.Chatram James Nagar Ward No 55 , 2.Tirunelveli (C) V.M.Chatram P.A. Pillai Nagar,  Ward No 39 , 3.Tirunelveli (C) V.M.Chatram Bharathi Street,  Ward No 55 , 4.Tirunelveli (C) V.M.Chatram T.V.S. Nagar,  (Ist Cross St To 5Th Cross Street)Ward No.39, , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,7,1.225919439579685
161,"Pushbalatha Matric Higher Secondary School,Eastern Wing Northern Portion Palayamkottai","1.Tirunelveli (C) V.M.Chatram Tirumal Nagar, Barathidasan Veedhi,  Ward No 55 , 2.Tirunelveli (C) V.M.Chatram Malliga Colony,  Ward No 55 ,3.Tirunelveli
(C) V.M.Chatram T.V.S. Nagar 6Th Cross Street,  Ward No 39 , 4.Tirunelveli (C) V.M.Chatram T.K.C. Nagar, Ward No.55, 5.Tirunelveli (C) V.M.Chatram Gokilam Nagar, Ward No 55 , 6.Tirunelveli (C) V.M.Chatram L.I.C. Colony Ist Street,  Ward No 54 , 7.Tirunelveli (C) V.M.Chatram T.V.S. Nagar 7Th Cross Street, Ward No 39 , 8.Tirunelveli (C) V.M.Chatram T.V.S. Nagar 6Th Cross Street , Ward No 39 , 9.Tirunelveli (C) V.M.Chatram T.V.S. Nagar 7Th Cross Street, Ward No 39 , 10.Tirunelveli (C) V.M.Chatram V.O.C Veedhi Tirumal Nagar. Ward No 55 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,16,2.49609984399376
165,"Pushbalatha Matric Higher Secondary School, Northern Wing Western Portion Palayamkottai","1.Tirunelveli (C) V.M.Chatram Thiyagaraja Nagar 10Th South Street, Ward No. 55 , 2.Tirunelveli (C) V.M.Chatram Thiyagaraja Nagar  12Th South Street, Ward No.55, 3.Tirunelveli (C) V.M.Chatran Thiyagaraja Nagar 13Th South Street, Ward No. 55 , 4.Tirunelveli (C) V.M.Chatram Thiyagaraja Nagar 14Th South Street, Ward No 55 , 5.Tirunelveli (C) V.M.Chatram Thiyagaraja Nagar 15Th South Street, Ward No.55 , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,5,0.7204610951008645
166,"Pushbalatha Matric Higher Secondary School, Middle Portion Palayamkottai","1.Tirunelveli (C) V.M.Chatram Thiyagaraja Nagar 16Th South Streets, Ward No 55 , 2.Tirunelveli (C) V.M.Chatram Thiyagaraja Nagar 17Th South Street, Ward No. 55 , 3.Tirunelveli (C) V.M.Chatram South Streets 1 To 7 Ward No 55 , 4.Tirunelveli (C) V.M.Chatram Thamirabathi Colony Ward No 54 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,1,0.2583979328165375
