Location and Name of Building in Which Polling Station Located,Total_Valid_Votes_In_Locality,Total_Independent_Votes_In_Locality,Independent_Vote_Share_%
St. Joseph Girls Hr. Sec. School Campus St. Xavier Nursery and Primary School New Building L.K.G. Class Room N.G.O. A. Colony.,548,3,0.5474452554744526
"M.D.T Hindu College Hr. Sec.School, West Building, 5th Room From North, Tirunelveli Junction",558,3,0.5376344086021506
"Quide Millath Corporation Higher Secondary School, Southern Building, (Primary Section) Melapalayam",768,4,0.5208333333333333
"Pushbalatha Matric Higher Secondary School, Middle Portion Palayamkottai",387,2,0.516795865633075
"Corporation Primary School , Northern Portion 10th Entrance, Perumalpuram",587,3,0.5110732538330494
"Rosemary Matriculation Higher Secondary School, , East Portion, Ist Room Tuticorin Road, V.M.Chatram.",594,3,0.5050505050505051
"Corporation Vadakkupadai Integrated Children Development Scheme Balar School
,Western Portion, Eyarpagainayanar Street, Palayamkottai",404,2,0.495049504950495
"Manoranjitham Middle School, Northern Block Eastern Side Ilangovadigal Street, Kokkirakulam",620,3,0.4838709677419355
"Amala Primary School ,Southern Portion, Hostal, N.G.O.B Colony, Jawahar Nagar Palayamcottai",630,3,0.4761904761904762
Rahumania Higher Secondary School South Portion 9th Std Class Room Melapalayam,702,3,0.4273504273504274
"Corporation Health Inspector Office,
,Southern Side of Water Tank, Saniyasigramam.",483,2,0.4140786749482402
"Corporation Azath Primary School, Western Block, 3rd Room, Melapalayam",728,3,0.4120879120879121
"Manivasagar Arulneri Middle School , South Room, Western Side, Pudupettai Middle Street Palayamkottai",510,2,0.392156862745098
"Muslim Higher Sec. School , Southern Block, Central Portion, Western Wing ,Room No, 3, Nethaji Road,Kurichi Melapalayam",770,3,0.3896103896103896
"Rosemary Marticulation Higher Secondary School , First Standard, B Section, Ram Nagar, Thiyagaraja Nagar.",532,2,0.3759398496240601
"Corporation Primary School , South to North, 6th Entrance Eastern Portion, Perumalpuram",533,2,0.375234521575985
"Hameem Middle School, Western Block, Easternportion , Periakothuva Pallivasal South East St, Melapalayam",556,2,0.3597122302158274
"Sri Jeyandra Saraswathi Swamigal SilverJubilee Higher Secondary School , Valli Mandapam Hall Room No 3 Maharaja Nagar",566,2,0.353356890459364
"Magdalene Matric Hr.Sec.School, Main Building North facing G3 Room,Rahmath Nagar,",622,2,0.3215434083601286
"St.Joseph Primary School, , Eastern Wing, Near R.T.O Office N.G.O.B Colony, Palayamkottai",658,2,0.303951367781155
"Quide Millath Corporation Higher Secondary School High School Block , Eastern Building, Eastern Portion Melapalayam",700,2,0.2857142857142857
"Integrated Children Development Scheme, Centre No.98 ,Melapalayam Ward Office campus, Melapalayam",748,2,0.267379679144385
"Corporation Vadakkupadai Integrated Children Development Scheme Balar School, North Building East Portion, Eyarpagainayanar Street, Palayamkottai",453,1,0.2207505518763797
"Azmath Primary and Nursery School,North Building East Facing, 112,NabiNagar , Melapalayam",622,1,0.1607717041800643
