Polling Station No.,Building in which it will be located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
157,"E-Service Centre, West Building North Wing South Facing,
Thiruvampattu-604205","[1].Vadatharam (R.V) & Thiruvampattu (P), Vadatharam Mettu Street,  [2].Vadatharam (R.V) & Thiruvampattu (P), Vadatharam Middle Street, [3].Vadatharam (R.V) & Thiruvampattu (P), Old Colony,  [4].Vadatharam (R.V) & Thiruvampattu (P), New Colony,  [5].Vadatharam (R.V) & Thiruvampattu (P), Kalaingar Street,  [6].Vadatharam (R.V) & Thiruvampattu (P), Kamarajar Street,  [7].Vadatharam (R.V) & Thiruvampattu (P), Kamban Street, [8].Vadatharam (R.V) & Thiruvampattu (P), Madha Koil Street,  [9].Vadatharam (R.V) & Thiruvampattu (P), Rajivgandhi Street,  [10].Vadatharam (R.V) &
Thiruvampattu (P), Indiragandhi Street",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,25,3.591954022988506
162,"Panchayat Union Elementary School, West Wing, Kammandur-604206","[1].Kammandur  (R.V) & (P), Vadavanda Street, [2].Kammandur  (R.V) & (P), Mel Street, [3].Kammandur (R.V) & (P), Koil Street, [4].Kammandur (R.V) & (P), KeelStreet, [5].Kammandur (R.V) & (P), South Street, [6].Kammandur (R.V) &  (P), Middle Street, [7].Kammandur (R.V) &  (P), Earth Street,
[8].Kammandur (R.V) &  (P), Koottu Road",All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,13,3.27455919395466
173,"Roman Catholic Govt Aided Elementary School, North Building East Wing South Facing, Keezhvailamur-605651","[1].Errampattu (R.V) & Kezhvailamur (P), Colony Main Road,  [2].Errampattu (R.V) &Kezhvailamur (P), Matha Koil Street,  [3].Errampattu (R.V) &Kezhvailamur (P), Pillaiyar  Koil Street, [4].Errampattu (R.V) &Kezhvailamur (P), Pillaiyar  Koil Street,  [5].Errampattu (R.V) &Kezhvailamur (P),
Sdukattupathai",Tamilaga Vettri Kazhagam,Desiya Murpokku Dravida Kazhagam,13,2.296819787985866
174,"Panchayat Union Middle School, Thalavanur-604205","[1].Thalavanur (R.V) & (P), Kulathu Street, [2].Thalavanur (R.V) & (P), Kallalipattu  Street, [3].Thalavanur (R.V) & (P), Pillaiyar Koil Street, [4].Thalavanur (R.V) & (P), Pallikuda Street, [5].Thalavanur (R.V) & (P), Kommedu  Salai Street, [6].Thalavanur (R.V) & (P), Thangal Street, [7].Thalavanur (R.V) & (P), Old Colony Street, [8].Thalavanur (R.V) & (P), Pillaiyar Koil Street, [9].Thalavanur (R.V) & (P), Othavadai Street, [10].Thalavanur (R.V) & (P), Main Road (Colony),
[11].Thalavanur (R.V) & (P), East Street (colony)",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,32,4.456824512534819
175,"Sacred Heart Higher Secondary School, West Wing, Aniladi-605651","[1].Anilady (R.V) & Vilvamadevi (P), Pillaiyar  Kovil Street,  [2].Anilady (R.V) & Vilvamadevi (P), Road Street,  [3].Anilady (R.V) & Anilady (P), Kottaratath
Street",Desiya Murpokku Dravida Kazhagam,Tamilaga Vettri Kazhagam,1,0.1923076923076923
183,"Noon Meal Centre, Naganthur-605651","[1].Naganthoor (R.V) & (P), Chinna Naganthur, [2].Naganthoor (R.V) & (P), Kootroad,  [3].Naganthoor (R.V) & (P), Maignanapuram,  [4].Naganthoor (R.V)  & (P), Kalar,  [5].Naganthoor (R.V) & (P), Aathankarai, [6].Naganthoor (R.V) & (P), Reddiyar Street, [7].Naganthoor (R.V) & (P), Periyanaganthoor, [8].Naganthoor (R.V) & (P), Old Colony,
[9].Naganthoor (R.V) & (P), New Colony",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,1,0.12453300124533
184,"Panchayat Union Middle School, Thalavalappattu-605651","[1].Thalavalapattu (R.V) & (P), Mariyamman Koil Street,  [2].Thalavalapattu (R.V) & (P), School Street, [3].Thalavalapattu (R.V) & (P), Kulakkarai Street, [4].Thalavalapattu (R.V) & (P), Kamaraj Street, [5].Thalavalapattu (R.V) & (P), Old Colony,
[6].Thalavalapattu (R.V) & (P), New Colony",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,3,0.2895752895752896
196,"Government Higher Secondary School, North Building West Wing, Rettanai-604306","[1].Rettanai (R.V) & (P), Old Colony Mariyamman Koil Street,  [2].Rettanai (R.V) & (P), New Colony, [3].Rettanai (R.V) & (P), Matha Koil Street",Tamilaga Vettri Kazhagam,Desiya Murpokku Dravida Kazhagam,16,2.551834130781499
197,"Government Higher Secondary School, North Building Middle Wing, Rettanai-604306","[1].Rettanai (R.V) & (P), Pump House Colony, [2].Rettanai (R.V) & (P), Irular Side,  [3].Rettanai (R.V)
& (P), M.G.R Street,  [4].Rettanai (R.V) & (P),
Kulakkarai Street,  [5].Rettanai (R.V) & (P), East  area, [6].Rettanai (R.V) & (P), Mullapalayam",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,12,1.671309192200557
204,"Panchayat Union Middle School, Additional Building North Wing, Peramandur-604302","[1].Peramandur (R.V) & Peramandur (P), Mariyamman Koil Street,  [2].Peramandur (R.V) & Peramandur (P), Matha Koil Street,  [3].Peramandur (R.V) & Peramandur (P), Colony Palla Street, [4].Peramandur (R.V) & Peramandur (P), Colony
Periya Street",Tamilaga Vettri Kazhagam,Desiya Murpokku Dravida Kazhagam,31,4.78395061728395
