Serial No. Of Polling Station,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Bahujan Samaj Party,Naam Indiar Party,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Thamizh Perarasu Katchi,Tamilaga Vettri Kazhagam,Puthiya Makkal Tamil Desam Katchi,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Independent.5,Independent.6,Independent.7,Independent.8,Independent.9,Independent.10,Independent.11,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Locality,Building in Which it will be Located,Polling Area,Whether for all Voters or men olny or women only,Total_Valid_Votes_Clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Dravida Munnetra Kazhagam_Rank,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Tamilar Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Bahujan Samaj Party_Rank,Naam Indiar Party_Rank,All India Puratchi Thalaivar Makkal Munnettra Kazhagam_Rank,Thamizh Perarasu Katchi_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Independent.4_Rank,Independent.5_Rank,Independent.6_Rank,Independent.7_Rank,Independent.8_Rank,Independent.9_Rank,Independent.10_Rank,Independent.11_Rank,Margin_Percentage,Total_Independent_Votes,Core_Total_Votes,Dravida Munnetra Kazhagam_Share,All India Anna Dravida Munnetra Kazhagam_Share,Naam Tamilar Katchi_Share,Tamilaga Vettri Kazhagam_Share,Cluster_ID
37,135,113,22,1,0,1,0,144,0,0,0,0,0,0,0,1,0,1,1,0,0,419,0,0,419,0,Pudhupatti,"Panchayat  Union  Primary  School, Pudhupatti","1.Kattarankulam  (R.V)  And  (P)  Avudaiammalpuram  , 2.Kattarankulam  (R.V)  And  (P)  Pudhupatti  ,
3.  Kattarankulam  (R.V)  And  (P)  Ramnathapuram  ,
999.OVERSEAS  ELECTORS",All  Voters,419,Tamilaga Vettri Kazhagam,144,135,9,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,5,10,5,10,10,10,10,10,10,10,10,5,10,5,5,10,10,2.147971360381861,3,414,0.27294685990338163,0.32608695652173914,0.05314009661835749,0.34782608695652173,2
38,176,203,22,0,0,5,2,158,0,6,0,0,0,0,2,2,4,3,0,0,1,584,0,1,585,0,Chithambarampatti,"Panchayat  Union  Primary  School,  East Building  East  Side,  Chithambarampatti.","1.Chidambarampatti  (R.V)  And  (P)  Chidambarampatti  Block
2.Chidambarampatti  (R.V)  And  (P)  Chidambarampatti  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,584,Dravida Munnetra Kazhagam,203,176,27,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,13,13,6,9,13,5,13,13,13,13,9,9,7,8,13,13,12,4.623287671232877,18,559,0.3631484794275492,0.3148479427549195,0.03935599284436494,0.2826475849731664,1
39,128,154,14,0,1,1,2,70,0,1,0,0,0,0,1,1,1,4,0,0,0,378,0,1,379,0,Chithambarampatti.,"Panchayat  Union  Primary  School,  West Building  West  Side,  Chithambarampatti.","1.Chidambarampatti  (R.V)  And  (P)  Chidambarampatti  Block  3  , 999.OVERSEAS  ELECTORS",All  Voters,378,Dravida Munnetra Kazhagam,154,128,26,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,13,7,7,6,13,7,13,13,13,13,7,7,7,5,13,13,13,6.878306878306878,8,366,0.4207650273224044,0.34972677595628415,0.03825136612021858,0.1912568306010929,1
40,148,197,30,0,0,7,1,141,0,1,0,0,0,0,2,2,3,0,0,1,0,533,0,2,535,0,Chettikurchi,"Hindu  Nadar  Middle  School  ,  North  Side
,Chettikurchi.","1.Chettikurichi  (R.V)  And  (P)  North  street  Block  1  ,  2.Chettikurichi  (R.V) And  (P)  Mariamman  kovil  Street  Block  1  ,  3.Chettikurichi  (R.V)  And  (P) Middle  Street  Block  1  ,  4.Chettikurichi  (R.V)  And  (P)  Main  Street  Block  1  , 5.Chettikurichi  (R.V)  And  (P)  Nadar  Street  Block  1  ,  999.OVERSEAS ELECTORS",All  Voters,533,Dravida Munnetra Kazhagam,197,148,49,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,12,12,5,9,12,9,12,12,12,12,7,7,6,12,12,9,12,9.193245778611631,9,516,0.3817829457364341,0.2868217054263566,0.05813953488372093,0.27325581395348836,1
41,89,222,38,1,1,2,2,136,2,3,1,1,1,0,3,3,0,1,0,0,0,506,0,0,506,0,Chettikurchi,"Hindu  Nadar  Middle  School  ,  East  Side  Old building  ,  Chettikurichi.","1.Chettikurichi  (R.V)  And  (P)  Muthukrishnan  Colony  Block  2  ,
2.Chettikurichi  (R.V)  And  (P)  East  Street  Block  2  ,  3.Chettikurichi  (R.V) And  (P)  Vedha  Kovil  Street  Block  2  ,  4.Chettikurichi  (R.V)  And  (P) Ramadass  Colony  Block  2  ,  5.Chettikurichi  (R.V)  And  (P)  South  Colony Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,506,Dravida Munnetra Kazhagam,222,136,86,Tamilaga Vettri Kazhagam,1,3,4,2,11,11,8,8,8,5,11,11,11,17,5,5,17,11,17,17,17,16.99604743083004,13,485,0.4577319587628866,0.18350515463917524,0.07835051546391752,0.2804123711340206,1
42,186,237,21,0,0,3,0,133,0,35,0,0,0,2,2,1,1,5,0,0,0,626,0,0,626,0,Therkku  Konnar Kottai,"St.  Marys  High  School  ,  Therkku  Konnar Kottai.","1.Chettikurichi  (R.V)  And  (P)  SouthKonarKottai  School  Street  , 2.Chettikurichi  (R.V)  And  (P)  SouthKonarKottai  Middle  Street  , 3.Chettikurichi  (R.V)  And  (P)  SouthKonarKottai  South  Street  , 4.Chettikurichi  (R.V)  And  (P)  SouthKonarKottai  West  Street  ,
5.Chettikurichi  (R.V)  And  (P)  SouthKonarKottai  Adi  dravedar  Colony  ,
999.OVERSEAS  ELECTORS",All  Voters,626,Dravida Munnetra Kazhagam,237,186,51,All India Anna Dravida Munnetra Kazhagam,1,2,5,3,12,12,7,12,12,4,12,12,12,8,8,10,10,6,12,12,12,8.146964856230031,46,577,0.41074523396880414,0.3223570190641248,0.036395147313691506,0.23050259965337955,1
43,145,246,37,1,1,2,0,122,0,145,1,0,2,4,1,1,1,2,0,0,0,711,0,3,714,0,"Vadakku Konarkottai,","Tamil  Baphist  Primary  School,  Vadakku Konarkottai.","1.Chettikurichi  (R.V)  And  (P)  North  konarkottai  North  street  Block  4  , 2.Chettikurichi  (R.V)  And  (P)  North  KonarKottai  Middle  Street  Block  4  , 3.Chettikurichi  (R.V)  And  (P)  North  KonarKottai  South  Street  Block  4  , 4.Chettikurichi  (R.V)  And  (P)  North  KonarKottai  West  Street  Block  4  , 5.Chettikurichi  (R.V)  And  (P)  North  KonarKottai  Adi  dravedar  Colony
Block  4  ,  6.Chettikurichi  (R.V)  And  (P)  Mancha  Nambi  kineru  pillaiar  kovil
street  Block  5  ,  999.OVERSEAS  ELECTORS",All  Voters,711,Dravida Munnetra Kazhagam,246,145,101,Independent,1,2,5,4,10,10,7,16,16,2,10,16,7,6,10,10,10,7,16,16,16,14.20534458509142,157,550,0.44727272727272727,0.2636363636363636,0.06727272727272728,0.22181818181818183,1
44,154,292,61,4,0,3,0,108,2,33,0,0,1,0,4,2,2,1,0,0,0,667,0,1,668,0,Thirumangalakuruc hi,"Adi-Dravidar  Welfare  High  School,  South side  building  ,  Thirumangalakurichi.","1.Thirumangalakurichi  (R.V)  And  (P)  Pillaiar  kovil  North  street  Block  1  , 2.Thirumangalakurichi  (R.V)  And  (P)  North  Street  Block  2  ,
3.Thirumangalakurichi  (R.V)  And  (P)  South  Street  Block  2  ,
999.OVERSEAS  ELECTORS",All  Voters,667,Dravida Munnetra Kazhagam,292,154,138,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,6,14,8,14,9,5,14,14,12,14,6,9,9,12,14,14,14,20.68965517241379,43,615,0.47479674796747967,0.25040650406504067,0.0991869918699187,0.17560975609756097,0
45,91,419,39,2,0,3,0,160,0,28,0,0,0,0,0,0,1,0,0,0,0,743,0,1,744,0,Periyasamypuram,"Panchayat  Union  Primary  School  , Periyasamypuram.","1.Thirumangalakurichi  (R.V)  And  (P)  Periasamiapuram  Block  3  , 2.Thirumangalakurichi  (R.V)  And  (P)  Pallankulam,  3.
Thirumangalakurichi  (R.V)  And  (P)  Moortheeswarapuram  North  street Block  5,  4.Thirumangalakurichi  (R.V)  And  (P)  Moortheeswarapuram  block
5,  999.OVERSEAS  ELECTORS",All  Voters,743,Dravida Munnetra Kazhagam,419,160,259,Tamilaga Vettri Kazhagam,1,3,4,2,7,9,6,9,9,5,9,9,9,9,9,9,8,9,9,9,9,34.85868102288022,29,709,0.5909732016925247,0.12834978843441466,0.05500705218617771,0.22566995768688294,1
46,106,227,40,0,1,3,0,69,0,20,0,0,0,0,3,0,0,0,0,0,0,469,0,0,469,0,Olaikulam,"Panchayat  Union  Primary  School  ,Olaikulam.","1.Thirumangalakurichi  (R.V)  And  (P)  Kanganakineru  Block  6  ,
2.Thirumangalakurichi  (R.V)  And  (P)  Olaikulam  (North  side)  Block  7  , 3.Thirumangalakurichi  (R.V)  And  (P)  Olaikulam  (South  side)  Block  8  , 999.OVERSEAS  ELECTORS",All  Voters,469,Dravida Munnetra Kazhagam,227,106,121,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,9,8,6,9,9,5,9,9,9,9,6,9,9,9,9,9,9,25.79957356076759,23,442,0.5135746606334841,0.2398190045248869,0.09049773755656108,0.15610859728506787,0
