Serial No. Of Polling Station,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Bahujan Samaj Party,Naam Indiar Party,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Thamizh Perarasu Katchi,Tamilaga Vettri Kazhagam,Puthiya Makkal Tamil Desam Katchi,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Independent.5,Independent.6,Independent.7,Independent.8,Independent.9,Independent.10,Independent.11,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Locality,Building in Which it will be Located,Polling Area,Whether for all Voters or men olny or women only,Total_Valid_Votes_Clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Dravida Munnetra Kazhagam_Rank,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Tamilar Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Bahujan Samaj Party_Rank,Naam Indiar Party_Rank,All India Puratchi Thalaivar Makkal Munnettra Kazhagam_Rank,Thamizh Perarasu Katchi_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Independent.4_Rank,Independent.5_Rank,Independent.6_Rank,Independent.7_Rank,Independent.8_Rank,Independent.9_Rank,Independent.10_Rank,Independent.11_Rank,Margin_Percentage,Total_Independent_Votes,Core_Total_Votes,Dravida Munnetra Kazhagam_Share,All India Anna Dravida Munnetra Kazhagam_Share,Naam Tamilar Katchi_Share,Tamilaga Vettri Kazhagam_Share,Cluster_ID
152,121,108,23,0,0,1,1,244,1,1,1,0,0,0,0,1,0,1,0,1,0,504,0,3,507,0,iIlluppaiyurani,"Parvathi  High  School,  Main  Bulding  west Side,  Illuppaiyurani",1.Elupaiyurani  (A.V)  And  (P)  Chinthamani  Nagar  Block  1  Door  No.1  to 167  (Sl.No.From  1  to  691)  999.OVERSEAS  ELECTORS,All  Voters,504,Tamilaga Vettri Kazhagam,244,121,123,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,13,13,5,5,5,5,5,13,13,13,13,5,13,5,13,5,13,24.40476190476191,5,496,0.21774193548387097,0.2439516129032258,0.046370967741935484,0.49193548387096775,2
153,122,97,29,1,0,2,0,222,0,0,0,0,0,0,0,2,0,0,1,0,1,477,0,1,478,0,iIlluppaiyurani,"Parvathi  High  School,  Main  Building  South Side,  West  Portion  Illuppaiyurani","1.Elupaiyurani  (A.V)  And  (P)  Chinthamani  Nagar  Block  1  Door  No  168 above  (Sl.No.From  692-1290,)  999.OVERSEAS  ELECTORS",All  Voters,477,Tamilaga Vettri Kazhagam,222,122,100,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,7,10,5,10,10,10,10,10,10,10,10,5,10,10,7,10,7,20.96436058700209,4,470,0.20638297872340425,0.25957446808510637,0.06170212765957447,0.4723404255319149,2
154,174,180,42,2,0,2,1,318,2,0,0,1,0,1,0,1,2,1,0,0,0,727,0,2,729,0,Illuppaiyurani,Parvathi  High  School  Main  Bulding  East  Side Illuppaiyurani,"1.Elupaiyurani  (A.V)  And  (P)  Chinthamani  Nagar  Block  1  , 999.OVERSEAS  ELECTORS",All  Voters,727,Tamilaga Vettri Kazhagam,318,180,138,Dravida Munnetra Kazhagam,2,3,4,1,5,14,5,9,5,14,14,9,14,9,14,9,5,9,14,14,14,18.98211829436038,6,714,0.25210084033613445,0.24369747899159663,0.058823529411764705,0.44537815126050423,2
155,68,111,22,1,0,7,0,164,1,0,0,0,0,1,0,0,0,0,0,0,0,375,0,1,376,0,lluppaiyurani,Parvathi  High  School  Main  Building  Middle Room  Illuppaiyurani,"1.Elupaiyurani  (A.V)  And  (P)  Maravar  Colony  Block  1  ,  2.Elupaiyurani (A.V)  And  (P)  Pasumpon  Nagar  Block  1  ,  999.OVERSEAS  ELECTORS",All  Voters,375,Tamilaga Vettri Kazhagam,164,111,53,Dravida Munnetra Kazhagam,2,3,4,1,6,9,5,9,6,9,9,9,9,6,9,9,9,9,9,9,9,14.13333333333333,1,365,0.3041095890410959,0.1863013698630137,0.06027397260273973,0.44931506849315067,2
156,81,315,36,1,1,0,0,221,0,0,0,0,0,3,0,3,0,2,0,0,0,663,0,1,664,0,Illuppaiyurani,"Tamil  Baptist  Primary  School,  New  Building, East  Portion,  North  facing  Illuppaiyurani","1.Elupaiyurani  (A.V)  And  (P)  Kaliyamman  kovil  street  block  2, 999.OVERSEAS  ELECTORS",All  Voters,663,Dravida Munnetra Kazhagam,315,221,94,Tamilaga Vettri Kazhagam,1,3,4,2,8,8,10,10,10,10,10,10,10,5,10,5,10,7,10,10,10,14.17797888386124,8,653,0.48238897396630936,0.12404287901990811,0.055130168453292494,0.33843797856049007,1
157,60,211,18,1,0,1,0,128,0,0,0,0,1,0,0,1,1,1,0,0,0,423,0,1,424,0,Illuppaiyurani,"Tamil  Baptist  Primary  School,  New  Building, East  Portion,  South  facing  Illuppaiyurani","1.Elupaiyurani  (A.V)  And  (P)  East  Street  Block  2,  999.OVERSEAS ELECTORS",All  Voters,423,Dravida Munnetra Kazhagam,211,128,83,Tamilaga Vettri Kazhagam,1,3,4,2,5,11,5,11,11,11,11,11,5,11,11,5,5,5,11,11,11,19.62174940898345,4,417,0.5059952038369304,0.14388489208633093,0.04316546762589928,0.3069544364508393,1
158,59,314,23,0,0,0,0,164,1,1,0,0,0,0,3,1,0,0,0,1,0,567,0,2,569,0,Illuppaiyurani,"Syamala  Hr.  sec.  School  Room  1  (Class  12  th
)  Illuppaiyurani","1.Elupaiyurani  (A.V)  And  (P)  North  Street  Block  2  ,  2.Elupaiyurani  (A.V) And  (P)  West  Street  Block  2  ,  3.Elupaiyurani  (A.V)  And  (P)  South  Street Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,567,Dravida Munnetra Kazhagam,314,164,150,Tamilaga Vettri Kazhagam,1,3,4,2,10,10,10,10,6,6,10,10,10,10,5,6,10,10,10,6,10,26.45502645502645,6,560,0.5607142857142857,0.10535714285714286,0.04107142857142857,0.29285714285714287,1
159,77,247,32,0,0,3,0,194,1,0,0,1,1,0,1,1,3,0,0,0,0,561,0,0,561,0,Illuppaiyurani,"Tamil  Baptist  Primary  School,  Old  Building South  Portion  Illuppaiyurani","1.Elupaiyurani  (R.V)  And  (P)  Elupaiyurani  block  2  ,  999.OVERSEAS ELECTORS",All  Voters,561,Dravida Munnetra Kazhagam,247,194,53,Tamilaga Vettri Kazhagam,1,3,4,2,12,12,5,12,7,12,12,7,7,12,7,7,5,12,12,12,12,9.44741532976827,7,550,0.4490909090909091,0.14,0.05818181818181818,0.3527272727272727,1
160,112,206,25,1,0,1,1,192,1,0,0,0,0,1,2,0,0,1,0,1,0,544,0,2,546,0,Illuppaiyurani,"Tamil  Baptist  Primary  School,
Old  Building  North  Portion  Illuppaiyurani","1.Elupaiyurani  (R.V)  And  (P)  Elupaiyurani  block  2  ,  999.OVERSEAS ELECTORS",All  Voters,544,Dravida Munnetra Kazhagam,206,192,14,Tamilaga Vettri Kazhagam,1,3,4,2,6,13,6,6,6,13,13,13,13,6,5,13,13,6,13,6,13,2.573529411764706,5,535,0.3850467289719626,0.20934579439252338,0.04672897196261682,0.35887850467289717,2
161,135,175,55,0,0,0,1,138,2,24,0,0,0,0,1,2,1,1,0,0,0,535,0,1,536,0,Koosalipatti,"T.D.T.A  Primary  School,  North  Side Koosalipatti","1.Elupaiyurani  (R.V)  And  (P)  Coosalipatti  Block  3  ,  999.OVERSEAS ELECTORS",All  Voters,535,Dravida Munnetra Kazhagam,175,138,37,Tamilaga Vettri Kazhagam,1,3,4,2,12,12,12,8,6,5,12,12,12,12,8,6,8,8,12,12,12,6.915887850467289,29,503,0.34791252485089463,0.268389662027833,0.10934393638170974,0.27435387673956263,0
162,116,232,62,0,0,0,0,202,1,7,1,1,0,0,0,0,0,0,0,0,1,623,0,2,625,0,Koosalipatti,"Community  Hall,  Mettu  Street,  Koosalipatti","1.Elupaiyurani  (R.V)  And  (P)  Coosalipatti  Block  3  ,  999.OVERSEAS ELECTORS",All  Voters,623,Dravida Munnetra Kazhagam,232,202,30,Tamilaga Vettri Kazhagam,1,3,4,2,10,10,10,10,6,5,6,6,10,10,10,10,10,10,10,10,6,4.815409309791333,10,612,0.3790849673202614,0.1895424836601307,0.10130718954248366,0.3300653594771242,0
163,151,321,76,1,0,2,1,291,3,20,0,2,0,2,3,0,2,5,0,0,0,880,0,1,881,0,Koosalipatti,"T.D.T.A.  Primary  School,  South  Side Koosalipatti","1.Elupaiyurani  (R.V)  And  (P)  Coosalipatti  Block  3  ,  999.OVERSEAS ELECTORS",All  Voters,880,Dravida Munnetra Kazhagam,321,291,30,Tamilaga Vettri Kazhagam,1,3,4,2,13,15,9,13,7,5,15,9,15,9,7,15,9,6,15,15,15,3.409090909090909,34,839,0.38259833134684146,0.1799761620977354,0.09058402860548272,0.3468414779499404,0
164,104,144,54,0,0,1,1,167,2,13,0,0,0,0,2,2,2,2,0,0,0,494,0,0,494,0,"Poosaripatti, Koosalipatti","Child  Welfare  Center,  Poosaripatti, Koosalipatti","1.Elupaiyurani  (R.V)  And  (P)  Coosalipatti  Block  3(Part)  ,  2.Elupaiyurani (R.V)  And  (P)  Poosaripatti  Block  4  ,  999.OVERSEAS  ELECTORS",All  Voters,494,Tamilaga Vettri Kazhagam,167,144,23,Dravida Munnetra Kazhagam,2,3,4,1,13,13,11,11,6,5,13,13,13,13,6,6,6,6,13,13,13,4.65587044534413,21,469,0.3070362473347548,0.22174840085287847,0.11513859275053305,0.35607675906183367,0
165,167,311,77,1,0,4,1,278,1,0,0,0,0,0,1,1,2,0,0,0,0,844,0,2,846,0,Lingampatti,"R.C.Middle  School,  Main  Building  Centre Portion  ,  Lingampatti","1.Lingampatti  (R.V)  And  (P)  North  Street  Block  1  ,  2.Lingampatti  (R.V)  And
(P)  MelaStreet  Block  2  ,  3.Lingampatti  (R.V)  And  (P)  KeelaStreet  Block  2  , 4.Lingampatti  (R.V)  And  (P)  Samathuva  puram  Block  2  ,  999.OVERSEAS ELECTORS",All  Voters,844,Dravida Munnetra Kazhagam,311,278,33,Tamilaga Vettri Kazhagam,1,3,4,2,7,12,5,7,7,12,12,12,12,12,7,7,6,12,12,12,12,3.909952606635071,4,833,0.37334933973589435,0.20048019207683074,0.09243697478991597,0.33373349339735897,0
166,163,309,75,0,1,0,0,273,0,0,0,1,0,2,1,1,1,1,0,0,1,829,0,4,833,0,Lingampatti,R.C.  Middle  School  Main  Building  South  Side Lingampatti,"1.Lingampatti  (R.V)  And  (P)  Mettu  Street  Block  2  ,  999.OVERSEAS ELECTORS",All  Voters,829,Dravida Munnetra Kazhagam,309,273,36,Tamilaga Vettri Kazhagam,1,3,4,2,13,6,13,13,13,13,13,6,13,5,6,6,6,6,13,13,6,4.342581423401689,8,820,0.37682926829268293,0.19878048780487806,0.09146341463414634,0.3329268292682927,0
167,338,78,14,0,0,2,0,193,1,0,1,0,0,1,0,3,1,1,0,0,0,633,0,1,634,0,Kulasegarapuram,"Panchayat  Union  Primary  School,  new Building  ,South  West  Portion  South  Building Kulasekarapuram","1.Lingampatti(R.V),Kulasekarapuram  (p)  Kulasekarapuram  mettu  street block  1  ,  2.Lingampatti(R.V),Chedamparapuram  (P)  Kulasekarapuram
East  Street  Block  1  ,  3.Lingampatti(R.V),Chedamparapuram  (P)
Kulasekarapuram  West  Street  Block  1  ,  999.OVERSEAS  ELECTORS",All  Voters,633,All India Anna Dravida Munnetra Kazhagam,338,193,145,Tamilaga Vettri Kazhagam,3,1,4,2,12,12,6,12,7,12,7,12,12,7,12,5,7,7,12,12,12,22.90679304897314,7,623,0.12520064205457465,0.5425361155698234,0.02247191011235955,0.3097913322632424,3
168,106,185,33,2,0,0,0,245,0,7,0,0,0,0,0,0,1,0,0,0,0,579,0,0,579,0,Illuppaiyurani,"Panchayat  Union  primary  School,  West Portion  south  Building  Second  class  room Loyal  Mill  Colony,  Illuppaiyurani","1.Elupaiurani  (R.V)  And  (P)  Loyal  mill  colony  block  5  ,  999.OVERSEAS ELECTORS",All  Voters,579,Tamilaga Vettri Kazhagam,245,185,60,Dravida Munnetra Kazhagam,2,3,4,1,6,8,8,8,8,5,8,8,8,8,8,8,7,8,8,8,8,10.36269430051813,8,569,0.3251318101933216,0.18629173989455183,0.05799648506151142,0.4305799648506151,2
169,122,201,21,0,0,0,1,218,0,1,1,0,0,0,0,0,3,3,0,0,0,571,0,1,572,0,Illuppaiyurani,"Government  High  School,  8th  class  room Loyal  Mill  Colony,  Illuppaiyurani","1.Elupaiurani  (R.V)  And  (P)  Loyal  mill  colony  block  5  ,  999.OVERSEAS ELECTORS",All  Voters,571,Tamilaga Vettri Kazhagam,218,201,17,Dravida Munnetra Kazhagam,2,3,4,1,10,10,10,7,10,7,7,10,10,10,10,10,5,5,10,10,10,2.97723292469352,8,562,0.35765124555160144,0.21708185053380782,0.037366548042704624,0.3879003558718861,2
170,79,91,22,0,0,1,0,129,0,1,0,0,0,1,0,0,0,1,0,0,0,325,0,2,327,0,Illuppaiyurani,"Govt  High  school,  Middle  portion,  South facing,  Illuppaiyurani","1.Elupaiurani  (R.V)  And  (P)  Loyal  Mill  Colony  Block  5,  999.OVERSEAS ELECTORS",All  Voters,325,Tamilaga Vettri Kazhagam,129,91,38,Dravida Munnetra Kazhagam,2,3,4,1,9,9,5,9,9,5,9,9,9,5,9,9,9,5,9,9,9,11.69230769230769,3,321,0.2834890965732087,0.24610591900311526,0.06853582554517133,0.40186915887850466,2
171,115,138,19,1,0,0,4,185,0,1,0,0,0,0,0,2,0,1,0,0,0,466,0,1,467,0,Illuppaiyurani,"Govt  High  School,  Middle  portion,  South facing,  West  side,  Illuppaiyurani","1.Iilluppaiyurani  (R.V)  And  (P)  Thangappan  Nagar  Block  5, 999.OVERSEAS  ELECTORS",All  Voters,466,Tamilaga Vettri Kazhagam,185,138,47,Dravida Munnetra Kazhagam,2,3,4,1,7,10,10,5,10,7,10,10,10,10,10,6,10,7,10,10,10,10.08583690987124,4,457,0.30196936542669583,0.25164113785557984,0.04157549234135667,0.4048140043763676,2
172,126,203,57,1,0,1,2,271,0,15,0,0,0,0,0,1,2,0,0,0,0,679,0,2,681,0,Illuppaiyurani,"Panchayat  Union  Primary  School,  West portion  North  Building  5th  class  room,  Loyal Mill  Colony,  Illuppaiyurani","1.Iilluppaiyurani  (R.V)  And  (P)  Poornammal  Colony  Block  5  ,
2.Iilluppaiyurani  (R.V)  And  (P)  Mookaraipillaiyar  Kovil  Street  Block  5  , 999.OVERSEAS  ELECTORS",All  Voters,679,Tamilaga Vettri Kazhagam,271,203,68,Dravida Munnetra Kazhagam,2,3,4,1,8,11,8,6,11,5,11,11,11,11,11,8,6,11,11,11,11,10.01472754050074,18,657,0.3089802130898021,0.1917808219178082,0.0867579908675799,0.4124809741248097,2
173,154,175,38,0,0,0,2,211,0,1,0,0,0,0,0,1,0,0,0,0,0,582,0,3,585,0,Illuppaiyurani,"Government  High  School,  East  portion  west building  10th  class  room,  Loyal  Mill  Colony, Illuppaiyurani","1.Elupaiurani  (A.V)  And  (P)  Shanmuga  nagar  block  5  (Part)  , 999.OVERSEAS  ELECTORS",All  Voters,582,Tamilaga Vettri Kazhagam,211,175,36,Dravida Munnetra Kazhagam,2,3,4,1,8,8,8,5,8,6,8,8,8,8,8,6,8,8,8,8,8,6.185567010309279,2,578,0.3027681660899654,0.2664359861591695,0.0657439446366782,0.36505190311418684,2
174,96,108,35,1,0,2,1,190,0,3,0,0,0,0,0,0,2,0,0,0,0,438,0,1,439,0,Illuppaiyurani,"Government  High  School,  East  portion  Office room,  Loyal  Mill  Colony,  Illuppaiyurani","1.Elupaiurani  (A.V)  And  (P)  Shanmuga  nagar  block  5  ,  999.OVERSEAS ELECTORS",All  Voters,438,Tamilaga Vettri Kazhagam,190,108,82,Dravida Munnetra Kazhagam,2,3,4,1,8,10,6,8,10,5,10,10,10,10,10,10,6,10,10,10,10,18.72146118721461,5,429,0.2517482517482518,0.22377622377622378,0.08158508158508158,0.4428904428904429,2
175,99,87,19,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,1,0,0,322,0,3,325,0,Illuppaiyurani,"Government  High  School,  East  portion  9th class  room,  East  Side  Building  Loyal  Mill Colony  Illuppaiyurani","1.Elupaiurani  (R.V)  And  (P)  Mukarpillairkovil  Street  Block  5  , 999.OVERSEAS  ELECTORS",All  Voters,322,Tamilaga Vettri Kazhagam,116,99,17,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5.279503105590062,1,321,0.27102803738317754,0.308411214953271,0.059190031152647975,0.3613707165109034,2
176,125,218,46,0,0,7,1,185,0,0,1,0,0,1,1,0,0,0,0,0,0,585,0,1,586,0,Vadakku Thittankulam,"Panchayat  Union  Middle  School,  South Building,  Western  Portion,  Vadakku Thittankulam","1.Thittankulam(R.V)  And  (p)  Muthuramalingathevar  colony  block  1  , 999.OVERSEAS  ELECTORS",All  Voters,585,Dravida Munnetra Kazhagam,218,185,33,Tamilaga Vettri Kazhagam,1,3,4,2,10,10,5,6,10,10,6,10,10,6,6,10,10,10,10,10,10,5.641025641025641,3,574,0.3797909407665505,0.21777003484320556,0.08013937282229965,0.32229965156794427,0
177,106,214,22,1,0,1,1,192,0,21,1,0,0,0,1,0,0,0,0,0,0,560,0,3,563,0,Shanmuga  Nagar Therkku Thittankulam,"Community  Hall,  South  side  building,  west side,  Shunmuganagar,  Therkku Thittankulam","1.Thittankulam  (R.V)And  (P)  Thozhil  Pettai  Block  1  ,  2.Thittankulam (R.V)And  (P)  Shanmuga  Nagar  block  1  ,  999.OVERSEAS  ELECTORS",All  Voters,560,Dravida Munnetra Kazhagam,214,192,22,Tamilaga Vettri Kazhagam,1,3,4,2,6,11,6,6,11,5,6,11,11,11,6,11,11,11,11,11,11,3.928571428571428,23,534,0.40074906367041196,0.19850187265917604,0.04119850187265917,0.3595505617977528,1
178,81,206,51,0,0,0,0,267,1,22,0,0,0,0,2,0,0,0,0,1,0,631,0,2,633,0,Therkku Thittankulam,Panchayat  Union  Library  Building Shanmuga  Nagar  Therkku  Thittankulam,"1.Thittankulam  (R.V)  And  (P)  Muthu  Nagar  Block  1  Door  No.  1  to  760 (Sl.No.From  1  to  739),  999.OVERSEAS  ELECTORS",All  Voters,631,Tamilaga Vettri Kazhagam,267,206,61,Dravida Munnetra Kazhagam,2,3,4,1,9,9,9,9,7,5,9,9,9,9,6,9,9,9,9,7,9,9.667194928684628,25,605,0.34049586776859503,0.13388429752066117,0.08429752066115702,0.4413223140495868,2
179,56,197,39,0,0,0,0,166,0,31,0,0,0,0,3,0,0,0,0,0,0,492,0,4,496,0,Therkku Thittankulam,"Community  Hall,  South  side  building,  East side,  Shunmuganagar,  South  Thittankulam","1.Thittankulam  (R.V)  And  (P)  Muthu  Nagar  Block  1  Door  No.  761  above (Sl.No.  740-1513)  2.Thittankulam  (R.V)  And  (P)  John  Nagar  Block  1, 999.OVERSEAS  ELECTORS",All  Voters,492,Dravida Munnetra Kazhagam,197,166,31,Tamilaga Vettri Kazhagam,1,3,4,2,7,7,7,7,7,5,7,7,7,7,6,7,7,7,7,7,7,6.300813008130081,34,458,0.43013100436681223,0.1222707423580786,0.0851528384279476,0.3624454148471616,0
180,139,176,26,0,0,8,0,187,0,0,0,0,0,0,0,0,1,2,0,0,0,539,0,1,540,0,Vadakku Thittankulam,"Panchayat  Union  Middle  School,  Southern Building,  Eastern  Portion  Vadakku Thittankulam","1.Thittankulam(R.V)  And(P)  MariappaNadar  Colony  Block  1  , 2.Thittankulam(R.V)  And  (P)  Poondhthota  Colony  Block  1  , 999.OVERSEAS  ELECTORS",All  Voters,539,Tamilaga Vettri Kazhagam,187,176,11,Dravida Munnetra Kazhagam,2,3,4,1,8,8,5,8,8,8,8,8,8,8,8,8,7,6,8,8,8,2.040816326530612,3,528,0.3333333333333333,0.26325757575757575,0.04924242424242424,0.3541666666666667,2
181,116,250,30,1,0,9,0,151,1,0,0,0,0,0,2,2,1,3,0,1,1,568,0,2,570,0,Vadakku Thittankulam,"Panchayat  Union  Middle  School,  North Building  East  side,  Vadakku  Thittankulam","1.Thittankulam  (R.V)  And  (P)  North  Thittankulam  Block  1  , 2.Thittankulam  (R.V)  And  (P)  North  Thittankulam  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,568,Dravida Munnetra Kazhagam,250,151,99,Tamilaga Vettri Kazhagam,1,3,4,2,9,14,5,14,9,14,14,14,14,14,7,7,9,6,14,9,9,17.42957746478873,10,547,0.4570383912248629,0.21206581352833637,0.054844606946983544,0.2760511882998172,1
182,98,220,23,1,0,8,0,80,0,0,0,0,1,0,1,2,2,1,1,0,1,439,0,2,441,0,Vadakku Thittankulam,"Panchayat  Union  Middle  School,  North  East building  3rd  Room  from  East,  Vadakku Thittankulam.","1.Thittankulam  (R.V)  And  (P)  Perumal  Kovil  Street  Block  2  , 2.Thittankulam  (R.V)  And  (P)  MainRoad  Street  Block  2  ,  3.Thittankulam (R.V)  And  (P)  Thevar  statue  Backside  Block  2  ,  4.Thittankulam  (R.V)
And(P)  Nayakkamar  Street  Block  2  ,  5.Thittankulam  (R.V)  And  (P)  North
Street  Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,439,Dravida Munnetra Kazhagam,220,98,122,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,8,14,5,14,14,14,14,14,8,14,8,6,6,8,8,14,8,27.79043280182232,9,421,0.5225653206650831,0.2327790973871734,0.05463182897862233,0.19002375296912113,1
183,148,397,96,1,0,1,0,271,2,38,0,0,1,3,4,2,0,1,1,1,0,967,0,3,970,0,Therkuthittankulam,"Adi  Dravidar  Primary  School, East  Building  West  side, Therkuthittankulam","1.Thittankulam  (R.V)  And  (P)  South  thittankulam  melastreet  block  3  , 2.Thitankulam  (R.V)  And  (P)  SouthThitankualm  NorthStreet  Block  3  , 3.Thitankulam  (R.V)  And  (P)  SouthThitankualm  KeelaStreet  Block  3  , 4.Thitankulam  (R.V)  And  (P)  SouthThitankualm  South  Street  Block  3  , 999.OVERSEAS  ELECTORS",All  Voters,967,Dravida Munnetra Kazhagam,397,271,126,Tamilaga Vettri Kazhagam,1,3,4,2,10,16,10,16,8,5,16,16,10,7,6,8,16,10,10,10,16,13.02998965873837,51,912,0.43530701754385964,0.16228070175438597,0.10526315789473684,0.29714912280701755,0
184,138,334,76,2,0,0,2,206,0,20,0,0,0,0,0,0,0,1,1,0,0,780,0,1,781,0,Therku Thittankulam,"Adi  Dravidar  Primary  School,  West  Building Therku  Thittankulam","1.Souththittankulam(R.V)  And  (P)  South  street  block  3  , 2.SouthThittankulam  Street  (R.V)  And  (P)  Mela  Street  Block  3  , 999.OVERSEAS  ELECTORS",All  Voters,780,Dravida Munnetra Kazhagam,334,206,128,Tamilaga Vettri Kazhagam,1,3,4,2,6,10,10,6,10,5,10,10,10,10,10,10,10,8,8,10,10,16.41025641025641,22,754,0.44297082228116713,0.1830238726790451,0.10079575596816977,0.27320954907161804,0
185,148,297,85,1,0,0,0,277,1,41,0,1,0,0,2,3,1,3,1,1,1,863,0,2,865,0,Therku Thittankulam,"Adi  Dravidar  Primary  School,  East  Building, East  side   Therku  Thittankulam","1.SouthThittankulam  Street  (R.V)  And  (P)  Kaliammmankovil  Street  Block 3  ,  2.SouthThittankulam  Street  (R.V)  And  (P)  NehrujiColony  Block  3  , 3.SouthThittankulam  Street  (R.V)  And  (P)  Mela  Colony  (New  Colony)Block 3  ,  999.OVERSEAS  ELECTORS",All  Voters,863,Dravida Munnetra Kazhagam,297,277,20,Tamilaga Vettri Kazhagam,1,3,4,2,9,16,16,16,9,5,16,9,16,16,8,6,9,6,9,9,9,2.317497103128621,54,807,0.3680297397769517,0.18339529120198264,0.10532837670384139,0.34324659231722426,0
186,135,304,16,0,0,1,1,205,2,0,0,0,0,0,2,2,2,0,0,0,0,670,0,1,671,0,Gandhi  Nagar Kovilpatti,"Municipal  Primary  School  Old  Building, North  Side  Gandhi  Nagar  Kovilpatti","1.Kovilpatti  (M)  Muthuramalingar  Street  Ward  1  2.Kovilpatti  (M) Ramasami  Street  Ward  1  ,999.OVERSEAS  ELECTORS",All  Voters,670,Dravida Munnetra Kazhagam,304,205,99,Tamilaga Vettri Kazhagam,1,3,4,2,11,11,9,9,5,11,11,11,11,11,5,5,5,11,11,11,11,14.77611940298507,6,660,0.46060606060606063,0.20454545454545456,0.024242424242424242,0.3106060606060606,1
187,188,254,18,1,0,0,1,204,1,0,0,0,2,0,0,1,1,0,0,0,2,673,0,2,675,0,Gandhi  Nagar KovilPatti,Municipal  Primary  School  Old  Building South  Side  Gandhi  Nagar  KovilPatti,"1.Kovilpatti  (M)  JhawarlalNehru  Street  Ward  1  2.Kovilpatti  (M)
Kasthuribai  Street  No1  Ward  1  ,  3.Kovilpatti  (M)  Kasthuribai  Street  No2 Ward1  ,  999.OVERSEAS  ELECTORS",All  Voters,673,Dravida Munnetra Kazhagam,254,204,50,Tamilaga Vettri Kazhagam,1,3,4,2,7,12,12,7,7,12,12,12,5,12,12,7,7,12,12,12,5,7.429420505200595,6,664,0.3825301204819277,0.28313253012048195,0.02710843373493976,0.3072289156626506,1
188,137,284,28,0,1,6,5,255,0,0,0,0,0,1,3,0,0,1,1,1,0,723,0,7,730,0,Gandhi  Nagar Kovilpatti,"Municipal  Primary  School,  Middle  Portion, Gandhi  Nagar  Kovilpatti","1.Kovilpatti  (m)  Atthaikondan  road  ward  2,2.Kovilpatti  (m)  Atthaikondan Salai  ward  3.Kovilpatti  (M)  Gandhi  Nagar  Street  No1,Ward  2  4.Kovilpatti
(M)  Gandhi  Nagar  2nd  Street  Ward  2  999.OVERSEAS  ELECTORS",All  Voters,723,Dravida Munnetra Kazhagam,284,255,29,Tamilaga Vettri Kazhagam,1,3,4,2,13,8,5,6,13,13,13,13,13,8,7,13,13,8,8,8,13,4.011065006915629,7,704,0.4034090909090909,0.19460227272727273,0.03977272727272727,0.3622159090909091,1
189,181,302,48,0,1,1,15,331,0,1,1,0,0,0,0,1,0,2,0,0,1,885,0,2,887,0,Kovilpatti,"Child  Welfare  Center,  Ilayarasanenthal  Road, Kovilpatti","1.Kovilpatti  (M)  Natarajapuram  Street  Door  No.1to  50  Ward  3,  2.Kovilpatti
(M)  Natarajapuram  Street  Door  No.51  to  100  Ward  3  999.OVERSEAS ELECTORS",All  Voters,885,Tamilaga Vettri Kazhagam,331,302,29,Dravida Munnetra Kazhagam,2,3,4,1,13,7,7,5,13,7,7,13,13,13,13,7,13,6,13,13,7,3.27683615819209,6,862,0.3503480278422274,0.2099767981438515,0.05568445475638051,0.3839907192575406,2
190,208,230,58,0,1,2,23,392,1,0,1,0,1,1,1,2,1,0,1,1,0,924,0,3,927,0,Kovilpatti,Municipal  Library-2  East  side  building Illayarasandral  Road  Kovilpatti,"1.Kovilpatti  (M)  Natarajapuram  Street  Door  No.101  to  150  Ward  3 2.Kovilpatti  (M)  Natarajapuram  Street  Door  No.151  to  185  Ward  3, 999.OVERSEAS  ELECTORS",All  Voters,924,Tamilaga Vettri Kazhagam,392,230,162,Dravida Munnetra Kazhagam,2,3,4,1,17,8,6,5,8,17,8,17,8,8,8,6,8,17,8,8,17,17.53246753246753,9,888,0.25900900900900903,0.23423423423423423,0.06531531531531531,0.44144144144144143,2
