Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Margin_Percentage
118,Mudukkumeendanp atti,"Panchyat  Library  office,  Mudukkumeendan patti","1.Mudukkumendan  patti  (R.V)  And  (P)  Mudukkumendanpatti  Ward  2  , 2.Mudukkumendan  patti  (R.V)  And  (P)  M.Duraisamypuram  Ward  3  , 999.OVERSEAS  ELECTORS",3.761755485893417
297,Mudukkalankulam,T.D.T.A.Primary  School.  Mudukkalankulam,"1.Mudukanlakulam  (R.V)  And  (P)  West  Street  Block  1  , 2.Mudukanlakulam  (R.V)  And  (P)  East  Street  Block  2  , 3.Mudukanlakulam  (R.V)  And  (P)  North  Street  Block  3  , 4.Mudukkalankulam  (R.V)  And  (P)  South  Street  Block3  ,  999.OVERSEAS ELECTORS",3.775620280474649
117,Mudukkumeendanp atti,"Sevai  Maiyam,  Mudukkumeendanpatti.","1.Mudukkumendan  patti  (R.V)  And  (P)  Mudukkumendanpatti  ward  1  , 2.Mudukkumendan  patti  (R.V)  And  (P)  Gopalapuram  Ward  4  , 999.OVERSEAS  ELECTORS",3.785103785103785
165,Lingampatti,"R.C.Middle  School,  Main  Building  Centre Portion  ,  Lingampatti","1.Lingampatti  (R.V)  And  (P)  North  Street  Block  1  ,  2.Lingampatti  (R.V)  And
(P)  MelaStreet  Block  2  ,  3.Lingampatti  (R.V)  And  (P)  KeelaStreet  Block  2  , 4.Lingampatti  (R.V)  And  (P)  Samathuva  puram  Block  2  ,  999.OVERSEAS ELECTORS",3.909952606635071
310,Achankulam,"R.C.  Primary  School,  North  Side  Achankulam","1.Achankulam  (R.V)  And  (P)  Achankulam  Block  1  ,  2.Achankulam  (R.V) And  (P)  Achankulam  Block  2  ,  3.Achankulam  (R.V)  And  (P)  Kottaiur  Block 3  ,  999.OVERSEAS  ELECTORS",3.96551724137931
312,Therkku  vandanam,"Common  Sevai  Center,  Therkku  Vandanam","1.Vadakkuvandanam  (R.V)  And  (P)  Vadakkuvandanam  Block  1  , 2.Vadakkuvandanam  (R.V)  And  (P)  Vadakkuvandanam  Block  2  , 3.Therkuvandanam  (R.V)  And  (P)  Therkuvandanam  Block  1  , 4.Therkuvandanam  (R.V)  And  (P)  K.Kumarapuram  Block  2  , 999.OVERSEAS  ELECTORS",4.088785046728971
96,Kadamboor,"K.A.R.M  Geroge  Middle  School,  East  Room, Kadambur.","1.Kadamboor  (S.P)  Bharathiveethiward  1  ,  2.Kadamboor  (S.P)
Bharathiveethi  sandu  1  ward  1  ,  3.Kadamboor  (S.P)  Bharathiveethi  sand 2  ward  1  ,  4.Kadamboor  (S.P)  Bharathiveethi  sandu  4  ward  1  , 5.Kadamboor  (S.P)  Bharathiveethi  sandu  3  ward  1  ,  6.Kadamboor  (S.P)
Bharathiveethi  sandu5  ward  1  ,  7.Kadamboor  (S.P)  Bharathiveethi  sandu 6  ward  1  ,  8.Kadamboor  (S.P)  Kumaran  Veethi  ward  2  ,  9.Kadamboor
(S.P)  Thangammalpuram  ward  2  ,  10.Kadamboor  (S.P)  Kaliamman
KovilStreet  ward  3  ,  11.Kadamboor  (S.P)  Kaliamman  KOvil  Street  3  Ward 2  ,  12.Kadamboor  (S.P)  Kaliamman  Kovil  Street  4  Ward  4  ,  13.Kadamboor (S.P)  Kaliamman  Kovil  Street  5  ward  4  ,  14.Kadamboor  (S.P)  Kaliamman Kovil  Street  6  ward  4  ,  15.Kadamboor  (S.P)  Kaliamman  Kovil  Sandu  1 ward  3  ,  16.Kadamboor  (S.P)  Kaliamman  kovil  sandu  2  ward  3  , 17.Kadamboor  (S.P)  Keelarathaveethi  ward  3  ,  18.Kadamboor  (S.P)
Keelarathaveethi  sandu  1  ward  3  ,  19.Kadamboor  (S.P)  Keelarathaveethi sand  2  ward  3  ,  20.Kadamboor  (S.P)  Railway  Station  Road  -  ward  4  , 21.Kadamboor  (S.P)  Vadakku  bazar  ward  4  ,  22.Kadamboor  (S.P)
Vadakkurathaveethi  ward  4  ,  23.Kadamboor  (S.P)  Central  bazhar  ward  5  , 24.Kadamboor  (S.P)  Sekkaditheru  ward  5  ,  25.Kadamboor  (S.P)
Keelarathavethei  ,  26.Kadamboor  (S.P)  Mariamman  Kovil  Nadutheru  ward 5  ,  27.Kadamboor  (S.P)  Keelarathaveethi  sandu  ward  5  ,  28.Kadamboor
(T)  Periyandawar  Koviltheru  ward  5  ,  29.Kadamboor  (s.p)  Kayathar  road ward  7  ,  30.Kadamboor  (S.P)  Garvei  Road  ward  7  ,  31.Kadamboor  (S.P)
Subregister  OfficeStreet  ward  7  ,  999.OVERSEAS  ELECTORS",4.140786749482402
166,Lingampatti,R.C.  Middle  School  Main  Building  South  Side Lingampatti,"1.Lingampatti  (R.V)  And  (P)  Mettu  Street  Block  2  ,  999.OVERSEAS ELECTORS",4.342581423401689
302,Kamanayakkanpatti,"St.Aloycious  High  School,  Main  Building North  Side  First  Room,  Kamanayakkanpatti","1.Kamanayakkanpatti  (R.V)  And  (P)  South  street  block  1  ,
2.Kamanayakkanpatti  (R.V)  And  (P)  Veeramamunivar  Nagar  Block  1  , 3.Kamanayakkanpatti  (R.V)  And  (P)  Kulanthai  jesu  Nagar  Block  1  , 999.OVERSEAS  ELECTORS",4.36046511627907
296,Kilavipatti,"Panchayat  Union  Primary  School,  west  side, Kilavipatti","1.Kelavipatti  (R.V)  And  (P)  Kovilpatti  ,  2.Kelavipatti  (R.V)  And(P)  S.  C,. colony  ,  3.Kelavipatti  (R.V)  And  (P)  Melacolony  ,  4.Kelavipatti  (R.V)  And  (P) Kachilapuram  ,  999.OVERSEAS  ELECTORS",4.414784394250513
