serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
271,"East Side 2nd Room
Jaihindpuram-625011",K.A.C.A Arunachallam Hr.Sec.School,1.Madurai (C) Ramaiah Main Street Ward 79,tamilaga vettri kazhagam,15.34296028880866
272,"Class Room 6b North
Wing South Portion Jaihindpuram-625011",K.A.C.A Arunachallam Hr.Sec.School,"1.Madurai (C) Ramaiah 6th Cross Street (Vallalar Street) Ward 79  ,
2.Madurai (C) Ramaiah 7th Cross Street (Balaji Street) Ward 79",tamilaga vettri kazhagam,20.3862660944206
274,East Side 3rd Room Jaihindpuram-625011,K.A.C.A Arunachallam Hr.Sec.School,"1.Madurai (C) Vanjinathan Street Ward 79
2.Madurai (C) Ramaiah 4th Street Ward 79
3.Madurai (C) Ramaiah 5th Street Ward 79",tamilaga vettri kazhagam,20.27833001988072
275,"East Facing (Prammagupthar Room) Jaihindpuram Main
Road Madurai","Sethu Rajan Padma Matriculation Higher Sec School   ,West Block","1 - Madurai (C), Veerakaliamman Kovil Street-1 Ward 80 (from door no. 1 to door no. 172)",tamilaga vettri kazhagam,20.15945330296127
276,Jaihindpuram Main Road Madurai,"Sethu Rajan Padma Matriculation Higher Sec School , South Block, North Facing , UKG","1.Madurai(c) Veerakaliamman Kovil Street-2 Ward 80
2.Madurai (C) Veerakaliamman Kovil Street Ward 80",tamilaga vettri kazhagam,16.46525679758308
277,Jaihindpuram Main Road Madurai,"Sethu Rajan Padma Matriculation Higher Sec School , South Block, North Facing , UKG","1.Madurai (C) Pulipandiyan Cross Street Ward 79
2.Madurai (C) Nethaji 3rd Cross Street Ward 80
3.Madurai (C) Ramaiah Veethi 5th Cross Street Ward 79
4.Madurai (C) Sasthiri Nagar Jaihindpuram Ward 80,",tamilaga vettri kazhagam,13.29479768786127
278,"2nd Main
West Side 1st Room Building Jaihindpuram-625011",Sethu Rajan Padma Matriculation Higher Sec School,"1.Madurai (C) Veerakaliamman Kovil Street Ward 80 ,
2.Madurai (C), Veerakaliamman Kovil Street-1 Ward 80 (from door no. 173 till last)",tamilaga vettri kazhagam,23.66522366522366
279,Jaihindpuram-625011,"Sri Ayyanar Middle School, Main Block,
Room.No.3,","1.Madurai (C), Nethaji Street Ward 80 (from door no.1 to 280)",tamilaga vettri kazhagam,29.31354359925788
280,Jaihindpuram-625011,"Sri Ayyanar Middle School, Main Block, Room.No.2","1.Madurai (C), Nethaji Street Ward 80 (from door no.281 till last)",tamilaga vettri kazhagam,14.54918032786885
281,Jaihindupuram-625011,"Sri Ayyanar Middle School  , 4th std 'A' Section, East Side",1.Madurai (C) Nethaji Cross Street-1 Ward 80,tamilaga vettri kazhagam,12.64
283,"Officers
Room West Side Jaihindpuram -625011","K.A.C.A Arunachallam Hr.Sec.School   ,West Side",1.Madurai (C) Nethaji Street Jaihindpuram,tamilaga vettri kazhagam,24.96350364963504
284,"2nd Officers
Room West Side Jaihindpuram -625011","K.A.C.A Arunachallam Hr.Sec.School   ,West Side",1.Madurai (C) Nethaji Street Jaihindpuram Ward 80,tamilaga vettri kazhagam,19.14285714285714
285,Jaihindpuram-625011,"K.A.C.A Arunachallam Hr.Sec.School   ,West Side Officers Room West Side North East Building",1.Madurai (C) Anna Main Veethi Jaihindpuram Ward 80,tamilaga vettri kazhagam,12.22222222222222
286,"Jaihindpuram-
625011","K.A.C.A Arunachallam Hr.Sec.School   ,Guard Room,Temporary Polling Station Tiled Building Notrtheast Side",1.Madurai (c) Nehru Street-1 Ward 80,tamilaga vettri kazhagam,14.4578313253012
287,"West Side New Building 3rd Room
Bharathiyar Road",Grace Matriculation School,"1.Madurai (C) Nehru Street-2 Ward 80 ,
2.Madurai (C) Anna Main Veethi Ward 80",tamilaga vettri kazhagam,14.8491879350348
290,Nehru Street Jaihindupuram-625011,"Nethaji Middle School   ,East Zone North Side Class 2 'A'
Section",1.Madurai (C) Bharathiyar Street,tamilaga vettri kazhagam,10.2970297029703
291,"East Side  North Side Class 2B Nehru
Street Jaihindupuram-625011",Nethaji Middle School,1.Madurai (C) Bharathiyar Street Ward 81,tamilaga vettri kazhagam,13.93129770992367
292,Jaihindpuram,"Nethaji Middle School,East side Building, East Facing - Room No.2","1.Madurai (C) Bharathiyar Road Last Ward 81 ,
2.Madurai (C) Bharathiyar Road Nethaji Nagar 1st Street Ward 81 ,
3.Madurai (C) Bharathiyar Road Nethaji Nagar 2nd Street Ward 81",tamilaga vettri kazhagam,19.50920245398773
293,Jaihindpuram - 625011,"M.G.R ICDS Building, South facing Building, Near Kitchen
room, Nethaji Street","1.Madurai (C) Devar Nagar Ward 81 ,
2.Madurai (C) N.S.Konar Street Ward 81",tamilaga vettri kazhagam,16.66666666666666
294,Madurai,"Noon Meals Centre, Nethaji Road",1.Madurai (C) Bharathiyar Road Last Ward 81,tamilaga vettri kazhagam,16.72794117647059
296,Room.No.2,"Neethirajan Bharathi Middle School, South Block, North facing-
Jaihindpuram","1 - Madurai (C), Bharathiyar Road Jaihindpuram Ward 81 (from door no. 1 to door no.99)",tamilaga vettri kazhagam,12.45136186770428
297,Room.No.2,"Neethirajan Bharathi Middle School, South Block, North facing-
Jaihindpuram","1 - Madurai (C), Bharathiyar Road Jaihindpuram Ward 81 (door no. 100 to last)",tamilaga vettri kazhagam,22.61208576998051
