Locality,Total_Valid_Votes_In_Locality,Total_Independent_Votes_In_Locality,Independent_Vote_Share_%
Puthiyamputhur,534,1,0.1872659176029963
Ulakkudi,576,1,0.1736111111111111
Kombadi Thalavaipuram,752,1,0.1329787234042553
T.Saveriyarpuram,1523,2,0.1313197636244255
Vittilapuram kovilpatthu,845,1,0.1183431952662722
Pottalurani,196,0,0.0
Arockiapuram,51,0,0.0
Ramachandrapura m,553,0,0.0
Paraikuttam,155,0,0.0
Thiruvananthapura m,481,0,0.0
Senthiampalam,753,0,0.0
Kallathikinaru,714,0,0.0
