Serial No. Of Polling Station,Naam Tamilar Katchi,Dravida Munnetra Kazhagam,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,Puthiya Tamilagam,Amma Makkal Munnettra Kazagam,Naam Indiar Party,Tamizhaga Vaazhvurimai Katchi,Tamilaga Vettri Kazhagam,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Total of Valid Votes,Unnamed: 15,NOTA,Total,No. Of Tendered Votes,Locality,Building  in  Which  it  will  be  Located,Polling  Area,Whether  for  all Voters  or  men  olny or  women  only,Naam Tamilar Katchi_Share_%,Dravida Munnetra Kazhagam_Share_%,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Share_%,Puthiya Tamilagam_Share_%,Amma Makkal Munnettra Kazagam_Share_%,Naam Indiar Party_Share_%,Tamizhaga Vaazhvurimai Katchi_Share_%,Tamilaga Vettri Kazhagam_Share_%,NOTA_Share_%,Total_Independent_Votes,Independent_Share_%,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Naam Tamilar Katchi_Rank,Dravida Munnetra Kazhagam_Rank,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Rank,Puthiya Tamilagam_Rank,Amma Makkal Munnettra Kazagam_Rank,Naam Indiar Party_Rank,Tamizhaga Vaazhvurimai Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Independent.4_Rank,Margin_Percentage,Runner_Up_Party,Naam Tamilar Katchi_Rank.1,Dravida Munnetra Kazhagam_Rank.1,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Rank.1,Puthiya Tamilagam_Rank.1,Amma Makkal Munnettra Kazagam_Rank.1,Naam Indiar Party_Rank.1,Tamizhaga Vaazhvurimai Katchi_Rank.1,Tamilaga Vettri Kazhagam_Rank.1,Independent_Rank.1,Independent.1_Rank.1,Independent.2_Rank.1,Independent.3_Rank.1,Independent.4_Rank.1
77,146,89,0,0,16,0,0,373,1,0,0,0,1,626,0,2,628,0,Tharuvaikulam,"Punitha  Michal  R.  C.  Primary  School,  South Side  Tharuvaikulam","1.Tharuvaikulam  (R.V)  And  (P)  Tharuvaikulam  Keelur  Block  1,  (Door  No. 1  to  2/573)  999.OVERSEAS  ELECTORS",All  Voters,23.32268370607029,14.21725239616613,0.0,0.0,2.55591054313099,0.0,0.0,59.58466453674122,0.3194888178913738,2,0.3194888178913738,Tamilaga Vettri Kazhagam,373,146,227,2,3,7,7,4,7,7,1,5,7,7,7,5,36.26198083067093,Naam Tamilar Katchi,2,3,7,7,4,7,7,1,5,7,7,7,5
78,76,131,4,3,22,0,2,254,0,0,0,0,1,493,0,1,494,0,Tharuvaikulam,"Punitha  Cathrine  Primary  School,  North  New Building,  1st  room  from  West, Tharuvaikulam.","1.Tharuvaikulam  (R.V)  And  (P)  Tharuvaikulam  Keelur  Block  1,  (Door  No. 2/573  Above)  999.OVERSEAS  ELECTORS",All  Voters,15.4158215010142,26.57200811359026,0.8113590263691683,0.6085192697768762,4.462474645030426,0.0,0.4056795131845842,51.52129817444219,0.2028397565922921,1,0.2028397565922921,Tamilaga Vettri Kazhagam,254,131,123,3,2,5,6,4,9,7,1,9,9,9,9,8,24.94929006085193,Dravida Munnetra Kazhagam,3,2,5,6,4,9,7,1,9,9,9,9,8
79,166,171,0,2,33,0,2,638,2,0,0,1,0,1015,0,3,1018,0,Tharuvaikulam,"Punitha  Michal  R.  C.  Primary  School,  South Side  2nd  Room,  Tharuvaikulam","1.Tharuvaikulam  (R.V)  And  (P)  Tharuvaikulam  Block  1/1  to  57/33 SOOSAIMARIYAN  NAGAR,
999.OVERSEAS  ELECTORS",All  Voters,16.35467980295567,16.84729064039409,0.0,0.1970443349753694,3.251231527093596,0.0,0.1970443349753694,62.85714285714285,0.2955665024630542,3,0.2955665024630542,Tamilaga Vettri Kazhagam,638,171,467,3,2,9,5,4,9,5,1,5,9,9,8,9,46.00985221674877,Dravida Munnetra Kazhagam,3,2,9,5,4,9,5,1,5,9,9,8,9
80,99,189,2,1,30,0,1,383,0,0,1,0,2,708,0,1,709,0,Tharuvaikulam,"Punitha  Michal  R.  C.  Primary  School,  South Side  3rd  Room,  Tharuvaikulam","1.Tharuvaikulam  (R.V)  And  (P)  Tharuvaikulam  Block  -  1,  58/34  to  57/34
-  394/394,
999.OVERSEAS  ELECTORS",All  Voters,13.98305084745763,26.69491525423729,0.2824858757062147,0.1412429378531073,4.23728813559322,0.0,0.1412429378531073,54.09604519774012,0.1412429378531073,3,0.423728813559322,Tamilaga Vettri Kazhagam,383,189,194,3,2,5,7,4,10,7,1,10,10,7,10,5,27.40112994350282,Dravida Munnetra Kazhagam,3,2,5,7,4,10,7,1,10,10,7,10,5
81,131,222,1,0,26,1,2,462,1,0,0,0,1,847,0,3,850,0,Tharuvaikulam,"Punitha  Michal  R.  C  Primary  School,  Main Building,  Tharuvaikulam","1.Tharuvaikulam  (R.V)  And  (P)  Tharuvaikulam  Block  3, 999.OVERSEAS  ELECTORS",All  Voters,15.46635182998819,26.21015348288076,0.1180637544273908,0.0,3.069657615112161,0.1180637544273908,0.2361275088547816,54.54545454545454,0.3541912632821724,2,0.2361275088547816,Tamilaga Vettri Kazhagam,462,222,240,3,2,6,10,4,6,5,1,6,10,10,10,6,28.33530106257379,Dravida Munnetra Kazhagam,3,2,6,10,4,6,5,1,6,10,10,10,6
82,140,245,2,3,82,0,2,483,0,1,0,0,4,962,0,0,962,0,Tharuvaikulam,"Punitha  Michal  R.  C  Primary  School,  Main Building  North  Side,  Tharuvaikulam","1.Tharuvaikulam  (R.V)  And  (P)  Tharuvaikulam  BLock  4, 2.Tharuvaikulam  (R.V)  And  (P)  Tharuvaikulam  Block  5, 999.OVERSEAS  ELECTORS",All  Voters,14.55301455301455,25.46777546777547,0.2079002079002079,0.3118503118503119,8.523908523908524,0.0,0.2079002079002079,50.2079002079002,0.0,5,0.5197505197505198,Tamilaga Vettri Kazhagam,483,245,238,3,2,7,6,4,10,7,1,10,9,10,10,5,24.74012474012474,Dravida Munnetra Kazhagam,3,2,7,6,4,10,7,1,10,9,10,10,5
83,20,111,2,8,89,0,0,111,1,0,0,0,0,342,0,0,342,0,Tharuvaikulam,Punitha  Catherin  Primary  School  New Building  West  Portion  Tharuvaikulam,"1.Tharuvaikulam  (R.V)  And  (P),Sundan  pachichery  block  6  , 999.OVERSEAS  ELECTORS",All  Voters,5.847953216374268,32.45614035087719,0.5847953216374269,2.339181286549707,26.0233918128655,0.0,0.0,32.45614035087719,0.0,1,0.2923976608187134,Dravida Munnetra Kazhagam,111,111,0,4,1,6,5,3,8,8,1,7,8,8,8,8,0.0,Dravida Munnetra Kazhagam,4,1,6,5,3,8,8,1,7,8,8,8,8
84,125,184,3,253,67,0,3,258,4,5,2,0,1,905,0,5,910,0,AnanthamadanPach ery,"Panchayat  Union  Middle  School  Main Building,  AnanthamadanPachery","1.Tharuvaikulam  (R.V)  And  (P)  And  (P)  Ananthamadan  pachery  Block  7  , 999.OVERSEAS  ELECTORS",All  Voters,13.8121546961326,20.33149171270718,0.3314917127071823,27.95580110497238,7.403314917127071,0.0,0.3314917127071823,28.50828729281768,0.5524861878453038,12,1.325966850828729,Tamilaga Vettri Kazhagam,258,253,5,4,3,8,2,5,12,8,1,7,6,10,12,11,0.5524861878453038,Puthiya Tamilagam,4,3,8,2,5,12,8,1,7,6,10,12,11
85,80,109,4,2,30,1,4,343,2,0,0,0,0,575,0,2,577,0,Vellapatti,"R.C.  Primary  School  ,  South  Facing  Building, East  Portion  from  1st  Room  ,Vellapatti  .","1.Keelaarasaradi  (R.V)  And  (P)  Vellapatti  Block  3,  (Door  1  to  3/240) 999.OVERSEAS  ELECTORS",All  Voters,13.91304347826087,18.95652173913044,0.6956521739130435,0.3478260869565217,5.217391304347826,0.1739130434782609,0.6956521739130435,59.65217391304348,0.3478260869565217,2,0.3478260869565217,Tamilaga Vettri Kazhagam,343,109,234,3,2,5,7,4,9,5,1,7,10,10,10,10,40.69565217391305,Dravida Munnetra Kazhagam,3,2,5,7,4,9,5,1,7,10,10,10,10
86,62,167,1,3,35,0,0,281,1,0,0,0,0,550,0,0,550,0,Vellapatti,"R.C.  Primary  School  ,  South  facing  building, West  Portion  from  1st  Room  Vellapatti  .",1.Keelaarasaradi  (R.V)  And  (P)  Vellapatti  Block  3  (Door  3/240  Above) 999.OVERSEAS  ELECTORS,All  Voters,11.27272727272727,30.36363636363636,0.1818181818181818,0.5454545454545455,6.363636363636363,0.0,0.0,51.09090909090909,0.0,1,0.1818181818181818,Tamilaga Vettri Kazhagam,281,167,114,3,2,6,5,4,8,8,1,6,8,8,8,8,20.72727272727273,Dravida Munnetra Kazhagam,3,2,6,5,4,8,8,1,6,8,8,8,8
87,34,130,5,77,89,2,1,261,2,0,0,0,4,605,0,4,609,0,Thuppaspatti,"Panchayat  Union  Primary  School, Thuppaspatti","1.Keelaarasaradi  (R.V)  And  (P)  Keelaarasaradi  Block  1, 2.Keelaarasaradi  (R.V)  And  (P)  Ayyanarpuram  Block  2, 3.Keelaarasaradi  (R.V)  And  (P)  Thuppachipatti  Block  4, 4.Keelaarasaradi  (R.V)  And  (P)  Thuppachipatti  Block  5, 999.OVERSEAS  ELECTORS",All  Voters,5.619834710743802,21.48760330578513,0.8264462809917356,12.72727272727273,14.71074380165289,0.3305785123966942,0.1652892561983471,43.1404958677686,0.6611570247933884,6,0.9917355371900827,Tamilaga Vettri Kazhagam,261,130,131,5,2,6,4,3,8,10,1,8,11,11,11,7,21.65289256198347,Dravida Munnetra Kazhagam,5,2,6,4,3,8,10,1,8,11,11,11,7
88,47,99,2,117,82,0,5,248,1,2,1,0,0,604,0,6,610,0,Pudur Pandiyapuram,"T.N.D.A  Middle  School,  North  Building, Pudur  pandiapuram","1.Pudur  pandyapuram  (R.V)  And  (P)  Pudur  pandyapuram  Block  1,
2.Pudur  Pandyapuram  (R.V)  And  (P)  Pudur  Pandyapuram  Block  2, 999.OVERSEAS  ELECTORS",All  Voters,7.781456953642383,16.39072847682119,0.3311258278145696,19.37086092715232,13.57615894039735,0.0,0.8278145695364238,41.05960264900662,0.9933774834437087,4,0.6622516556291391,Tamilaga Vettri Kazhagam,248,117,131,5,3,7,2,4,11,6,1,9,7,9,11,11,21.6887417218543,Puthiya Tamilagam,5,3,7,2,4,11,6,1,9,7,9,11,11
89,46,243,25,49,43,1,0,237,2,1,1,1,2,651,0,4,655,0,Pandarampatti,"T.N.D.T.A.Primary  School  ,(East  Portion) Pandarampatti","1.(Thoothukudi  Corporation)  Pandarampatti  keela  street  block  2, 2.(Thoothukudi  Corporation)  Pandarampatti,
3.(Thoothukudi  Corporation)  J.J.Nagar  Pandarampatti, 4.(Thoothukudi  Corporation)  Reethammalpuram,
5.(Thoothukudi  Corporation)  Pandaram  Patti  Vadakku  Street  Block  2, 6.(Thoothukudi  Corporation)  Pandarampatti  South  Street  Block  2,
999.OVERSEAS  ELECTORS",All  Voters,7.066052227342549,37.32718894009216,3.840245775729647,7.526881720430108,6.605222734254992,0.1536098310291859,0.0,36.40552995391705,0.6144393241167435,7,1.075268817204301,Dravida Munnetra Kazhagam,243,237,6,4,1,6,3,5,9,13,2,7,9,9,9,7,0.9216589861751152,Tamilaga Vettri Kazhagam,4,1,6,3,5,9,13,2,7,9,9,9,7
90,93,399,32,94,34,1,0,369,0,1,1,0,4,1028,0,5,1033,0,Pandarampatti,"T.N.D.T.A.  Primary  School  ,West  Wing Pandarampatti","1.(Thoothukudi  Corporation)  Pandarampatti  west  street  block
3,2.(Thoothukudi  Corporation)  Pandarampatti  West  Street  Block  4, 999.OVERSEAS  ELECTORS",All  Voters,9.04669260700389,38.81322957198444,3.11284046692607,9.14396887159533,3.30739299610895,0.09727626459143969,0.0,35.89494163424124,0.4863813229571984,6,0.5836575875486382,Dravida Munnetra Kazhagam,399,369,30,4,1,6,3,5,8,11,2,11,8,8,11,7,2.918287937743191,Tamilaga Vettri Kazhagam,4,1,6,3,5,8,11,2,11,8,8,11,7
91,43,164,5,1,72,0,0,393,1,0,0,0,0,679,0,3,682,0,Muthammal  colony,"Thoothukudi  Corporation  Middle  school
Muthammal  colony  Extn  Ayyasamy  Colony sankaraperi","1.(Thoothukudi  Corporation)  Nedhaji  Nagar  block5  , 999.OVERSEAS  ELECTORS",All  Voters,6.332842415316642,24.15316642120766,0.7363770250368188,0.1472754050073638,10.60382916053019,0.0,0.0,57.87923416789397,0.4418262150220913,1,0.1472754050073638,Tamilaga Vettri Kazhagam,393,164,229,4,2,5,6,3,8,8,1,6,8,8,8,8,33.7260677466863,Dravida Munnetra Kazhagam,4,2,5,6,3,8,8,1,6,8,8,8,8
92,43,149,5,6,90,0,2,433,1,1,0,3,0,733,0,2,735,0,Muthammal  colony,Thoothukudi  Corporation  Middle  school  East Portion  Ayyasamy  Colony  Muthammal  colony Extn,"1.(Thoothukudi  Corporation)  Nedhaji  Nagar  2nd  Street  Block  5, 2.(Thoothukudi  Corporation)  Nedhaji  Nagar  3rd  Street  Block 5,999.OVERSEAS  ELECTORS",All  Voters,5.866302864938609,20.32742155525239,0.6821282401091405,0.8185538881309686,12.27830832196453,0.0,0.2728512960436562,59.07230559345157,0.2728512960436562,5,0.6821282401091405,Tamilaga Vettri Kazhagam,433,149,284,4,2,6,5,3,11,8,1,9,9,11,7,11,38.74488403819918,Dravida Munnetra Kazhagam,4,2,6,5,3,11,8,1,9,9,11,7,11
93,41,130,2,2,153,1,2,368,0,1,0,1,0,701,0,3,704,0,Sankaraperi,"Government  Basic  Primary  School,  South Building  Facing  North,  Sangaraperi","1.(Thoothukudi  Corporation)  Sankaraperi  block1,  (Door  No:  1  to  1/130) 2.(Thoothukudi  Corporation)  Thalavaipuram  Block  4,
999.OVERSEAS  ELECTORS",All  Voters,5.848787446504993,18.54493580599144,0.2853067047075606,0.2853067047075606,21.82596291012839,0.1426533523537803,0.2853067047075606,52.49643366619116,0.4279600570613409,2,0.2853067047075606,Tamilaga Vettri Kazhagam,368,153,215,4,3,5,5,2,8,5,1,11,8,11,8,11,30.67047075606277,Amma Makkal Munnettra Kazagam,4,3,5,5,2,8,5,1,11,8,11,8,11
94,35,148,3,3,109,1,1,275,0,2,0,3,0,580,0,6,586,0,Sankaraperi,"St.Antony's  Matriculation  Hr.  Sec.School, Sangaraperi.","1.(Thoothukudi  Corporation)  Sankaraperi  block1,  (Door  No:  Above  1/130)",All  Voters,6.03448275862069,25.51724137931035,0.5172413793103449,0.5172413793103449,18.79310344827586,0.1724137931034483,0.1724137931034483,47.41379310344828,1.03448275862069,5,0.8620689655172413,Tamilaga Vettri Kazhagam,275,148,127,4,2,5,5,3,9,9,1,11,8,11,5,11,21.89655172413793,Dravida Munnetra Kazhagam,4,2,5,5,3,9,9,1,11,8,11,5,11
95,36,130,2,6,66,1,2,341,2,0,0,0,2,588,0,1,589,0,Muthammal  colony,"Thoothukudi  Corporation  Middle  School, South  Building,East  side,Thevar  colony Muthammal  colony  extn(  Ayyasamy colony)Natarajanagar","1.(Thoothukudi  Corporation)  Yogeeswarar  colony, 2.(Thoothukudi  Corporation)  Ayyappan  Nagar, 999.OVERSEAS  ELECTORS",All  Voters,6.122448979591836,22.10884353741497,0.3401360544217687,1.020408163265306,11.22448979591837,0.1700680272108843,0.3401360544217687,57.99319727891157,0.1700680272108843,4,0.6802721088435374,Tamilaga Vettri Kazhagam,341,130,211,4,2,6,5,3,10,6,1,6,11,11,11,6,35.8843537414966,Dravida Munnetra Kazhagam,4,2,6,5,3,10,6,1,6,11,11,11,6
96,36,114,2,3,137,2,2,420,0,0,0,1,1,718,0,3,721,0,Muthammal  colony,"Thoothukudi  Corporation  Middle  School,
Western  Facing  building,Thevar
colony,Muthammal  colony  extn,(ayyasamy colony)Natarajanagar",1.(Thoothukudi  Corporation)  Thevar  colony 999.OVERSEAS  ELECTORS,All  Voters,5.013927576601671,15.87743732590529,0.2785515320334262,0.4178272980501393,19.0807799442897,0.2785515320334262,0.2785515320334262,58.4958217270195,0.4178272980501393,2,0.2785515320334262,Tamilaga Vettri Kazhagam,420,137,283,4,3,6,5,2,6,6,1,11,11,11,9,9,39.4150417827298,Amma Makkal Munnettra Kazagam,4,3,6,5,2,6,6,1,11,11,11,9,9
97,25,93,0,2,38,2,0,263,3,0,0,0,0,426,0,3,429,0,Muthammal  colony,"Thoothukudi  Corporation  Middle  School, Additional  building  2nd  Room  From  West, Thevar  colony,Ayyasamy  colony  , Natarajanagar","1.(Thoothukudi  Corporation)  Vishvapuram, 999.OVERSEAS  ELECTORS",All  Voters,5.868544600938967,21.83098591549296,0.0,0.4694835680751174,8.92018779342723,0.4694835680751174,0.0,61.73708920187794,0.7042253521126761,3,0.7042253521126761,Tamilaga Vettri Kazhagam,263,93,170,4,2,8,6,3,6,8,1,5,8,8,8,8,39.90610328638498,Dravida Munnetra Kazhagam,4,2,8,6,3,6,8,1,5,8,8,8,8
98,42,165,0,4,79,0,1,352,2,4,1,0,0,650,0,4,654,0,Muthammal  colony,"Thoothukudi  Corporation  Middle  School, Additional  building  3rd  Room  From West,Thevar  colony,  Ayyasamy  Colony, Natarajanagar","1(Thoothukudi  Corporation)  Annai  Indira  Nagar, 999.OVERSEAS  ELECTORS",All  Voters,6.461538461538462,25.38461538461538,0.0,0.6153846153846154,12.15384615384615,0.0,0.1538461538461539,54.15384615384615,0.6153846153846154,7,1.076923076923077,Tamilaga Vettri Kazhagam,352,165,187,4,2,10,5,3,10,8,1,7,5,8,10,10,28.76923076923077,Dravida Munnetra Kazhagam,4,2,10,5,3,10,8,1,7,5,8,10,10
99,44,161,2,8,63,0,2,355,2,0,0,0,0,637,0,8,645,0,State  Bank  Colony,"S.D.A.  Matricultion  School  ,West  Wing  2nd Room,  Natarajan  Nagar  State  Bank  colony",1.(Thoothukudi  Corporation)  Tamilnadu  Housing  Board  (Door  No:  1  to 4/600)  999.OVERSEAS  ELECTORS,All  Voters,6.907378335949764,25.27472527472527,0.3139717425431711,1.255886970172684,9.89010989010989,0.0,0.3139717425431711,55.72998430141287,1.255886970172684,2,0.3139717425431711,Tamilaga Vettri Kazhagam,355,161,194,4,2,6,5,3,9,6,1,6,9,9,9,9,30.4552590266876,Dravida Munnetra Kazhagam,4,2,6,5,3,9,6,1,6,9,9,9,9
100,36,176,3,1,76,0,1,309,0,0,0,0,2,604,0,0,604,0,State  Bank  Colony,"S.D.A.  Matricultion  School  ,West  Wing  1st Room,  Natarajan  Nagar  State  Bank  colony",1.(Thoothukudi  Corporation)  Tamilnadu  Housing  Board  (Door  No:  4/600 Above  )  999.OVERSEAS  ELECTORS,All  Voters,5.960264900662252,29.13907284768212,0.4966887417218543,0.1655629139072848,12.58278145695364,0.0,0.1655629139072848,51.158940397351,0.0,2,0.3311258278145696,Tamilaga Vettri Kazhagam,309,176,133,4,2,5,7,3,9,7,1,9,9,9,9,6,22.01986754966887,Dravida Munnetra Kazhagam,4,2,5,7,3,9,7,1,9,9,9,9,6
101,54,217,2,7,103,0,0,345,1,0,0,0,2,731,0,7,738,0,State  Bank  Colony,"S.D.A.  Matricultion  School  ,West  Wing  3nd Room,  from  West,  Natarajan  Nagar  State Bank  colony","1.(Thoothukudi  Corporation)  Tamilnadu  Housing  Board  (Door  No:  -  4-886
-  4/1041)
999.OVERSEAS  ELECTORS",All  Voters,7.387140902872777,29.68536251709986,0.2735978112175103,0.957592339261286,14.09028727770178,0.0,0.0,47.19562243502052,0.957592339261286,3,0.4103967168262654,Tamilaga Vettri Kazhagam,345,217,128,4,2,6,5,3,9,9,1,8,9,9,9,6,17.51025991792066,Dravida Munnetra Kazhagam,4,2,6,5,3,9,9,1,8,9,9,9,6
102,56,243,4,11,85,0,0,383,3,0,1,1,1,788,0,6,794,0,State  Bank  Colony,"S.D.A.  Matricultion  School  New  Building Middle  portion  Natarajan  Nagar  ,  State  Bank Colony","1.(Thoothukudi  Corporation)  Tamil  Nadu  Housing  Board  A  Block, 2.(Thoothukudi  Corporation)  Tamilnadu  Housing  Board  B  Block, 3.(Thoothukudi  Corporation)  Tamilnadu  Housing  Board  C  Block, 4.(Thoothukudi  Corporation)  Tamilnadu  Housing  Board  D  Block, 5.(Thoothukudi  Corporation)  Tamilnadu  Housing  Board  E  Block,
6.(Thoothukudi  Corporation)  Tamil  Nadu  Housing  Board  HIG  Block, 7.(Thoothukudi  Corporation)  Tamilnadu  Housing  Board  MIG  Block,
999.OVERSEAS  ELECTORS",All  Voters,7.106598984771574,30.83756345177665,0.5076142131979695,1.395939086294416,10.78680203045685,0.0,0.0,48.60406091370558,0.7614213197969544,6,0.7614213197969544,Tamilaga Vettri Kazhagam,383,243,140,4,2,6,5,3,11,11,1,7,11,8,8,8,17.76649746192894,Dravida Munnetra Kazhagam,4,2,6,5,3,11,11,1,7,11,8,8,8
